answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
25.0,25.0,28.0,-0.2333333333333333,positive,"Weniger Steuern ist immer gut. Für noch weniger Steuern und mehr Legalisierung -&gt; @JfStadtZH #legalizeit #CannabisCommunity @VereinLegalize #cannabis #hanf 

https://t.co/T9V8voQhcd",wenig steuern immer gut wenig steuern mehr legalisierung gt legalizeit cannabiscommunity cannabis hanf,"{'Weniger': 0, 'Steuern': 0, 'ist': 0.05, 'immer': 0.04, 'gut': 0, 'Für': 0.07, 'noch': 0, 'weniger': 0, 'und': 0.06, 'mehr': 0.05, 'Legalisierung': 0.08, '-&gt': 0, 'legalizeit': 0, 'CannabisCommunity': 0, 'cannabis': 0.7, 'hanf': 0.3}",neutral,"[0.64083695, 0.027438186, 0.33172485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Im neuen Videoformat von HighDefinition erkläre ich weshalb ich Drogen legalisieren will und ob man als Kiffer ein guter Schwiegersohn ist. #LegalizeIt #cannabis #CannabisCommunity @VereinLegalize 

https://t.co/BMaxAEg35z",neu videoformat highdefinition erklären weshalb drogen legalisieren kiffer gut schwiegersohn legalizeit cannabis cannabiscommunity,"{'Im': 0, 'neuen': 0.03, 'Videoformat': 0.04, 'von': 0, 'HighDefinition': 0.11, 'erkläre': 0.04, 'ich': 0.01, 'weshalb': 0, 'Drogen': 0.06, 'legalisieren': 0.11, 'will': 0, 'und': 0.04, 'ob': 0, 'man': 0, 'als': 0.02, 'Kiffer': 0.03, 'ein': 0, 'guter': 0, 'Schwiegersohn': 0.04, 'ist': 0, 'LegalizeIt': 0.25, 'cannabis': 0.22, 'CannabisCommunity': 1.0}",neutral,"[0.93820643, 0.028845016, 0.032948546]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"JF provozieren mit Drogen-Video. Liberalisierung gegen Schwarzmarkt, Drogentote und giftige Streckmittel. via @nau_live #legalizeit #cannabis @JfStadtZH @JFZH  https://t.co/th8PP3Ac0R",jf provozieren drogen video liberalisierung schwarzmarkt drogentote giftig streckmittel via legalizeit cannabis,"{'JF': 0.12, 'provozieren': 0.13, 'mit': 0.11, 'Drogen-Video': 0.18000000000000002, 'Liberalisierung': 0.29, 'gegen': 0.18, 'Schwarzmarkt': 0.065, 'Drogentote': 0.10500000000000001, 'und': 0.11, 'giftige': 0.12, 'Streckmittel': 0, 'via': 1.0, 'legalizeit': 0, 'cannabis': 0.43}",neutral,"[0.8023784, 0.007666328, 0.18995523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @narimoldi: Wenn man keine eigene Ideen hat: Zwei Wochen nach der höchst erfolgreichen #Cannabis-Aktion der @JFZH wird diese von den @jg…,eigene ideen zwei wochen höchst erfolgreich cannabis aktion,"{'Wenn': 0, 'man': 0, 'keine': 0, 'eigene': 0.04, 'Ideen': 0.07, 'hat': 0, 'Zwei': 0.14, 'Wochen': 1.0, 'nach': 0.38, 'der': 1.0, 'höchst': 0, 'erfolgreichen': 0.25, 'Cannabis-Aktion': 0.25, 'wird': 0, 'diese': 0, 'von': 0, 'den': 1.0, '…': 0}",neutral,"[0.8194046, 0.028918225, 0.15167716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@KarlKuenzle @LXEvans @Jungfreisinnige @FDP_Liberalen Ich denke mit der Angleichung des Rentenalters machen wir bereits einen grossen Schritt in Richtung Gleichberechtigung. Die Lebenserwartung verändert sich bei beiden Geschlechter ähnlich, deshalb schien uns dort eine Unterscheidung als unnötig.",denken angleichung rentenalters bereits grossen schritt richtung gleichberechtigung lebenserwartung verändern beid geschlechter ähnlich deshalb scheinen unterscheidung unnötig,,,,"{'Ich': 0.08, 'denke': 0.11, 'mit': 0.25, 'der': 0.16, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.31, 'machen': 0, 'wir': 0, 'bereits': 0.11, 'einen': 0.03, 'grossen': 0, 'Schritt': 0.12, 'in': 0.03, 'Richtung': 0, 'Gleichberechtigung': 0, 'Die': 0.16, 'Lebenserwartung': 0.08, 'verändert': 0.07, 'sich': 0, 'bei': 0, 'beiden': 0.02, 'Geschlechter': 0, 'ähnlich': 0, 'deshalb': 0, 'schien': 0.05, 'uns': 0.03, 'dort': 0.02, 'eine': 0, 'Unterscheidung': 0.05, 'als': 0, 'unnötig': 0.06}",positive,"[0.03167341, 0.012138237, 0.9561884]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@BeriniFelix @Jungfreisinnige @FDP_Liberalen Bauarbeiter haben oftmals eigene Rentenalter, wie z.B. Maurer mit 60 Jahren. Dies in ihrem GAV geregelt. Wir setzen uns dafür ein, dass dies auch so bleibt und im GAV geregelt wird.",bauarbeiter oftmals eigene rentenalter z b maurer jahren gav regeln setzen dafür bleiben gav regeln,,,,"{'Bauarbeiter': 0.12, 'haben': 0.28, 'oftmals': 0.32, 'eigene': 1.0, 'Rentenalter': 0.645, 'wie': 0, 'z.B.': 0, 'Maurer': 0, 'mit': 0, 'Jahren': 0, 'Dies': 0, 'in': 0.05, 'ihrem': 0, 'GAV': 0.08, 'geregelt': 0.13, 'Wir': 0.03, 'setzen': 0, 'uns': 0, 'dafür': 0, 'ein': 0, 'dass': 0.04, 'dies': 0, 'auch': 0, 'so': 0, 'bleibt': 0, 'und': 0.03, 'im': 0, 'wird': 0}",neutral,"[0.63790756, 0.016325278, 0.3457671]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.6999999999999998,neutral,"Eine Erhöhung des Rentenalters sichert uns unseren Wohlstand im Alter. Gerne bin ich bereit länger zu arbeiten, anstatt jährlich massiv höhere Abzüge ertragen zu müssen. @Jungfreisinnige @FDP_Liberalen #rentensichern #ahvretten https://t.co/ogOxPyk6FD",erhöhung rentenalters sichern wohlstand altern gerne bereiten lang arbeiten anstatt jährlich massiv hoch abzüge ertragen müssen rentensichern ahvretten,,,,"{'Eine': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.26, 'sichert': 0, 'uns': 0, 'unseren': 0.11, 'Wohlstand': 0.31, 'im': 0, 'Alter': 0, 'Gerne': 0, 'bin': 0, 'ich': 0.05, 'bereit': 0, 'länger': 0.04, 'zu': 0.03, 'arbeiten': 0.07, 'anstatt': 0.035, 'jährlich': 0, 'massiv': 0, 'höhere': 0.04, 'Abzüge': 0, 'ertragen': 0.07, 'müssen': 0.03, 'rentensichern': 0.09, 'ahvretten': 0.14}",positive,"[0.02315128, 0.010324288, 0.9665245]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@redder66 @nau_live Nö, gegen eine anständige Rente habe ich gar Nichts einzuwenden. Mir geht es um die Finanzierung derer. 

Bereits Pensionierte welche das Land aufgebaut haben sind nebenbei auch nicht von einer Erhöhung des Rentenalters betroffen ;)",nö anständig rente gar einwenden gehen finanzierung bereits pensionieren welch land aufbauen nebenbei erhöhung rentenalters betreffen,,,,"{'Nö': 0, 'gegen': 0.08, 'eine': 0, 'anständige': 0.08, 'Rente': 0, 'habe': 0.05, 'ich': 0.03, 'gar': 0, 'Nichts': 0.06, 'einzuwenden': 0, 'Mir': 0, 'geht': 0, 'es': 0.05, 'um': 0.05, 'die': 0.26, 'Finanzierung': 0, 'derer': 0, 'Bereits': 0.12, 'Pensionierte': 0.19, 'welche': 0, 'das': 0, 'Land': 0, 'aufgebaut': 0.095, 'haben': 0.045, 'sind': 0.11, 'nebenbei': 0, 'auch': 0.15, 'nicht': 0.55, 'von': 0, 'einer': 0, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.73, 'betroffen': 0.21}",positive,"[0.34396827, 0.02701096, 0.6290208]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@redder66 @nau_live Altersvorsorge.
Generationenvertrag im Hintergrund der alternden Bevölkerung. Alles zulasten der jungen und arbeitenden Bevölkerung oder an die Lebenserwartung angepasstes Rentenalter?",altersvorsorge generationenvertrag hintergrund alternd bevölkerung zulasten jung arbeitend bevölkerung lebenserwartung angepasstes rentenalter,,,,"{'Altersvorsorge': 0.14, 'Generationenvertrag': 0, 'im': 0, 'Hintergrund': 0.06, 'der': 0.05, 'alternden': 0.07, 'Bevölkerung': 0.06, 'Alles': 0.18, 'zulasten': 0.0975, 'jungen': 0, 'und': 0.04, 'arbeitenden': 0.03, 'oder': 0.39, 'an': 0, 'die': 0.05, 'Lebenserwartung': 0.23500000000000001, 'angepasstes': 0, 'Rentenalter': 0.20500000000000002}",neutral,"[0.8721097, 0.030705858, 0.097184405]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @renten_sichern: Die #OECD erachtet eine nachhaltige Reform der #Altersvorsorge als «überfällig». Sie fordern #Rentenalter 67 + Bindung…,oecd erachten nachhaltig reform altersvorsorge überfällig fordern rentenalter bindung,,,,"{'Die': 0.09, 'OECD': 0.07, 'erachtet': 0, 'eine': 0, 'nachhaltige': 0.11, 'Reform': 0.16, 'der': 0.09, 'Altersvorsorge': 0.56, 'als': 0, '«': 0, 'überfällig': 0, '»': 0, 'Sie': 0, 'fordern': 0, 'Rentenalter': 0, 'Bindung': 0, '…': 0}",neutral,"[0.9378628, 0.022634374, 0.039502803]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
