answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,sentiment_tb
100.0,100.0,86.0,0.7,negative,"Gerade am Gipfeli verschluckt. Bürgerliche Jungparteien wollen für höheres Rentenalter auf die Strasse. Na dann, viel Spass bei eurer Demo mit 20 Nasen! PS: Banker*innen lassen sich auch alle frühpensionieren mit 62, thats the reality!
https://t.co/WDgWKyvGpP",gerade gipfeli verschlucken bürgerliche jungparteien hoch rentenalter strasse na spass demo nasen ps banker innen lassen all frühpensionieren thats the reality,"{'Gerade': 0.03, 'am': 0, 'Gipfeli': 0, 'verschluckt': 0.04, 'Bürgerliche': 0, 'Jungparteien': 0.125, 'wollen': 0.1, 'für': 0.48, 'höheres': 1.0, 'Rentenalter': 0.545, 'auf': 0, 'die': 0.02, 'Strasse': 0, 'Na': 0, 'dann': 0.03, 'viel': 0.44, 'Spass': 0.09, 'bei': 0.04, 'eurer': 0, 'Demo': 0.07, 'mit': 0.04, 'Nasen': 0.06, 'PS': 0.04, 'Banker*innen': 0, 'lassen': 0, 'sich': 0, 'auch': 0.02, 'alle': 0, 'frühpensionieren': 0.05, 'thats': 0, 'the': 0.02, 'reality': 0.09}",positive,"[0.025317037, 0.0044453596, 0.97023755]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6999999999999998,negative,"Da haben sich zwei gefunden: Grüne &amp; FDP für Rentenalter 66. Angesichts steigender Produktivität und wachsender Kluft zw. reich &amp; arm, ist das ein absolutes No-Go. Und auch einfach aus Respekt gegenüber Menschen, die ihr ganzes Leben hart gearbeitet haben. https://t.co/tZNDtwRxLP",zwei finden grüne amp fdp rentenalter angesichts steigend produktivität wachsend kluft zw reichen amp arm absolut no go einfach respekt gegenüber menschen ganz leben hart arbeiten,"{'Da': 0, 'haben': 0.01, 'sich': 0, 'zwei': 0.03, 'gefunden': 0.05, 'Grüne': 0, 'amp': 0.09, 'FDP': 0.15, 'für': 0.01, 'Rentenalter': 0.78, '66.': 0, 'Angesichts': 0, 'steigender': 0, 'Produktivität': 0.1, 'und': 0.02, 'wachsender': 0, 'Kluft': 0.06, 'zw': 0, 'reich': 0, 'arm': 0, 'ist': 0, 'das': 0.01, 'ein': 0, 'absolutes': 0, 'No-Go': 0, 'Und': 0.02, 'auch': 0.01, 'einfach': 0, 'aus': 0.01, 'Respekt': 0.03, 'gegenüber': 0, 'Menschen': 0.02, 'die': 0.02, 'ihr': 0, 'ganzes': 0, 'Leben': 0, 'hart': 0, 'gearbeitet': 0.01}",neutral,"[0.51085943, 0.06096364, 0.428177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"Das Lustige am Streit unter den bürgerlichen Jungparteien ist ja, dass wir nun definitiv sagen können, dass Junge EVP, @jglpCH, @jungesvp, @Jungfreisinnige, @JBDP_CH &amp; @JCVPSchweiz alle ein höheres Rentenalter wollen. Da hilft nur eins: Am 20. Oktober @JusoSchweiz wählen! 😉",lustige streit bürgerlich jungparteien ja definitiv sagen junge evp amp all hoch rentenalter helfen eins oktober wählen,"{'Das': 0.04, 'Lustige': 0.05, 'am': 0, 'Streit': 0, 'unter': 0, 'den': 0.04, 'bürgerlichen': 0, 'Jungparteien': 0.1, 'ist': 0.01, 'ja': 0, 'dass': 0.13, 'wir': 0, 'nun': 0, 'definitiv': 0, 'sagen': 0.12, 'können': 0, 'Junge': 0.12, 'EVP': 0, 'amp': 0.07, 'alle': 0, 'ein': 0.06, 'höheres': 1.0, 'Rentenalter': 0.925, 'wollen': 1.0, 'Da': 0, 'hilft': 0.08, 'nur': 0.09, 'eins': 0, 'Am': 0, '20.': 0, 'Oktober': 0.05, 'wählen': 0}",positive,"[0.04253805, 0.00994056, 0.94752145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@schlegel_stefan @knallfrog @operationlibero @ywegelin @Wochenzeitung Wo steht auf der Website von der Operation Libero, dass sie sich für Rentenalter 66 einsetzt? Und wo steht, dass sie gegen ein Ölheizungs-Verbot ist?",stehen website operation libero rentenalter einsetzen stehen ölheizungs verbieten,"{'Wo': 0.04, 'steht': 0, 'auf': 0, 'der': 0, 'Website': 0, 'von': 0, 'Operation': 0.18, 'Libero': 0, 'dass': 0.03, 'sie': 0.09, 'sich': 0, 'für': 1.0, 'Rentenalter': 0.87, 'einsetzt': 0, 'Und': 0.05, 'wo': 0.04, 'gegen': 0.17, 'ein': 0, 'Ölheizungs-Verbot': 0.06, 'ist': 0.05}",neutral,"[0.8146921, 0.11523519, 0.070072725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,@schlegel_stefan @operationlibero @ywegelin @Wochenzeitung Und was hat die Zustimmung zu Rentenalter 66 oder 67 mit der #Kovi zu tun?,zustimmung rentenalter kovi tun,"{'Und': 0.31, 'was': 0, 'hat': 0, 'die': 0.13, 'Zustimmung': 0.37, 'zu': 0.14, 'Rentenalter': 0.26, 'oder': 0.25, 'mit': 0.34, 'der': 0.13, 'Kovi': 0.41, 'tun': 0.26}",neutral,"[0.8273369, 0.023527374, 0.14913574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,negative,Perfektes Timing der @Jungfreisinnige: Nach grösster politischer Kundgebung der modernen Schweiz (#Frauenstreik) mit einer halben Million Frauen fordern sie Rentenalter 66 - also 2 Jahre mehr Arbeit für Frauen trotz fehlender Gleichstellung und tieferen Löhnen 🙄,perfekt timing grösster politisch kundgebung modern schweiz frauenstreik halb million frauen fordern rentenalter jahre mehr arbeit frauen trotzen fehlend gleichstellung tief löhnen,"{'Perfektes': 0.12, 'Timing': 0.06, 'der': 0.05, 'Nach': 0, 'grösster': 0.06, 'politischer': 0.135, 'Kundgebung': 0.13, 'modernen': 0.05, 'Schweiz': 0.06, 'Frauenstreik': 0.18, 'mit': 0.14, 'einer': 0, 'halben': 0.07, 'Million': 0.16, 'Frauen': 0.12, 'fordern': 0, 'sie': 0, 'Rentenalter': 0.665, 'also': 0, 'Jahre': 0.17, 'mehr': 0.2, 'Arbeit': 0.16, 'für': 0.1, 'trotz': 0.035, 'fehlender': 0, 'Gleichstellung': 0.13, 'und': 0.05, 'tieferen': 0, 'Löhnen': 0.09}",neutral,"[0.72029525, 0.074010834, 0.20569398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,negative,RT @JusoSchweiz: Der Bundesrat ignoriert die Stimmbevölkerung und möchte das Frauenrentenalter auf 65 erhöhen. Wir sagen: Finger weg vom Re…,bundesrat ignorieren stimmbevölkerung mögen frauenrentenalter erhöhen sagen finger re,"{'Der': 0.08, 'Bundesrat': 0.175, 'ignoriert': 0, 'die': 0.08, 'Stimmbevölkerung': 0, 'und': 0.17, 'möchte': 0.41000000000000003, 'das': 0, 'Frauenrentenalter': 0.44499999999999995, 'auf': 0, 'erhöhen': 1.0, 'Wir': 0.05, 'sagen': 0.48, 'Finger': 0, 'weg': 0, 'vom': 0.065, 'Re': 0.04, '…': 0}",neutral,"[0.4485359, 0.22176988, 0.32969427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,"Das erste Mal abstimmen in meiner neuen Heimat: Binningen!

Meine Empfehlungen:

👉 NEIN zu den Kampfjet-Milliarden!
👉 NEIN zur Begrenzungsinitiative!
👉 NEIN zum Jagdgesetz!
👉 NEIN zum Kinderabzugs-Bschiss!
👉 JA zum Vaterschaftsurlaub! https://t.co/SzcHeS5Pg6",erste mal abstimmen neu heimat binningen empfehlungen nein kampfjet milliarden nein begrenzungsinitiative nein jagdgesetz nein kinderabzugs bschiss ja vaterschaftsurlaub,,,,"{'Das': 0.04, 'erste': 0.03, 'Mal': 0, 'abstimmen': 0, 'in': 0.01, 'meiner': 0, 'neuen': 0.04, 'Heimat': 0, 'Binningen': 0.05, 'Meine': 0.04, 'Empfehlungen': 0.25, 'NEIN': 0.4, 'zu': 1.0, 'den': 0.04, 'Kampfjet-Milliarden': 0.0425, 'zur': 0.52, 'Begrenzungsinitiative': 0.035, 'zum': 0.52, 'Jagdgesetz': 0.04, 'Kinderabzugs-Bschiss': 0.08, 'JA': 0, 'Vaterschaftsurlaub': 0.505}",positive,"[0.005673981, 0.0014230782, 0.99290293]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,0.0,14.0,-0.5,negative,"Es ist schon etwas absurd: Die gleichen Kreise, die einen minimalen Vaterschaftsurlaub von zwei Wochen verteufeln, stimmen neuen Kampfjets zu. Kleiner Reminder: Ein einziger (!) Kampfjet kostet ungefähr so viel wie der Vaterschaftsurlaub im Jahr. Was ist wohl sinnvoller?",schon absurd gleich kreise minimal vaterschaftsurlaub zwei wochen verteufeln stimmen neu kampfjets klein reminder einzig kampfjet kosten ungefähr vaterschaftsurlaub jahr wohl sinnvoll,,,,"{'Es': 0.02, 'ist': 0.02, 'schon': 0, 'etwas': 0, 'absurd': 0.27, 'Die': 0.12, 'gleichen': 0.23, 'Kreise': 0.11, 'die': 0.12, 'einen': 0.04, 'minimalen': 0, 'Vaterschaftsurlaub': 0.1, 'von': 0, 'zwei': 0.09, 'Wochen': 0.15, 'verteufeln': 0.54, 'stimmen': 0, 'neuen': 0.1, 'Kampfjets': 0.09, 'zu': 0.08, 'Kleiner': 0, 'Reminder': 0.05, 'Ein': 0.04, 'einziger': 0, 'Kampfjet': 0.08, 'kostet': 0.12, 'ungefähr': 0, 'so': 0, 'viel': 0.04, 'wie': 0, 'der': 0.12, 'im': 0, 'Jahr': 0.06, 'Was': 0, 'wohl': 0, 'sinnvoller': 0.03}",neutral,"[0.4980469, 0.42630905, 0.07564412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @MachlerDavid: Laut @tagesanzeiger verursachen zwei Wochen #Vaterschaftsurlaub 900 Millionen indirekte Kosten; z.b. Für Stellvertretunge…,laut verursachen zwei wochen vaterschaftsurlaub millionen indirekte kosten z b stellvertretunge,,,,"{'Laut': 0.15, 'verursachen': 0, 'zwei': 0.14, 'Wochen': 0.28, 'Vaterschaftsurlaub': 0.96, 'Millionen': 0, 'indirekte': 0, 'Kosten': 0.17, 'z.b.': 0, 'Für': 0.05, 'Stellvertretunge': 0, '…': 0}",neutral,"[0.75670934, 0.117360964, 0.12592968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
