answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,sentiment_tb
50.0,75.0,57.0,0.0,positive,Diesem Dank und dieser Freude kann ich mich nur anschliessen! #Vaterschaftsurlaub #papizeit #Abstimmungen #familienpolitik https://t.co/75KmED9FwU,danken freude anschliessen vaterschaftsurlaub papizeit abstimmungen familienpolitik,"{'Diesem': 0.12, 'Dank': 0, 'und': 0.11, 'dieser': 0.12, 'Freude': 0.39, 'kann': 0.05, 'ich': 0.07, 'mich': 0, 'nur': 0.06, 'anschliessen': 0, 'Vaterschaftsurlaub': 0.92, 'papizeit': 0, 'Abstimmungen': 0.13, 'familienpolitik': 0.15}",positive,"[0.0023610422, 0.0016573205, 0.9959817]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @PhilippKutter: Sogar die @BaumeisterCH sind für zwei Wochen Vaterschaftsurlaub. Bravo! 
https://t.co/MkR8KCodK7",sogar zwei wochen vaterschaftsurlaub bravo,"{'Sogar': 0.29, 'die': 0, 'sind': 0.67, 'für': 0, 'zwei': 0.22, 'Wochen': 0, 'Vaterschaftsurlaub': 0.755, 'Bravo': 0.62}",positive,"[0.3897396, 0.023156501, 0.58710396]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @evppev: Machen wir aus dem heutigen Vätertag den letzten ohne Vaterschaftsurlaub! Engagieren wir uns für ein Ja zum #Vaterschaftsurlaub…,heutig vätertag letzt vaterschaftsurlaub engagieren ja vaterschaftsurlaub,"{'Machen': 0, 'wir': 0, 'aus': 0, 'dem': 0.135, 'heutigen': 0.05, 'Vätertag': 0, 'den': 0.21, 'letzten': 0.58, 'ohne': 1.0, 'Vaterschaftsurlaub': 0.06, 'Engagieren': 0, 'uns': 0, 'für': 0, 'ein': 0, 'Ja': 0, 'zum': 0.135, '…': 0}",positive,"[0.14411163, 0.016045555, 0.83984286]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,👏! #vaterschaftsurlaub #Familytime #familienpolitik https://t.co/fvEUCKeMEt via @AargauerZeitung,vaterschaftsurlaub familytime familienpolitik via,"{'vaterschaftsurlaub': 0.73, 'Familytime': 0, 'familienpolitik': 0.13, 'via': 0.23}",positive,"[0.005270286, 0.001884931, 0.99284476]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ich unterstütze klar #travailsuisse zum Thema #Vaterschaftsurlaub. Auch wenn  mit wenigeren Wochen, der Ständerat hat das Anliegen erkannt. https://t.co/CJm8dA9B8U",unterstützen klaren travailsuisse thema vaterschaftsurlaub wenig wochen ständerat anliegen erkennen,"{'Ich': 0.08, 'unterstütze': 0.42, 'klar': 0, 'travailsuisse': 0, 'zum': 0.07, 'Thema': 0, 'Vaterschaftsurlaub': 0.78, 'Auch': 0, 'wenn': 0.06, 'mit': 0.03, 'wenigeren': 0, 'Wochen': 0.05, 'der': 0.07, 'Ständerat': 0.065, 'hat': 0, 'das': 0, 'Anliegen': 0, 'erkannt': 0.09}",positive,"[0.035554446, 0.009149296, 0.9552962]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MarianneStreiff: Auch für die EVP ist Lohngleichheit eine Selbstverständlichkeit , die endlich umgesetzt werden muss!!! http://t.co/x8J…",evp lohngleichheit selbstverständlichkeit endlich umsetzen,,,,"{'Auch': 0.19, 'für': 0.08, 'die': 0.1, 'EVP': 0, 'ist': 0.26, 'Lohngleichheit': 1.0, 'eine': 0, 'Selbstverständlichkeit': 0.14250000000000002, 'endlich': 0, 'umgesetzt': 0.16, 'werden': 0, 'muss': 0}",neutral,"[0.781026, 0.107172884, 0.111801185]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @muellerkaderli: „Wir sind das einzige Land auf der Welt, dass Ausländern, die Sterbehilfe anbietet, hier stehen wir in einer gewissen V…",einzig land welt ausländern sterbehilfe anbieten stehen gewiß v,,,,,,,"{'„': 0, 'Wir': 0, 'sind': 0, 'das': 0, 'einzige': 0, 'Land': 0, 'auf': 0, 'der': 0, 'Welt': 0, 'dass': 0, 'Ausländern': 0, 'die': 0, 'Sterbehilfe': 0, 'anbietet': 0, 'hier': 0, 'stehen': 0, 'wir': 0, 'in': 0, 'einer': 0, 'gewissen': 0, 'V': 0, '…': 0}",positive,"[0.02471889, 0.0030565367, 0.97222453]",,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Besorgniserregend, auch wenn nicht überraschend #Zunahme der Sterbehilfe: Der Tod gehört mir https://t.co/DXFLbSUH2f via @NZZ",besorgniserregend überraschen zunahme sterbehilfe tod hören via,,,,,,,"{'Besorgniserregend': 0.51, 'auch': 0, 'wenn': 0.18, 'nicht': 0.13, 'überraschend': 0, 'Zunahme': 1.0, 'der': 0, 'Sterbehilfe': 0.97, 'Der': 0, 'Tod': 0, 'gehört': 0, 'mir': 0.14, 'via': 0.2}",positive,"[0.13439627, 0.2164934, 0.6491103]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Wenn nur schon so viel über die Möglichkeit und Alternative ""Palliative Care"" berichtet würde wie zur Sterbehilfe! @AargauerZeitung",schon möglichkeit alternative palliative care berichten sterbehilfe,,,,,,,"{'Wenn': 0, 'nur': 0.03, 'schon': 0, 'so': 0.05, 'viel': 0, 'über': 0, 'die': 0.09, 'Möglichkeit': 0, 'und': 0.06, 'Alternative': 0.12, 'Palliative': 0.09, 'Care': 0.19, 'berichtet': 0.21, 'würde': 0, 'wie': 0, 'zur': 0.09, 'Sterbehilfe': 1.0}",neutral,"[0.9218323, 0.0061494997, 0.07201812]",,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,Erfreulich! Der Ständerat kommt den Forderungen der #korrekturinitiative entgegen: Kriegsmaterialexporte in Bürgerkriegsländer und Länder mit schweren Menschenrechtsverletzungen sollen künftig nicht mehr möglich sein. https://t.co/9utp3Mnnuf,erfreulich ständerat kommen forderungen korrekturinitiative entgegen kriegsmaterialexporte bürgerkriegsländer länder schwer menschenrechtsverletzungen sollen künftig mehr möglich,,,,,,,,,,"{'Erfreulich': 0, 'Der': 0.04, 'Ständerat': 0.07, 'kommt': 0, 'den': 0.04, 'Forderungen': 0, 'der': 0.04, 'korrekturinitiative': 0.13, 'entgegen': 0, 'Kriegsmaterialexporte': 0.8025, 'in': 0.03, 'Bürgerkriegsländer': 0.175, 'und': 0.13, 'Länder': 0.18, 'mit': 0.15, 'schweren': 0, 'Menschenrechtsverletzungen': 0.1875, 'sollen': 0.67, 'künftig': 0.07, 'nicht': 0, 'mehr': 0, 'möglich': 0.24, 'sein': 0}",positive,"[0.2516604, 0.026407221, 0.7219323]",,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @sicherheit_ja: Jetzt die überparteiliche Medienkonferenz für die Beschaffung neuer Kampfflugzeuge verfolgen. mit @ThierryBurkart @Haebe…,überparteilich medienkonferenz beschaffung neu kampfflugzeuge verfolgen,,,,,,,,,,,,,"{'Jetzt': 0.24, 'die': 0.08, 'überparteiliche': 0, 'Medienkonferenz': 0.29500000000000004, 'für': 0.13, 'Beschaffung': 0.29, 'neuer': 0, 'Kampfflugzeuge': 0, 'verfolgen': 0, 'mit': 1.0, '…': 0}",neutral,"[0.87359947, 0.0128440065, 0.11355651]",negative
50.0,75.0,57.0,0.0,neutral,RT @vbs_ddps: Deutliches JA an der ersten online DV der #EVP zur #Abstimmungsvorlage  Beschaffung neuer #kampfflugzeuge. Die Delegierten si…,deutlich ja erst online dv evp abstimmungsvorlage beschaffung neu kampfflugzeuge delegieren si,,,,,,,,,,,,,"{'Deutliches': 0.03, 'JA': 0, 'an': 0, 'der': 0.09, 'ersten': 0.05, 'online': 0.09, 'DV': 0.06, 'EVP': 0.08, 'zur': 0.06, 'Abstimmungsvorlage': 0.255, 'Beschaffung': 1.0, 'neuer': 0, 'kampfflugzeuge': 0.51, 'Die': 0.09, 'Delegierten': 0.19, 'si': 0, '…': 0}",neutral,"[0.9074578, 0.020761536, 0.07178065]",neutral
100.0,100.0,100.0,1.0,neutral,Frauenpower bei der 1. online DV der #EVP und zur #Abstimmungsvorlage zur Beschaffung neuer #kampfflugzeuge Die Delegierten sind der Bundesrätin und mir deutlich mit einem Ja zur Beschaffung gefolgt. Das freut mich! Danke vielmals fürs Mitwirken @Violapamherd @marionnasch https://t.co/Qn8dZbz0PQ,frauenpower online dv evp abstimmungsvorlage beschaffung neu kampfflugzeuge delegieren bundesrätin deutlich ja beschaffung folgen freuen danke vielmals fürs mitwirken,,,,,,,,,,,,,"{'Frauenpower': 0.05500000000000001, 'bei': 0.03, 'der': 0.04, '1.': 0, 'online': 0.06, 'DV': 0.05, 'EVP': 0.06, 'und': 0.04, 'zur': 0.035, 'Abstimmungsvorlage': 0.16, 'Beschaffung': 0.16, 'neuer': 0, 'kampfflugzeuge': 0.6, 'Die': 0.04, 'Delegierten': 0.12, 'sind': 0, 'Bundesrätin': 0.11499999999999999, 'mir': 0.02, 'deutlich': 0, 'mit': 0.02, 'einem': 0, 'Ja': 0.04, 'gefolgt': 0.07, 'Das': 0.04, 'freut': 0.04, 'mich': 0.02, 'Danke': 0.02, 'vielmals': 0, 'fürs': 0.02, 'Mitwirken': 0}",neutral,"[0.6343708, 0.06597838, 0.2996508]",positive
