answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @metamythos: Dringend: Lehrbetrieb gesucht!

Unser Sohn (17) sucht als FABE Kinderbetreuung fürs 3. Lehrjahr eine Kinderkrippe im Grossr…",dringen lehrbetrieb suchen sohn suchen fabe kinderbetreuung fürs lehrjahr kinderkrippe grossr,"{'Dringend': 0, 'Lehrbetrieb': 0.31, 'gesucht': 0, 'Unser': 0.47, 'Sohn': 0.44, 'sucht': 0, 'als': 0, 'FABE': 0.88, 'Kinderbetreuung': 0.82, 'fürs': 0.23, '3.': 0, 'Lehrjahr': 0.1, 'eine': 0, 'Kinderkrippe': 0.06, 'im': 0, 'Grossr': 0, '…': 0}",positive,"[0.31021392, 0.050386995, 0.6393991]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@ruediloeffel @MarianneStreiff @evppev @BurkhardtPhilip @SRF Finde es auch komisch. Hab seit über 30 Jahren eine Organspendeausweis, weiss aber noch nicht, ob ich nicht widersprechen soll. Finde das recht übergriffig.",finden komisch seit jahren organspendeausweis weiss widersprechen finden recht übergriffig,,,,"{'Finde': 0.09, 'es': 0, 'auch': 0, 'komisch': 0, 'Hab': 0.1, 'seit': 0, 'über': 0.06, 'Jahren': 0.15, 'eine': 0, 'Organspendeausweis': 0.8275, 'weiss': 0, 'aber': 0.18, 'noch': 0, 'nicht': 0, 'ob': 0, 'ich': 0.03, 'widersprechen': 0, 'soll': 0, 'das': 0.08, 'recht': 0, 'übergriffig': 0}",neutral,"[0.52307177, 0.03572485, 0.44120327]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@ChRoordink Ja genau, das ist eine der Situationen, bei der es dringend eine erleichterte Einbürgerung bräuchte.",ja genau situationen dringen erleichtern einbürgerung bräuchte,,,,,,,"{'Ja': 0, 'genau': 0, 'das': 0.1, 'ist': 0.36, 'eine': 0.09, 'der': 0, 'Situationen': 0, 'bei': 0, 'es': 0.36, 'dringend': 0.36, 'erleichterte': 0, 'Einbürgerung': 1.0, 'bräuchte': 0}",positive,"[0.11304138, 0.03648159, 0.85047704]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,@diuuk @postcovid_CH Aber wie gesagt: ich bin für kürzere Wartefristen und v.a. für hier Geborene einfachere Einbürgerung. Aber 6-8 Jahre warten finde ich unproblematisch.,sagen kurz wartefristen v a geboren einfach einbürgerung jahre warten finden unproblematisch,,,,,,,"{'Aber': 0.11, 'wie': 0, 'gesagt': 0.04, 'ich': 0.03, 'bin': 0, 'für': 0.1, 'kürzere': 0.15, 'Wartefristen': 0.065, 'und': 0.14, 'v.a.': 0, 'hier': 0.05, 'Geborene': 0.09, 'einfachere': 0, 'Einbürgerung': 1.0, 'Jahre': 0.04, 'warten': 0, 'finde': 0.09, 'unproblematisch': 0.14}",positive,"[0.0017904239, 0.0017526071, 0.9964569]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@diuuk @postcovid_CH Hatte kein Problem damit, wie es gelaufen ist. 
Und meine Erfahrung in der Einbürgerungskommission, in der ist nach der Einbürgerung ein paar Jahre war, haben mich gelehrt, dass die Gespräche wichtig sind.",problem laufen erfahrung einbürgerungskommission einbürgerung paar jahre lehren gespräche wichtig,,,,,,,"{'Hatte': 0, 'kein': 0, 'Problem': 0.02, 'damit': 0.02, 'wie': 0.02, 'es': 0, 'gelaufen': 0, 'ist': 0, 'Und': 0.01, 'meine': 0.18, 'Erfahrung': 0.03, 'in': 0.02, 'der': 0.02, 'Einbürgerungskommission': 0.52, 'nach': 1.0, 'Einbürgerung': 1.0, 'ein': 0, 'paar': 0, 'Jahre': 0.48, 'war': 0, 'haben': 0.01, 'mich': 0.04, 'gelehrt': 0.12, 'dass': 0.04, 'die': 0.02, 'Gespräche': 0, 'wichtig': 0.05, 'sind': 0.04}",neutral,"[0.8108788, 0.007505756, 0.18161538]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@diuuk @postcovid_CH 12 Jahre warten plus drei weitere, weil wir in einem dummen Moment gezügelt sind, Staatskunde und Regionalgeschichte lernen und das Einbürgerungsgespräch.",jahre warten plus drei weit dumm moment zügeln staatskunde regionalgeschichte lernen einbürgerungsgespräch,,,,,,,"{'Jahre': 0.04, 'warten': 0, 'plus': 0.02, 'drei': 0.03, 'weitere': 0, 'weil': 0.12, 'wir': 0, 'in': 0.02, 'einem': 0, 'dummen': 0.06, 'Moment': 0.04, 'gezügelt': 0.035, 'sind': 0.07, 'Staatskunde': 0.23, 'und': 1.0, 'Regionalgeschichte': 0.3, 'lernen': 0, 'das': 0, 'Einbürgerungsgespräch': 0.725}",neutral,"[0.955471, 0.0029524935, 0.04157649]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@diuuk @postcovid_CH Ich hab ja nichts von schnellen Einbürgerungen geschrieben. Bin durchaus der Meinung, dass Zuwanderer auch einen gewissen Effort leisten müssen.",ja schnell einbürgerungen schreiben durchaus meinung zuwanderer gewiß effort leisten müssen,,,,,,,"{'Ich': 0.06, 'hab': 0.06, 'ja': 0, 'nichts': 0, 'von': 0, 'schnellen': 0, 'Einbürgerungen': 1.0, 'geschrieben': 0.22, 'Bin': 0, 'durchaus': 0, 'der': 0.07, 'Meinung': 0.21, 'dass': 0.09, 'Zuwanderer': 0, 'auch': 0.08, 'einen': 0.04, 'gewissen': 0, 'Effort': 0.1, 'leisten': 0, 'müssen': 0.06}",neutral,"[0.5671488, 0.021609752, 0.41124156]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"@FischerBieneMaj @postcovid_CH Hab ja geschrieben, dass die Einbürgerung erleichtert werden sollte.
Andererseits ging es im Vorstoss konkret um das Stimmrecht auf kommunaler Ebene. Da schadet es nichts, wenn man schon ein paar Jahre da ist, um zu wissen, wie der Hase läuft.",ja schreiben einbürgerung erleichtern sollen andererseits gehen vorstoss konkret stimmrecht kommunal eben schaden schon paar jahre wissen hase laufen,,,,,,,"{'Hab': 0, 'ja': 0, 'geschrieben': 0, 'dass': 0.16, 'die': 0.03, 'Einbürgerung': 1.0, 'erleichtert': 0, 'werden': 0, 'sollte': 0.67, 'Andererseits': 0.17625000000000002, 'ging': 0, 'es': 0, 'im': 0, 'Vorstoss': 0, 'konkret': 0, 'um': 0.01, 'das': 0.16, 'Stimmrecht': 0.03, 'auf': 0.06, 'kommunaler': 0, 'Ebene': 0.03, 'Da': 0, 'schadet': 0, 'nichts': 0, 'wenn': 0.03, 'man': 0, 'schon': 0, 'ein': 0, 'paar': 0, 'Jahre': 0.05, 'da': 0, 'ist': 0, 'zu': 0.03, 'wissen': 0.025, 'wie': 0.02, 'der': 0.03, 'Hase': 0, 'läuft': 0}",positive,"[0.1932278, 0.08562553, 0.7211467]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Ich habe die Motion zum Stimmrecht für niedergelassene Ausländer abgelehnt, weil ich finde, dass das Stimmrecht auf allen Staatsebenen an die Einbürgerung gebunden sein sollte (die jedoch zu erleichtern wäre). Aber die Argumente von rechts waren teilweise zum Davonlaufen. #GRAG https://t.co/znY6G573LM",motion stimmrecht niedergelassen ausländer ablehnen finden stimmrecht staatsebenen einbürgerung binden sollen jedoch erleichtern argumente rechts teilweise davonlaufen grag,,,,,,,"{'Ich': 0.01, 'habe': 0, 'die': 0.02, 'Motion': 0.04, 'zum': 0.275, 'Stimmrecht': 0.1975, 'für': 0.05, 'niedergelassene': 0.04, 'Ausländer': 0.03, 'abgelehnt': 0, 'weil': 0.02, 'ich': 0.01, 'finde': 0, 'dass': 0.05, 'das': 0.05, 'auf': 0.04, 'allen': 0, 'Staatsebenen': 0.1, 'an': 0, 'Einbürgerung': 1.0, 'gebunden': 0, 'sein': 0, 'sollte': 0.04, 'jedoch': 0.03, 'zu': 0.53, 'erleichtern': 0, 'wäre': 0, 'Aber': 0.08, 'Argumente': 0.06, 'von': 0.03, 'rechts': 0.02, 'waren': 0, 'teilweise': 0, 'Davonlaufen': 0, 'GRAG': 0.04}",neutral,"[0.71634275, 0.05566508, 0.22799218]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@padfrey @Propshaftrider Wenn du dich im deiner Wohn-/Einbürgerungsgemeimde abmeldest, dann fliegst du aus dem Einbürgerungsprozess raus.",wohn einbürgerungsgemeimde abmelden fliegen einbürgerungsprozess raus,,,,,,,"{'Wenn': 0, 'du': 0, 'dich': 0.34, 'im': 0, 'deiner': 0, 'Wohn-/Einbürgerungsgemeimde': 0.07250000000000001, 'abmeldest': 0, 'dann': 0, 'fliegst': 0, 'aus': 0.09, 'dem': 0.06, 'Einbürgerungsprozess': 0.125, 'raus': 0.09}",negative,"[0.24867716, 0.63296396, 0.11835881]",,,,,,,,,,,,,,,,,,,,,,neutral
