answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: 650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'millionen': 0, 'für': 0.21, 'Profisport': 0.56, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.11, 'den': 0.04, 'Fehler': 0}",positive,"[0.0013281972, 0.009137516, 0.9895343]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @RonjaJansen: Ja, die Kompensation für die Frauenrentenalter-Erhöhung ist ungenügend. Aber können wir über den Elefanten im Raum spreche…",ja kompensation frauenrentenalter erhöhung ungenügend elefanten raum sprechen,,,,"{'Ja': 0, 'die': 0.05, 'Kompensation': 0.68, 'für': 0.31, 'Frauenrentenalter-Erhöhung': 0.7525, 'ist': 0.98, 'ungenügend': 1.0, 'Aber': 0.35, 'können': 0, 'wir': 0, 'über': 0, 'den': 0.05, 'Elefanten': 0, 'im': 0, 'Raum': 0, 'spreche': 0, '…': 0}",negative,"[0.013787965, 0.951503, 0.034709077]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @LewinLempert: Da haben sich zwei gefunden: Grüne &amp; FDP für Rentenalter 66. Angesichts steigender Produktivität und wachsender Kluft zw.…,zwei finden grüne amp fdp rentenalter angesichts steigend produktivität wachsend kluft zw,,,,"{'Da': 0, 'haben': 0.03, 'sich': 0, 'zwei': 0.04, 'gefunden': 0.07, 'Grüne': 0, 'amp': 0.06, 'FDP': 0.22, 'für': 0.21, 'Rentenalter': 0.72, '66.': 0, 'Angesichts': 0, 'steigender': 0.07, 'Produktivität': 0.08, 'und': 0.03, 'wachsender': 0.05, 'Kluft': 0.07, 'zw': 0, '…': 0}",neutral,"[0.6369819, 0.035715636, 0.32730246]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @moijeanluc: Hey @GrueneZuerich, eure Ständeratskandidatin @marionnasch bekennt sich also per vertraulicher Unterschrift zum Rentenalter…",hey ständeratskandidatin bekennen per vertraulich unterschrift rentenalter,,,,"{'Hey': 0.15, 'eure': 0.15, 'Ständeratskandidatin': 0.20875, 'bekennt': 0.5, 'sich': 0, 'also': 0, 'per': 0, 'vertraulicher': 0.34, 'Unterschrift': 0.24, 'zum': 0.79, 'Rentenalter': 0.895, '…': 0}",neutral,"[0.56857234, 0.010048213, 0.4213795]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@MFrauchigerSVP @Tamarafuniciell @dominiczypen Stimmt Rentenalter 50 wäre auch eine gute Idee, das Geld ist da wir müssen es uns einfacht holen",stimmen rentenalter gut idee geld müssen einfacht holen,,,,"{'Stimmt': 0.1, 'Rentenalter': 0.815, 'wäre': 0.1, 'auch': 0.1, 'eine': 0, 'gute': 0, 'Idee': 0, 'das': 0, 'Geld': 0.08, 'ist': 0.1, 'da': 0, 'wir': 0, 'müssen': 0.04, 'es': 0.1, 'uns': 0, 'einfacht': 0, 'holen': 0}",positive,"[0.24370131, 0.016992282, 0.7393064]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@Tamarafuniciell die einzige richtige Entscheidung, wir müssen über Rentenaltersenkungen reden, nicht über Erhöhungen.",einzig richtige entscheidung müssen rentenaltersenkungen reden erhöhungen,,,,"{'die': 0.39, 'einzige': 0.09, 'richtige': 0.1, 'Entscheidung': 0.22, 'wir': 0, 'müssen': 0.13, 'über': 0, 'Rentenaltersenkungen': 0.6950000000000001, 'reden': 0, 'nicht': 0.24, 'Erhöhungen': 0}",positive,"[0.401506, 0.08339769, 0.5150963]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @sacovo: Die Lebenserwartung steigt/stieg übrigens in erster Linie für die reichten Menschen. Ein Angleichung des Rentenalters an die Le…,lebenserwartung steigen steigen übrigens erst linie reichen menschen angleichung rentenalters le,,,,"{'Die': 0.1, 'Lebenserwartung': 0.155, 'steigt': 0, 'stieg': 0, 'übrigens': 0.065, 'in': 0, 'erster': 0, 'Linie': 0, 'für': 0.08, 'die': 0.1, 'reichten': 0, 'Menschen': 0.13, 'Ein': 0, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.455, 'an': 0.41, 'Le': 0.1, '…': 0}",positive,"[0.0020239442, 0.0016273546, 0.9963486]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: «Es gibt keine Alternative zum Rentenalter 65 für Frauen» https://t.co/GHGxzqtKy6

Nun @alain_berset das werden wir no…",geben alternative rentenalter frauen no,,,,"{'«': 0, 'Es': 0, 'gibt': 0, 'keine': 0, 'Alternative': 0, 'zum': 0, 'Rentenalter': 0, 'für': 0, 'Frauen': 0, '»': 0, 'Nun': 0, 'das': 0, 'werden': 0, 'wir': 0, 'no': 0, '…': 0}",positive,"[0.44752082, 0.05758387, 0.4948953]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@danieljositsch @FelixZRH @bitozueri unterstützen im Stadtratswahlkampf öffentlich einen Kandidaten, welcher für Rentenalter 67, gegen Erhöhung der Prämienverbilligungen &amp; für eine Privatisierung der Stadtspitäler ist. Also gegen zentrale Forderungen der SP Warum macht man sowas?",unterstützen stadtratswahlkampf öffentlich kandidaten welch rentenalter erhöhung prämienverbilligungen amp privatisierung stadtspitäler zentrale forderungen sp warum sowas,,,,"{'unterstützen': 0.14, 'im': 0, 'Stadtratswahlkampf': 0.14250000000000002, 'öffentlich': 0.1, 'einen': 0.04, 'Kandidaten': 0, 'welcher': 0, 'für': 0.02, 'Rentenalter': 0.78, 'gegen': 0.04, 'Erhöhung': 0.17, 'der': 0.02, 'Prämienverbilligungen': 0.05, 'amp': 0.06, 'eine': 0, 'Privatisierung': 0.07, 'Stadtspitäler': 0.045, 'ist': 0, 'Also': 0, 'zentrale': 0.03, 'Forderungen': 0, 'SP': 0.03, 'Warum': 0.02, 'macht': 0, 'man': 0, 'sowas': 0}",positive,"[0.35914207, 0.10672931, 0.5341286]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @errrferrr: in der schweiz wird um 10 tage vaterschaftsurlaub gestritten 🤡,schweiz tage vaterschaftsurlaub streiten,,,,,,,"{'in': 0.11, 'der': 0, 'schweiz': 0.21, 'wird': 0, 'um': 0.37, 'tage': 0.26, 'vaterschaftsurlaub': 0.38, 'gestritten': 0, '🤡': 0}",neutral,"[0.8134347, 0.17553793, 0.011027455]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Tamarafuniciell: Der Berner Stadtrat hat die JUSO Motion für 1 freien 8. März für alle weibliche Angestellte bis wir Lohngleichheit hab…,berner stadtrat juso motion frei märz all weibliche angestellt lohngleichheit,,,,,,,,,,"{'Der': 0.07, 'Berner': 0, 'Stadtrat': 0.06, 'hat': 0, 'die': 0.07, 'JUSO': 0.06, 'Motion': 0.09, 'für': 0.3, 'freien': 0.51, '8.': 0, 'März': 0.15, 'alle': 0, 'weibliche': 0.19, 'Angestellte': 0, 'bis': 1.0, 'wir': 0, 'Lohngleichheit': 0.78, 'hab': 0.9, '…': 0}",positive,"[0.4627208, 0.011435465, 0.5258438]",,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Es ist beschämend wie die Rechtskonservativen die Durchsetzung der Verfassung boykottieren!
#Lohngleichheit",beschämend rechtskonservativen durchsetzung verfassung boykottieren lohngleichheit,,,,,,,,,,"{'Es': 0.06, 'ist': 0.06, 'beschämend': 0.17, 'wie': 0.1, 'die': 0.07, 'Rechtskonservativen': 0.1, 'Durchsetzung': 0.07, 'der': 0.07, 'Verfassung': 0.15, 'boykottieren': 0, 'Lohngleichheit': 0.505}",positive,"[0.0097632725, 0.0018966808, 0.98834]",,,,,,,negative
25.0,25.0,28.0,-0.3333333333333333,negative,"RT @nadia_kuhn: Der neue #SGB-Präsident sorgte für massive Steuersenkungen, meint, er als Mann* würde benachteiligt und hält eine 35-h-Woch…",neue sgb präsident sorgen massiv steuersenkungen mann benachteiligen halten h woch,,,,,,,,,,,,,"{'Der': 0.1, 'neue': 0.13, 'SGB-Präsident': 0.14, 'sorgte': 0, 'für': 0, 'massive': 1.0, 'Steuersenkungen': 0.895, 'meint': 0, 'er': 0.07, 'als': 0.07, 'Mann': 0, 'würde': 0, 'benachteiligt': 0.11, 'und': 0.07, 'hält': 0, 'eine': 0, '35-h-Woch': 0.08, '…': 0}",positive,"[0.001163098, 0.0019049264, 0.9969319]",,,,negative
100.0,100.0,100.0,0.85,negative,"RT @JUSOzh: Lieber Herr Stocker, so nicht! Keine Steuersenkungen zugunsten der Reichen, sondern Rücknahme der Abbaupackete aus der Lü16! Ub…",lieb herr stocker steuersenkungen zugunsten reich rücknahme abbaupackete lü16 ub,,,,,,,,,,,,,"{'Lieber': 0.09, 'Herr': 0, 'Stocker': 0.06, 'so': 0, 'nicht': 0.17, 'Keine': 0, 'Steuersenkungen': 0.66, 'zugunsten': 0.19999999999999998, 'der': 0.04, 'Reichen': 0, 'sondern': 0.56, 'Rücknahme': 0.08, 'Abbaupackete': 0.06, 'aus': 0, 'Lü16': 0, 'Ub': 0.07, '…': 0}",negative,"[0.08716827, 0.82749856, 0.08533307]",,,,positive
