answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @glpTG: Erneuerbare Energie - Photovoltaik: Lärmschutzwände könnten pro Jahr 22'000 Haushalte versorgen https://t.co/R9HMDzXcMC via @tag…,erneuerbare energie photovoltaik lärmschutzwände pro jahr haushalte versorgen via,"{'Erneuerbare': 0.72, 'Energie': 0.19, 'Photovoltaik': 0.45, 'Lärmschutzwände': 0.08, 'könnten': 0.2, 'pro': 0, 'Jahr': 0.07, ""22'000"": 0, 'Haushalte': 0.06, 'versorgen': 0, 'via': 0.08, '…': 0}",positive,"[0.16684468, 0.03843096, 0.79472435]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @pkuehni: @sonntagszeitung Wir haben noch nicht mal richtig mit dem Ausbau der erneuerbaren Energien begonnen und sollen nun bereits die…,mal richtig ausbau erneuerbaren energien beginnen sollen bereits,"{'Wir': 0.22, 'haben': 0.18, 'noch': 0, 'nicht': 0, 'mal': 0, 'richtig': 0, 'mit': 0, 'dem': 0.18, 'Ausbau': 0, 'der': 0, 'erneuerbaren': 1.0, 'Energien': 0.78, 'begonnen': 0.77, 'und': 0.21, 'sollen': 0, 'nun': 0, 'bereits': 0, 'die': 0, '…': 0}",neutral,"[0.60726124, 0.23598118, 0.15675758]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die Schweiz sagt 2017 mit rund 58% ""Ja"" zum Ausstieg aus der Atomkraft durch Zubau von erneuerbaren Energien wie Wind- und Solarenergie. Wo stehen wir heute? Es besteht Aufholbedarf beim Ausbau der Erneuerbaren. @aee_suisse  https://t.co/rQxH2aj544 via @SRF",schweiz sagen rund ja aussteigen atomkraft zubau erneuerbaren energien wind solarenergie stehen heute bestehen aufholbedarf beim ausbau erneuerbaren via,"{'Die': 0.09, 'Schweiz': 0.32, 'sagt': 0, 'mit': 0.05, 'rund': 0.05, 'Ja': 0.07, 'zum': 0.08499999999999999, 'Ausstieg': 0, 'aus': 0.03, 'der': 0.09, 'Atomkraft': 0.065, 'durch': 0.13, 'Zubau': 0, 'von': 0, 'erneuerbaren': 0.17, 'Energien': 0.21, 'wie': 0, 'Wind-': 0, 'und': 0.07, 'Solarenergie': 0.07, 'Wo': 0.26, 'stehen': 0, 'wir': 0, 'heute': 0.18, 'Es': 0.16, 'besteht': 0, 'Aufholbedarf': 0.09125, 'beim': 0.09, 'Ausbau': 0.22, 'Erneuerbaren': 0.29, 'via': 1.0}",positive,"[0.38518238, 0.13314484, 0.48167273]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Netto Null bis 2050 – so lautet das nationale Klimaziel. Doch um es zu erreichen, muss der Aargau besonders im Bereich der erneuerbaren Energien Gas geben https://t.co/B78POG7bJq via @AargauerZeitung",netto nullen lauten national klimaziel erreichen aargau besonders bereich erneuerbaren energien gas geben via,"{'Netto': 0.14, 'Null': 0, 'bis': 0, '–': 0, 'so': 0, 'lautet': 0, 'das': 0, 'nationale': 0, 'Klimaziel': 0, 'Doch': 0, 'um': 0, 'es': 0, 'zu': 0, 'erreichen': 0, 'muss': 0, 'der': 0, 'Aargau': 0, 'besonders': 0, 'im': 0, 'Bereich': 0, 'erneuerbaren': 0, 'Energien': 0, 'Gas': 0, 'geben': 0, 'via': 0}",positive,"[0.079708084, 0.008587834, 0.9117041]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der #eMobility und den #erneuerbaren #Energien gehört die Zukunft. E-Flugzeug «Pipistrel» als Star im Birrfeld: Viel Begeisterung am eMobility Day https://t.co/uvWGVo8ljP,emobility erneuerbaren energien hören zukunft e flugzeug pipistrel star birrfeld begeisterung emobility day,"{'Der': 0.07, 'eMobility': 0, 'und': 1.0, 'den': 0.07, 'erneuerbaren': 1.0, 'Energien': 0.15, 'gehört': 0, 'die': 0.07, 'Zukunft': 0.33, 'E-Flugzeug': 0, '«': 0, 'Pipistrel': 0, '»': 0, 'als': 0, 'Star': 0, 'im': 0, 'Birrfeld': 0, 'Viel': 0, 'Begeisterung': 0, 'am': 0, 'Day': 0}",positive,"[0.0024949713, 0.0014357554, 0.9960693]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @SchweizerBauer: Erneuerbaren #Energien finanziell fördern

Wie der Nationalrat will auch die zuständige Ständeratskommission neue #Wind…",erneuerbaren energien finanziell fördern nationalrat zuständig ständeratskommission neue wind,"{'Erneuerbaren': 0, 'Energien': 0.62, 'finanziell': 0.9, 'fördern': 0.9, 'Wie': 0, 'der': 0.14, 'Nationalrat': 0.105, 'will': 0, 'auch': 0.13, 'die': 0.14, 'zuständige': 0.13, 'Ständeratskommission': 0.13874999999999998, 'neue': 0.11, 'Wind': 0.09, '…': 0}",positive,"[0.030506292, 0.01868343, 0.95081025]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @RueeggThurgau: Ausbau von Erneuerbarer #Energie: Es geht nicht nur um #Klimaschutz, sondern auch um #Versorgungssicherheit. #Thurgau @s…",ausbau erneuerbarer energie gehen klimaschutz versorgungssicherheit thurgau,"{'Ausbau': 1.0, 'von': 0, 'Erneuerbarer': 0, 'Energie': 0.18, 'Es': 0, 'geht': 0, 'nicht': 0.08, 'nur': 0, 'um': 0, 'Klimaschutz': 0.08, 'sondern': 0.04, 'auch': 0.04, 'Versorgungssicherheit': 0.095, 'Thurgau': 0.14, '…': 0}",positive,"[0.28351152, 0.06129428, 0.65519416]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,#Elektromobilität - Die grösste Elektro-Lastwagenflotte der CH: Feldschlösschen liefert Bier umweltschonend aus. Zurück im Depot werden die Elektro-LKWs mit #erneuerbarer Energie betankt - super! https://t.co/hpQfGPh1l3 via @AargauerZeitung,elektromobilität grösste elektro lastwagenflotte ch feldschlösschen liefern bier umweltschonend zurück depot elektro lkws erneuerbarer energie betanken super via,"{'Elektromobilität': 0.11, 'Die': 0.13, 'grösste': 0.07, 'Elektro-Lastwagenflotte': 0.08, 'der': 0.13, 'CH': 0, 'Feldschlösschen': 0, 'liefert': 0, 'Bier': 0.06, 'umweltschonend': 0.07, 'aus': 0, 'Zurück': 0.08, 'im': 0, 'Depot': 0.04, 'werden': 0, 'die': 0.13, 'Elektro-LKWs': 0.09, 'mit': 0.83, 'erneuerbarer': 0.88, 'Energie': 0.46, 'betankt': 0.35, 'super': 0, 'via': 0.2}",positive,"[0.0018984218, 0.0011655462, 0.9969361]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @samuelbeer_: ""Das Unternehmen zeigt, dass erneuerbare Energien längst ein wichtiger Schweizer Energiezweig sind.""

Die #Energiewende is…",unternehmen zeigen erneuerbare energien längst wichtig schweizer energiezweig energiewende is,"{'Das': 0.19, 'Unternehmen': 0.09, 'zeigt': 0, 'dass': 0.1, 'erneuerbare': 0.06, 'Energien': 0.06, 'längst': 0.04, 'ein': 0, 'wichtiger': 0.09, 'Schweizer': 0.03, 'Energiezweig': 0.1, 'sind': 0, 'Die': 0.19, 'Energiewende': 0.1, 'is': 0.74, '…': 0}",positive,"[0.036798105, 0.006090129, 0.9571118]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Juerg_Grossen: Gelebte #Energiewende im Berggebiet: 420kWp-Solaranlage in Adelboden. Adelbodner Mineral stellt um auf 100% Erneuerbare…,gelebt energiewende berggebiet 420kwp solaranlage adelboden adelbodner mineral stellen erneuerbare,"{'Gelebte': 0.07, 'Energiewende': 0.1, 'im': 0, 'Berggebiet': 0.025, '420kWp-Solaranlage': 0.1225, 'in': 0.06, 'Adelboden': 0.12, 'Adelbodner': 0.25, 'Mineral': 0.31, 'stellt': 0, 'um': 0, 'auf': 0, 'Erneuerbare': 0, '…': 0}",neutral,"[0.6231174, 0.07729909, 0.2995836]",,,,,,,,,,neutral
