answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
75.0,75.0,86.0,0.4666666666666666,neutral,"RT @spschweiz: Während die Rechten von GLP bis SVP das Rentenalter erhöhen wollen, sorgen wir uns dafür, dass Menschen über 55 überhaupt no…",recht glp svp rentenalter erhöhen sorgen dafür menschen überhaupt no,"{'Während': 0.27, 'die': 0.49, 'Rechten': 0.32, 'von': 0.11, 'GLP': 0.13, 'bis': 0, 'SVP': 0, 'das': 0.07, 'Rentenalter': 0.705, 'erhöhen': 0, 'wollen': 0.53, 'sorgen': 0.41, 'wir': 0, 'uns': 0, 'dafür': 0, 'dass': 0.07, 'Menschen': 0.07, 'über': 0.07, 'überhaupt': 0, 'no': 0, '…': 0}",positive,"[0.36134055, 0.117445685, 0.52121377]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Ein Nein zum #Vaterschaftsurlaub bringt der #elternzeit etwa soviel wie günstigeres Benzin (dank @FDP_Liberalen und @SVPch) den #Klimawandel stoppt. #ehrlich_waere_anders https://t.co/j5l0pyHa2A,nein vaterschaftsurlaub bringen elternzeit etwa soviel günstig benzin danken klimawandel stoppen ehrlich_waere_anders,,,,"{'Ein': 0.2, 'Nein': 0.48, 'zum': 0.04, 'Vaterschaftsurlaub': 0.09, 'bringt': 0.32, 'der': 0, 'elternzeit': 0.08, 'etwa': 0.11, 'soviel': 0.06, 'wie': 0, 'günstigeres': 0.07, 'Benzin': 0, 'dank': 0.065, 'und': 0.07, 'den': 0, 'Klimawandel': 0.07, 'stoppt': 0.1, 'ehrlich_waere_anders': 0}",positive,"[0.012214013, 0.02596694, 0.96181905]",,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"Passend zum #MontyPython Jubiläum: Die Schweizer Armee.. Kein Vaterschaftsurlaub für Soldaten: Ja, steht denn der Feind an der Grenze?: https://t.co/3lnLt09g8C",passen montypython jubiläum schweizer armee vaterschaftsurlaub soldaten ja stehen feind grenze,,,,"{'Passend': 0, 'zum': 0.04, 'MontyPython': 0.12, 'Jubiläum': 0.14, 'Die': 0.04, 'Schweizer': 0.07, 'Armee': 0.07, '..': 0, 'Kein': 1.0, 'Vaterschaftsurlaub': 0.88, 'für': 0.32, 'Soldaten': 0.21, 'Ja': 0, 'steht': 0, 'denn': 0, 'der': 0.04, 'Feind': 0.07, 'an': 0, 'Grenze': 0.04}",negative,"[0.19615862, 0.78484523, 0.018996099]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @NataschaWey: Hier könnte ein Empörungstweet über die Ablehnung des Vaterschaftsurlaubs durch den Bundesrat stehen. Aber ganz im Ernst:…,empörungstweet ablehnung vaterschaftsurlaubs bundesrat stehen ganz ernst,,,,"{'Hier': 0.11, 'könnte': 0.1, 'ein': 0, 'Empörungstweet': 0.38, 'über': 0, 'die': 0.11, 'Ablehnung': 1.0, 'des': 0, 'Vaterschaftsurlaubs': 0.635, 'durch': 0, 'den': 0.11, 'Bundesrat': 0.34, 'stehen': 0, 'Aber': 0.1, 'ganz': 0, 'im': 0, 'Ernst': 0, '…': 0}",negative,"[0.0056983205, 0.98628205, 0.008019608]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Luzerner #Jugendparlament verlangt mit grosser Mehrheit #Vaterschaftsurlaub für den #KantonLuzern. https://t.co/eezpQ0Cqww,luzerner jugendparlament verlangen grosser mehrheit vaterschaftsurlaub kantonluzern,,,,"{'Luzerner': 0.13, 'Jugendparlament': 0, 'verlangt': 0, 'mit': 0, 'grosser': 0, 'Mehrheit': 0.16, 'Vaterschaftsurlaub': 1.0, 'für': 0.17, 'den': 0.11, 'KantonLuzern': 0.09}",neutral,"[0.557491, 0.023125093, 0.41938397]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @GewerkschaftSGB: Die AHV-Renten sind zu tief, und die Renten aus den Pensionskassen brechen ein. Gleichzeitig steigen Wohnkosten und KK…",ahv renten tief renten pensionskassen brechen gleichzeitig steigen wohnkosten kk,,,,,,,"{'Die': 0.05, 'AHV-Renten': 0, 'sind': 0.13, 'zu': 0, 'tief': 0, 'und': 1.0, 'die': 0.05, 'Renten': 0.06, 'aus': 0, 'den': 0.05, 'Pensionskassen': 0.05, 'brechen': 0, 'ein': 0, 'Gleichzeitig': 0, 'steigen': 0.95, 'Wohnkosten': 1.0, 'KK': 0.73, '…': 0}",negative,"[0.07916166, 0.8638634, 0.05697495]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Stände- und Verwaltungsrat Konrad Graber lässt Lohngleichheit in weite Ferne rücken. Die göttliche Ordnung? https://t.co/DhDQdHIsMR,stände verwaltungsrat konrad graber lässt lohngleichheit weit fern rücken göttlich ordnung,,,,,,,,,,"{'Stände-': 0, 'und': 0.07, 'Verwaltungsrat': 0.055, 'Konrad': 0.1, 'Graber': 0.12, 'lässt': 0, 'Lohngleichheit': 0, 'in': 0, 'weite': 0, 'Ferne': 0, 'rücken': 0.07, 'Die': 0.38, 'göttliche': 0.85, 'Ordnung': 0.57}",neutral,"[0.84628946, 0.024313105, 0.12939742]",,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"RT @GewerkschaftSGB: Dass eine Behörde einen so niedrigen Mindestlohn definiert, ist staatlich verordnetes Lohndumping und nicht zu dulden.…",behörde niedrig mindestlohn definieren staatlich verordnet lohndumping dulden,,,,,,,,,,,,,"{'Dass': 0.07, 'eine': 0, 'Behörde': 0.14, 'einen': 0.25, 'so': 0, 'niedrigen': 1.0, 'Mindestlohn': 0.34, 'definiert': 0, 'ist': 0.15, 'staatlich': 0.09, 'verordnetes': 0, 'Lohndumping': 0.18, 'und': 0.1, 'nicht': 0, 'zu': 0, 'dulden': 0, '…': 0}",negative,"[0.054152384, 0.88839823, 0.05744938]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@besser_machen @FDP_Liberalen @wahlforschung0 @StefanBrupbach1 @ParmelinG @srfarena Deswegen auch der trumpsche Konjunktiv. Letztes Jahr waren es 150 Unternehmen, die Kriegsmaterial exportiert haben.",deswegen trumpsche konjunktiv letzt jahr unternehmen kriegsmaterial exportieren,,,,,,,,,,,,,,,,"{'Deswegen': 0, 'auch': 0, 'der': 0.11, 'trumpsche': 0, 'Konjunktiv': 0, 'Letztes': 0.3, 'Jahr': 0.27, 'waren': 0, 'es': 0, 'Unternehmen': 0, 'die': 0.11, 'Kriegsmaterial': 0.9199999999999999, 'exportiert': 1.0, 'haben': 0}",neutral,"[0.991536, 0.004069455, 0.0043945108]",,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Wenn der @KantonLuzern doch nicht so zukunftstauglich ist, wie manche behaupten. #Digitalisierung ohne #Datenschutz  geht zu Lasten der Bevölkerung. https://t.co/s3AHlyfIlh",zukunftstauglich manch behaupten digitalisierung datenschutz gehen lasten bevölkerung,,,,,,,,,,,,,,,,,,,"{'Wenn': 0, 'der': 0.13, 'doch': 0, 'nicht': 0.08, 'so': 0, 'zukunftstauglich': 0, 'ist': 1.0, 'wie': 0, 'manche': 0.25, 'behaupten': 0, 'Digitalisierung': 0, 'ohne': 0.61, 'Datenschutz': 0, 'geht': 0, 'zu': 0, 'Lasten': 0, 'Bevölkerung': 0.33}",negative,"[0.14520004, 0.7090276, 0.1457724]",negative
