answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,0.85,negative,"Erhalt reicht nicht. Es braucht klar einen Ausbau! Die Schweiz hinkt im Vergleich zu Skandinavien um Jahrzehnte hinten nach.
Mich freut die breite Allianz! Hoffen wir, dass uns die aktuelle Krise etwas Schub in der Thematik gibt!
#kinderbetreuung #erwerb
https://t.co/DgJjwu0Yed",erhalt reichen brauchen klaren ausbau schweiz hinken vergleich skandinavien jahrzehnte hinten freuen breit allianz hoffen aktuell krise schub thematik geben kinderbetreuung erwerb,"{'Erhalt': 0.04, 'reicht': 0, 'nicht': 0.04, 'Es': 0.02, 'braucht': 0.01, 'klar': 0, 'einen': 0.01, 'Ausbau': 0.05, 'Die': 0.06, 'Schweiz': 0.04, 'hinkt': 0, 'im': 0, 'Vergleich': 0, 'zu': 0.02, 'Skandinavien': 0.03, 'um': 0.01, 'Jahrzehnte': 0.04, 'hinten': 0, 'nach': 0, 'Mich': 0, 'freut': 0.02, 'die': 0.06, 'breite': 0.04, 'Allianz': 0, 'Hoffen': 0.02, 'wir': 0, 'dass': 0.02, 'uns': 0.02, 'aktuelle': 0.06, 'Krise': 0.07, 'etwas': 0, 'Schub': 0, 'in': 0.03, 'der': 0.06, 'Thematik': 0.07, 'gibt': 0, 'kinderbetreuung': 1.0, 'erwerb': 0.18}",positive,"[0.1743458, 0.03290263, 0.7927515]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @UrsulaMarti1: Bitte sagt ja, liebe Ostermundiger Parlamentsmitglieder! #ostermundigen #kinderbetreuung #zukunftstattabbau Über 100 Fami…",bitte sagen ja lieb ostermundiger parlamentsmitglieder ostermundigen kinderbetreuung zukunftstattabbau fami,"{'Bitte': 0, 'sagt': 0, 'ja': 0, 'liebe': 0, 'Ostermundiger': 0, 'Parlamentsmitglieder': 0.0475, 'ostermundigen': 0.63, 'kinderbetreuung': 0.83, 'zukunftstattabbau': 0.03, 'Über': 0.17, 'Fami': 0, '…': 0}",neutral,"[0.6161748, 0.019174526, 0.3646507]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"Seit 40 (!) Jahren kennt Schweden den Elternurlaub. 
Jedes Elternteil hat 240 Tage zur Verfügung.
Und wir stimmen hier über einen zweiwöchigen Vaterschaftsurlaub ab. 🤨
Fast schon härzig, wenn nicht tragisch.
Daher: JA - zum Vaterschaftsurlaub!
https://t.co/BtTWyNqHjh",seit jahren kennen schweden elternurlaub jed elternteil tage verfügung stimmen zweiwöchigen vaterschaftsurlaub ab fast schon härzig tragisch daher ja vaterschaftsurlaub,,,,"{'Seit': 0, 'Jahren': 0.06, 'kennt': 0, 'Schweden': 0.02, 'den': 0, 'Elternurlaub': 0.06, 'Jedes': 0.02, 'Elternteil': 0.02, 'hat': 0, 'Tage': 0.06, 'zur': 0.07, 'Verfügung': 0, 'Und': 0.12, 'wir': 0, 'stimmen': 0, 'hier': 0.61, 'über': 0, 'einen': 0, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0, 'ab': 0, '🤨': 0, 'Fast': 0, 'schon': 0, 'härzig': 0, 'wenn': 0, 'nicht': 0, 'tragisch': 0, 'Daher': 0, 'JA': 0, 'zum': 0}",neutral,"[0.5803214, 0.17516735, 0.24451132]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"Frauenstreiktag 2019:
„Wenn Frau will, steht alles still“.
Wir streiken auch in Ostermundigen. 
Es geht nicht darum, blau zu machen und arbeitsfaul zu sein. Es geht um Solidarität für Frauen, für Lohngleichheit, für die Arbeit in der Pflege, für Anerkennung. 
Bist Du auch dabei? https://t.co/lES4PPIJGZ",frauenstreiktag frau stehen stillen streiken ostermundigen gehen darum blau arbeitsfaul gehen solidarität frauen lohngleichheit arbeit pflegen anerkennung dabei,,,,,,,"{'Frauenstreiktag': 0.05500000000000001, '„': 0, 'Wenn': 0, 'Frau': 0, 'will': 0, 'steht': 0, 'alles': 0, 'still': 0, '“': 0, 'Wir': 0, 'streiken': 0, 'auch': 0, 'in': 0, 'Ostermundigen': 0, 'Es': 0, 'geht': 0, 'nicht': 0, 'darum': 0, 'blau': 0, 'zu': 0, 'machen': 0, 'und': 0, 'arbeitsfaul': 0, 'sein': 0, 'um': 0, 'Solidarität': 0, 'für': 0, 'Frauen': 0, 'Lohngleichheit': 0, 'die': 0, 'Arbeit': 0, 'der': 0, 'Pflege': 0, 'Anerkennung': 0, 'Bist': 0, 'Du': 0, 'dabei': 0}",positive,"[0.00744108, 0.0018742061, 0.99068475]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @spschweiz: Die BFS-Zahlen zur #Lohngleichheit zeigen, dass die Lohnunterschiede zwischen Frauen und Männern weiter bestehen. Dass Fraue…",bfs zahlen lohngleichheit zeigen lohnunterschiede frauen männern weit bestehen fraue,,,,,,,"{'Die': 0.11, 'BFS-Zahlen': 0.2, 'zur': 0.11, 'Lohngleichheit': 1.0, 'zeigen': 0.32, 'dass': 0.09, 'die': 0.11, 'Lohnunterschiede': 0.16, 'zwischen': 0.1, 'Frauen': 0.1, 'und': 0.06, 'Männern': 0.09, 'weiter': 0, 'bestehen': 0, 'Dass': 0.09, 'Fraue': 0.1, '…': 0}",neutral,"[0.70610976, 0.050722376, 0.24316785]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Seit Jahren den Ausbau von erneuerbare Energiequellen verhindern und nun ein Kernkraftwerk fordern. 🤦🏻‍♀️ Das ist die moderne und nachhaltige Energiepolitik der SVP. 
#mirgitseine #sommerlochpolemik",seit jahren ausbau erneuerbare energiequellen verhindern kernkraftwerk fordern modern nachhaltig energiepolitik svp mirgitseine sommerlochpolemik,,,,,,,,,,"{'Seit': 0, 'Jahren': 0.23, 'den': 0.05, 'Ausbau': 0.33, 'von': 0, 'erneuerbare': 1.0, 'Energiequellen': 0.08, 'verhindern': 0, 'und': 0, 'nun': 0, 'ein': 0, 'Kernkraftwerk': 0.052500000000000005, 'fordern': 0, '🤦': 0, '\u200d️': 0, 'Das': 0, 'ist': 0, 'die': 0, 'moderne': 0, 'nachhaltige': 0, 'Energiepolitik': 0, 'der': 0, 'SVP': 0, 'mirgitseine': 0, 'sommerlochpolemik': 0}",negative,"[0.31317145, 0.44189075, 0.2449378]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Endspurt - wer noch nicht hat, muss jetzt unbedingt abstimmen:

Ja zum Berner Energiegesetz! 

Zum Schutz des Klimas, der Gletscher und zur Förderung erneuerbarer Energien. https://t.co/y5T1BHIWjN",endspurt wer unbedingt abstimmen ja berner energiegesetz schutz klimas gletscher förderung erneuerbarer energien,,,,,,,,,,"{'Endspurt': 0.04, 'wer': 0, 'noch': 0, 'nicht': 0, 'hat': 0, 'muss': 0.38, 'jetzt': 0.05, 'unbedingt': 0, 'abstimmen': 0.12, 'Ja': 0.17, 'zum': 0.225, 'Berner': 0, 'Energiegesetz': 0.09, 'Zum': 0.225, 'Schutz': 0, 'des': 0, 'Klimas': 0, 'der': 0.07, 'Gletscher': 0, 'und': 0.17, 'zur': 0.225, 'Förderung': 0, 'erneuerbarer': 1.0, 'Energien': 0.49}",positive,"[0.003473013, 0.002061711, 0.9944653]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @EggerJenzer: Frauen sagen JA zum #Klimaschutz, Frauen sagen JA zu #erneuerbareEnergie, Frauen sagen JA zu #Energiegesetz https://t.co/s…",frauen sagen ja klimaschutz frauen sagen ja erneuerbareenergie frauen sagen ja energiegesetz,,,,,,,,,,"{'Frauen': 0.45, 'sagen': 0.305, 'JA': 0, 'zum': 0.42, 'Klimaschutz': 0.28, 'zu': 0.42, 'erneuerbareEnergie': 0.61, 'Energiegesetz': 1.0}",positive,"[0.030910162, 0.0046163257, 0.96447355]",,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"https://t.co/7bDxfkfBDx

Sandra sagt es richtig: „Zentral wird die Kompetenz sein, die Zusammenhänge zu verstehen und Strategien abzuleiten, um die Kultur des lebenslangen Lernens gezielt zu fördern.“
#lebenslangeslernen #digitalisierung #sbbcffffs",sandra sagen richtig zentral kompetenz zusammenhänge verstehen strategien ableiten kultur lebenslang lernens zielen fördern lebenslangeslernen digitalisierung sbbcffffs,,,,,,,,,,,,,"{'Sandra': 0.03, 'sagt': 0.03, 'es': 0, 'richtig': 0, '„': 0, 'Zentral': 0, 'wird': 0, 'die': 0, 'Kompetenz': 0, 'sein': 0, 'Zusammenhänge': 0, 'zu': 0, 'verstehen': 0, 'und': 0, 'Strategien': 0, 'abzuleiten': 0, 'um': 0, 'Kultur': 0, 'des': 0, 'lebenslangen': 0, 'Lernens': 0, 'gezielt': 0, 'fördern': 0, '“': 0, 'lebenslangeslernen': 0, 'digitalisierung': 0, 'sbbcffffs': 0}",neutral,"[0.5671071, 0.03798214, 0.39491084]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Digitalisierung: Die Arbeitswelt wird sich stark verändern -  https://t.co/meQ0fIwUAC Offen sein für Weiterbildung und Auseinandersetzung mit neuen Technologien - das gilt für alle Berufstätigen.,digitalisierung arbeitswelt stark verändern offen weiterbildung auseinandersetzung neu technologien gelten all berufstätig,,,,,,,,,,,,,"{'Digitalisierung': 0, 'Die': 0.24, 'Arbeitswelt': 0.165, 'wird': 0.25, 'sich': 0, 'stark': 0, 'verändern': 0.15, 'Offen': 0.07, 'sein': 0.1, 'für': 0, 'Weiterbildung': 0, 'und': 0.04, 'Auseinandersetzung': 0, 'mit': 0.02, 'neuen': 0.03, 'Technologien': 0.04, 'das': 0, 'gilt': 0, 'alle': 0, 'Berufstätigen': 0.02}",positive,"[0.32549113, 0.060520347, 0.6139885]",,,,,,,positive
