answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @minlimarti: Good News! Der Bund soll vorwärts machen bei der Kinderbetreuung, für #Vereinbarkeit von Beruf und Familie, zahlbare Kitapl…",good news bund vorwärts kinderbetreuung vereinbarkeit beruf familie zahlbare kitapl,"{'Good': 0.03, 'News': 0.08, 'Der': 0.1, 'Bund': 0, 'soll': 0, 'vorwärts': 0.19, 'machen': 0, 'bei': 0, 'der': 0.1, 'Kinderbetreuung': 1.0, 'für': 0.54, 'Vereinbarkeit': 0.08, 'von': 0, 'Beruf': 0, 'und': 0.11, 'Familie': 0.02, 'zahlbare': 0.22, 'Kitapl': 0, '…': 0}",positive,"[0.11701783, 0.09198412, 0.79099804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @alliance_F: Wichtiger Entscheid: NR stimmt mit 113:80 Stimmen der Vorlage über die Finanzhilfen für familienergänzende Kinderbetreuung…,wichtig entscheid nr stimmen stimmen vorlage finanzhilfen familienergänzende kinderbetreuung,"{'Wichtiger': 0.05, 'Entscheid': 0.07, 'NR': 0, 'stimmt': 0, 'mit': 0, '113:80': 0, 'Stimmen': 0, 'der': 0.14, 'Vorlage': 0, 'über': 0, 'die': 0.14, 'Finanzhilfen': 0, 'für': 1.0, 'familienergänzende': 0.16, 'Kinderbetreuung': 0.95, '…': 0}",neutral,"[0.73629427, 0.04285193, 0.22085379]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"RT @spschweiz: @AHVplus Renten runter, Rentenalter rauf, das ist wahre Sauerei. Darum Ja zu #AHVplus! https://t.co/fXjl0iE8NA",renten runter rentenalter rauf wahr sauerei darum ja ahvplus,,,,"{'Renten': 0, 'runter': 0.22, 'Rentenalter': 0.9099999999999999, 'rauf': 0, 'das': 0.83, 'ist': 0, 'wahre': 0.87, 'Sauerei': 1.0, 'Darum': 0, 'Ja': 0, 'zu': 0.13, 'AHVplus': 0.35}",negative,"[0.040071156, 0.85237354, 0.10755524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,SonnTalk - Trump / Olympia in Sion 2026 / Kein Ansturm auf erleichterte Einbürgerung https://t.co/GLBldegnk9 @lukasreimann @EGirsberger,sonntalk trump olympia sion ansturm erleichtern einbürgerung,,,,,,,"{'SonnTalk': 0.15, 'Trump': 0.12, 'Olympia': 0.1, 'in': 0.09, 'Sion': 0.07, 'Kein': 0.17, 'Ansturm': 0.22, 'auf': 0, 'erleichterte': 0, 'Einbürgerung': 1.0}",positive,"[0.0018860627, 0.0011376768, 0.99697626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,negative,"RT @spschweiz: Vor einem Jahr haben 500'000 Frauen und solidarische Männer demonstriert: für #Lohngleichheit, mehr Lohn, bessere Arbeitsbed…",jahr frauen solidarische männer demonstrieren lohngleichheit mehr lohn gut arbeitsbed,,,,,,,,,,"{'Vor': 0, 'einem': 0, 'Jahr': 0.09, 'haben': 0, ""500'000"": 0, 'Frauen': 0.07, 'und': 0.1, 'solidarische': 0, 'Männer': 0.11, 'demonstriert': 0.83, 'für': 1.0, 'Lohngleichheit': 0, 'mehr': 0.47, 'Lohn': 0, 'bessere': 0.19, 'Arbeitsbed': 0.16999999999999998, '…': 0}",positive,"[0.048955858, 0.019214366, 0.93182975]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"„Das Wahlziel der SP im Herbst ist klar: Wir wollen die rechtsbürgerliche Mehrheit im Nationalrat brechen“, sagt Wahlkampfleiterin @nmasshardt an der @spschweiz DV in Arth-Goldau/SZ. Die Themen bleiben: Lohngleichheit, Lohnschutz, Arbeit und Bildung für alle, Klimaerwärmung ... https://t.co/MNEjujvoEq",wahlziel sp herbst klaren rechtsbürgerliche mehrheit nationalrat brechen sagen wahlkampfleiterin dv arth goldau sz themen bleiben lohngleichheit lohnschutz arbeit bildung all klimaerwärmung,,,,,,,,,,"{'„': 0, 'Das': 0, 'Wahlziel': 0, 'der': 0, 'SP': 0, 'im': 0, 'Herbst': 0, 'ist': 0, 'klar': 0, 'Wir': 0, 'wollen': 0, 'die': 0, 'rechtsbürgerliche': 0, 'Mehrheit': 0, 'Nationalrat': 0, 'brechen': 0, '“': 0, 'sagt': 0, 'Wahlkampfleiterin': 0, 'an': 0, 'DV': 0, 'in': 0, 'Arth-Goldau': 0, 'SZ': 0, 'Die': 0, 'Themen': 0, 'bleiben': 0, 'Lohngleichheit': 0, 'Lohnschutz': 0, 'Arbeit': 0, 'und': 0, 'Bildung': 0, 'für': 0, 'alle': 0, 'Klimaerwärmung': 0, '...': 0}",positive,"[0.001626961, 0.0010353331, 0.99733764]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @spschweiz: Tausende demonstrieren auf dem Bundesplatz in Bern für Lohngleichheit und gegen Diskriminierung. #ENOUGH18 https://t.co/2GE9…,tausende demonstrieren bundesplatz bern lohngleichheit diskriminierung enough18,,,,,,,,,,"{'Tausende': 0.11, 'demonstrieren': 0.12, 'auf': 0.07, 'dem': 0.07, 'Bundesplatz': 0.12, 'in': 0.09, 'Bern': 0.08, 'für': 0.45, 'Lohngleichheit': 0.69, 'und': 1.0, 'gegen': 1.0, 'Diskriminierung': 0.58, 'ENOUGH18': 0.12}",positive,"[0.005157716, 0.0014890204, 0.99335325]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,#EgaliteSalariale #AufrufLohngleichheit https://t.co/MBZcRF6DuW https://t.co/bBGzipDAig,egalitesalariale aufruflohngleichheit,,,,,,,,,,"{'EgaliteSalariale': 0.38, 'AufrufLohngleichheit': 0.5349999999999999}",positive,"[0.47660267, 0.006923111, 0.5164742]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @ArberBullakaj: An der Demo zu #Lohngleichheit in Bern. Es gibt keine Argumente gegen Lohngleichheit http://t.co/01A6ilKOnC,demo lohngleichheit bern geben argumente lohngleichheit,,,,,,,,,,"{'An': 0, 'der': 0.02, 'Demo': 0.02, 'zu': 0, 'Lohngleichheit': 0.365, 'in': 0.02, 'Bern': 0.02, 'Es': 0, 'gibt': 0.08, 'keine': 0, 'Argumente': 1.0, 'gegen': 1.0}",positive,"[0.050013516, 0.0028115523, 0.9471749]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @FemmesSPFrauen: @M_Aebischer SP Männer stehen auch für #lohngleichheit ein http://t.co/r7HteWy8n9,sp männer stehen lohngleichheit,,,,,,,,,,"{'SP': 0.4, 'Männer': 0.39, 'stehen': 0, 'auch': 0.26, 'für': 0.68, 'lohngleichheit': 0, 'ein': 0}",positive,"[0.17995566, 0.01594127, 0.80410314]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
