answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @evppev: Der #Nationalrat als Wahlkampfarena, Betreuungsurlaub für Eltern schwerkranker Kinder, Steuerabzüge für externe Kinderbetreuung…",nationalrat wahlkampfarena betreuungsurlaub eltern schwerkrank kinder steuerabzüge externe kinderbetreuung,"{'Der': 0.13, 'Nationalrat': 0, 'als': 0.1, 'Wahlkampfarena': 0.05, 'Betreuungsurlaub': 0.155, 'für': 0.3, 'Eltern': 0.11, 'schwerkranker': 0.165, 'Kinder': 0.26, 'Steuerabzüge': 0.6799999999999999, 'externe': 0.12, 'Kinderbetreuung': 0, '…': 0}",negative,"[0.031147622, 0.91563624, 0.05321611]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.9,negative,"https://t.co/Zj8PDg7Q9t
Wenn die Ausländer mitbestimmen möchten können sie sich ja einbürgern lassen. Die Integration läuft nicht besser mit dieser Massnahme.",ausländer mitbestimmen mögen ja einbürgern lassen integration laufen gut massnahme,,,,"{'Wenn': 0, 'die': 0.23, 'Ausländer': 1.0, 'mitbestimmen': 0, 'möchten': 0, 'können': 0.1, 'sie': 0, 'sich': 0, 'ja': 0, 'einbürgern': 0, 'lassen': 0, 'Die': 0.23, 'Integration': 0.11, 'läuft': 0, 'nicht': 0.04, 'besser': 0.05, 'mit': 0.04, 'dieser': 0.08, 'Massnahme': 0.17}",neutral,"[0.4876462, 0.11771989, 0.39463392]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,@SchweizerA Ein flexibles Rentenalter wäre sinnvoll!,flexibel rentenalter sinnvoll,,,,,,,"{'Ein': 0.61, 'flexibles': 1.0, 'Rentenalter': 0.895, 'wäre': 0.64, 'sinnvoll': 0}",positive,"[0.0035641398, 0.0012876141, 0.99514824]",,,,,,,,,,positive
25.0,0.0,14.0,-0.5,negative,Schade das die Care-Arbeit von Frauen so wenig wertgeschätzt wird! Wieso wird diese systemrelevante Arbeit nicht gesehen? Was haltet ihr vom Rentenalter für Frauen?  #rentenalter65neindanke,schaden care arbeit frauen wenig wertgeschätzt wieso systemrelevante arbeit sehen halten rentenalter frauen rentenalter65neindanke,,,,,,,"{'Schade': 0, 'das': 0.05, 'die': 0.41, 'Care-Arbeit': 0.135, 'von': 0, 'Frauen': 0.32, 'so': 0.02, 'wenig': 0.08, 'wertgeschätzt': 0.09, 'wird': 0, 'Wieso': 0.02, 'diese': 0.07, 'systemrelevante': 0, 'Arbeit': 0.19, 'nicht': 0.07, 'gesehen': 0.08, 'Was': 0, 'haltet': 0, 'ihr': 0, 'vom': 0.41, 'Rentenalter': 1.0, 'für': 0.88, 'rentenalter65neindanke': 1.0}",neutral,"[0.9309646, 0.054126836, 0.014908585]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @WohlgensingerN: Bundesrat Maurer hat die Idee der Gleichberechtigung bei 65/65 nicht verstanden.

Was bringt es das Rentenalter zu erhö…",bundesrat maurer idee gleichberechtigung verstehen bringen rentenalter erhö,,,,,,,"{'Bundesrat': 0.09, 'Maurer': 0.1, 'hat': 0, 'die': 0.45, 'Idee': 0, 'der': 0.45, 'Gleichberechtigung': 0.24, 'bei': 0.05, 'nicht': 0.06, 'verstanden': 0, 'Was': 0, 'bringt': 0, 'es': 0, 'das': 0, 'Rentenalter': 0.835, 'zu': 0, 'erhö': 0, '…': 0}",negative,"[0.11557828, 0.86226094, 0.02216078]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,Interessante Aussage zur #Rentenaltererhöhung#aber für mich trotzdem nicht überzeugend. https://t.co/0SgQtEET5P,interessante aussagen rentenaltererhöhung trotzdem überzeugen,,,,,,,"{'Interessante': 0.6, 'Aussage': 0.35, 'zur': 0.38, 'Rentenaltererhöhung#aber': 0.6112500000000001, 'für': 0.11, 'mich': 0.07, 'trotzdem': 0, 'nicht': 0.74, 'überzeugend': 0.33}",negative,"[0.071756005, 0.53130615, 0.39693785]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Warum wird mit der Tageszeitung immer Werbung verschickt? 😖
Ich werfe diese meist ungelesen ins Altpapier! #Nachhaltigkeit #Umweltschutz #evp https://t.co/XHZhiH7BL6",warum tageszeitung immer werbung verschicken werfen meist ungelesen altpapier nachhaltigkeit umweltschutz evp,,,,,,,,,,"{'Warum': 0.08, 'wird': 0, 'mit': 0.03, 'der': 0.06, 'Tageszeitung': 0.06, 'immer': 0.02, 'Werbung': 0.07, 'verschickt': 0.05, 'Ich': 0.04, 'werfe': 0.06, 'diese': 0, 'meist': 0, 'ungelesen': 0.11, 'ins': 0, 'Altpapier': 0.06, 'Nachhaltigkeit': 0.22, 'Umweltschutz': 0.22999999999999998, 'evp': 1.0}",positive,"[0.25195533, 0.021740558, 0.7263041]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @pduemmler: Ökonomische Instrumente des Umweltschutzes funktionieren. Was man aber bei (Elektro-)Fahrzeugen auch einbeziehen müsste wäre…,ökonomisch instrumente umweltschutzes funktionieren elektro fahrzeugen einbeziehen müsste,,,,,,,,,,"{'Ökonomische': 0.34, 'Instrumente': 0.72, 'des': 0, 'Umweltschutzes': 0.715, 'funktionieren': 0, 'Was': 0, 'man': 0, 'aber': 0.35, 'bei': 0, 'Elektro-)Fahrzeugen': 0.05, 'auch': 0.05, 'einbeziehen': 0.12, 'müsste': 0.0675, 'wäre': 0.11, '…': 0}",positive,"[0.0071591996, 0.009937559, 0.9829032]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Politikfragen: Das Neuste zur Coronakrise - Jetzt live: Im öffentlichen Verkehr kommt die Maskenpflicht - Schweizer Radio und Fernsehen…,neuste coronakrise live öffentlich verkehr kommen maskenpflicht schweizer radio fernsehen,,,,,,,,,,,,,"{'Das': 0.07, 'Neuste': 0, 'zur': 0.07, 'Coronakrise': 0, 'Jetzt': 0.09, 'live': 0.07, 'Im': 0, 'öffentlichen': 0.29, 'Verkehr': 0, 'kommt': 0, 'die': 0.07, 'Maskenpflicht': 0.12, 'Schweizer': 0.75, 'Radio': 0.91, 'und': 1.0, 'Fernsehen': 0, '…': 0}",neutral,"[0.7541365, 0.12860934, 0.117254175]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @TZimmermannG: Folgerung 1: #Biodiversität auch in der #Landwirtschaft steigern.
Folgerung 2: #Pestizide reduzieren, schlimmstenfalls du…",folgerung biodiversität landwirtschaft steigern folgerung pestizide reduzieren schlimmstenfalls,,,,,,,,,,,,,,,,"{'Folgerung': 0, 'Biodiversität': 0.2, 'auch': 0, 'in': 0.03, 'der': 0.04, 'Landwirtschaft': 1.0, 'steigern': 0.5, 'Pestizide': 0.07, 'reduzieren': 0.09, 'schlimmstenfalls': 0.11000000000000001, 'du': 0, '…': 0}",positive,"[0.28749144, 0.108549505, 0.6039591]",neutral
