answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,positive,"Man sieht, es gibt noch viel zu tun! Es braucht mehr verlässliche, kostengünstige familienergänzende Kinderbetreuungsplätze. Für eine bessere Vereinbarkeit müssen wir jetzt die Betreuungsstrukturen stärken. 👨‍👨‍👧‍👧
https://t.co/qVyPa5Ze1I",sehen geben tun brauchen mehr verlässliche kostengünstig familienergänzende kinderbetreuungsplätze gut vereinbarkeit müssen betreuungsstrukturen stärken,"{'Man': 0, 'sieht': 0, 'es': 0.01, 'gibt': 0, 'noch': 0.01, 'viel': 0.015, 'zu': 0.02, 'tun': 0.015, 'Es': 0.01, 'braucht': 0, 'mehr': 0.16, 'verlässliche': 0.09, 'kostengünstige': 0, 'familienergänzende': 0.37, 'Kinderbetreuungsplätze': 0.63, 'Für': 0.02, 'eine': 0, 'bessere': 0.03, 'Vereinbarkeit': 0.03, 'müssen': 0.02, 'wir': 0, 'jetzt': 0.01, 'die': 0.02, 'Betreuungsstrukturen': 0.03, 'stärken': 0.04, '\u200d\u200d\u200d': 0}",positive,"[0.0039221346, 0.007346989, 0.98873085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"RT @PhilippKutter: Frühförderung und gute Kinderbetreuung sind nicht nice to have. Sie sind wichtig für die Entwicklung unserer Kinder, für…",frühförderung gut kinderbetreuung nice to have wichtig entwicklung kinder,"{'Frühförderung': 0.135, 'und': 0.27, 'gute': 0, 'Kinderbetreuung': 1.0, 'sind': 0.03, 'nicht': 0.54, 'nice': 0.17, 'to': 0.04, 'have': 0.12, 'Sie': 0, 'wichtig': 0.15, 'für': 0.03, 'die': 0.02, 'Entwicklung': 0.03, 'unserer': 0.03, 'Kinder': 0.03, '…': 0}",positive,"[0.0044595455, 0.055818297, 0.9397221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@MK3113r @SarahBuenter Es ist äusserst vermessen zu argumentieren, dass 40% der Familien leer ausgeht. Sie profitieren bereits davon, keine direkte Bundessteuer, keine Vermögenssteuer, weniger Krankenkassenprämien und Kinderbetreuungskosten zu zahlen.",äusserst vermessen argumentieren familien leeren ausgehen profitieren bereits davon direkt bundessteuer vermögenssteuer wenig krankenkassenprämien kinderbetreuungskosten zahlen,"{'Es': 0.07, 'ist': 0.07, 'äusserst': 0.16, 'vermessen': 0, 'zu': 0.07, 'argumentieren': 0.17, 'dass': 0.07, 'der': 0, 'Familien': 0, 'leer': 0, 'ausgeht': 0, 'Sie': 0, 'profitieren': 1.0, 'bereits': 1.0, 'davon': 0.060000000000000005, 'keine': 0, 'direkte': 0.16, 'Bundessteuer': 0.155, 'Vermögenssteuer': 0.1, 'weniger': 0, 'Krankenkassenprämien': 0.14250000000000002, 'und': 0.11, 'Kinderbetreuungskosten': 0.42, 'zahlen': 0}",positive,"[0.32462865, 0.31845587, 0.35691547]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @JCVPSchweiz: „Für eine langfristige und nachhaltige Sanierung der Altersvorsorge braucht es eine Erhöhung des Rentenalters. Gleichberec…,langfristig nachhaltig sanierung altersvorsorge brauchen erhöhung rentenalters gleichberec,,,,"{'„': 0, 'Für': 0, 'eine': 0, 'langfristige': 0, 'und': 0, 'nachhaltige': 0, 'Sanierung': 0, 'der': 0, 'Altersvorsorge': 0, 'braucht': 0, 'es': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'Gleichberec': 0, '…': 0}",positive,"[0.14684731, 0.11483493, 0.7383178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SchmidFederer: Rentenalter 67 oder wie man diese Reform scheitern lässt.... nicht zu fassen, was SVP, FDP und GLP hier tun. @CVP_PDC #A…",rentenalter reform scheitern lässt fassen svp fdp glp tun a,,,,"{'Rentenalter': 0.845, 'oder': 0.63, 'wie': 0.33, 'man': 0, 'diese': 0.1, 'Reform': 0.18, 'scheitern': 0.16, 'lässt': 0, '....': 0, 'nicht': 0, 'zu': 0.12, 'fassen': 0, 'was': 0, 'SVP': 0, 'FDP': 0.08, 'und': 0.1, 'GLP': 0.12, 'hier': 0.08, 'tun': 0.12, 'A': 0.08, '…': 0}",neutral,"[0.6303404, 0.02816346, 0.34149617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @DieJungeMitteCH: Heute feiern wir den ersten #Vätertag MIT #Vaterschaftsurlaub! 🥳 Väter sind für die Familien genauso wichtig. Wir sage…,heute feiern erst vätertag vaterschaftsurlaub väter familien genauso wichtig sage,,,,,,,"{'Heute': 0.07, 'feiern': 0.16, 'wir': 0, 'den': 0.07, 'ersten': 0.07, 'Vätertag': 0, 'MIT': 0.67, 'Vaterschaftsurlaub': 1.0, '🥳': 0, 'Väter': 0, 'sind': 0, 'für': 0, 'die': 0, 'Familien': 0, 'genauso': 0, 'wichtig': 0, 'Wir': 0, 'sage': 0, '…': 0}",positive,"[0.17810044, 0.010411782, 0.8114878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"@AlainS1991 @themattmueller_ @FDP_Liberalen @papizeit Einen Grund mehr, dass wir uns den Vaterschaftsurlaub leisten können. Und wenn wir weiterhin attraktive Bedindungen für die Wirtschaft bieten wollen, dann ist ein Vaterschaftsurlaub ein Muss.",grund mehr vaterschaftsurlaub leisten weiterhin attraktive bedindungen wirtschaft bieten vaterschaftsurlaub,,,,,,,"{'Einen': 0.05, 'Grund': 0, 'mehr': 0.18, 'dass': 0.16, 'wir': 0, 'uns': 0, 'den': 0, 'Vaterschaftsurlaub': 0.11000000000000001, 'leisten': 1.0, 'können': 0, 'Und': 0.19, 'wenn': 0.11, 'weiterhin': 0, 'attraktive': 0.1, 'Bedindungen': 0.09, 'für': 0.06, 'die': 0, 'Wirtschaft': 0.08, 'bieten': 0.07, 'wollen': 0.08, 'dann': 0.1, 'ist': 0.06, 'ein': 0.12, 'Muss': 0.18}",positive,"[0.001190431, 0.0011315155, 0.9976781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@themattmueller_ @FDP_Liberalen @papizeit Weshalb nicht jetzt Ja sagen zum Vaterschaftsurlaub und sich trotzdem weiterhin für die Elternzeit einsetzen (so wie @JCVPSchweiz)? Das eine schliesst das andere ja nicht aus. Wir müssen nun endlich diesen Schritt machen.,weshalb ja sagen vaterschaftsurlaub trotzdem weiterhin elternzeit einsetzen schliesst ja müssen endlich schritt,,,,,,,"{'Weshalb': 0.06, 'nicht': 0.02, 'jetzt': 0, 'Ja': 0.09, 'sagen': 0.05, 'zum': 0.035, 'Vaterschaftsurlaub': 0.545, 'und': 0.09, 'sich': 0, 'trotzdem': 0.03, 'weiterhin': 0, 'für': 0.06, 'die': 0.04, 'Elternzeit': 0.14500000000000002, 'einsetzen': 0, 'so': 0, 'wie': 0, 'Das': 0.04, 'eine': 0.04, 'schliesst': 0, 'das': 0, 'andere': 0, 'ja': 0.09, 'aus': 0, 'Wir': 0.05, 'müssen': 0.025, 'nun': 0, 'endlich': 0, 'diesen': 0.03, 'Schritt': 0.05, 'machen': 0}",neutral,"[0.84888804, 0.034448657, 0.11666335]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @ChristinaBRoth: Zwei Wochen Vaterschaftsurlaub sind kein Luxus. Die Schweiz leistet sich den viel grösseren Luxus, Frauen auszubilden,…",zwei wochen vaterschaftsurlaub luxus schweiz leisten grösseren luxus frauen ausbilden,,,,,,,"{'Zwei': 0.36, 'Wochen': 0.32, 'Vaterschaftsurlaub': 0.48, 'sind': 0.41, 'kein': 0, 'Luxus': 0.32, 'Die': 0.08, 'Schweiz': 0.07, 'leistet': 0, 'sich': 0, 'den': 0.08, 'viel': 0.22, 'grösseren': 0, 'Frauen': 0.05, 'auszubilden': 0, '…': 0}",negative,"[0.21578762, 0.74121195, 0.04300035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,RT @CVP_PDC: Der #Vaterschaftsurlaub leistet einen wichtigen Beitrag zur besseren Vereinbarkeit von Beruf &amp; Familie. Sagen wir Ja zu einer…,vaterschaftsurlaub leisten wichtig beitrag gut vereinbarkeit beruf amp familie sagen ja,,,,,,,"{'Der': 0.05, 'Vaterschaftsurlaub': 0.5, 'leistet': 0, 'einen': 0, 'wichtigen': 0.17, 'Beitrag': 0.26, 'zur': 0.045, 'besseren': 0.06, 'Vereinbarkeit': 0.09, 'von': 0, 'Beruf': 0, 'amp': 0.1, 'Familie': 0.09, 'Sagen': 0.04, 'wir': 0, 'Ja': 0, 'zu': 0.04, 'einer': 0.11, '…': 0}",positive,"[0.0013205446, 0.0011709725, 0.9975084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
