answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,sentiment_tb
50.0,75.0,57.0,0.0,neutral,@lukasreimann votierte gerade für die Einbürgerung der amerikanischen Regenbogenforelle - auch hier ist die #fdp für den Inländervorrang ;-),votierte gerade einbürgerung amerikanisch regenbogenforelle fdp inländervorrang,"{'votierte': 1.0, 'gerade': 0.15, 'für': 0.11, 'die': 0.05, 'Einbürgerung': 0.73, 'der': 0.05, 'amerikanischen': 0.04, 'Regenbogenforelle': 0.045000000000000005, 'auch': 0, 'hier': 0.09, 'ist': 0.05, 'fdp': 0, 'den': 0.05, 'Inländervorrang': 0.15}",positive,"[0.031412017, 0.0022502793, 0.96633774]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@chrugail Bein Bruchteil der Anwesenheit stellt man sich schon die Frage, warum Erfahrung keine Rolle spielen sollte. Das dies nicht abschliessend ist liegt auf der Hand. Die Schlussfolgerung ist, dass die Lohngleichheitsanalyse mit mehr als Vorsicht zu genau essen ist.",bein bruchteil anwesenheit stellen schon fragen warum erfahrung rolle spielen sollen abschliessend liegen hand schlussfolgerung lohngleichheitsanalyse mehr vorsicht genau essen,,,,"{'Bein': 0, 'Bruchteil': 0.06, 'der': 0.34, 'Anwesenheit': 0, 'stellt': 0, 'man': 0, 'sich': 0, 'schon': 0, 'die': 0.34, 'Frage': 0, 'warum': 0.05, 'Erfahrung': 0.14, 'keine': 0, 'Rolle': 0.19, 'spielen': 0.11, 'sollte': 0, 'Das': 0.34, 'dies': 0, 'nicht': 0.07, 'abschliessend': 0, 'ist': 0.58, 'liegt': 0, 'auf': 0, 'Hand': 0, 'Die': 0.34, 'Schlussfolgerung': 0.2, 'dass': 0.2, 'Lohngleichheitsanalyse': 1.0, 'mit': 0.16, 'mehr': 0.07, 'als': 0, 'Vorsicht': 0.36, 'zu': 0.39, 'genau': 0, 'essen': 0}",negative,"[0.32749036, 0.58249974, 0.09000993]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Soll jemand der 10 Jahre 50 % arbeitet und dann auf 100 % wechselt gleich viel verdienen wie jemand der immer 100 % arbeitete? (Die Berufserfahrung wird bei der Lohngleichheitsstudien vernachlässigt) https://t.co/Q1F0mQTlMY,jemand jahre arbeiten wechseln gleichen verdienen jemand immer arbeiten berufserfahrung lohngleichheitsstudien vernachlässigen,,,,"{'Soll': 0.06, 'jemand': 0.07, 'der': 0.05, 'Jahre': 0.05, 'arbeitet': 0.14, 'und': 0.03, 'dann': 0.04, 'auf': 0, 'wechselt': 0, 'gleich': 0.05, 'viel': 0, 'verdienen': 0.07, 'wie': 0, 'immer': 0.05, 'arbeitete': 0.07, 'Die': 0.05, 'Berufserfahrung': 0.15, 'wird': 0, 'bei': 0, 'Lohngleichheitsstudien': 0.605, 'vernachlässigt': 0.22}",neutral,"[0.61974674, 0.023585081, 0.35666814]",,,,,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,negative,@sennpascal @narimoldi @EberdorferRamon @MichaSchnydr @JFSchwyz @smokingbianco2 @phil_liberal @meliracine @jungfreisinnSG @jfsolothurn @jf_tg Ich finde das scytl system ein Problem und soll innerhalb von 3 Jahren abgelöst werden. Es braucht vorgaben für ein e-voting 2.0. Bis zum volksentscheid vergehen 2 Jahre. Deshalb eher ja.,finden scytl system problem innerhalb jahren ablösen brauchen vorgaben e voting volksentscheid vergehen jahre deshalb eher ja,,,,,,,"{'Ich': 0.08, 'finde': 0, 'das': 0, 'scytl': 0.11, 'system': 0.17, 'ein': 0, 'Problem': 0.19, 'und': 0.05, 'soll': 0, 'innerhalb': 0, 'von': 0, 'Jahren': 0.24, 'abgelöst': 0.1, 'werden': 0, 'Es': 0.05, 'braucht': 0, 'vorgaben': 0, 'für': 0.23, 'e-voting': 0, '2.0.': 0, 'Bis': 0, 'zum': 0.15, 'volksentscheid': 0.3, 'vergehen': 0.17, 'Jahre': 0.24, 'Deshalb': 0.59, 'eher': 0, 'ja': 0.05}",neutral,"[0.57486993, 0.3809273, 0.044202678]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @ICTswitzerland: Wichtige E-Government-Basisdienste voranbringen, statt Prestigeprojekt E-Voting durchboxen! Vollständige Stellungnahme…",wichtig e government basisdienste voranbringen statt prestigeprojekt e voting durchboxen vollständig stellungnahme,,,,,,,"{'Wichtige': 0.18, 'E-Government-Basisdienste': 0.165, 'voranbringen': 0, 'statt': 0.18, 'Prestigeprojekt': 0.31, 'E-Voting': 0, 'durchboxen': 0.15, 'Vollständige': 0, 'Stellungnahme': 0, '…': 0}",positive,"[0.22968239, 0.1367943, 0.63352334]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"@JorgoA @CryptoPartyLU @vecirex @slash_hup @verathom @narimoldi @eVoteMoratorium @CCC_CH @scytl @postschweiz Wenn man alle IT Projekte nach Potential priorisieren würde, wäre e-Voting nicht dort wo es ist. Es ist eine Prestigeprojekt.",all it projekte potential priorisieren e voting prestigeprojekt,,,,,,,"{'Wenn': 0, 'man': 0, 'alle': 0, 'IT': 0.11, 'Projekte': 0.06, 'nach': 0, 'Potential': 0.19, 'priorisieren': 0, 'würde': 0.62, 'wäre': 0.62, 'e-Voting': 0, 'nicht': 1.0, 'dort': 0, 'wo': 1.0, 'es': 0.18, 'ist': 0.18, 'Es': 0.18, 'eine': 0, 'Prestigeprojekt': 0.18}",negative,"[0.14485675, 0.7902632, 0.0648801]",,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,negative,@0x536E30 Bei dieser Diskussion Sicherheit bei e-Voting geht völlig vergessen was für Sicherheitsprobleme das jetzige System hat! Schon mal überlegt wie Ergebnisse übermittelt werden? Bitte objektiv vergleichen und dann gegenüberstellen.,diskussion sicherheit e voting gehen völlig vergessen sicherheitsprobleme jetzige system schon mal überlegen ergebnisse übermitteln bitte objektiv vergleichen gegenüberstellen,,,,,,,"{'Bei': 0, 'dieser': 0.16, 'Diskussion': 0.21, 'Sicherheit': 0, 'bei': 0, 'e-Voting': 0, 'geht': 0, 'völlig': 0, 'vergessen': 0.39, 'was': 0, 'für': 0, 'Sicherheitsprobleme': 0.1, 'das': 0, 'jetzige': 0.33, 'System': 0.28, 'hat': 0, 'Schon': 0, 'mal': 0, 'überlegt': 0, 'wie': 0.12, 'Ergebnisse': 0.29, 'übermittelt': 0.18, 'werden': 0, 'Bitte': 0, 'objektiv': 0, 'vergleichen': 0.1, 'und': 0.11, 'dann': 0.06, 'gegenüberstellen': 0}",neutral,"[0.5180156, 0.4622124, 0.019771941]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,Mein Vorstoss 17.3852 „öffentlicher Härtetest für e-Voting“ ist ein riesiger Erfolg! 2500 Hacker weltweit werden das System auf Herz und Nieren testen! Das ist mal ein echter Test! https://t.co/qcE44eBxGW,vorstoss öffentlich härten e voting riesig erfolg hacker weltweit system herz nieren testen mal echt test,,,,,,,"{'Mein': 0.1, 'Vorstoss': 0, '17.3852': 0, '„': 0, 'öffentlicher': 0, 'Härtetest': 0, 'für': 0, 'e-Voting': 0, '“': 0, 'ist': 0, 'ein': 0, 'riesiger': 0, 'Erfolg': 0, 'Hacker': 0, 'weltweit': 0, 'werden': 0, 'das': 0, 'System': 0, 'auf': 0, 'Herz': 0, 'und': 0, 'Nieren': 0, 'testen': 0, 'Das': 0, 'mal': 0, 'echter': 0, 'Test': 0}",positive,"[0.12646204, 0.1758837, 0.6976543]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@AdrianAulbach @narimoldi @eVoteMoratorium Das mit den knappen Abstimmungen ist ein schlechtes Argument bei 2 % ungültigen Stimmen. Bei e-Voting gibt es keine ungültigen. Man sollte objektiv alle Kanäle vergleichen und nicht isoliert einen.,knapp abstimmungen schlecht argument ungültig stimmen e voting geben ungültig sollen objektiv all kanäle vergleichen isolieren,,,,,,,"{'Das': 0.07, 'mit': 0.1, 'den': 0.07, 'knappen': 0, 'Abstimmungen': 0.12, 'ist': 0.11, 'ein': 0.14, 'schlechtes': 0.11, 'Argument': 0.18, 'bei': 0, 'ungültigen': 0.16, 'Stimmen': 0, 'Bei': 0, 'e-Voting': 0, 'gibt': 0.13, 'es': 0.11, 'keine': 0, 'Man': 0, 'sollte': 0.37, 'objektiv': 0, 'alle': 0, 'Kanäle': 0.23, 'vergleichen': 0.32, 'und': 0.28, 'nicht': 0.41, 'isoliert': 0, 'einen': 0.06}",negative,"[0.30783385, 0.61169434, 0.08047179]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@narimoldi @eVoteMoratorium Ich bin heute für eine Begrenzung. D.h. Nur Auslandschweizer oder 30% des Elektorats was zu ca. 6 % e-Votingstimmen führt. Die Vernehmlassungsantworten oder das Ergebnis des Cybertests könnten aber meine Meinung ändern (zugunsten Moratorium).,heute begrenzung d h auslandschweizer elektorats ca e votingstimmen führen vernehmlassungsantworten ergebnis cybertests meinung ändern zugunsten moratorium,,,,,,,"{'Ich': 0.17, 'bin': 0, 'heute': 0.15, 'für': 0.09, 'eine': 0, 'Begrenzung': 0.12, 'D.h': 0, 'Nur': 0, 'Auslandschweizer': 0.09, 'oder': 0.17, 'des': 0, 'Elektorats': 0.18, 'was': 0, 'zu': 0.18, 'ca.': 0, 'e-Votingstimmen': 0, 'führt': 0.22, 'Die': 0.2, 'Vernehmlassungsantworten': 0.21500000000000002, 'das': 0.23, 'Ergebnis': 0.14, 'Cybertests': 0, 'könnten': 0.41, 'aber': 0, 'meine': 0.17, 'Meinung': 0, 'ändern': 0.235, 'zugunsten': 0.2, 'Moratorium': 0.68}",neutral,"[0.7854812, 0.15198006, 0.062538676]",,,,,,,,,,,,,,,,neutral
