answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
100.0,100.0,100.0,0.85,neutral,RT @CVP_PDC: Kinderbetreuungsstätten sind nicht nur in der ausserordentlichen Lage wichtig für das Funktionieren unserer Gesellschaft. Der…,kinderbetreuungsstätten ausserordentlichen lage wichtig funktionieren gesellschaft,"{'Kinderbetreuungsstätten': 0.31, 'sind': 0.23, 'nicht': 0.12, 'nur': 0.12, 'in': 0.07, 'der': 1.0, 'ausserordentlichen': 0.2, 'Lage': 0, 'wichtig': 0.27, 'für': 0.1, 'das': 0, 'Funktionieren': 0, 'unserer': 0.08, 'Gesellschaft': 0.08, 'Der': 1.0, '…': 0}",positive,"[0.003936876, 0.009370942, 0.98669213]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"RT @CVP_PDC: Der Nationalrat hat soeben der #CVP-Lösung von 2⃣Wochen #Vaterschaftsurlaub 🍼zugestimmt!🎉
«Zwei Wochen ermöglichen eine besser…",nationalrat soeben cvp lösung wochen vaterschaftsurlaub zustimmen zwei wochen ermöglichen gut,,,,"{'Der': 0.1, 'Nationalrat': 0.07500000000000001, 'hat': 0, 'soeben': 0.06, 'der': 0.1, 'CVP-Lösung': 0.22999999999999998, 'von': 0, '2⃣Wochen': 0, 'Vaterschaftsurlaub': 0.74, 'zugestimmt': 0, '«': 0, 'Zwei': 0, 'Wochen': 0, 'ermöglichen': 0, 'eine': 0, 'besser': 0, '…': 0}",positive,"[0.40537703, 0.08911385, 0.5055091]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Zwei Wochen bezahlten Vaterschaftsurlaub sind dank der #CVP zum Greifen nah. 🍼 Die WBK-N stimmt mit 15 zu 10 Stimmen der CVP-L…,zwei wochen bezahlen vaterschaftsurlaub danken cvp greifen nah wbk n stimmen stimmen cvp l,,,,"{'Zwei': 0.22, 'Wochen': 0.56, 'bezahlten': 1.0, 'Vaterschaftsurlaub': 0.99, 'sind': 0.45, 'dank': 0.275, 'der': 0.08, 'CVP': 0.08, 'zum': 0.07, 'Greifen': 0.26, 'nah': 0, 'Die': 0.08, 'WBK-N': 0, 'stimmt': 0, 'mit': 0.06, 'zu': 0.06, 'Stimmen': 0, 'CVP-L': 0, '…': 0}",positive,"[0.31363514, 0.020511279, 0.6658536]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @CVP_PDC_PPD_PCD: Totalrevision Bürgerrecht auf dem richtigen Weg: Das Schweizer Bürgerrecht ist ein Privileg. Eine Einbürgerung... h ...,totalrevision bürgerrecht richtig schweizer bürgerrecht privileg einbürgerung h,,,,,,,"{'Totalrevision': 0.05, 'Bürgerrecht': 0, 'auf': 0.03, 'dem': 0.02, 'richtigen': 0.05, 'Weg': 0, 'Das': 0.02, 'Schweizer': 0.05, 'ist': 0.18, 'ein': 0, 'Privileg': 0.8, 'Eine': 0, 'Einbürgerung': 1.0, '...': 0, 'h': 0.17}",positive,"[0.033984575, 0.015831996, 0.95018345]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @JosefWiederkehr: @MarcoRomanoPPD #srfarena Deine Voten bringen es auf den Punkt, bravo! Nein zum staatlichen Mindestlohn!",srfarena voten bringen punkt bravo nein staatlich mindestlohn,,,,,,,,,,"{'srfarena': 0.16, 'Deine': 0.11, 'Voten': 0, 'bringen': 0, 'es': 0, 'auf': 0, 'den': 0.24, 'Punkt': 0.13, 'bravo': 0.34, 'Nein': 1.0, 'zum': 0.62, 'staatlichen': 0.21, 'Mindestlohn': 0.29}",positive,"[0.009931777, 0.0019335574, 0.9881346]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @CVP_PDC: Die aktuellen Kampfflugzeuge sind veraltet und müssen ersetzt werden, damit unser Land auch nach 2030 einen wirksamen Schutz a…",aktuell kampfflugzeuge veralten müssen ersetzen land wirksam schutz a,,,,,,,,,,,,,"{'Die': 1.0, 'aktuellen': 1.0, 'Kampfflugzeuge': 0, 'sind': 0.42, 'veraltet': 0, 'und': 0.31, 'müssen': 0.03, 'ersetzt': 0.5, 'werden': 0, 'damit': 0.02, 'unser': 0.07, 'Land': 0, 'auch': 0, 'nach': 0.06, 'einen': 0, 'wirksamen': 0.09, 'Schutz': 0.12, 'a': 0, '…': 0}",negative,"[0.098916404, 0.86397004, 0.03711364]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @sgbfss: Der Nationalrat hat die Motion «Digitalisierung und Weiterentwicklung der Schweizer Notrufe» angenommen. So wird es auch #Gehör…,nationalrat motion digitalisierung weiterentwicklung schweizer notrufe annehmen gehör,,,,,,,,,,,,,,,,"{'Der': 0.18, 'Nationalrat': 0.065, 'hat': 0, 'die': 0.18, 'Motion': 0.49, '«': 0, 'Digitalisierung': 0, 'und': 0, 'Weiterentwicklung': 0, 'der': 0, 'Schweizer': 0, 'Notrufe': 0, '»': 0, 'angenommen': 0, 'So': 0, 'wird': 0, 'es': 0, 'auch': 0, 'Gehör': 0, '…': 0}",positive,"[0.3107293, 0.03104111, 0.65822965]",,,,neutral
100.0,100.0,100.0,1.0,positive,RT @andre_marty_: @sgbfss Und gleich nochmals tolle News. Der Bundesrat empfielt auch die Motion zur #Digitalisierung und Weiterentwicklung…,gleichen nochmals toll news bundesrat empfielt motion digitalisierung weiterentwicklung,,,,,,,,,,,,,,,,"{'Und': 0.32, 'gleich': 0, 'nochmals': 0.03, 'tolle': 0.07, 'News': 0.1, 'Der': 0.12, 'Bundesrat': 0.09, 'empfielt': 0.21, 'auch': 0.07, 'die': 0.12, 'Motion': 0.29, 'zur': 0.12, 'Digitalisierung': 0, 'und': 0.32, 'Weiterentwicklung': 0.235, '…': 0}",positive,"[0.046566844, 0.005444784, 0.9479884]",,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Mitte_Centre: Die Schweiz ist bei der Digitalisierung im Gesundheitswesen noch nicht auf Kurs. In einer Motion fordert @RuthHumbel vom…,schweiz digitalisierung gesundheitswesen kurs motion fordern,,,,,,,,,,,,,,,,"{'Die': 0.06, 'Schweiz': 0.09, 'ist': 0.12, 'bei': 0, 'der': 0.06, 'Digitalisierung': 0, 'im': 0, 'Gesundheitswesen': 0.2, 'noch': 0, 'nicht': 0.12, 'auf': 0.06, 'Kurs': 0.08, 'In': 0.54, 'einer': 0, 'Motion': 0.7, 'fordert': 0, 'vom': 0.53, '…': 0}",neutral,"[0.78272825, 0.08693029, 0.1303415]",,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @Elisabeth_S_S: Rösti will die Entwicklungshilfe streichen, damit möglichst viele Asylbewerber kommen und die SVP ihr Wahlkampfthema nic…",rösti entwicklungshilfe streichen möglichst asylbewerber kommen svp wahlkampfthema nic,,,,,,,,,,,,,,,,,,,"{'Rösti': 0, 'will': 0, 'die': 0.1, 'Entwicklungshilfe': 0.81, 'streichen': 0.51, 'damit': 0.51, 'möglichst': 0, 'viele': 0, 'Asylbewerber': 0.19, 'kommen': 0.18, 'und': 0.12, 'SVP': 0, 'ihr': 0, 'Wahlkampfthema': 0.11, 'nic': 0, '…': 0}",negative,"[0.2228256, 0.7208759, 0.056298457]",neutral
