answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @anbarrile: Vorwärts mit dem Cannabis-Versuch: 101 überparteiliche Unterschriften für Studie zum regulierten Verkauf eingereicht. Motion…,vorwärts cannabis versuch überparteilich unterschriften studie regulieren verkauf einreichen motion,"{'Vorwärts': 0.15, 'mit': 0.08, 'dem': 0.11, 'Cannabis-Versuch': 0.19, 'überparteiliche': 0, 'Unterschriften': 0.22, 'für': 0.07, 'Studie': 0.12, 'zum': 0.11, 'regulierten': 0.08, 'Verkauf': 0.07, 'eingereicht': 0.33, 'Motion': 1.0, '…': 0}",neutral,"[0.9090658, 0.0077553666, 0.0831789]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NZZ: Warum es Zeit für die Legalisierung von Cannabis ist. Ein Kommentar von @HehliSimon. https://t.co/rbA2i3IAg7 https://t.co/7ulGEvJi…,warum zeit legalisierung cannabis kommentar,"{'Warum': 1.0, 'es': 0, 'Zeit': 0.55, 'für': 0, 'die': 0, 'Legalisierung': 0, 'von': 0.2, 'Cannabis': 0.28, 'ist': 0, 'Ein': 0.13, 'Kommentar': 0.29}",neutral,"[0.89562887, 0.012158453, 0.09221264]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @j_tissot: Kompromiss im Sinn der @SVPch @FDP_Liberalen wäre: Rentenalter 67, Kürzung Witwenrenten, massive Beitragsbelastung im BVG #sr…",kompromiss sinn rentenalter kürzung witwenrenten massiv beitragsbelastung bvg sr,,,,"{'Kompromiss': 0.23, 'im': 0, 'Sinn': 0, 'der': 0.05, 'wäre': 0, 'Rentenalter': 0.815, 'Kürzung': 0.56, 'Witwenrenten': 0.16499999999999998, 'massive': 0.07, 'Beitragsbelastung': 0.07, 'BVG': 0.11, 'sr': 0.09, '…': 0}",positive,"[0.21211137, 0.31293896, 0.47494963]",,,,,,,,,,,,,,,,negative
50.0,75.0,71.0,0.15,neutral,"Retweeted SP Schweiz (@spschweiz):

NR hält an Rentenalter 67 fest. Jetzt sollte wirklich allen klar sein, dass... https://t.co/do4TAFGINY",retweeted sp schweiz nr halten rentenalter fest sollen wirklich klaren,,,,"{'Retweeted': 0.29, 'SP': 0.07, 'Schweiz': 0.14, '):': 0, 'NR': 0, 'hält': 0, 'an': 0, 'Rentenalter': 0.6499999999999999, 'fest': 0, 'Jetzt': 0.11, 'sollte': 0.07, 'wirklich': 0.11, 'allen': 0, 'klar': 0.11, 'sein': 0, 'dass': 0.07, '...': 0}",positive,"[0.26358166, 0.016661778, 0.71975654]",,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,"Retweeted SP Schweiz (@spschweiz):

NR hält an Rentenalter 67 fest. Jetzt sollte wirklich allen klar sein, dass... https://t.co/Hjuzooh8VL",retweeted sp schweiz nr halten rentenalter fest sollen wirklich klaren,,,,"{'Retweeted': 0.29, 'SP': 0.07, 'Schweiz': 0.14, '):': 0, 'NR': 0, 'hält': 0, 'an': 0, 'Rentenalter': 0.6499999999999999, 'fest': 0, 'Jetzt': 0.11, 'sollte': 0.07, 'wirklich': 0.11, 'allen': 0, 'klar': 0.11, 'sein': 0, 'dass': 0.07, '...': 0}",positive,"[0.26358166, 0.016661778, 0.71975654]",,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.4333333333333333,neutral,"RT @spschweiz: NR hält an Rentenalter 67 fest. Jetzt sollte wirklich allen klar sein, dass die SR-Variante die einzig akzeptable Lösung ist…",nr halten rentenalter fest sollen wirklich klaren sr variante einzig akzeptabel lösung,,,,"{'NR': 0, 'hält': 0, 'an': 0, 'Rentenalter': 0.31, 'fest': 0, 'Jetzt': 0.07, 'sollte': 0.03, 'wirklich': 0.03, 'allen': 0, 'klar': 0.05, 'sein': 0, 'dass': 0.05, 'die': 0.02, 'SR-Variante': 0, 'einzig': 0.04, 'akzeptable': 0.03, 'Lösung': 0.09, 'ist': 0.03, '…': 0}",positive,"[0.01990007, 0.0031252322, 0.9769747]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Retweeted SP Schweiz (@spschweiz):

Altersreform: Die Bürgerlichen wollen das Rentenalter erhöhen, wir erhöhen... http://t.co/h0EAZwrFTG",retweeted sp schweiz altersreform bürgerlich rentenalter erhöhen erhöhen,,,,"{'Retweeted': 0.24, 'SP': 0.04, 'Schweiz': 0.08, '):': 0, 'Altersreform': 0.5800000000000001, 'Die': 0.55, 'Bürgerlichen': 0, 'wollen': 1.0, 'das': 0, 'Rentenalter': 0.7150000000000001, 'erhöhen': 0, 'wir': 0, '...': 0}",positive,"[0.13665809, 0.13830228, 0.72503966]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @spschweiz: Altersreform: Die Bürgerlichen wollen das Rentenalter erhöhen, wir erhöhen die AHV-Renten! http://t.co/P3XR6VE7jB http://t.c…",altersreform bürgerlich rentenalter erhöhen erhöhen ahv renten,,,,"{'Altersreform': 0.53, 'Die': 0.16, 'Bürgerlichen': 0, 'wollen': 1.0, 'das': 0, 'Rentenalter': 0.58, 'erhöhen': 0, 'wir': 0, 'die': 0.16, 'AHV-Renten': 0}",positive,"[0.19745621, 0.087477095, 0.71506673]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @ChristianLevrat: Und diese Partei will progressiv und modern sein? @FDP_Liberalen sagt Nein zum Vaterschaftsurlaub (heute in der WBK-S)…,partei progressiv modern sagen nein vaterschaftsurlaub heute wbk s,,,,,,,"{'Und': 0.07, 'diese': 0.04, 'Partei': 0.09, 'will': 0, 'progressiv': 0.07, 'und': 0.07, 'modern': 0.09, 'sein': 0, 'sagt': 1.0, 'Nein': 1.0, 'zum': 0.41000000000000003, 'Vaterschaftsurlaub': 0.43000000000000005, 'heute': 0.12, 'in': 0.03, 'der': 0.05, 'WBK-S': 0, '…': 0}",neutral,"[0.6010743, 0.07545202, 0.32347378]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @GewerkschaftSGB: Pensionskassen-Renten sinken innert wenigen Jahren um 20%. 👎

Was machen @SVPch und @FDP_Liberalen? 🙈 

Sie planen ein…",pensionskassen renten sinken innert wenig jahren planen,,,,,,,,,,"{'Pensionskassen-Renten': 0.065, 'sinken': 0, 'innert': 0.04, 'wenigen': 0.02, 'Jahren': 0.04, 'um': 1.0, 'Was': 0, 'machen': 0.04, 'und': 0.06, 'Sie': 0, 'planen': 0, 'ein': 0, '…': 0}",neutral,"[0.7368109, 0.18300605, 0.080182984]",,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,"RT @Swisstransplant: Dankbar für alle Betroffenen über Debatte im Nationalrat zur #Organspende. So viel Anteilnahme, Menschlichkeit und Wil…",dankbar all betroffen debatte nationalrat organspende anteilnahme menschlichkeit wil,,,,,,,,,,,,,"{'Dankbar': 0, 'für': 0.06, 'alle': 0, 'Betroffenen': 0, 'über': 0, 'Debatte': 0.38, 'im': 0, 'Nationalrat': 0.17, 'zur': 0.55, 'Organspende': 0.69, 'So': 0.2, 'viel': 0, 'Anteilnahme': 0.12, 'Menschlichkeit': 0.09, 'und': 0.08, 'Wil': 0, '…': 0}",positive,"[0.0033569713, 0.0014007612, 0.99524224]",,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @spschweiz: Nach der unbegreiflichen Aktion des Ständerates in der Frühlingssession, das Gesetz für #Lohngleichheit zurückzuweisen, muss…",unbegreiflichen aktion ständerates frühlingssession gesetz lohngleichheit zurückweisen,,,,,,,,,,,,,,,,"{'Nach': 0.08, 'der': 0.09, 'unbegreiflichen': 0.2, 'Aktion': 0.04, 'des': 0, 'Ständerates': 0.095, 'in': 0.03, 'Frühlingssession': 0.075, 'das': 0, 'Gesetz': 0.34, 'für': 0.51, 'Lohngleichheit': 0, 'zurückzuweisen': 0.185, 'muss': 0.08, '…': 0}",positive,"[0.45585528, 0.06711222, 0.47703257]",,,,negative
