answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Die US-Steuerbehörde verdient Milliarden mit #Cannabis. In der Schweiz liesse sich dadurch z. B. die #AHV finanzieren. Ein Vorschlag der @jglpCH 👈 @bazonline @Tobias_Voegeli https://t.co/ingQFKMwVO,us steuerbehörde verdienen milliarden cannabis schweiz liesse dadurch z b ahv finanzieren vorschlag,"{'Die': 0.39, 'US-Steuerbehörde': 0.135, 'verdient': 0, 'Milliarden': 0.23, 'mit': 0, 'Cannabis': 0.23, 'In': 0.1, 'der': 0.39, 'Schweiz': 0.2, 'liesse': 0, 'sich': 0, 'dadurch': 0.38, 'z.': 0, 'B.': 0, 'die': 0.39, 'AHV': 0.39, 'finanzieren': 0.71, 'Ein': 0.94, 'Vorschlag': 0}",neutral,"[0.7448485, 0.024473002, 0.2306785]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @jglpBLBS: Was hältst du von der #Liberalisierung von #Cannabis? #legalizeHimbeereis #umfrage #jglp #glp,halten liberalisierung cannabis legalizehimbeereis umfrage jglp glp,"{'Was': 0, 'hältst': 0, 'du': 0, 'von': 0, 'der': 0.08, 'Liberalisierung': 0.25, 'Cannabis': 1.0, 'legalizeHimbeereis': 0, 'umfrage': 0, 'jglp': 0.08, 'glp': 0.08}",neutral,"[0.67722875, 0.01792514, 0.30484608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @p_wolfgan9: Einziger Profiteur von #Cannabis -Verbot ist Schwarzmarkt. Mit #Legalisierung werden in erster Linie Probleme gelöst, nicht…",einzig profiteur cannabis verbieten schwarzmarkt legalisierung erst linie probleme lösen,"{'Einziger': 0.09, 'Profiteur': 0, 'von': 0, 'Cannabis': 0.07, '-Verbot': 0, 'ist': 0.06, 'Schwarzmarkt': 0.03, 'Mit': 0, 'Legalisierung': 0.22, 'werden': 0, 'in': 0, 'erster': 0, 'Linie': 0, 'Probleme': 0.64, 'gelöst': 0, 'nicht': 1.0, '…': 0}",neutral,"[0.8125018, 0.060990654, 0.12650761]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @rudolf_mohler: Man darf gegen ein höheres #Rentenalter sein. Aber man sollte sich selbst und anderen keine Ausreden à la Arbeitsmarkt v…,dürfen hoch rentenalter sollen ausreden à la arbeitsmarkt v,,,,"{'Man': 0, 'darf': 0, 'gegen': 1.0, 'ein': 0.56, 'höheres': 0.5, 'Rentenalter': 0.765, 'sein': 0, 'Aber': 0.19, 'man': 0, 'sollte': 0, 'sich': 0, 'selbst': 0, 'und': 0, 'anderen': 0.04, 'keine': 0, 'Ausreden': 0.44, 'à': 0, 'la': 0.07, 'Arbeitsmarkt': 0.18, 'v': 0, '…': 0}",neutral,"[0.65046215, 0.11773888, 0.23179899]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@ParlCH ist nicht bewusst, welche Brisanz das Thema Generationengerechtigkeit hat. #AHV #Rentenalter #Pflegekosten
Keine #Reform in Sicht «... dann steigen die Jungen aus dem Generationenvertrag aus» Dabei haben Jungparteien gute Ansätze @jglpCH @bazonline https://t.co/WaGttsO4mk",bewusst welch brisanz thema generationengerechtigkeit ahv rentenalter pflegekosten reform sicht steigen jung generationenvertrag dabei jungparteien gut ansätze,,,,"{'ist': 0.07, 'nicht': 0.05, 'bewusst': 0, 'welche': 0, 'Brisanz': 0.07, 'das': 0, 'Thema': 0, 'Generationengerechtigkeit': 0.125, 'hat': 0, 'AHV': 0.82, 'Rentenalter': 0.96, 'Pflegekosten': 0.3, 'Keine': 0, 'Reform': 0.1, 'in': 0.04, 'Sicht': 0, '«': 0, '...': 0, 'dann': 0, 'steigen': 0, 'die': 0, 'Jungen': 0, 'aus': 0, 'dem': 0, 'Generationenvertrag': 0, '»': 0, 'Dabei': 0, 'haben': 0, 'Jungparteien': 0, 'gute': 0, 'Ansätze': 0}",positive,"[0.4394932, 0.04054523, 0.51996154]",,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.54,neutral,"@ninorussano @TanjaSoland @grunliberalebs @bazonline Die @spschweiz unterbindet jegliche Diskussion zur einzig vernünftigen Lösung: Anpassung des Rentenalters. Die MwSt-Kuh lässt sich nicht ewigs melken.

Die PK ergänzt die AHV und ist ein wichtiges Element zur Verhinderung von Altersarmut. Aber Urlaub ist schon sehr toll...",unterbinden jeglich diskussion einzig vernünftig lösung anpassung rentenalters mwst kuh lässt ewigs melken pk ergänzen ahv wichtig element verhinderung altersarmut urlaub schon tollen,,,,"{'Die': 0.04, 'unterbindet': 0.24, 'jegliche': 0.04, 'Diskussion': 0.13, 'zur': 0.04, 'einzig': 0.09, 'vernünftigen': 0, 'Lösung': 0.44, 'Anpassung': 1.0, 'des': 0, 'Rentenalters': 0.24, 'MwSt-Kuh': 0.1, 'lässt': 0, 'sich': 0, 'nicht': 0, 'ewigs': 0, 'melken': 0.04, 'PK': 0.05, 'ergänzt': 0, 'die': 0.04, 'AHV': 0.07, 'und': 0.03, 'ist': 0.03, 'ein': 0, 'wichtiges': 0.04, 'Element': 0.07, 'Verhinderung': 0, 'von': 0, 'Altersarmut': 0.24, 'Aber': 0.04, 'Urlaub': 0, 'schon': 0, 'sehr': 0, 'toll': 0, '...': 0}",positive,"[0.06905002, 0.0375409, 0.8934091]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,@BabaSteinemann Was bleibt der Jugend anderes übrig als zu streiken? Ihre Sorgen zur Zukunft werden im @chparlament nicht ernst genommen und systematisch vor sich hergeschoben #CO2Gesetz #Rentenalter #Demografie https://t.co/2DDIlo8Qtn @jglpCH @20min @jglpBLBS,bleiben jugend übrig streiken sorgen zukunft ernst nehmen systematisch herschieben co2gesetz rentenalter demografie,,,,"{'Was': 0, 'bleibt': 0, 'der': 0.03, 'Jugend': 0, 'anderes': 0, 'übrig': 0, 'als': 0, 'zu': 0, 'streiken': 0, 'Ihre': 0.04, 'Sorgen': 0, 'zur': 0.03, 'Zukunft': 0.04, 'werden': 0, 'im': 0, 'nicht': 0.14, 'ernst': 0, 'genommen': 0.07, 'und': 0.11, 'systematisch': 0.42, 'vor': 0, 'sich': 0, 'hergeschoben': 0, 'CO2Gesetz': 0, 'Rentenalter': 0.39999999999999997, 'Demografie': 0}",negative,"[0.4893878, 0.4971556, 0.013456661]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @rudolf_mohler: In Westeuropa wird sich das #Rentenalter zwischen 2020 und 2030 mehrheitlich auf 67 Jahren einpendeln. Auch die #Schweiz…,westeuropa rentenalter mehrheitlich jahren einpendeln schweiz,,,,"{'In': 0.62, 'Westeuropa': 0.16999999999999998, 'wird': 1.0, 'sich': 0, 'das': 0, 'Rentenalter': 0.865, 'zwischen': 0.38, 'und': 0.07, 'mehrheitlich': 0, 'auf': 0, 'Jahren': 0, 'einpendeln': 0.765, 'Auch': 0, 'die': 0.23, 'Schweiz': 0.16, '…': 0}",neutral,"[0.66432464, 0.18247773, 0.15319763]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @rudolf_mohler: 17 OECD-Länder haben #Rentenalter 67/68, obwohl diese Länder eine tiefere Lebenserwartung bei der Geburt kennen als die…",oecd länder rentenalter obwohl länder tief lebenserwartung geburt kennen,,,,"{'OECD-Länder': 0.155, 'haben': 1.0, 'Rentenalter': 0.595, 'obwohl': 0.32, 'diese': 0, 'Länder': 0.08, 'eine': 0, 'tiefere': 0, 'Lebenserwartung': 0.105, 'bei': 0.04, 'der': 0.04, 'Geburt': 0.09, 'kennen': 0.11, 'als': 0, 'die': 0.04, '…': 0}",neutral,"[0.63467276, 0.047871657, 0.3174556]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @mferberNZZ: Altersvorsorge 2020: Rentenalter 67 wird unausweichlich https://t.co/1xXUfN25CM via @NZZ #Renten #Finanzen #Altersvorsorge,altersvorsorge rentenalter unausweichlich via renten finanzen altersvorsorge,,,,"{'Altersvorsorge': 0.395, 'Rentenalter': 0.37, 'wird': 0.31, 'unausweichlich': 0.28, 'via': 0.11, 'Renten': 0.08, 'Finanzen': 0.06}",neutral,"[0.66832393, 0.021847876, 0.30982822]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
