answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Es ist erfreulich, dass die WBK-N vorschlägt, die Anstossfinanzierung des Bundes zur familienergänzenden Kinderbetreuung in…",erfreulich wbk n vorschlagen anstossfinanzierung bundes familienergänzenden kinderbetreuung,"{'Es': 0.03, 'ist': 0.03, 'erfreulich': 0, 'dass': 0.24, 'die': 0.09, 'WBK-N': 0, 'vorschlägt': 0, 'Anstossfinanzierung': 0, 'des': 0, 'Bundes': 0.12, 'zur': 0.09, 'familienergänzenden': 0.68, 'Kinderbetreuung': 1.0, 'in': 0.3, '…': 0}",neutral,"[0.9120102, 0.020489909, 0.067499794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Finanzhilfen für Kinderbetreuung für vier Jahre verlängert! Jetzt die Chance packen - auch in #Schaffhausen . Jedes Kind soll eine öffentliche Tagesschulen besuchen können.,finanzhilfen kinderbetreuung vier jahre verlängern chance packen schaffhausen jed kind öffentlich tagesschulen besuchen,"{'Finanzhilfen': 0.46, 'für': 0.58, 'Kinderbetreuung': 1.0, 'vier': 0.18, 'Jahre': 0.33, 'verlängert': 1.0, 'Jetzt': 0.1, 'die': 0.07, 'Chance': 0.17, 'packen': 0, 'auch': 0.07, 'in': 0.06, 'Schaffhausen': 0.13, 'Jedes': 0, 'Kind': 0, 'soll': 0, 'eine': 0, 'öffentliche': 0.06, 'Tagesschulen': 0.03, 'besuchen': 0, 'können': 0.035}",positive,"[0.17166403, 0.071545884, 0.7567901]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#Anstossfinanzierung verlängert! Der Nationalrat setzt ein Zeichen für weitere Kinderbetreuungsplätze.,anstossfinanzierung verlängern nationalrat setzen zeichen weit kinderbetreuungsplätze,"{'Anstossfinanzierung': 0.39, 'verlängert': 0.61, 'Der': 0.31, 'Nationalrat': 0.185, 'setzt': 0, 'ein': 0, 'Zeichen': 0, 'für': 0.14, 'weitere': 0, 'Kinderbetreuungsplätze': 0.295}",positive,"[0.045367803, 0.019002391, 0.9356298]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Nationalrätin @MartinaMunz zur Kinderbetreuung: SP gibt den Takt an. http://t.co/1CzYmo9yOK,nationalrätin kinderbetreuung sp geben takt,"{'Nationalrätin': 0.27, 'zur': 0.34, 'Kinderbetreuung': 0.68, 'SP': 0.49, 'gibt': 0, 'den': 0.34, 'Takt': 0, 'an': 0}",positive,"[0.0100090625, 0.0020037435, 0.9879872]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Endlich! Das neu zusammengesetzte Nationalrat bewilligt den Experimentierartikel mit Cannabis. Damit kann Cannabis zu therapeutischen Zweck endlich eingesetzt werden. https://t.co/52pudD5z2J,endlich neu zusammengesetzt nationalrat bewilligen experimentierartikel cannabis cannabis therapeutisch zweck endlich einsetzen,,,,"{'Endlich': 0.22, 'Das': 0.09, 'neu': 0, 'zusammengesetzte': 0, 'Nationalrat': 0.07500000000000001, 'bewilligt': 0, 'den': 0.09, 'Experimentierartikel': 0, 'mit': 0.11, 'Cannabis': 1.0, 'Damit': 0, 'kann': 0.3, 'zu': 0, 'therapeutischen': 0.43, 'Zweck': 0, 'endlich': 0, 'eingesetzt': 0.36, 'werden': 0}",positive,"[0.38959944, 0.008502179, 0.6018984]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"#Cannabis: Fehlentscheid! Ergänzen wir das Gesetz mit einem Experimentierartikel, so wird wenigstens Studie legal https://t.co/3UmWMzi7jV",cannabis fehlentscheid ergänzen gesetz experimentierartikel wenigstens studie legal,,,,"{'Cannabis': 0.59, 'Fehlentscheid': 1.0, 'Ergänzen': 0, 'wir': 0, 'das': 0, 'Gesetz': 0.1, 'mit': 0.03, 'einem': 0, 'Experimentierartikel': 0, 'so': 0, 'wird': 0, 'wenigstens': 0.085, 'Studie': 0.04, 'legal': 0.13}",negative,"[0.0042347764, 0.99069595, 0.0050692433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @SamiraMarti: Der Bundesrat will keinen Vaterschaftsurlaub. Wie kann man nur so ignorant sein. Junge Väter, wehrt euch! @diefeministen @…",bundesrat vaterschaftsurlaub ignorant junge väter wehren,,,,,,,"{'Der': 0.15, 'Bundesrat': 0.19, 'will': 0, 'keinen': 0, 'Vaterschaftsurlaub': 0.765, 'Wie': 0, 'kann': 0.16, 'man': 0, 'nur': 0, 'so': 0.16, 'ignorant': 0.53, 'sein': 0, 'Junge': 0.05, 'Väter': 0.04, 'wehrt': 0, 'euch': 0.09, '…': 0}",negative,"[0.048417374, 0.91267276, 0.038909946]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Mit der Frauenmehrheit war der Bundesrat devinitiv mutiger. Der #Vaterschaftsurlaub abgelehnt, und dafür Steuererleichterungen für Superverdienende! Wann begreift auch der Bundesrat, dass sich Familuenpolitik nicht mit Steuerpolitik machen lässt!",frauenmehrheit bundesrat devinitiv mutig vaterschaftsurlaub ablehnen dafür steuererleichterungen superverdienende wann begreifen bundesrat familuenpolitik steuerpolitik lässt,,,,,,,"{'Mit': 0.03, 'der': 0.06, 'Frauenmehrheit': 0.065, 'war': 0, 'Bundesrat': 0.065, 'devinitiv': 0, 'mutiger': 0, 'Der': 0.06, 'Vaterschaftsurlaub': 0.45, 'abgelehnt': 0, 'und': 0.17, 'dafür': 0, 'Steuererleichterungen': 0.05, 'für': 0.06, 'Superverdienende': 0, 'Wann': 0.05, 'begreift': 0.04, 'auch': 0, 'dass': 0.05, 'sich': 0, 'Familuenpolitik': 0.045, 'nicht': 0, 'mit': 0.03, 'Steuerpolitik': 0.05, 'machen': 0, 'lässt': 0}",negative,"[0.07415402, 0.56852716, 0.35731888]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Gratulation Cilag! Acht Wochen #Vaterschaftsurlaub ist ein klares Signal von der Wirtschaft. Nachahmer gewünscht. https://t.co/dtCsjb3Nkw,gratulation cilag acht wochen vaterschaftsurlaub klar signal wirtschaft nachahmer wünschen,,,,,,,"{'Gratulation': 0.14, 'Cilag': 0.18, 'Acht': 0.15, 'Wochen': 0.21, 'Vaterschaftsurlaub': 0.81, 'ist': 0.29, 'ein': 0, 'klares': 0.13, 'Signal': 0.22, 'von': 0.08, 'der': 0.07, 'Wirtschaft': 0, 'Nachahmer': 0.2, 'gewünscht': 0}",positive,"[0.042539187, 0.016458208, 0.9410026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @wecollectCH: 👏🏻👏🏻👏🏻 Vaterschaftsurlaub jetzt! Heute reichen wir Unterschriften für Volksinitiative ein. Treffpunkt: 15:00 Heiliggeistki…,vaterschaftsurlaub heute reich unterschriften volksinitiative treffpunkt heiliggeistki,,,,,,,"{'Vaterschaftsurlaub': 0.95, 'jetzt': 0.61, 'Heute': 0.19, 'reichen': 0, 'wir': 0, 'Unterschriften': 0.09, 'für': 0.05, 'Volksinitiative': 0.08, 'ein': 0, 'Treffpunkt': 0.08, '15:00': 0, 'Heiliggeistki': 0.28, '…': 0}",positive,"[0.36488312, 0.010904014, 0.62421286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
