answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,positive,"@MandarinPepi @BlueBpp @CVP_PDC @AGmur @papizeit Genau, weil Kinderbetreuung ja Ferien sind. Und als Arbeitgeber finde ich's super, wenn meine Mitarbeiter ihre hart verdienten Ferien für Kinderbetreuung hergeben - sie brauchen sich ja nicht zu erholen in den Ferien...

*ironioff*",genau kinderbetreuung ja ferien arbeitgeber finden s super mitarbeiter hart verdienen ferien kinderbetreuung hergeben brauchen ja erholen ferien ironioff,"{'Genau': 0.03, 'weil': 1.0, 'Kinderbetreuung': 0.03, 'ja': 0.04, 'Ferien': 0, 'sind': 0, 'Und': 0.04, 'als': 0.04, 'Arbeitgeber': 0.03, 'finde': 0, 'ich': 0.03, ""'s"": 0, 'super': 0, 'wenn': 0, 'meine': 0.02, 'Mitarbeiter': 0.01, 'ihre': 0.02, 'hart': 0, 'verdienten': 0.02, 'für': 0.03, 'hergeben': 0.015, 'sie': 0, 'brauchen': 0.01, 'sich': 0, 'nicht': 0, 'zu': 0.01, 'erholen': 0, 'in': 0, 'den': 0.01, '...': 0, 'ironioff': 0.04}",positive,"[0.017145569, 0.0043693436, 0.97848505]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@PattiBasler @CVP_PDC Die Partycommunity ist auch eine Familie, schon 'Sister Sledge' sangen 'We are family'

Oder:

Die Partycommunity übernimmt jetzt die Kinderbetreuung.",partycommunity familie schon sister sledge singen we are family partycommunity übernehmen kinderbetreuung,"{'Die': 0.22, 'Partycommunity': 0, 'ist': 1.0, 'auch': 0.15, 'eine': 0, 'Familie': 0.12, 'schon': 0, 'Sister': 0.05, 'Sledge': 0.06, 'sangen': 0.22, 'We': 0.07, 'are': 0.11, 'family': 0.12, 'Oder': 0.31, 'übernimmt': 0, 'jetzt': 1.0, 'die': 0.22, 'Kinderbetreuung': 0}",positive,"[0.3819596, 0.11268479, 0.50535566]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@MFrauchigerSVP @BlonderLeu @ArminZueger @wegwaerts2 @NordlightCk Du legst Deinem tweet zugrunde, dass Du nur das Modell als Richtig empfindest, bei dem die Eltern vollumfänglich die Kinderbetreuung übernehmen. Ansonsten muss man selber schauen, ohne Hilfe des Staates?",legen tweet zugrunde modell richtig empfinden eltern vollumfänglich kinderbetreuung übernehmen ansonsten selber schauen hilfe staates,"{'Du': 0, 'legst': 0, 'Deinem': 0, 'tweet': 0.11, 'zugrunde': 0, 'dass': 0.09, 'nur': 0.09, 'das': 0.09, 'Modell': 0.07, 'als': 0.05, 'Richtig': 0, 'empfindest': 0, 'bei': 0, 'dem': 0.16499999999999998, 'die': 0.24, 'Eltern': 0.05, 'vollumfänglich': 0, 'Kinderbetreuung': 0, 'übernehmen': 0.08, 'Ansonsten': 0.49, 'muss': 0.09, 'man': 0, 'selber': 0, 'schauen': 0.33, 'ohne': 0.38, 'Hilfe': 0.2, 'des': 0, 'Staates': 0.67}",neutral,"[0.7615116, 0.18638495, 0.052103426]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@MFrauchigerSVP @BlonderLeu @ArminZueger @wegwaerts2 @NordlightCk Ok, dann habe ich Dich missverstanden: ist Deine Aussage, dass das gemeinsame Arbeitspensum von Eltern 100% nicht übersteigen sollte, damit die Kinderbetreuung durch die Eltern ebenfalls zu 100% gedeckt ist?",ok missverstanden aussagen gemeinsam arbeitspensum eltern übersteigen sollen kinderbetreuung eltern ebenfalls decken,"{'Ok': 0.1, 'dann': 0.09, 'habe': 0, 'ich': 0.1, 'Dich': 0.17, 'missverstanden': 0, 'ist': 0.19, 'Deine': 0.18, 'Aussage': 0.25, 'dass': 0.31, 'das': 0.31, 'gemeinsame': 0, 'Arbeitspensum': 0.16, 'von': 0, 'Eltern': 0.11, 'nicht': 0.17, 'übersteigen': 0.14, 'sollte': 0.15, 'damit': 0, 'die': 0.12, 'Kinderbetreuung': 0.65, 'durch': 0, 'ebenfalls': 0, 'zu': 0, 'gedeckt': 0.28}",neutral,"[0.8878497, 0.07636368, 0.035786543]",,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"Und Alkohol, Nikotin, #Feinstaub haben keine Nebenwirkungen, die wir hinterfragen müssten? Für die Gesundheit von #Städterinnen und #Städtern wären Tempo 20 und 30 Zonen in den Städten dringender notwendig als Diskussionen pro / contra #Cannabis. https://t.co/SVHO4rjosr",alkohol nikotin feinstaub nebenwirkungen hinterfragen müssten gesundheit städterinnen städtern tempo zonen städten dringend notwendig diskussionen pro contra cannabis,,,,"{'Und': 0.03, 'Alkohol': 0.02, 'Nikotin': 0.05, 'Feinstaub': 0.035, 'haben': 0.01, 'keine': 0, 'Nebenwirkungen': 0.015, 'die': 0.03, 'wir': 0, 'hinterfragen': 0, 'müssten': 0.02, 'Für': 0.09, 'Gesundheit': 0, 'von': 0, 'Städterinnen': 0, 'und': 0.03, 'Städtern': 0.05, 'wären': 0.025, 'Tempo': 0, 'Zonen': 0.05, 'in': 0.03, 'den': 0.03, 'Städten': 0.05, 'dringender': 0.05, 'notwendig': 0, 'als': 0, 'Diskussionen': 0.14, 'pro': 0, 'contra': 0.44, 'Cannabis': 1.0}",neutral,"[0.89712495, 0.035613224, 0.0672618]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Das Rentenalter ist wohl dann erreicht, wenn man nicht mehr reformfähig ist...
⁦@sbv⁩ ⁦@CVP_PDC⁩

«Das ist extrem wirtschaftsfeindlich» https://t.co/mf9DHCHCe4",rentenalter wohl erreichen mehr reformfähig extrem wirtschaftsfeindlich,,,,,,,"{'Das': 0, 'Rentenalter': 0.875, 'ist': 0, 'wohl': 0, 'dann': 0, 'erreicht': 0, 'wenn': 0, 'man': 0, 'nicht': 0, 'mehr': 0, 'reformfähig': 0, '...': 0, '\u2066\u2069': 0, '«': 0, 'extrem': 0, 'wirtschaftsfeindlich': 0, '»': 0}",negative,"[0.048167735, 0.9310876, 0.020744601]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @papizeit: Los! Geh abstimmen. Jetzt. Ja zu 2 Wochen #Vaterschaftsurlaub - Ja zur Vorlage 4. Es ist Zeit für diesen wichtigen Schritt! h…,los geh abstimmen ja wochen vaterschaftsurlaub ja vorlage zeit wichtig schritt h,,,,,,,,,,"{'Los': 0, 'Geh': 0.06, 'abstimmen': 0.21, 'Jetzt': 0.07, 'Ja': 0, 'zu': 0.07, 'Wochen': 0.73, 'Vaterschaftsurlaub': 0.79, 'zur': 0.07, 'Vorlage': 0, '4.': 0, 'Es': 0.03, 'ist': 0.03, 'Zeit': 0.04, 'für': 0.04, 'diesen': 0.03, 'wichtigen': 0.06, 'Schritt': 0.09, 'h': 0.11, '…': 0}",positive,"[0.051079858, 0.008976754, 0.9399433]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"Wenn einem als Unternehmer das Wohl der Mitarbeiter*innen nicht am Herzen liegt, hat man kein unternehmerisches Gespür.

@lohnabzuegeNein: AbeR DaS SchAdEt dEr WirTscHaFt!

Eben diese Mitarbeiter*innen und deren Kinder SIND die Wirtschaft!
&gt; JA @papizeit #Vaterschaftsurlaub",unternehmer wohl mitarbeiter innen herzen liegen unternehmerisches gespür schaden wirtschaft eben mitarbeiter innen kinder wirtschaft gt ja vaterschaftsurlaub,,,,,,,,,,"{'Wenn': 0, 'einem': 0, 'als': 0.02, 'Unternehmer': 0.04, 'das': 0.04, 'Wohl': 0.02, 'der': 0.04, 'Mitarbeiter*innen': 0.05, 'nicht': 0.01, 'am': 0, 'Herzen': 0, 'liegt': 0, 'hat': 0, 'man': 0, 'kein': 0.04, 'unternehmerisches': 0.07, 'Gespür': 0.06, 'AbeR': 0.05, 'DaS': 0.04, 'SchAdEt': 0.08, 'dEr': 0.04, 'WirTscHaFt': 0, 'Eben': 0, 'diese': 0, 'und': 0.04, 'deren': 0, 'Kinder': 0.05, 'SIND': 0.05, 'die': 0.04, 'Wirtschaft': 0, 'gt': 0.12, 'JA': 0.04, 'Vaterschaftsurlaub': 0.82}",positive,"[0.011332062, 0.004640384, 0.9840276]",,,,,,,,,,,,,negative
75.0,75.0,71.0,0.35,neutral,"@lohnabzuegeNein @narimoldi Als KMU befürworte ich @papizeit!
Schon gemerkt: Alle Massnahmen zum Arbeitnehmerschutz haben stets zu mehr Wohlstand geführt. Durchschnittlich fällt ein Vater IN SEINEM GANZEN LEBEN gerade einmal 3 Wochen wegen Vaterschaftsurlaub aus - das entspricht einem einzigen WK!",kmu befürworten schon merken all massnahmen arbeitnehmerschutz stets mehr wohlstand führen durchschnittlich fällen vater ganz leben gerade wochen wegen vaterschaftsurlaub entsprechen einzig wk,,,,,,,,,,"{'Als': 0, 'KMU': 0, 'befürworte': 0.04, 'ich': 0.01, 'Schon': 0, 'gemerkt': 0.02, 'Alle': 0.03, 'Massnahmen': 0.05, 'zum': 0.09, 'Arbeitnehmerschutz': 0.05, 'haben': 0.055, 'stets': 0.02, 'zu': 0.09, 'mehr': 0.05, 'Wohlstand': 0.02, 'geführt': 0, 'Durchschnittlich': 0.1, 'fällt': 0, 'ein': 0, 'Vater': 0.1, 'IN': 0.03, 'SEINEM': 0.04, 'GANZEN': 0, 'LEBEN': 0.08, 'gerade': 0.04, 'einmal': 0, 'Wochen': 0.04, 'wegen': 0, 'Vaterschaftsurlaub': 0.645, 'aus': 0, 'das': 0.15, 'entspricht': 0.08499999999999999, 'einem': 0, 'einzigen': 0.05, 'WK': 0.03}",negative,"[0.28765282, 0.56928486, 0.14306228]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"RT @JCVPSchweiz: Die #JCVP setzt sich aktiv dafür ein, damit wir heute den letzten Vatertag ohne #Vaterschaftsurlaub feiern können! 💪🏼 Der…",jcvp setzen aktiv dafür heute letzt vatertag vaterschaftsurlaub feiern,,,,,,,,,,"{'Die': 0.11, 'JCVP': 0.16, 'setzt': 0, 'sich': 0, 'aktiv': 0, 'dafür': 0, 'ein': 0, 'damit': 0, 'wir': 0, 'heute': 0.11, 'den': 0.11, 'letzten': 0.04, 'Vatertag': 0.06, 'ohne': 0.78, 'Vaterschaftsurlaub': 0.65, 'feiern': 0.09, 'können': 0, 'Der': 0.11, '…': 0}",negative,"[0.07168793, 0.82934374, 0.098968245]",,,,,,,,,,,,,positive
