answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@CBaltishauser ""Typische Frauenberufe"" sind die systemrelevant. Pfleger*innen, Kinderbetreuung, Lehrer*innen Gerade Covid hat gezeigt, dass es diese Berufe sind, die am nötigsten sind, um unsere Gesellschaft am Laufen zu halten. Die Wertung dieser Berufe ist das Problem, nicht wer sie ausführt.",typische frauenberufe systemrelevant pfleger innen kinderbetreuung lehrer innen gerade covid zeigen berufe nötig gesellschaft laufen halten wertung berufe problem wer ausführen,"{'Typische': 0.05, 'Frauenberufe': 0.05, 'sind': 0.01, 'die': 0.02, 'systemrelevant': 0.13, 'Pfleger*innen': 0, 'Kinderbetreuung': 1.0, 'Lehrer*innen': 0.13, 'Gerade': 0, 'Covid': 0.1, 'hat': 0, 'gezeigt': 0.14, 'dass': 0.02, 'es': 0.02, 'diese': 0, 'Berufe': 0, 'am': 0, 'nötigsten': 0.01, 'um': 0, 'unsere': 0.01, 'Gesellschaft': 0.02, 'Laufen': 0.01, 'zu': 0.01, 'halten': 0.01, 'Die': 0.02, 'Wertung': 0, 'dieser': 0, 'ist': 0.02, 'das': 0.02, 'Problem': 0.13, 'nicht': 0.03, 'wer': 0.02, 'sie': 0, 'ausführt': 0}",positive,"[0.2263343, 0.16183926, 0.6118264]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,negative,"Wow @ThierryBurkart: Eine Vespa, um Frauen zu beeindrucken? Das Bild des Jägers ist ja sowas von enthüllend. Oberflächlichkeiten aus dem letzten Jahrhundert. Ausserdem, was nützt mir eine offen gehaltene Türe wenn dahinter höheres Rentenalter und Altersarmut warten? https://t.co/hAEXqGxre5",wow vespa frauen beeindrucken bild jägers ja sowas enthüllen oberflächlichkeiten letzt jahrhundert ausserdem nützen offen gehalten türe dahinter hoch rentenalter altersarmut warten,,,,"{'Wow': 0.04, 'Eine': 0, 'Vespa': 0.07, 'um': 0.36, 'Frauen': 0.06, 'zu': 0.05, 'beeindrucken': 0.05, 'Das': 0.05, 'Bild': 0.05, 'des': 0.04, 'Jägers': 0, 'ist': 0.25, 'ja': 0.37, 'sowas': 0, 'von': 0.04, 'enthüllend': 0.1, 'Oberflächlichkeiten': 0.16, 'aus': 0, 'dem': 0.05, 'letzten': 0.03, 'Jahrhundert': 0.05, 'Ausserdem': 0, 'was': 0, 'nützt': 0, 'mir': 0.05, 'eine': 0, 'offen': 0.08, 'gehaltene': 0, 'Türe': 0.09, 'wenn': 0.25, 'dahinter': 0.1, 'höheres': 1.0, 'Rentenalter': 0.6, 'und': 0.37, 'Altersarmut': 0.29, 'warten': 0}",neutral,"[0.5742164, 0.2811193, 0.14466427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"WE👏 ALREADY👏 SAID👏 NO!👏 
Keine Erhöhung des Frauen*rentenalters, wenn Frauen* bereits 61% der unbezahlten Arbeit verrichten. https://t.co/g8xCs1eDV8",we already said no erhöhung frauen rentenalters frauen bereits unbezahlt arbeit verrichten,,,,"{'WE': 0.08, 'ALREADY': 0.08, 'SAID': 0.34, 'NO': 1.0, 'Keine': 0, 'Erhöhung': 1.0, 'des': 0, 'Frauen*rentenalters': 0.069375, 'wenn': 0.43, 'Frauen': 0.04, 'bereits': 0.08, 'der': 0, 'unbezahlten': 0.09, 'Arbeit': 0.03, 'verrichten': 0}",positive,"[0.22350693, 0.029955966, 0.74653715]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @jGruene_jVertEs: Bei #AV2020 Nein ist klar: Neue Reform muss ohne Rentenaltererhöhungen auskommen!,av2020 nein klaren neue reform rentenaltererhöhungen auskommen,,,,"{'Bei': 0, 'AV2020': 0.13, 'Nein': 0.12, 'ist': 0.06, 'klar': 0.2, 'Neue': 0.08, 'Reform': 0.24, 'muss': 0, 'ohne': 1.0, 'Rentenaltererhöhungen': 0.605, 'auskommen': 0.13}",positive,"[0.33058694, 0.2402852, 0.42912784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @Nicola_Siegrist: #FDP steht übrigens auch für #FuckTheParents.

 #Vaterschaftsurlaub",fdp stehen übrigens fucktheparents vaterschaftsurlaub,,,,,,,"{'FDP': 0.15, 'steht': 0.09, 'übrigens': 0, 'auch': 0.12, 'für': 0.08, 'FuckTheParents': 0.4, 'Vaterschaftsurlaub': 0.75}",positive,"[0.027450753, 0.015230923, 0.9573183]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @LewinLempert: Es ist schon etwas absurd: Die gleichen Kreise, die einen minimalen Vaterschaftsurlaub von zwei Wochen verteufeln, stimme…",schon absurd gleich kreise minimal vaterschaftsurlaub zwei wochen verteufeln stimme,,,,,,,"{'Es': 0, 'ist': 0, 'schon': 0, 'etwas': 0, 'absurd': 0.26, 'Die': 0.09, 'gleichen': 0.18, 'Kreise': 0.1, 'die': 0.09, 'einen': 0.67, 'minimalen': 0, 'Vaterschaftsurlaub': 0.895, 'von': 0, 'zwei': 0.14, 'Wochen': 0.24, 'verteufeln': 0.56, 'stimme': 0, '…': 0}",negative,"[0.4249294, 0.5374227, 0.03764788]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @ConnyBruegger: Wisst ihr noch, damals, als wir darüber diskutierten, ob die Schweizer Wirtschaft einen zweiwöchigen Vaterschaftsurlaub…",wisst damals darüber diskutieren schweizer wirtschaft zweiwöchigen vaterschaftsurlaub,,,,,,,"{'Wisst': 0, 'ihr': 0, 'noch': 0, 'damals': 0, 'als': 0, 'wir': 0, 'darüber': 0, 'diskutierten': 0, 'ob': 0, 'die': 0.39, 'Schweizer': 0.18, 'Wirtschaft': 0, 'einen': 0.13, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.32999999999999996, '…': 0}",neutral,"[0.9563736, 0.037944525, 0.005681888]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @SamiraMarti: Der Bundesrat will keinen Vaterschaftsurlaub. Wie kann man nur so ignorant sein. Junge Väter, wehrt euch! @diefeministen @…",bundesrat vaterschaftsurlaub ignorant junge väter wehren,,,,,,,"{'Der': 0.15, 'Bundesrat': 0.19, 'will': 0, 'keinen': 0, 'Vaterschaftsurlaub': 0.765, 'Wie': 0, 'kann': 0.16, 'man': 0, 'nur': 0, 'so': 0.16, 'ignorant': 0.53, 'sein': 0, 'Junge': 0.05, 'Väter': 0.04, 'wehrt': 0, 'euch': 0.09, '…': 0}",negative,"[0.048417374, 0.91267276, 0.038909946]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @Guzinkar: Hurra! Unser Land, das 1971 das Frauenstimmrecht einführte, jede Woche einen versuchten Femizid zählt, wo Lohngleichheit eine…",hurra land frauenstimmrecht einführen jed woche versuchen femizid zählen lohngleichheit,,,,,,,,,,"{'Hurra': 0, 'Unser': 0.09, 'Land': 0, 'das': 0, 'Frauenstimmrecht': 0.09, 'einführte': 0.1, 'jede': 0.36, 'Woche': 0.45, 'einen': 0.41, 'versuchten': 0, 'Femizid': 0.57, 'zählt': 0.55, 'wo': 1.0, 'Lohngleichheit': 0.88, 'eine': 0.38, '…': 0}",positive,"[0.48899436, 0.0076309666, 0.5033747]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @suter_gabriela: In kleinen Schrittchen hin zum Ziel #Lohngleichheit: Unser Postulat ""Unterzeichnung der Charta Lohngleichheit"" hat der…",klein schrittchen ziel lohngleichheit postulat unterzeichnung charta lohngleichheit,,,,,,,,,,"{'In': 0.13, 'kleinen': 0.22, 'Schrittchen': 0, 'hin': 0, 'zum': 0.21, 'Ziel': 0, 'Lohngleichheit': 0.25, 'Unser': 0.58, 'Postulat': 0.77, 'Unterzeichnung': 0.25, 'der': 0.21, 'Charta': 0.77, 'hat': 0, '…': 0}",neutral,"[0.67290753, 0.04329095, 0.28380156]",,,,,,,,,,,,,,,,,,,,,,neutral
