answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.7,negative,@AlainS1991 @JohLeut @ChristaMarkwald @fdp_bern @Avenir_Suisse @Jungfreisinnige @NZZ Wie viel der Steuerentlastung (in Franken / prozentual) entfällt denn auf den pauschalen Kinderabzug und wie viel auf den zielgerichteten für die externe Kinderbetreuung? Hier liegt das Problem mit dieser #Mogelpackung.,steuerentlastung franken prozentual entfallen pauschal kinderabzug zielgerichteten externe kinderbetreuung liegen problem mogelpackung,"{'Wie': 0, 'viel': 0, 'der': 0.42, 'Steuerentlastung': 0.1, 'in': 0.04, 'Franken': 0, 'prozentual': 0.05, 'entfällt': 0, 'denn': 0, 'auf': 0, 'den': 0.42, 'pauschalen': 0.04, 'Kinderabzug': 0.03, 'und': 0.09, 'wie': 0.06, 'zielgerichteten': 0.13, 'für': 0.07, 'die': 0.42, 'externe': 0.08, 'Kinderbetreuung': 0.1, 'Hier': 0.41, 'liegt': 0, 'das': 0, 'Problem': 1.0, 'mit': 0.66, 'dieser': 0.3, 'Mogelpackung': 0}",negative,"[0.05704929, 0.93183315, 0.011117544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@AlainS1991 @JohLeut @ChristaMarkwald @fdp_bern 1. Verdienen zwischen 100k - 200k ist nicht das gleiche wie ein steuerbares Einkommen von 100k - 200k. 2. Es geht bei der Vorlage primär um pauschale, nicht zielgerichtete Kinderabzüge, nicht um solche für externe Kinderbetreuung.",verdienen 100k 200k gleich steuerbares einkommen 100k 200k gehen vorlage primär pauschale zielgerichtete kinderabzüge externe kinderbetreuung,"{'1.': 0, 'Verdienen': 0, 'zwischen': 0.02, '100k': 0.04, '200k': 0.05, 'ist': 0.03, 'nicht': 0.19, 'das': 0, 'gleiche': 0.01, 'wie': 0, 'ein': 0, 'steuerbares': 0, 'Einkommen': 0.07, 'von': 0, '2.': 0, 'Es': 0.03, 'geht': 0, 'bei': 0, 'der': 0.03, 'Vorlage': 0, 'primär': 0, 'um': 0.03, 'pauschale': 0.055, 'zielgerichtete': 0.08, 'Kinderabzüge': 0, 'solche': 0, 'für': 0.41, 'externe': 1.0, 'Kinderbetreuung': 1.0}",neutral,"[0.91999406, 0.059176784, 0.02082923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@morvjn Rentenaltererhöhung? Senkung Mindestumwandlungssatz? Privatisierung Postfinance? Liberalisierung des Arbeitsmarkts? Freihandelsabkommen?,rentenaltererhöhung senkung mindestumwandlungssatz privatisierung postfinance liberalisierung arbeitsmarkts freihandelsabkommen,,,,"{'Rentenaltererhöhung': 0.265, 'Senkung': 0.17, 'Mindestumwandlungssatz': 0.08, 'Privatisierung': 0.11, 'Postfinance': 0.18, 'Liberalisierung': 0.56, 'des': 0, 'Arbeitsmarkts': 0.085, 'Freihandelsabkommen': 0.8}",neutral,"[0.8502883, 0.1439214, 0.0057903384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @ClaudeChatelai1: Kommt die AHV-Steuervorlage durch, ist das höhere Frauenrentenalter vom Tisch und die AHV-Revision auf der langen Bank…",kommen ahv steuervorlage hoch frauenrentenalter tisch ahv revision lang bank,,,,"{'Kommt': 0.1, 'die': 0.06, 'AHV-Steuervorlage': 0.185, 'durch': 0.14, 'ist': 0.22, 'das': 0, 'höhere': 1.0, 'Frauenrentenalter': 0.7324999999999999, 'vom': 0.06, 'Tisch': 0.14, 'und': 0.12, 'AHV-Revision': 0, 'auf': 0.06, 'der': 0.06, 'langen': 0.04, 'Bank': 0, '…': 0}",negative,"[0.37868273, 0.5650805, 0.056236744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Es braucht dringend eine echte Reform der #AHV (u.a. Angleichung Rentenalter, #Flexibilisierung,  #Schuldenbremse). Auch…",brauchen dringen echte reform ahv u a angleichung rentenalter flexibilisierung schuldenbremse,,,,"{'Es': 0.05, 'braucht': 0, 'dringend': 0, 'eine': 0, 'echte': 0.06, 'Reform': 0.42, 'der': 0.31, 'AHV': 0.2, 'u.a.': 0, 'Angleichung': 0, 'Rentenalter': 0.775, 'Flexibilisierung': 0.26, 'Schuldenbremse': 0, 'Auch': 0.16, '…': 0}",positive,"[0.06001687, 0.013408468, 0.9265746]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @cwasi: Die @spschweiz will laut #Pardini nach dem #Kuhhandel in der #Steuervorlage17 sogar das Rentenalter senken und die Renten erhöhe…,laut pardini kuhhandel steuervorlage17 sogar rentenalter senken renten erhöhen,,,,"{'Die': 0.41, 'will': 0, 'laut': 0.20500000000000002, 'Pardini': 0.06, 'nach': 0.12, 'dem': 0.365, 'Kuhhandel': 0.12, 'in': 0.05, 'der': 0.41, 'Steuervorlage17': 0.14500000000000002, 'sogar': 0.62, 'das': 0, 'Rentenalter': 0.73, 'senken': 0, 'und': 0.4, 'die': 0.41, 'Renten': 0.23, 'erhöhe': 0.44, '…': 0}",neutral,"[0.5540616, 0.29625866, 0.14967968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@thomas_ley Sorry, wenn die Angaben im Artikel stimmen (200'000 Jahreslohn, 35-Stunden-Woche und Rentenalter 56) kann beim besten Willen nicht von ""knausern"" die Rede sein.",sorry angaben artikel stimmen jahreslohn stunden woche rentenalter beim gut willen knausern rede,,,,"{'Sorry': 0.06, 'wenn': 0.03, 'die': 0.02, 'Angaben': 0, 'im': 0, 'Artikel': 0.05, 'stimmen': 0, ""200'000"": 0, 'Jahreslohn': 0.095, '35-Stunden-Woche': 0.13, 'und': 0.14, 'Rentenalter': 0.9550000000000001, 'kann': 0, 'beim': 0.02, 'besten': 0.09, 'Willen': 0, 'nicht': 0, 'von': 0, 'knausern': 0, 'Rede': 0, 'sein': 0}",positive,"[0.4605548, 0.014372196, 0.525073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @kathrinbertschy: „(...) Statt das Rentenalter der Frauen durch alle Böden zu verteidigen, sollte man unser patriarchales Vorsorgesystem…",statt rentenalter frauen all böden verteidigen sollen patriarchales vorsorgesystem,,,,"{'„': 0, '...': 0, 'Statt': 0, 'das': 0, 'Rentenalter': 0, 'der': 0, 'Frauen': 0, 'durch': 0, 'alle': 0, 'Böden': 0, 'zu': 0, 'verteidigen': 0, 'sollte': 0, 'man': 0, 'unser': 0, 'patriarchales': 0, 'Vorsorgesystem': 0, '…': 0}",neutral,"[0.5399372, 0.23570952, 0.22435327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @Juerg_Grossen: Das Rentenalter muss angepasst werden - aber in einer separaten Vorlage. Getraut Euch @FDP_Liberalen, beerdigt mit uns d…",rentenalter angepasst separat vorlage trauen beerdigen d,,,,"{'Das': 0.13, 'Rentenalter': 0.615, 'muss': 0.13, 'angepasst': 0, 'werden': 0, 'aber': 0.42, 'in': 0.28, 'einer': 0, 'separaten': 0.25, 'Vorlage': 0.33, 'Getraut': 0, 'Euch': 0, 'beerdigt': 0, 'mit': 0, 'uns': 0, 'd': 0.09, '…': 0}",neutral,"[0.5268044, 0.3411579, 0.13203768]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"@MoeLindgren @LeaKusano Ich teile die Einschätzung, dass hier wohl eine/die entscheidende Erklärung für Karriere-/Lohnunterschiede liegt. Ob 2 Wochen Vaterschaftsurlaub etwas ändern ist aber fraglich, bei den Frauen sind es 14 Wochen und dazu oft noch mal gleich lang unbezahlter Urlaub.",teile einschätzung wohl entscheidend erklärung karriere lohnunterschiede liegen wochen vaterschaftsurlaub ändern fraglich frauen wochen oft mal gleichen langen unbezahlt urlaub,,,,,,,"{'Ich': 0.02, 'teile': 0.06, 'die': 0.03, 'Einschätzung': 0.05, 'dass': 0.04, 'hier': 0, 'wohl': 0, 'eine': 0, 'entscheidende': 0, 'Erklärung': 0.05, 'für': 0.09, 'Karriere-/Lohnunterschiede': 0.051250000000000004, 'liegt': 0, 'Ob': 0, 'Wochen': 0.03, 'Vaterschaftsurlaub': 0.16, 'etwas': 0, 'ändern': 0.09, 'ist': 0.02, 'aber': 0, 'fraglich': 1.0, 'bei': 0, 'den': 0.03, 'Frauen': 0.04, 'sind': 0, 'es': 0.02, 'und': 0.03, 'dazu': 0, 'oft': 0, 'noch': 0, 'mal': 0, 'gleich': 0.03, 'lang': 0, 'unbezahlter': 0.05, 'Urlaub': 0}",negative,"[0.029278096, 0.96504986, 0.005672045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @4Senna: Ich bin ja schon lange für eine #Elternzeit statt #Vaterschaftsurlaub - dafür gibt es auch viele liberale Gründe! Wie lange wer…,ja schon lang elternzeit statt vaterschaftsurlaub dafür geben liberale gründe lang wer,,,,,,,"{'Ich': 0.04, 'bin': 0, 'ja': 0, 'schon': 0, 'lange': 0.12, 'für': 0.03, 'eine': 0, 'Elternzeit': 0.14, 'statt': 0.81, 'Vaterschaftsurlaub': 0.18, 'dafür': 0, 'gibt': 0.05, 'es': 0, 'auch': 0.13, 'viele': 0, 'liberale': 0.08, 'Gründe': 0.07, 'Wie': 0, 'wer': 0.08, '…': 0}",neutral,"[0.48864034, 0.19111994, 0.32023972]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @4Senna: Was ich schon 2015 in der #NZZ gefordert habe: Ein Eltern- statt #Vaterschaftsurlaub https://t.co/k7DgphKwG8 via @NZZ,schon nzz fordern eltern statt vaterschaftsurlaub via,,,,,,,"{'Was': 0, 'ich': 0.05, 'schon': 0, 'in': 0.11, 'der': 0.15, 'NZZ': 0.18, 'gefordert': 0, 'habe': 0, 'Ein': 0, 'Eltern-': 0, 'statt': 0.47, 'Vaterschaftsurlaub': 0.61, 'via': 0.36}",neutral,"[0.65521806, 0.028446272, 0.31633568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @LeenaRaass: Ein hitziges, aber auch unterhaltsames Podium an der @unibern zur #Organspende.
Für mich ist weiterhin klar, dass die Wider…",hitzig unterhaltsam podium organspende weiterhin klaren widern,,,,,,,,,,"{'Ein': 0.06, 'hitziges': 0.07, 'aber': 0.04, 'auch': 0.06, 'unterhaltsames': 0.27, 'Podium': 0.1, 'an': 0, 'der': 0.21, 'zur': 0.155, 'Organspende': 0.125, 'Für': 0, 'mich': 0.06, 'ist': 0.06, 'weiterhin': 0, 'klar': 0.14, 'dass': 0.41, 'die': 0.21, 'Wider': 0, '…': 0}",positive,"[0.08063542, 0.06333417, 0.85603034]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
