answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @gorgesabine: Gesucht für Repo Radio SRF: Menschen, die nun schnell Lösungen für ihre Kinderbetreuung finden müssen: weil Grosseltern al…",suchen repo radio srf menschen schnellen lösungen kinderbetreuung finden müssen grosseltern al,"{'Gesucht': 0, 'für': 0.27, 'Repo': 0.06, 'Radio': 0.08, 'SRF': 0.05, 'Menschen': 0.1, 'die': 0, 'nun': 0, 'schnell': 0, 'Lösungen': 0.22, 'ihre': 0.2, 'Kinderbetreuung': 1.0, 'finden': 0.07, 'müssen': 0.035, 'weil': 0.06, 'Grosseltern': 0.11, 'al': 0.03, '…': 0}",positive,"[0.16845895, 0.076373845, 0.7551672]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @Blickch: Kein Zusatzgeld für Kinderbetreuungsplätze: Arbeitgeber kritisieren Krippen-Bremser im Bundesrat https://t.co/4EIWvZYz7R https…,zusatzgeld kinderbetreuungsplätze arbeitgeber kritisieren krippen bremser bundesrat https,"{'Kein': 0.24, 'Zusatzgeld': 0.16, 'für': 0.26, 'Kinderbetreuungsplätze': 1.0, 'Arbeitgeber': 0, 'kritisieren': 0.19, 'Krippen-Bremser': 0, 'im': 0, 'Bundesrat': 0.06, 'https': 0.08, '…': 0}",neutral,"[0.5838247, 0.08021114, 0.33596414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.9,neutral,Dézaley statt Cannabis - spannende HV der BDP Büren gestern mit dem Präsidenten und Nationalrat @h_siegenthaler und seinen Mitgliedern - danke für die Einladung. Hab schon lange nicht mehr so angeregt über das Thema Medien gesprochen. Ihr seid eine tolle Sektion. #bdp #WahlCH19 https://t.co/HGK6CIW5HJ,dézaley statt cannabis spannend hv bdp büren gestern präsidenten nationalrat mitgliedern danke einladung schon lang mehr anregen thema medien sprechen toll sektion bdp wahlch19,,,,"{'Dézaley': 0, 'statt': 0.405, 'Cannabis': 1.0, 'spannende': 0.97, 'HV': 0, 'der': 0.08, 'BDP': 0.16, 'Büren': 0, 'gestern': 0.12, 'mit': 0.12, 'dem': 0.08, 'Präsidenten': 0, 'und': 0.07, 'Nationalrat': 0.08, 'seinen': 0, 'Mitgliedern': 0.08, 'danke': 0.045, 'für': 0.04, 'die': 0.08, 'Einladung': 0.12, 'Hab': 0, 'schon': 0, 'lange': 0.03, 'nicht': 0, 'mehr': 0, 'so': 0.02, 'angeregt': 0, 'über': 0, 'das': 0, 'Thema': 0, 'Medien': 0.15, 'gesprochen': 0, 'Ihr': 0, 'seid': 0.03, 'eine': 0, 'tolle': 0.08, 'Sektion': 0.09, 'bdp': 0.16, 'WahlCH19': 0}",positive,"[0.017272532, 0.006599476, 0.97612804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,negative,"Wollen wir das Rentenalter erhöhen, braucht es mehr Jobs für Ü55. Und die Diskriminierung muss endlich aufhören. Hier mein Lösungsansatz.
@PascalTischhaus @M_Haefliger @serminfaki @SimonBaertschi @PetBlun @coubijones @noahfend @qscBZ @ConiJost @lukasmaeder @SandroBrotz @srfnews https://t.co/1RLJgEyCtr",rentenalter erhöhen brauchen mehr jobs ü55 diskriminierung endlich aufhören lösungsansatz,,,,,,,"{'Wollen': 0.49, 'wir': 0, 'das': 0, 'Rentenalter': 0.81, 'erhöhen': 0, 'braucht': 0, 'es': 0.05, 'mehr': 0.13, 'Jobs': 0.29, 'für': 0.13, 'Ü55.': 0, 'Und': 0.12, 'die': 0.09, 'Diskriminierung': 0.23, 'muss': 0.35, 'endlich': 0, 'aufhören': 0.15, 'Hier': 0.06, 'mein': 0.07, 'Lösungsansatz': 0.24}",positive,"[0.3352447, 0.22948, 0.4352753]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @BDPSchweiz: „Wenn das #Rentenalter erhöht werden soll, müssen die Arbeitsmarktchancen für ü55 verbessert werden.“ @LandoltMartin #samst…",rentenalter erhöhen müssen arbeitsmarktchancen ü55 verbessern samen,,,,,,,"{'„': 0, 'Wenn': 0, 'das': 0, 'Rentenalter': 0, 'erhöht': 0, 'werden': 0, 'soll': 0, 'müssen': 0, 'die': 0, 'Arbeitsmarktchancen': 0, 'für': 0, 'ü55': 0, 'verbessert': 0, '“': 0, 'samst': 0, '…': 0}",negative,"[0.34341663, 0.51815593, 0.1384275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @MarkusGilli: #SonnTalk: Themen: AHV-Milliardenloch: Höheres Rentenalter statt Pflästerlipolitik? 5G: Fortschritt oder Gefahr? Masernepi…,sonntalk themen ahv milliardenloch hoch rentenalter statt pflästerlipolitik g fortschritt gefahr masernepi,,,,,,,"{'SonnTalk': 0.13, 'Themen': 0, 'AHV-Milliardenloch': 0, 'Höheres': 1.0, 'Rentenalter': 0.9199999999999999, 'statt': 0.22, 'Pflästerlipolitik': 0.23, 'G': 0, 'Fortschritt': 0.1, 'oder': 0.07, 'Gefahr': 0.1, 'Masernepi': 0.055, '…': 0}",positive,"[0.3258103, 0.0653507, 0.608839]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Genau @LandoltMartin - wir starten durch, weil wir wissen, dass das Produkt stimmt. Gerade auch bei der Idee: ""Verknüpfung des Rentenalters mit der Lebenserwartung soll vor das Volk"", hast du meine 100-prozentige Unterstützung! #bdp #modernbürgerlich

https://t.co/6VbIWn2uIf",genau starten wissen produkt stimmen gerade idee verknüpfung rentenalters lebenserwartung volk prozentige unterstützung bdp modernbürgerlich,,,,,,,"{'Genau': 0, 'wir': 0, 'starten': 0, 'durch': 0, 'weil': 0.06, 'wissen': 0.04, 'dass': 0.04, 'das': 0.04, 'Produkt': 0.1, 'stimmt': 0.05, 'Gerade': 0, 'auch': 0, 'bei': 0, 'der': 0.09, 'Idee': 0, 'Verknüpfung': 0, 'des': 0, 'Rentenalters': 0.825, 'mit': 0.83, 'Lebenserwartung': 0.3, 'soll': 0, 'vor': 0, 'Volk': 0.26, 'hast': 0, 'du': 0, 'meine': 0.05, '100-prozentige': 0.055, 'Unterstützung': 0.38, 'bdp': 0.18, 'modernbürgerlich': 0.19}",neutral,"[0.5135177, 0.038644567, 0.4478378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Das Rentenalter muss sowieso erhöht werden, warum es also nicht gleich an die Lebenserwartung koppeln, wie dies die @bdpschweiz schon länger fordert. Hier zum Tagi-Artikel: Wer länger lebt, soll auch länger arbeiten https://t.co/g3wEIMX7Mj",rentenalter sowieso erhöhen warum gleichen lebenserwartung koppeln schon lang fordern tagi artikel wer lang leben lang arbeiten,,,,,,,"{'Das': 0.07, 'Rentenalter': 0.73, 'muss': 0.1, 'sowieso': 0.69, 'erhöht': 0, 'werden': 0, 'warum': 0.1, 'es': 0, 'also': 0.05, 'nicht': 0.09, 'gleich': 0, 'an': 0, 'die': 0.07, 'Lebenserwartung': 0.15, 'koppeln': 0, 'wie': 0, 'dies': 0, 'schon': 0, 'länger': 0.07, 'fordert': 0, 'Hier': 0.06, 'zum': 0.085, 'Tagi-Artikel': 0.11, 'Wer': 0.03, 'lebt': 0, 'soll': 0, 'auch': 0.05, 'arbeiten': 0.08}",negative,"[0.17810367, 0.7705482, 0.051348034]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: „Rentenalter indexieren/an Lebenserwartung koppeln, wie das andere Länder auch tun.“ @LandoltMartin #vorwärts #srfarena",rentenalter indexieren lebenserwartung koppeln länder tun vorwärts srfarena,,,,,,,"{'„': 0, 'Rentenalter': 0, 'indexieren': 0, 'an': 0, 'Lebenserwartung': 0, 'koppeln': 0, 'wie': 0, 'das': 0, 'andere': 0, 'Länder': 0, 'auch': 0, 'tun': 0, '“': 0, 'vorwärts': 0, 'srfarena': 0}",neutral,"[0.64977777, 0.01242324, 0.33779892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @BDPSchweiz: ""Möglichst rasch ist aber auch die Diskussion über ein generell höheres Rentenalter zu führen."" Zum Beispiel mit einer Entp…",möglichst rasch diskussion generell hoch rentenalter fahren beispiel entp,,,,,,,"{'Möglichst': 0.05, 'rasch': 0, 'ist': 0, 'aber': 0, 'auch': 0.14, 'die': 0.15, 'Diskussion': 1.0, 'über': 0, 'ein': 0, 'generell': 0.15000000000000002, 'höheres': 0.25, 'Rentenalter': 0.355, 'zu': 0, 'führen': 0, 'Zum': 0.15, 'Beispiel': 0.13, 'mit': 0.06, 'einer': 0, 'Entp': 0, '…': 0}",neutral,"[0.584196, 0.033191916, 0.3826121]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
