answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.075,negative,"Sehr schön in den Mund gelegt heute in der Glosse der @azSolothurn: Meine vermeintliche Meinung zu Cannabis. Easy, Peace! ✌️

Zur Richtigstellung: Meine spätpubertären Einzelzug-Erfahrungen mit dem Kraut waren nicht sonderlich ""berauschend"". Ergo: Ich werde nicht schwach. https://t.co/314P1EBnd3",schön mund legen heute glosse vermeintliche meinung cannabis easy peace richtigstellung spätpubertären einzelzug erfahrungen kraut sonderlich berauschend ergo schwach,"{'Sehr': 0.06, 'schön': 0, 'in': 0.1, 'den': 0.11, 'Mund': 0, 'gelegt': 0, 'heute': 0.08, 'der': 0.11, 'Glosse': 0.12, 'Meine': 0, 'vermeintliche': 0.2, 'Meinung': 0.46, 'zu': 0.05, 'Cannabis': 1.0, 'Easy': 0.33, 'Peace': 0.2, '️': 0, 'Zur': 0, 'Richtigstellung': 0, 'spätpubertären': 0, 'Einzelzug-Erfahrungen': 0, 'mit': 0, 'dem': 0, 'Kraut': 0, 'waren': 0, 'nicht': 0, 'sonderlich': 0, 'berauschend': 0, 'Ergo': 0, 'Ich': 0, 'werde': 0, 'schwach': 0}",positive,"[0.10616582, 0.0070520304, 0.88678217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Täräää! Der Plan B: Rentenalter erhöhen. Das wird vom Volk natürlich haushoch angenommen. #Abst17 #AV2020 https://t.co/1bZMIOxiIV,täräää plan b rentenalter erhöhen volk natürlich haushoch annehmen abst17 av2020,,,,"{'Täräää': 0, 'Der': 0.07, 'Plan': 0.68, 'B': 0.14, 'Rentenalter': 0.865, 'erhöhen': 0, 'Das': 0.07, 'wird': 0, 'vom': 0.07, 'Volk': 0.07, 'natürlich': 0, 'haushoch': 0, 'angenommen': 0.23, 'Abst17': 0.16, 'AV2020': 0.14}",positive,"[0.013565894, 0.0035313196, 0.98290277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Dass der #Vaterschaftsurlaub für Kletterferien benutzt würden, ist ein Affront für die Väter in diesem Land, die Verantwortung übernehmen.

Und wenn er in der Zeit doch mal zur Pause kommt und mit dem Neugeborenen schmust, tut er unserer Gesellschaft auch Gutes! #srfarena",vaterschaftsurlaub kletterferien benutzen affront väter land verantwortung übernehmen zeit mal pause kommen neugeboren schmusen tun gesellschaft gutes srfarena,,,,,,,"{'Dass': 0.33, 'der': 0.02, 'Vaterschaftsurlaub': 0.71, 'für': 0.01, 'Kletterferien': 0.06, 'benutzt': 0.32, 'würden': 0.32, 'ist': 0.02, 'ein': 0, 'Affront': 0.13, 'die': 0.02, 'Väter': 0.03, 'in': 0.02, 'diesem': 0.02, 'Land': 0, 'Verantwortung': 0.05, 'übernehmen': 0.01, 'Und': 0.02, 'wenn': 0.02, 'er': 0.02, 'Zeit': 0, 'doch': 0, 'mal': 0, 'zur': 0.025, 'Pause': 0, 'kommt': 0, 'und': 0.02, 'mit': 0.01, 'dem': 0.025, 'Neugeborenen': 0.02, 'schmust': 0.05, 'tut': 0.02, 'unserer': 0.02, 'Gesellschaft': 0.03, 'auch': 0.02, 'Gutes': 0.03, 'srfarena': 0.15}",negative,"[0.32385632, 0.3410117, 0.33513203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"@gieri_cavelty Aber Hallo?!? Wie bescheuert ist das denn?  Der Vaterschaftsurlaub ist doch mitnichten Urlaub im Sinne von Ferien! Es geht ja genau darum, die Mütter zu entlasten - oder anders gesagt darum, dass die Väter endlich Verantwortung übernehmen können! https://t.co/Ab6HqHjUBQ",hallo bescheuert vaterschaftsurlaub mitnichten urlaub sinne ferien gehen ja genau darum mütter entlasten sagen darum väter endlich verantwortung übernehmen,,,,,,,"{'Aber': 0.16, 'Hallo': 0, 'Wie': 0, 'bescheuert': 1.0, 'ist': 0.04, 'das': 0.7, 'denn': 0, 'Der': 0.03, 'Vaterschaftsurlaub': 0.495, 'doch': 0, 'mitnichten': 0, 'Urlaub': 0, 'im': 0, 'Sinne': 0, 'von': 0, 'Ferien': 0, 'Es': 0.04, 'geht': 0, 'ja': 0, 'genau': 0, 'darum': 0, 'die': 0.03, 'Mütter': 0.03, 'zu': 0.02, 'entlasten': 0, 'oder': 0.04, 'anders': 0, 'gesagt': 0, 'dass': 0.7, 'Väter': 0.02, 'endlich': 0, 'Verantwortung': 0.05, 'übernehmen': 0.01, 'können': 0.03}",negative,"[0.010859388, 0.98362535, 0.005515173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"Die Initiative für vier Wochen #Vaterschaftsurlaub wird bedingt zurückgezogen. Ich habe als Mitglied des Initiativkomitees dem Rückzug zugestimmt. Das Parlament hat der @CVP_PDC-Lösung mit zwei Wochen zugestimmt. Es ist realpolitisch erreicht, was erreicht werden konnte.",initiative vier wochen vaterschaftsurlaub bedingt zurückziehen mitglied initiativkomitees rückzug zustimmen parlament lösung zwei wochen zustimmen realpolitisch erreichen erreichen,,,,,,,"{'Die': 0.04, 'Initiative': 0.09, 'für': 0.13, 'vier': 0.09, 'Wochen': 0.03, 'Vaterschaftsurlaub': 0.5, 'wird': 0, 'bedingt': 0, 'zurückgezogen': 0.21, 'Ich': 0.05, 'habe': 0, 'als': 0.04, 'Mitglied': 0.05, 'des': 0, 'Initiativkomitees': 0, 'dem': 0.035, 'Rückzug': 0, 'zugestimmt': 0, 'Das': 0.04, 'Parlament': 0.1, 'hat': 0, 'der': 0.04, '-Lösung': 0, 'mit': 0, 'zwei': 0.02, 'Es': 0.14, 'ist': 0.14, 'realpolitisch': 0, 'erreicht': 0.04, 'was': 0, 'werden': 0, 'konnte': 0.01}",positive,"[0.34963357, 0.20157133, 0.44879505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: Jetzt wird unsere Initiative von 20 Tagen #Vaterschaftsurlaub im #Ständerat @ParlCH beraten. Argumente wie ""Vaterschatsurlaub…",initiative tagen vaterschaftsurlaub ständerat beraten argumente vaterschatsurlaub,,,,,,,"{'Jetzt': 0.05, 'wird': 0, 'unsere': 0.08, 'Initiative': 0.07, 'von': 0, 'Tagen': 0.04, 'Vaterschaftsurlaub': 0.75, 'im': 0, 'Ständerat': 0.1175, 'beraten': 0, 'Argumente': 0.5, 'wie': 0, 'Vaterschatsurlaub': 0.5, '…': 0}",neutral,"[0.72902286, 0.07468095, 0.19629626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Die #FIFA hat den WM-Spielplan perfekt an die schweizerische Gesetzgebung angepasst:

Dank dem spielfreien Tag kann Breel Embolo nach der Geburt seiner Tochter gestern den einen Tag #Vaterschaftsurlaub heute praktisch verlustfrei einziehen.

Keine Pointe.

@papizeit #SUI #WM2018",fifa wm spielplan perfekt schweizerische gesetzgebung angepasst danken spielfrei tag breel embolo geburt tochter gestern tag vaterschaftsurlaub heute praktisch verlustfrei einziehen pointe sui wm2018,,,,,,,"{'Die': 0.03, 'FIFA': 0.05, 'hat': 0, 'den': 0.03, 'WM-Spielplan': 0.045, 'perfekt': 0, 'an': 0, 'die': 0.03, 'schweizerische': 0.02, 'Gesetzgebung': 0.03, 'angepasst': 0, 'Dank': 0.025, 'dem': 0.025, 'spielfreien': 0, 'Tag': 0, 'kann': 0.09, 'Breel': 0.12, 'Embolo': 0, 'nach': 0.04, 'der': 0.03, 'Geburt': 0.06, 'seiner': 0.1, 'Tochter': 0.04, 'gestern': 0.05, 'einen': 0, 'Vaterschaftsurlaub': 0.42, 'heute': 0.12, 'praktisch': 0, 'verlustfrei': 0, 'einziehen': 0, 'Keine': 0, 'Pointe': 0, 'SUI': 0.08, 'WM2018': 0.22}",positive,"[0.059722062, 0.013186172, 0.9270918]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Das meint BLICK Politik-Chefin Sermîn Faki zum Vaterschaftsurlaub: Dieser Entscheid ist windelweich https://t.co/XjeMBm13bi,blick politik chefin sermîn faki vaterschaftsurlaub entscheid windelweich,,,,,,,"{'Das': 0, 'meint': 0, 'BLICK': 0.13, 'Politik-Chefin': 0, 'Sermîn': 0.1, 'Faki': 0.13, 'zum': 0, 'Vaterschaftsurlaub': 0.5449999999999999, 'Dieser': 0.16, 'Entscheid': 0.49, 'ist': 0.1, 'windelweich': 0}",positive,"[0.056653604, 0.007858932, 0.9354875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,neutral,"Den Mutterschutz angreifen, die Kita-Finanzierung abschaffen und das Ganze als Gegenvorschlag zur Initiative für einen vernünftigen #Vaterschaftsurlaub anpreisen. Kann man machen, ist aber einfach ein glatter Etikettenschwindel von der @FDP_Liberalen.",mutterschutz angreifen kita finanzierung abschaffen ganze gegenvorschlag initiative vernünftig vaterschaftsurlaub anpreisen einfach glatt etikettenschwindel,,,,,,,"{'Den': 0.09, 'Mutterschutz': 0.08, 'angreifen': 0.08, 'die': 0.09, 'Kita-Finanzierung': 0.06, 'abschaffen': 0.11, 'und': 0.03, 'das': 0, 'Ganze': 0.04, 'als': 0.04, 'Gegenvorschlag': 0.08, 'zur': 0.075, 'Initiative': 0.25, 'für': 0.31, 'einen': 0.04, 'vernünftigen': 0, 'Vaterschaftsurlaub': 0.89, 'anpreisen': 0, 'Kann': 0.05, 'man': 0, 'machen': 0.04, 'ist': 0, 'aber': 0.06, 'einfach': 0, 'ein': 0, 'glatter': 0, 'Etikettenschwindel': 0.13, 'von': 0, 'der': 0.09}",neutral,"[0.44105056, 0.23340623, 0.32554322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,positive,"Nach allen vier Geburten sind wir am gleichen Tag nach Hause gefahren. Resultat: für uns eine wundervolle Zeit mit den kleinen Munggelis, für die Allgemeinheit die günstigste Geburt.

Damit das für alle Väter möglich ist, brauchts den #Vaterschaftsurlaub! https://t.co/SAndPIv1bj",vier geburten gleich tag hause gefahren resultat wundervoll zeit klein munggelis allgemeinheit günstig geburt all väter möglich brauchts vaterschaftsurlaub,,,,,,,"{'Nach': 0, 'allen': 0, 'vier': 0.03, 'Geburten': 0.04, 'sind': 0, 'wir': 0, 'am': 0, 'gleichen': 0.01, 'Tag': 0, 'nach': 0.02, 'Hause': 0.02, 'gefahren': 0, 'Resultat': 0, 'für': 0.04, 'uns': 0.02, 'eine': 0, 'wundervolle': 0.06, 'Zeit': 0.03, 'mit': 0.04, 'den': 0.39, 'kleinen': 0, 'Munggelis': 0, 'die': 0.39, 'Allgemeinheit': 0, 'günstigste': 0, 'Geburt': 0.08, 'Damit': 0, 'das': 0.04, 'alle': 0, 'Väter': 0.07, 'möglich': 0.04, 'ist': 0.02, 'brauchts': 0, 'Vaterschaftsurlaub': 0.51}",positive,"[0.0009976518, 0.0027228012, 0.99627954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Die @CVP_PDC hat bereits im Wahlprogramm 2015 einen #Vaterschaftsurlaub gefordert. Wir werden dafür kämpfen. https://t.co/WQNis3VxRx,bereits wahlprogramm vaterschaftsurlaub fordern dafür kämpfen,,,,,,,"{'Die': 0.07, 'hat': 0, 'bereits': 0.07, 'im': 0, 'Wahlprogramm': 0.2, 'einen': 0.43, 'Vaterschaftsurlaub': 0.63, 'gefordert': 0, 'Wir': 0.11, 'werden': 0.12, 'dafür': 0, 'kämpfen': 0}",neutral,"[0.63564605, 0.015936712, 0.34841734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,negative,"Endlich mal ein Bundesratsentscheid, den man in zwei einfachen Worten beschreiben kann: rückständig und falsch!

Der Bundesrat ignoriert die Leistungen der „Sandwichgeneration“, die Bedürfnisse der KMU und die Zeichen der Zeit!
#Vaterschaftsurlaub  https://t.co/0vn1JV7iWY",endlich mal bundesratsentscheid zwei einfach worten beschreiben rückständig falsch bundesrat ignorieren leistungen sandwichgeneration bedürfnisse kmu zeichen zeit vaterschaftsurlaub,,,,,,,"{'Endlich': 0.05, 'mal': 0, 'ein': 0, 'Bundesratsentscheid': 0.0475, 'den': 0.03, 'man': 0, 'in': 0.02, 'zwei': 0.03, 'einfachen': 0.02, 'Worten': 0.03, 'beschreiben': 0, 'kann': 0.02, 'rückständig': 0.07, 'und': 0, 'falsch': 0, 'Der': 0.03, 'Bundesrat': 0.045, 'ignoriert': 0, 'die': 0, 'Leistungen': 0, 'der': 0, '„': 0, 'Sandwichgeneration': 0, '“': 0, 'Bedürfnisse': 0, 'KMU': 0, 'Zeichen': 0, 'Zeit': 0, 'Vaterschaftsurlaub': 0}",positive,"[0.04987197, 0.037545316, 0.9125827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"@luethithomas Die Frage ist, wer ist ""wir""? Die Bedingungen, wie du sie beschreibst, mit 3 Wochen Vaterschaftsurlaub plus flexiblen Ferien, können sich oft nur grosse Firmen leisten. Die Angestellten in KMUs bleiben auf der Strecke - und somit auch die KMUs selber im Rennen um Fachkräfte.",fragen wer bedingungen beschreiben wochen vaterschaftsurlaub plus flexibel ferien oft grosse firmen leisten angestellt kmus bleiben strecken somit kmus selber rennen fachkräfte,,,,,,,"{'Die': 0.01, 'Frage': 0, 'ist': 0.02, 'wer': 0.02, 'wir': 0, 'Bedingungen': 0.06, 'wie': 0, 'du': 0, 'sie': 0, 'beschreibst': 0.04, 'mit': 0.13, 'Wochen': 0.19, 'Vaterschaftsurlaub': 0.73, 'plus': 0.09, 'flexiblen': 0.05, 'Ferien': 0, 'können': 0.02, 'sich': 0, 'oft': 0, 'nur': 0.02, 'grosse': 0, 'Firmen': 0.07, 'leisten': 0, 'Angestellten': 0.04, 'in': 0.02, 'KMUs': 0.05, 'bleiben': 0, 'auf': 0, 'der': 0.01, 'Strecke': 0, 'und': 0.01, 'somit': 0, 'auch': 0.01, 'die': 0.01, 'selber': 0, 'im': 0, 'Rennen': 0, 'um': 0, 'Fachkräfte': 0.025}",neutral,"[0.86507624, 0.06123408, 0.07368967]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"Okay, der Artikel ist „Hipsterli-Blatt at it‘s best“. Die Schlussfolgerung ist trotzdem richtig: Ein Tag Vaterschaftsurlaub ist einfach ein totaler Witz!

#vaterschaftsurlaub #papizeit https://t.co/tzxTTVUBnQ",okay artikel hipsterli blatt at it s best schlussfolgerung trotzdem richtig tag vaterschaftsurlaub einfach total witz vaterschaftsurlaub papizeit,,,,,,,"{'Okay': 0.09, 'der': 0.09, 'Artikel': 0.22, 'ist': 0, '„': 0, 'Hipsterli-Blatt': 0, 'at': 0, 'it': 0, '‘': 0, 's': 0, 'best': 0, '“': 0, 'Die': 0, 'Schlussfolgerung': 0, 'trotzdem': 0, 'richtig': 0, 'Ein': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0, 'einfach': 0, 'ein': 0, 'totaler': 0, 'Witz': 0, 'vaterschaftsurlaub': 0, 'papizeit': 0}",negative,"[0.009635942, 0.9824613, 0.007902802]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
