answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,sentiment_tb
75.0,75.0,86.0,0.4666666666666666,neutral,"@StefanSchmid78 Die sog. Teilzeitfalle spielt eine wichtige Rolle, deswegen braucht es dringend eine günstigere Kinderbetreuung (Arbeit soll sich lohnen) und mehr Kaderpositionen in Jobsharingmodellen oder Teilzeitpensen.",sog teilzeitfalle spielen wichtig rolle deswegen brauchen dringen günstig kinderbetreuung arbeit lohnen mehr kaderpositionen jobsharingmodellen teilzeitpensen,"{'Die': 0.09, 'sog.': 0, 'Teilzeitfalle': 0.08, 'spielt': 0.07, 'eine': 0, 'wichtige': 0.09, 'Rolle': 0.1, 'deswegen': 0, 'braucht': 0, 'es': 0.27, 'dringend': 0.17, 'günstigere': 1.0, 'Kinderbetreuung': 1.0, 'Arbeit': 0.05, 'soll': 0, 'sich': 0, 'lohnen': 0, 'und': 0.13, 'mehr': 0.09, 'Kaderpositionen': 0.11, 'in': 0.04, 'Jobsharingmodellen': 0, 'oder': 0.03, 'Teilzeitpensen': 0.05}",positive,"[0.12813225, 0.4050652, 0.46680254]",,,,,,,,,,positive
75.0,75.0,71.0,0.25,neutral,"Frauen verdienen im TG durchschnittlich 18% weniger und ""während der Bruttomedianlohn der Männer danach noch kräftig zunimmt, steigt er bei den Frauen ab etwa Mitte 30 kaum mehr weiter an."" Neben Lohngleichheit brauchen wir mehr bezahlbare Kinderbetreuung&amp;bessere Vereinbarkeit! https://t.co/fq64LdTRvJ",frauen verdienen tg durchschnittlich wenig bruttomedianlohn männer danach kräftigen zunehmen steigen frauen ab etwa mitte kaum mehr weit neben lohngleichheit brauchen mehr bezahlbare kinderbetreuung amp gut vereinbarkeit,"{'Frauen': 0.03, 'verdienen': 0.04, 'im': 0, 'TG': 0.02, 'durchschnittlich': 0.02, 'weniger': 0, 'und': 0.32, 'während': 0.03, 'der': 0.03, 'Bruttomedianlohn': 0.06, 'Männer': 0.05, 'danach': 0, 'noch': 0, 'kräftig': 0, 'zunimmt': 0.05, 'steigt': 0.05, 'er': 0, 'bei': 0, 'den': 0.03, 'ab': 0, 'etwa': 0, 'Mitte': 0, 'kaum': 0, 'mehr': 0.49, 'weiter': 0, 'an': 0.01, 'Neben': 0, 'Lohngleichheit': 0.08, 'brauchen': 0.495, 'wir': 0, 'bezahlbare': 0, 'Kinderbetreuung&amp;bessere': 0.575, 'Vereinbarkeit': 0.15}",positive,"[0.0007224483, 0.0022418152, 0.99703574]",,,,"{'Frauen': 0.06, 'verdienen': 0.07, 'im': 0, 'TG': 0.07, 'durchschnittlich': 0.05, 'weniger': 0, 'und': 0.07, 'während': 0.06, 'der': 0.05, 'Bruttomedianlohn': 0.10250000000000001, 'Männer': 0.06, 'danach': 0, 'noch': 0, 'kräftig': 0, 'zunimmt': 0.07, 'steigt': 0.07, 'er': 0, 'bei': 0, 'den': 0.05, 'ab': 0, 'etwa': 0, 'Mitte': 0, 'kaum': 0, 'mehr': 0.07, 'weiter': 0, 'an': 0.03, 'Neben': 0, 'Lohngleichheit': 1.0, 'brauchen': 0.31, 'wir': 0, 'bezahlbare': 0, 'Kinderbetreuung&amp;bessere': 0.15, 'Vereinbarkeit': 0.05}",positive,"[0.011352174, 0.0032488222, 0.985399]",,,,positive
100.0,100.0,100.0,0.85,negative,"Wir habens ja gesagt. Immer und immer wieder. Die hohen Sprachhürden sind reine Schikane und führen nur dazu, dass die Einbürgerung für einbürgerungswillige Ausländerinnen und Ausländer der ersten Generation ohne deutsche Muttersprache (fast)... https://t.co/LVaCot2iQb",habens ja sagen immer immer hoch sprachhürden reine schikane fahren einbürgerung einbürgerungswillige ausländerinnen ausländer erst generation deutsch muttersprache fast,,,,"{'Wir': 0.02, 'habens': 0, 'ja': 0.04, 'gesagt': 0.13, 'Immer': 0, 'und': 0.04, 'immer': 0, 'wieder': 0.06, 'Die': 0.04, 'hohen': 0.04, 'Sprachhürden': 0.055, 'sind': 0.08, 'reine': 0, 'Schikane': 0, 'führen': 0.19, 'nur': 0.1, 'dazu': 0.02, 'dass': 0.76, 'die': 0.04, 'Einbürgerung': 1.0, 'für': 0.33, 'einbürgerungswillige': 1.0, 'Ausländerinnen': 0, 'Ausländer': 0.1, 'der': 0.04, 'ersten': 0.03, 'Generation': 0.06, 'ohne': 0.18, 'deutsche': 0, 'Muttersprache': 0.02, 'fast': 0, '...': 0}",positive,"[0.017994044, 0.010993629, 0.97101235]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Einbürgerungswillige müssen neu mündliche B2-Sprachkenntnisse vorweisen können. Der Grosse Rat bleibt also bei... https://t.co/kMPR55ZvqB,einbürgerungswillige müssen neu mündlich b2 sprachkenntnisse vorweisen grosse rat bleiben,,,,"{'Einbürgerungswillige': 0, 'müssen': 0.04, 'neu': 0, 'mündliche': 0.05, 'B2-Sprachkenntnisse': 0.055, 'vorweisen': 0.04, 'können': 0.11, 'Der': 0.05, 'Grosse': 0, 'Rat': 0, 'bleibt': 0.08, 'also': 0, 'bei': 0, '...': 0}",positive,"[0.1635949, 0.020912087, 0.815493]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Sieben TGer-Kantonalparteien (oder: alle, ausser die SVP) sagen JA zur erleichterten Einbürgerung der 3. Generation! https://t.co/gNfOEXSGJ3",sieben tger kantonalparteien all ausser svp sagen ja erleichtern einbürgerung generation,,,,"{'Sieben': 0.04, 'TGer-Kantonalparteien': 0.1375, 'oder': 0.03, 'alle': 0, 'ausser': 0, 'die': 0.12, 'SVP': 0, 'sagen': 0.16, 'JA': 0, 'zur': 0.14500000000000002, 'erleichterten': 0, 'Einbürgerung': 1.0, 'der': 0.12, '3.': 0, 'Generation': 0.22}",positive,"[0.00083772134, 0.0010663014, 0.9980959]",,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @spschweiz: Es gibt zurecht Applaus im Parlament! Nationalrat stimmt erleichterter Einbürgerung von Ausländern der 3. Generation zu. @ad…,geben zurecht applaus parlament nationalrat stimmen erleichtert einbürgerung ausländern generation,,,,"{'Es': 0.06, 'gibt': 0, 'zurecht': 0.11, 'Applaus': 0.09, 'im': 0, 'Parlament': 0.11, 'Nationalrat': 0.175, 'stimmt': 0, 'erleichterter': 0, 'Einbürgerung': 1.0, 'von': 0, 'Ausländern': 0.13, 'der': 0, '3.': 0, 'Generation': 0.11, 'zu': 0, '…': 0}",positive,"[0.003395865, 0.0014763343, 0.9951278]",,,,,,,positive
75.0,100.0,86.0,0.5,negative,"RT @spschweiz: Vor einem Jahr haben 500'000 Frauen und solidarische Männer demonstriert: für #Lohngleichheit, mehr Lohn, bessere Arbeitsbed…",jahr frauen solidarische männer demonstrieren lohngleichheit mehr lohn gut arbeitsbed,,,,,,,"{'Vor': 0, 'einem': 0, 'Jahr': 0.09, 'haben': 0, ""500'000"": 0, 'Frauen': 0.07, 'und': 0.1, 'solidarische': 0, 'Männer': 0.11, 'demonstriert': 0.83, 'für': 1.0, 'Lohngleichheit': 0, 'mehr': 0.47, 'Lohn': 0, 'bessere': 0.19, 'Arbeitsbed': 0.16999999999999998, '…': 0}",positive,"[0.048955858, 0.019214366, 0.93182975]",,,,positive
75.0,75.0,71.0,0.25,neutral,"Frauen verdienen im TG durchschnittlich 18% weniger und ""während der Bruttomedianlohn der Männer danach noch kräftig zunimmt, steigt er bei den Frauen ab etwa Mitte 30 kaum mehr weiter an."" Neben Lohngleichheit brauchen wir mehr bezahlbare Kinderbetreuung&amp;bessere Vereinbarkeit! https://t.co/fq64LdTRvJ",frauen verdienen tg durchschnittlich wenig bruttomedianlohn männer danach kräftigen zunehmen steigen frauen ab etwa mitte kaum mehr weit neben lohngleichheit brauchen mehr bezahlbare kinderbetreuung amp gut vereinbarkeit,"{'Frauen': 0.03, 'verdienen': 0.04, 'im': 0, 'TG': 0.02, 'durchschnittlich': 0.02, 'weniger': 0, 'und': 0.32, 'während': 0.03, 'der': 0.03, 'Bruttomedianlohn': 0.06, 'Männer': 0.05, 'danach': 0, 'noch': 0, 'kräftig': 0, 'zunimmt': 0.05, 'steigt': 0.05, 'er': 0, 'bei': 0, 'den': 0.03, 'ab': 0, 'etwa': 0, 'Mitte': 0, 'kaum': 0, 'mehr': 0.49, 'weiter': 0, 'an': 0.01, 'Neben': 0, 'Lohngleichheit': 0.08, 'brauchen': 0.495, 'wir': 0, 'bezahlbare': 0, 'Kinderbetreuung&amp;bessere': 0.575, 'Vereinbarkeit': 0.15}",positive,"[0.0007224483, 0.0022418152, 0.99703574]",,,,"{'Frauen': 0.06, 'verdienen': 0.07, 'im': 0, 'TG': 0.07, 'durchschnittlich': 0.05, 'weniger': 0, 'und': 0.07, 'während': 0.06, 'der': 0.05, 'Bruttomedianlohn': 0.10250000000000001, 'Männer': 0.06, 'danach': 0, 'noch': 0, 'kräftig': 0, 'zunimmt': 0.07, 'steigt': 0.07, 'er': 0, 'bei': 0, 'den': 0.05, 'ab': 0, 'etwa': 0, 'Mitte': 0, 'kaum': 0, 'mehr': 0.07, 'weiter': 0, 'an': 0.03, 'Neben': 0, 'Lohngleichheit': 1.0, 'brauchen': 0.31, 'wir': 0, 'bezahlbare': 0, 'Kinderbetreuung&amp;bessere': 0.15, 'Vereinbarkeit': 0.05}",positive,"[0.011352174, 0.0032488222, 0.985399]",,,,positive
50.0,75.0,57.0,0.0,neutral,RT @nmasshardt: Heute vor 49 Jahren sagte das Parlament Ja zur #Lohngleichheit in der Bundesverfassung: https://t.co/iUoTuIyEbO Am 14. Juni…,heute jahren sagen parlament ja lohngleichheit bundesverfassung juni,,,,,,,"{'Heute': 0.32, 'vor': 0, 'Jahren': 0.2, 'sagte': 0.59, 'das': 0, 'Parlament': 0.12, 'Ja': 0, 'zur': 0.085, 'Lohngleichheit': 0, 'in': 0.11, 'der': 0.07, 'Bundesverfassung': 0.185, 'Am': 0, '14.': 0, 'Juni': 0.78, '…': 0}",neutral,"[0.8097249, 0.017230561, 0.17304449]",,,,neutral
50.0,75.0,57.0,0.0,negative,RT @spschweiz: Unser Online-Voting zu den Forderungen vom #Frauenstreik hat klar gezeigt: Es braucht Initiativen sowohl zur #Lohngleichheit…,online voting forderungen frauenstreik klaren zeigen brauchen initiativen sowohl lohngleichheit,,,,,,,"{'Unser': 0.07, 'Online-Voting': 0, 'zu': 0, 'den': 0.2, 'Forderungen': 0, 'vom': 0.2, 'Frauenstreik': 0.32, 'hat': 0, 'klar': 0, 'gezeigt': 0.12, 'Es': 0, 'braucht': 0, 'Initiativen': 0.27, 'sowohl': 0, 'zur': 0.2, 'Lohngleichheit': 0, '…': 0}",positive,"[0.0697273, 0.009315871, 0.92095685]","{'Unser': 0.07, 'Online-Voting': 0, 'zu': 0, 'den': 0.06, 'Forderungen': 0, 'vom': 0.06, 'Frauenstreik': 0.12, 'hat': 0, 'klar': 0, 'gezeigt': 0.22, 'Es': 0, 'braucht': 0, 'Initiativen': 1.0, 'sowohl': 0, 'zur': 0.06, 'Lohngleichheit': 0, '…': 0}",neutral,"[0.5685074, 0.21534027, 0.2161524]",neutral
