answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"RT @michsorg: ""Eigentlich wollte der Bundesrat nur die Steuerabzüge für die externe Kinderbetreuung erhöhen. Doch dann hat das Parlament zu…",eigentlich bundesrat steuerabzüge externe kinderbetreuung erhöhen parlament,"{'Eigentlich': 0.05, 'wollte': 0.09, 'der': 0.08, 'Bundesrat': 0.1, 'nur': 0.09, 'die': 0.08, 'Steuerabzüge': 0.24, 'für': 0.43, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'erhöhen': 0, 'Doch': 0.08, 'dann': 0.06, 'hat': 0, 'das': 0, 'Parlament': 0.12, 'zu': 0.04, '…': 0}",neutral,"[0.8952863, 0.024457805, 0.080255985]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Pilotversuche mit Cannabis sind sinnvoll. Man muss herausfinden, wie sich die kontrollierte Abgabe auf den Konsum, die Gesun…",pilotversuche cannabis sinnvoll herausfinden kontrollieren abgabe konsum gesun,,,,"{'Pilotversuche': 0.3, 'mit': 0.8, 'Cannabis': 1.0, 'sind': 0, 'sinnvoll': 0, 'Man': 0, 'muss': 0.05, 'herausfinden': 0.06, 'wie': 0.06, 'sich': 0, 'die': 0.17, 'kontrollierte': 0.19, 'Abgabe': 0, 'auf': 0, 'den': 0.17, 'Konsum': 0.17, 'Gesun': 0, '…': 0}",neutral,"[0.7298532, 0.00864946, 0.26149732]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @mtoengi: Wird jetzt Altbundesrat Blocher den Vaterschaftsurlaub rückwirkend einfordern?,altbundesrat blocher vaterschaftsurlaub rückwirkend einfordern,,,,,,,"{'Wird': 0.47, 'jetzt': 0.35, 'Altbundesrat': 0.16, 'Blocher': 0.45, 'den': 0, 'Vaterschaftsurlaub': 0.8200000000000001, 'rückwirkend': 0.61, 'einfordern': 0}",neutral,"[0.93770087, 0.05135034, 0.010948796]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Grosse Freude : @anbarrile is back!Er erklärt er aufgrund seiner Erfahrungen der letzten Monaten (""es gab in letzter Zeit Momente, wo ich näher zum Tod als zum Leben war""), wieso die Organspende wichtig ist. https://t.co/AUTXknMngu",grosse freude is back erklären aufgrund erfahrungen letzt monaten geben letzt zeit momente nähern tod leben wieso organspende wichtig,,,,,,,,,,"{'Grosse': 0, 'Freude': 0.2, 'is': 0.51, 'back': 0.07, 'Er': 0.51, 'erklärt': 0, 'er': 0.51, 'aufgrund': 0, 'seiner': 0.06, 'Erfahrungen': 0.08, 'der': 0.04, 'letzten': 0.04, 'Monaten': 0.07, 'es': 0.51, 'gab': 0, 'in': 0, 'letzter': 0.04, 'Zeit': 0, 'Momente': 0.18, 'wo': 0, 'ich': 0.05, 'näher': 0.11, 'zum': 0.05500000000000001, 'Tod': 0, 'als': 0, 'Leben': 0.11, 'war': 0, 'wieso': 0, 'die': 0.04, 'Organspende': 0.52, 'wichtig': 0.86, 'ist': 0.51}",neutral,"[0.54930705, 0.040145796, 0.41054714]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @SonjaGehrig: #EsistZeit für #Inländervorrang bei der Energie!

Erneuerbare Energien fördern.
einheimisches Gewerbe unterstützen.
Erdöla…",esistzeit inländervorrang energie erneuerbare energien fördern einheimisch gewerbe unterstützen erdöla,,,,,,,,,,,,,"{'EsistZeit': 0, 'für': 0.11, 'Inländervorrang': 0.27, 'bei': 0, 'der': 0, 'Energie': 0.11, 'Erneuerbare': 0.79, 'Energien': 0.6, 'fördern': 0.43, 'einheimisches': 0.25, 'Gewerbe': 0, 'unterstützen': 0.43, 'Erdöla': 0, '…': 0}",positive,"[0.00202365, 0.0015678493, 0.9964085]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @SonjaGehrig: #EsistZeit für #Inländervorrang bei der Energie!

Erneuerbare Energien fördern.
einheimisches Gewerbe unterstützen.
Energi…",esistzeit inländervorrang energie erneuerbare energien fördern einheimisch gewerbe unterstützen energi,,,,,,,,,,,,,"{'EsistZeit': 0, 'für': 0.11, 'Inländervorrang': 0.24, 'bei': 0, 'der': 0, 'Energie': 0.11, 'Erneuerbare': 0.95, 'Energien': 0.56, 'fördern': 0.42, 'einheimisches': 0.21, 'Gewerbe': 0, 'unterstützen': 0.42, 'Energi': 0.11, '…': 0}",positive,"[0.0020339407, 0.0014560637, 0.99650997]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Morgen 10 Jahrestag Fukushima.
Der Atomstrom ist nur noch 10% des weltweiten Stroms. 
Wurde 2019 von den neuen erneuerbaren Energien überholt, welche weiterhin exponential wachsen.
Nur so zum Sagen. https://t.co/ligO1P4O6u",morgen jahrestag fukushima atomstrom weltweit stroms neu erneuerbaren energien überholen welch weiterhin exponential wachsen sagen,,,,,,,,,,,,,"{'Morgen': 0.04, 'Jahrestag': 0.06, 'Fukushima': 0.09, 'Der': 0.35, 'Atomstrom': 0.06, 'ist': 0.05, 'nur': 0.03, 'noch': 0, 'des': 0, 'weltweiten': 0, 'Stroms': 0, 'Wurde': 0, 'von': 0, 'den': 0.35, 'neuen': 1.0, 'erneuerbaren': 1.0, 'Energien': 0.62, 'überholt': 0, 'welche': 0.21, 'weiterhin': 0, 'exponential': 0, 'wachsen': 0.13, 'Nur': 0.04, 'so': 0, 'zum': 0.19, 'Sagen': 0.035}",positive,"[0.004415265, 0.0036160275, 0.9919687]",,,,,,,,,,neutral
100.0,100.0,86.0,0.6999999999999998,neutral,"Die Energieperspek.  des Bundes bestätigen voll meinen ""Solarplan für die Schweiz"" von 2019.
Es braucht 39 TWh neue erneuerbare Strom (RN: 40 à 45).
Bestätigen meine Zahl von 1,5 GW Neuinstallationen an Photovoltaik, um die Versorgungssicherheit zu sichern
https://t.co/SjRODCk8Bf https://t.co/cqf5M4d2CS",energieperspek bundes bestätigen voll solarplan schweiz brauchen twh neue erneuerbare strom rn à bestätigen zahl gw neuinstallationen photovoltaik versorgungssicherheit sichern,,,,,,,,,,,,,"{'Die': 0.03, 'Energieperspek': 0.07, 'des': 0.03, 'Bundes': 0.04, 'bestätigen': 0.04, 'voll': 0.02, 'meinen': 0, 'Solarplan': 0.065, 'für': 0.03, 'die': 0.03, 'Schweiz': 0.06, 'von': 0.03, '2019.': 0, 'Es': 0, 'braucht': 0, 'TWh': 0.21, 'neue': 0.24, 'erneuerbare': 1.0, 'Strom': 0, 'RN': 0.05, 'à': 0, 'Bestätigen': 0.04, 'meine': 0.03, 'Zahl': 0.04, '1,5': 0, 'GW': 0.05, 'Neuinstallationen': 0.18, 'an': 0, 'Photovoltaik': 0.2, 'um': 0, 'Versorgungssicherheit': 0.0575, 'zu': 0.03, 'sichern': 0.03}",neutral,"[0.82521397, 0.13809495, 0.036690984]",,,,,,,,,,positive
50.0,75.0,71.0,0.15,neutral,"Das am Freitag verabschiedete Gesetzt erlaubt, in 10 Jahren unsere Emissionen um 20% zu senken. Es ist eine Basis, auf der man aufbauen kann : Förderung der erneuerbare Energien, strenge Regel für den Finanzplatz. Thread 3/4",freitag verabschieden setzen erlauben jahren emissionen senken basis aufbauen förderung erneuerbare energien streng regel finanzplatz thread,,,,,,,,,,,,,"{'Das': 0.11, 'am': 0, 'Freitag': 0.06, 'verabschiedete': 0, 'Gesetzt': 0, 'erlaubt': 0, 'in': 0.03, 'Jahren': 0.17, 'unsere': 0.06, 'Emissionen': 0.17, 'um': 0.09, 'zu': 0.06, 'senken': 0.16, 'Es': 0.1, 'ist': 0.1, 'eine': 0.18, 'Basis': 0.43, 'auf': 0.14, 'der': 0.11, 'man': 0, 'aufbauen': 0.63, 'kann': 0.3, 'Förderung': 0.11, 'erneuerbare': 1.0, 'Energien': 0.57, 'strenge': 0.61, 'Regel': 0, 'für': 0.12, 'den': 0.11, 'Finanzplatz': 0.145, 'Thread': 0.13}",positive,"[0.14291142, 0.12352158, 0.73356694]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @axpo: Mehr erneuerbare Energie und mehr Winterstrom: Das braucht es künftig - und deshalb auch mehr Saisonspeicher. Da hätte es beim Au…,mehr erneuerbare energie mehr winterstrom brauchen künftig deshalb mehr saisonspeicher beim au,,,,,,,,,,,,,"{'Mehr': 0.05, 'erneuerbare': 1.0, 'Energie': 0.36, 'und': 0.09, 'mehr': 0.05, 'Winterstrom': 0, 'Das': 0.04, 'braucht': 0, 'es': 0, 'künftig': 0.03, 'deshalb': 0, 'auch': 0.06, 'Saisonspeicher': 0, 'Da': 0, 'hätte': 0, 'beim': 0.04, 'Au': 0, '…': 0}",positive,"[0.0034198663, 0.0021562544, 0.9944239]",,,,,,,,,,neutral
