answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"Liebe @SarahBuenter, da bin ich ganz bei Dir und Euch. Ich sehe die Elternzeit und die gemeinsame Kinderbetreuung als Chance für die Gleichstellung. https://t.co/MwoP6uBvkA",lieb ganz sehen elternzeit gemeinsam kinderbetreuung chance gleichstellung,"{'Liebe': 0.11, 'da': 0, 'bin': 0, 'ich': 0.1, 'ganz': 0, 'bei': 0, 'Dir': 0.05, 'und': 0.35, 'Euch': 0.05, 'Ich': 0.1, 'sehe': 0.49, 'die': 0, 'Elternzeit': 0.235, 'gemeinsame': 0, 'Kinderbetreuung': 1.0, 'als': 0.3, 'Chance': 0, 'für': 0.11, 'Gleichstellung': 0.23}",positive,"[0.0026038191, 0.002167291, 0.9952289]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Politdebatte Lenzburg
Was tut Lenzburg für die Familien? Was hat externe Kinderbetreuung mit Gleichstellung zu tun? 
Spannende Fragen und Antworten in der offenen Debatte. Mit Christina Bachmann-Roth, Sabine Sutter-Suter und Iris Bachmann. #teamorange #WahlCH19 #cvplenzburg",politdebatte lenzburg tun lenzburg familien externe kinderbetreuung gleichstellung tun spannend fragen antworten offen debatte christina bachmann roth sabine sutter suter iris bachmann teamorange wahlch19 cvplenzburg,"{'Politdebatte': 0, 'Lenzburg': 0.12, 'Was': 0, 'tut': 0.46, 'für': 0.05, 'die': 0.06, 'Familien': 0, 'hat': 0, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'mit': 0.04, 'Gleichstellung': 0.16, 'zu': 0.1, 'tun': 0.19, 'Spannende': 0.08, 'Fragen': 0.07, 'und': 0.05, 'Antworten': 0, 'in': 0.02, 'der': 0.06, 'offenen': 0.03, 'Debatte': 0.06, 'Mit': 0.04, 'Christina': 0.02, 'Bachmann-Roth': 0, 'Sabine': 0.04, 'Sutter-Suter': 0, 'Iris': 0.03, 'Bachmann': 0.05, 'teamorange': 0, 'WahlCH19': 0, 'cvplenzburg': 0.09}",neutral,"[0.6580593, 0.10868717, 0.23325354]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @th_ammann: Steuerliche Berücksichtigung der Kinderbetreuungskosten - Dank der CVP werden alle Familie steuerlich entlastet - Bravo @Phi…,steuerlich berücksichtigung kinderbetreuungskosten danken cvp all familie steuerlich entlasten bravo,"{'Steuerliche': 0.14, 'Berücksichtigung': 0.4, 'der': 0.11, 'Kinderbetreuungskosten': 1.0, 'Dank': 0.16, 'CVP': 0.1, 'werden': 0, 'alle': 0, 'Familie': 0, 'steuerlich': 0.14, 'entlastet': 0.16, 'Bravo': 0.28, '…': 0}",positive,"[0.19045953, 0.05162769, 0.75791276]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Das Gesetz über die familienergänzende Kinderbetreuung nimmt Formen an. Es ist erfreulich, dass es hier jetzt so... https://t.co/GSiSZJmFFT",gesetz familienergänzende kinderbetreuung nehmen formen erfreulich,"{'Das': 0.2, 'Gesetz': 0.33, 'über': 0, 'die': 0.2, 'familienergänzende': 0, 'Kinderbetreuung': 0.45, 'nimmt': 0, 'Formen': 0, 'an': 0, 'Es': 0.41, 'ist': 0.41, 'erfreulich': 0, 'dass': 0.19, 'es': 0.41, 'hier': 0, 'jetzt': 0.31, 'so': 0, '...': 0}",positive,"[0.024650697, 0.006987243, 0.9683621]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @VeV_CH: ENDLICH! Vaterschaftsurlaub auch in der Schweiz.
Die Schweiz sagt ja zu 2 Wochen Vaterschaftsurlaub und schliesst zu anderen eu…",endlich vaterschaftsurlaub schweiz schweiz sagen ja wochen vaterschaftsurlaub schliesst eu,,,,"{'ENDLICH': 0.235, 'Vaterschaftsurlaub': 0.135, 'auch': 1.0, 'in': 0.75, 'der': 0, 'Schweiz': 0.14, 'Die': 0, 'sagt': 0.34, 'ja': 0.08, 'zu': 0.22, 'Wochen': 0.21, 'und': 0.08, 'schliesst': 0, 'anderen': 0, 'eu': 0, '…': 0}",positive,"[0.11559653, 0.0046811723, 0.8797223]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Ausgezeichnete Analyse zu Vaterschaftsurlaub und Elternzeit heute in der AZ. Genau so ist es und darum ein klares JA zum Vaterschaftsurlaub. https://t.co/Gu404qrv86,ausgezeichnet analyse vaterschaftsurlaub elternzeit heute az genau darum klar ja vaterschaftsurlaub,,,,"{'Ausgezeichnete': 1.0, 'Analyse': 0.07, 'zu': 0.07, 'Vaterschaftsurlaub': 0.07500000000000001, 'und': 0.04, 'Elternzeit': 0.07500000000000001, 'heute': 0.11, 'in': 0.06, 'der': 0, 'AZ': 0, 'Genau': 0, 'so': 0, 'ist': 0.05, 'es': 0.05, 'darum': 0.09, 'ein': 0, 'klares': 0, 'JA': 0.04, 'zum': 0.07}",positive,"[0.0008509831, 0.0008925229, 0.9982565]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,Wie immer brilliant zusammengefasst und auf den Punkt gebracht @claudia_blumer.  Darum JA zum #vaterschaftsurlaub  https://t.co/1T7RwCcl3j,immer brilliant zusammengefasst punkt bringen darum ja vaterschaftsurlaub,,,,"{'Wie': 0.05, 'immer': 0.1, 'brilliant': 0, 'zusammengefasst': 0.11, 'und': 0.07, 'auf': 0, 'den': 0.09, 'Punkt': 0.09, 'gebracht': 0, 'Darum': 0, 'JA': 0.07, 'zum': 0.325, 'vaterschaftsurlaub': 0.66}",positive,"[0.0009323351, 0.0010828668, 0.99798477]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,@arnogrueter Diese Antwort ist einfach: ich bin für Vaterschaftsurlaub und bin überzeugt dass wir uns diese Kosten leisten können und sollen.,antwort einfach vaterschaftsurlaub überzeugen kosten leisten sollen,,,,"{'Diese': 0, 'Antwort': 0, 'ist': 0.03, 'einfach': 0.06, 'ich': 0.04, 'bin': 0, 'für': 0, 'Vaterschaftsurlaub': 0.5700000000000001, 'und': 0.04, 'überzeugt': 0.14, 'dass': 0.05, 'wir': 0, 'uns': 0, 'diese': 0, 'Kosten': 0.11, 'leisten': 0.09, 'können': 0, 'sollen': 0.07}",positive,"[0.07218347, 0.0071201483, 0.9206963]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Mann geht 17 + 8x 3 Wochen ins Militär - Kein Problem.
Frau hat 16 Wochen Mutterschaftsurlaub - Kein Problem.
Mitarbeiter haben jährlich 4 Wochen Urlaub - Kein Problem.
Mann hat 2 (!) Wochen Vaterschaftsurlaub - Riesenproblem?
Finde den Fehler! 
Darum #Vaterschaftsurlaub Ja",mann gehen 8x wochen militär problem frau wochen mutterschaftsurlaub problem mitarbeiter jährlich wochen urlaub problem mann wochen vaterschaftsurlaub riesenproblem finden fehler darum vaterschaftsurlaub ja,,,,"{'Mann': 0, 'geht': 0.03, '8x': 0.05, 'Wochen': 0.05, 'ins': 0, 'Militär': 0.05, 'Kein': 0.03, 'Problem': 0.08, 'Frau': 0, 'hat': 0, 'Mutterschaftsurlaub': 0.30500000000000005, 'Mitarbeiter': 0.06, 'haben': 0.04, 'jährlich': 0, 'Urlaub': 0, 'Vaterschaftsurlaub': 0.335, 'Riesenproblem': 0.07500000000000001, 'Finde': 0.06, 'den': 0.06, 'Fehler': 0, 'Darum': 0, 'Ja': 0}",neutral,"[0.7825534, 0.05812169, 0.15932502]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@themattmueller_ @MFrauchigerSVP @susanne_brunner Die Rechnung irritiert mich.
Mann geht 17 + 8x 3 Wochen ins Militär - Kein Problem.
Frau hat 16 Wochen Mutterschaftsurlaub - Kein Problem.
Mitarbeiter haben jährlich 4 Wochen Urlaub - Kein Problem.
Mann hat 2 (!) Wochen Vaterschaftsurlaub - Riesenproblem?
Finde den Fehler!",rechnung irritieren mann gehen 8x wochen militär problem frau wochen mutterschaftsurlaub problem mitarbeiter jährlich wochen urlaub problem mann wochen vaterschaftsurlaub riesenproblem finden fehler,,,,"{'Die': 0.15, 'Rechnung': 0.03, 'irritiert': 0, 'mich': 0.02, 'Mann': 0, 'geht': 0.02, '8x': 0.02, 'Wochen': 0.13, 'ins': 0, 'Militär': 0.04, 'Kein': 0.09, 'Problem': 1.0, 'Frau': 0, 'hat': 0, 'Mutterschaftsurlaub': 0.315, 'Mitarbeiter': 0.07, 'haben': 0.04, 'jährlich': 0, 'Urlaub': 0, 'Vaterschaftsurlaub': 0.645, 'Riesenproblem': 0.98, 'Finde': 0.32, 'den': 0.15, 'Fehler': 0}",neutral,"[0.49517235, 0.44438088, 0.060446784]",,,,,,,,,,,,,neutral
