answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,Die SVP begrüsst die Angleichung der Rentenalter:  https://t.co/mKs58NM10z via @SVPch,svp begrüsst angleichung rentenalter via,"{'Die': 0.16, 'SVP': 0, 'begrüsst': 0, 'die': 0.16, 'Angleichung': 0, 'der': 0.16, 'Rentenalter': 0.365, 'via': 0.25}",positive,"[0.009205096, 0.0019009843, 0.9888939]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @SVPch: Die links-grünen Politiker haben einen #Vaterschaftsurlaub beschlossen. Die Folgen wären: Weniger Lohn für alle, mehr Bürokratie…",links grün politiker vaterschaftsurlaub beschließen folgen wenig lohn all mehr bürokratie,,,,"{'Die': 0.09, 'links-grünen': 0, 'Politiker': 0, 'haben': 0.13, 'einen': 0, 'Vaterschaftsurlaub': 0.58, 'beschlossen': 0.28, 'Folgen': 0, 'wären': 0.05, 'Weniger': 0, 'Lohn': 0, 'für': 0.02, 'alle': 0.04, 'mehr': 0.03, 'Bürokratie': 0.07, '…': 0}",neutral,"[0.5100437, 0.07897275, 0.41098356]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Der Vaterschaftsurlaub schadet unserer Wirtschaft und damit unserem Wohlstand: https://t.co/GQ5i10eoiA via @SVPch,vaterschaftsurlaub schaden wirtschaft wohlstand via,,,,"{'Der': 0, 'Vaterschaftsurlaub': 0.525, 'schadet': 1.0, 'unserer': 0.06, 'Wirtschaft': 0, 'und': 0.18, 'damit': 0, 'unserem': 0.06, 'Wohlstand': 0.26, 'via': 0.1}",negative,"[0.004180922, 0.9581058, 0.037713293]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Warum die SVP den Vaterschaftsurlaub bekämpft https://t.co/kKD6uACvzV,warum svp vaterschaftsurlaub bekämpfen,,,,"{'Warum': 0.59, 'die': 0.36, 'SVP': 0, 'den': 0.36, 'Vaterschaftsurlaub': 0.79, 'bekämpft': 0}",neutral,"[0.47357345, 0.4301255, 0.09630105]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Der SVP-Vorstand unterstützt ein allfälliges Referendum gegen den Vaterschaftsurlaub:  https://t.co/Ls1FOwXphO via @SVPch,svp vorstand unterstützen allfälliges referendum vaterschaftsurlaub via,,,,"{'Der': 0.37, 'SVP-Vorstand': 0.46499999999999997, 'unterstützt': 1.0, 'ein': 0, 'allfälliges': 0, 'Referendum': 1.0, 'gegen': 0.42, 'den': 0.37, 'Vaterschaftsurlaub': 0.44999999999999996, 'via': 0.23}",positive,"[0.35274616, 0.010171701, 0.6370821]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"welch Unsinn - mit Wasserkraft lieben wir bei bis zu 75% - wer schreibt so was mit welchen Interessen?
Erneuerbare Energie in Europa – Schweiz landet bei Solar- und Windstrom auf vorletztem Rang https://t.co/Ovg1HwcMkV",welch unsinn wasserkraft lieb wer schreiben welch interessen erneuerbare energie europa schweiz landen solar windstrom vorletzte rang,,,,,,,"{'welch': 0, 'Unsinn': 0.03, 'mit': 0.05, 'Wasserkraft': 0.19, 'lieben': 0.06, 'wir': 0, 'bei': 0, 'bis': 0, 'zu': 0.06, 'wer': 0.02, 'schreibt': 0.08, 'so': 0, 'was': 0, 'welchen': 0.04, 'Interessen': 0.08, 'Erneuerbare': 1.0, 'Energie': 1.0, 'in': 0.25, 'Europa': 0.14, '–': 0, 'Schweiz': 0, 'landet': 0, 'Solar-': 0, 'und': 0, 'Windstrom': 0, 'auf': 0, 'vorletztem': 0, 'Rang': 0}",positive,"[0.005219529, 0.0020348032, 0.9927457]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @SVPch: Die Schweiz trägt ihre Verantwortung im #Umweltschutz. Sie ist Vorreiterin beim Recycling und bei neuen Umwelttechnologien. Noch…,schweiz tragen verantwortung umweltschutz vorreiterin beim recycling neu umwelttechnologien,,,,,,,,,,"{'Die': 0, 'Schweiz': 0.16, 'trägt': 0, 'ihre': 0, 'Verantwortung': 0.44, 'im': 0, 'Umweltschutz': 0.35, 'Sie': 0, 'ist': 0.07, 'Vorreiterin': 0, 'beim': 0, 'Recycling': 0.08, 'und': 0.08, 'bei': 0, 'neuen': 0.05, 'Umwelttechnologien': 0.07, 'Noch': 0.12, '…': 0}",positive,"[0.0017448056, 0.0012640733, 0.99699116]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SVPch: Das Abkommen mit der EU hätte die gleichen Auswirkungen, wie der Beitritt der Schweiz zu einer supranationalen Gemeinschaft: Kan…",abkommen eu gleich auswirkungen beitreten schweiz supranationalen gemeinschaft kan,,,,,,,,,,,,,"{'Das': 0.04, 'Abkommen': 0.19, 'mit': 0.04, 'der': 0.04, 'EU': 0, 'hätte': 0, 'die': 0.04, 'gleichen': 0.06, 'Auswirkungen': 0.15, 'wie': 0, 'Beitritt': 0.21, 'Schweiz': 0.15, 'zu': 0.09, 'einer': 0, 'supranationalen': 0.56, 'Gemeinschaft': 0.25, 'Kan': 0, '…': 0}",neutral,"[0.515646, 0.43602648, 0.048327524]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @SVPch: Das Volk soll auch über die Ostmilliarde und die 14 Milliarden Entwicklungshilfe abstimmen können! ""Einen solchen Betrag können…",volk ostmilliarde milliarden entwicklungshilfe abstimmen solch betrag,,,,,,,,,,,,,,,,"{'Das': 0.45, 'Volk': 0.16, 'soll': 0, 'auch': 0.07, 'über': 0, 'die': 0.45, 'Ostmilliarde': 0, 'und': 0.27, 'Milliarden': 0, 'Entwicklungshilfe': 0.86, 'abstimmen': 0.25, 'können': 0.07500000000000001, 'Einen': 0, 'solchen': 0.07, 'Betrag': 0.11, '…': 0}",positive,"[0.12558112, 0.08911398, 0.7853049]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @SVPch: Landwirtschaft nicht auf dem Altar des Freihandels opfern https://t.co/njc6pOlQmA,landwirtschaft altar freihandels opfern,,,,,,,,,,,,,,,,,,,"{'Landwirtschaft': 1.0, 'nicht': 0, 'auf': 0.34, 'dem': 0.15, 'Altar': 0.44, 'des': 0, 'Freihandels': 0.22999999999999998, 'opfern': 1.0}",neutral,"[0.5908816, 0.062281907, 0.34683642]",neutral
