answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,sentiment_tb
50.0,75.0,57.0,0.0,negative,"Bundesrat: 650 mio für Sport. 65 mio für Kinderbetreuung. Schliifts??Ups, schon klar, Kinderbetreuung wirft ja keinen Gewinn ab, ich vergass, my bad!",bundesrat mio sport mio kinderbetreuung schliifts ups schon klaren kinderbetreuung werfen ja gewinn ab vergass my bad,"{'Bundesrat': 0.1, 'mio': 0.03, 'für': 1.0, 'Sport': 0.09, 'Kinderbetreuung': 0.04, 'Schliifts??Ups': 0.04, 'schon': 0, 'klar': 0, 'wirft': 0, 'ja': 0, 'keinen': 0, 'Gewinn': 0.08, 'ab': 0, 'ich': 0.01, 'vergass': 0.03, 'my': 0.03, 'bad': 0.1}",positive,"[0.24676661, 0.27783653, 0.4753968]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@Jean_Luc46 @JusoSchweiz @Tamarafuniciell @SusanneSlo @UrsulaMarti1 Nein! Militärdienst für niemanden und Rentenalter 64 für alle!,nein militärdienst niemand rentenalter all,,,,"{'Nein': 0.43, 'Militärdienst': 0.235, 'für': 0.39, 'niemanden': 0, 'und': 1.0, 'Rentenalter': 0.74, 'alle': 0.31}",positive,"[0.014793772, 0.0039335983, 0.9812726]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Tamarafuniciell: Beim Kampf für eine Arbeitszeitreduktion und ein tieferes Rentenalter habe ich keine ideologischen Scheuklappen. https…,beim kampf arbeitszeitreduktion tief rentenalter ideologisch scheuklappen https,,,,"{'Beim': 0.09, 'Kampf': 0, 'für': 0.2, 'eine': 0, 'Arbeitszeitreduktion': 0.2775, 'und': 0.41, 'ein': 0, 'tieferes': 0, 'Rentenalter': 0.865, 'habe': 0.05, 'ich': 0.08, 'keine': 0, 'ideologischen': 0.1, 'Scheuklappen': 0.19, 'https': 0.12, '…': 0}",negative,"[0.19963737, 0.5070125, 0.29335013]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Ja zu AHVplus – Nein zu Rentenkürzungen und Rentenalter 67! https://t.co/p5iMtpVgNu https://t.co/hB31Vsylfi,ja ahvplus nein rentenkürzungen rentenalter,,,,"{'Ja': 0.18, 'zu': 0, 'AHVplus': 0.48, '–': 0, 'Nein': 0, 'Rentenkürzungen': 0, 'und': 0, 'Rentenalter': 0}",positive,"[0.014461422, 0.0044649174, 0.98107374]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @f_schutzbach: Bundesrat Schweiz lehnt erneut Vaterschaftsurlaub ab. Ich stell das irgendwann in Rechnung. Genauso wie das späte Frauens…,bundesrat schweiz lehnen erneut vaterschaftsurlaub ab stell irgendwann rechnung genauso spät frauens,,,,,,,"{'Bundesrat': 0.445, 'Schweiz': 0, 'lehnt': 1.0, 'erneut': 0, 'Vaterschaftsurlaub': 0.76, 'ab': 0, 'Ich': 0.13, 'stell': 0, 'das': 0.05, 'irgendwann': 0, 'in': 0, 'Rechnung': 0.2, 'Genauso': 0.0825, 'wie': 0, 'späte': 0.08, 'Frauens': 0.11, '…': 0}",positive,"[0.3483478, 0.033629414, 0.61802274]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Jetzt die #Organspende Initiative unterschreiben!
https://t.co/2iyiWlgkrt https://t.co/v6c94IdASj",organspende initiative unterschreiben,,,,,,,,,,"{'Jetzt': 0.91, 'die': 0.58, 'Organspende': 0.685, 'Initiative': 1.0, 'unterschreiben': 0.77}",positive,"[0.010562824, 0.0017815615, 0.9876557]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @MikeMuellerLate: Die SVP fürchtet die Einbürgerung von Afrikanern in 20 Jahren? Solange wir nicht Rassisten ausbürgern, muss hier niema…",svp fürchten einbürgerung afrikanern jahren solange rassisten ausbürgern niema,,,,,,,,,,,,,"{'Die': 0.42, 'SVP': 0, 'fürchtet': 1.0, 'die': 0.42, 'Einbürgerung': 1.0, 'von': 0, 'Afrikanern': 0.1, 'in': 0.22, 'Jahren': 0.14, 'Solange': 0, 'wir': 0, 'nicht': 0, 'Rassisten': 0.24, 'ausbürgern': 0.18, 'muss': 0.06, 'hier': 0, 'niema': 0, '…': 0}",neutral,"[0.7928347, 0.111488596, 0.0956767]",,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @ConradinZ: Braucht es einen Frauenstreik? Die #Demonstration für #Lohngleichheit am #Weltfrauentag2018 in Bern. @vpodch, @KPrelicz @Uni…",brauchen frauenstreik demonstration lohngleichheit weltfrauentag2018 bern,,,,,,,,,,,,,,,,"{'Braucht': 0, 'es': 0, 'einen': 0.06, 'Frauenstreik': 0.13, 'Die': 1.0, 'Demonstration': 1.0, 'für': 0.17, 'Lohngleichheit': 0, 'am': 0, 'Weltfrauentag2018': 0.13, 'in': 0.13, 'Bern': 0.05, '…': 0}",neutral,"[0.7737848, 0.035748493, 0.1904667]",,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @Tamarafuniciell: Der #Ständerat lebt im letzten Jahrtausend und lehnt #Lohngleichheit ab. Schämt euch!,ständerat leben letzt jahrtausend lehnen lohngleichheit ab schämen,,,,,,,,,,,,,,,,"{'Der': 0.09, 'Ständerat': 0.3425, 'lebt': 0.36, 'im': 0, 'letzten': 0.09, 'Jahrtausend': 0.19, 'und': 0.94, 'lehnt': 1.0, 'Lohngleichheit': 0, 'ab': 0, 'Schämt': 0, 'euch': 0.17}",negative,"[0.07630311, 0.5877802, 0.33591676]",,,,negative
50.0,75.0,57.0,0.0,negative,"RT @JusoSchweiz: Unglaublich! Einmal mehr werden kleinste Schritte zur #Lohngleichheit noch verzögert. Die Schweiz, ein Entwicklungsland in…",unglaublich mehr kleinste schritte lohngleichheit verzögern schweiz entwicklungsland,,,,,,,,,,,,,,,,"{'Unglaublich': 0.24, 'Einmal': 0.18, 'mehr': 0, 'werden': 0, 'kleinste': 0.18, 'Schritte': 0.27, 'zur': 0.1, 'Lohngleichheit': 0, 'noch': 0, 'verzögert': 0.34, 'Die': 0.1, 'Schweiz': 1.0, 'ein': 0, 'Entwicklungsland': 0.8200000000000001, 'in': 0.65, '…': 0}",negative,"[0.16343956, 0.7972013, 0.03935916]",,,,neutral
