answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,25.0,28.0,-0.15,neutral,RT @StrebelLuca: Die FDP/JF brandmarkt die #AV2020 als ungerecht. Sie wollen höheres Rentenalter und Leistungsabbau. Das sei dann gerecht.…,fdp jf brandmarken av2020 ungerecht hoch rentenalter leistungsabbau gerecht,"{'Die': 0.07, 'FDP': 0.08, 'JF': 0.06, 'brandmarkt': 0, 'die': 0.07, 'AV2020': 0.15, 'als': 0.09, 'ungerecht': 0, 'Sie': 0, 'wollen': 1.0, 'höheres': 1.0, 'Rentenalter': 0.71, 'und': 0.43, 'Leistungsabbau': 0, 'Das': 0.07, 'sei': 0, 'dann': 0.07, 'gerecht': 0, '…': 0}",positive,"[0.13876344, 0.20198327, 0.6592533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @LauraCurau: @schuler_marcel @PhilippBuechner @AlainS1991 @andrisilbi_ Aber die Senkung des UWS, Flexibilisierung des Rentenalters und d…",senkung uws flexibilisierung rentenalters d,"{'Aber': 0.44, 'die': 0.33, 'Senkung': 0.33, 'des': 0, 'UWS': 0.13, 'Flexibilisierung': 0, 'Rentenalters': 0.4, 'und': 0.19, 'd': 0, '…': 0}",positive,"[0.013070166, 0.0035722172, 0.9833576]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Handyverkaufer: Die AHV - ""ein Fass ohne Boden"" ich teile die Meinung von Peter Morf. Das Rentenalter muss endlich angepasst werden htt…",ahv fass boden teile meinung peter morf rentenalter endlich angepasst htt,"{'Die': 1.0, 'AHV': 0.04, 'ein': 0, 'Fass': 0, 'ohne': 0, 'Boden': 0, 'ich': 0.04, 'teile': 0.16, 'die': 1.0, 'Meinung': 0.26, 'von': 0, 'Peter': 0.06, 'Morf': 0.04, 'Das': 1.0, 'Rentenalter': 0.885, 'muss': 0, 'endlich': 0, 'angepasst': 0, 'werden': 0, 'htt': 0.18, '…': 0}",negative,"[0.13283093, 0.81691337, 0.05025569]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@vincenz_munger @pensionskassen @RuthHumbel Es isch en Witz, dass die ""Liberale"" allerernst wend, dass mer 2030 nüm im Stand sind, Rente s'zahle...",isch en witz liberale allerernst wend mer nüm stehen rente s zahlen,,,,"{'Es': 0, 'isch': 0, 'en': 0.08, 'Witz': 1.0, 'dass': 0.11, 'die': 0.08, 'Liberale': 0, 'allerernst': 0.13, 'wend': 0, 'mer': 0, 'nüm': 0, 'im': 0, 'Stand': 0, 'sind': 0.09, 'Rente': 0, ""s'zahle"": 0, '...': 0}",negative,"[0.061917286, 0.9219664, 0.016116284]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,"@basilanderau @pensionskassen @AZingrich @didihaeusermann @andrisilbi_ @MarcoBume @LauraCurau @TheDudeLebovski @FDP_Liberalen @JCVPSchweiz Besser, wie dass mer 2030 schlicht nüm i de Lag isch Rente zahle... aber ja, chamer mache..😓🤦🏽‍♂️",gut mer schleichen nüm i de liegen isch rente zahlen ja chamer,,,,"{'Besser': 0.08, 'wie': 0, 'dass': 0.05, 'mer': 0, 'schlicht': 0, 'nüm': 0, 'i': 0.09, 'de': 0, 'Lag': 0.15, 'isch': 0, 'Rente': 0, 'zahle': 0.17, '...': 0, 'aber': 0.21, 'ja': 0, 'chamer': 0.43, 'mache': 0, '..': 0, '🤦': 0, '\u200d️': 0}",negative,"[0.29384473, 0.4345838, 0.27157143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,RT @petarmarj: SVP-Ständerat Alex Kuprecht ist für die erleichterte Einbürgerung: «Dieses Plakat ist mir einige Niveaus zu tief»  https://t…,svp ständerat alex kuprecht erleichtern einbürgerung plakat niveaus tief,,,,,,,"{'SVP-Ständerat': 0.24375000000000002, 'Alex': 0.08, 'Kuprecht': 0.2, 'ist': 0, 'für': 0.05, 'die': 0, 'erleichterte': 0, 'Einbürgerung': 0.89, '«': 0, 'Dieses': 0, 'Plakat': 0, 'mir': 0, 'einige': 0, 'Niveaus': 0, 'zu': 0, 'tief': 0, '»': 0}",positive,"[0.1234407, 0.0826745, 0.79388475]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @JosefWiederkehr: Streit um Sterbehilfe: Gegenschlag gegen Unbekannt
@silviasteiner 
Die Luft wird dünn für den anonymen Urheber! http:/…",streit sterbehilfe gegenschlag unbekannt luft dünnen anonym urheber http,,,,,,,,,,"{'Streit': 0, 'um': 0, 'Sterbehilfe': 0.76, 'Gegenschlag': 0.31, 'gegen': 0.41, 'Unbekannt': 0.2, 'Die': 0.07, 'Luft': 0.19, 'wird': 0, 'dünn': 0, 'für': 0.06, 'den': 0.07, 'anonymen': 0.19, 'Urheber': 0, 'http': 0.17, ':/': 0, '…': 0}",neutral,"[0.96968454, 0.020333562, 0.009981888]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @SchmidFederer: #Familieninitiative: Stehen ""Steuersenkungen"" nicht im Parteiprogramm der FDP? Oder gilt das nur für Unternehmen? @CVP_P…",familieninitiative stehen steuersenkungen parteiprogramm fdp gelten unternehmen,,,,,,,,,,,,,"{'Familieninitiative': 0.22499999999999998, 'Stehen': 0, 'Steuersenkungen': 0.495, 'nicht': 1.0, 'im': 0, 'Parteiprogramm': 0.04, 'der': 0.06, 'FDP': 0.04, 'Oder': 0.29, 'gilt': 0, 'das': 0.05, 'nur': 0.1, 'für': 0, 'Unternehmen': 0, '…': 0}",neutral,"[0.55925184, 0.41598025, 0.024767825]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @meyer_mattea: die, die bei Kriegsmaterialexport mit Arbeitsplätzen argumentieren, und die, denen bei #NoBillag rund 6000 Stellen egal s…",kriegsmaterialexport arbeitsplätzen argumentieren nobillag rund stellen egal s,,,,,,,,,,,,,,,,"{'die': 0, 'bei': 0.04, 'Kriegsmaterialexport': 0.48, 'mit': 0.08, 'Arbeitsplätzen': 0.12, 'argumentieren': 0.16, 'und': 0.08, 'denen': 0.04, 'NoBillag': 0.17, 'rund': 0, 'Stellen': 0, 'egal': 0, 's': 0, '…': 0}",neutral,"[0.95481575, 0.019370768, 0.025813533]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JakobKreu3fe1d: Schweizer Politik aktuell: 
- Abschaffung der öffentlich rechtlichen Medien 
- dafür Milliarden für Kampfflugzeuge 
- 0…",schweizer politik aktuell abschaffung öffentlich rechtlich medien dafür milliarden kampfflugzeuge,,,,,,,,,,,,,,,,,,,"{'Schweizer': 0.09, 'Politik': 0, 'aktuell': 0.08, 'Abschaffung': 0.12, 'der': 0.06, 'öffentlich': 0, 'rechtlichen': 0, 'Medien': 0.15, 'dafür': 0, 'Milliarden': 0.43, 'für': 0.43, 'Kampfflugzeuge': 0, '…': 0}",positive,"[0.27094513, 0.043530412, 0.68552446]",,,,,,,,,,,,,neutral
