answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Ja zu AHVplus – Nein zu Rentenkürzungen und Rentenalter 67! https://t.co/p5iMtpVgNu https://t.co/hB31Vsylfi,ja ahvplus nein rentenkürzungen rentenalter,"{'Ja': 0.18, 'zu': 0, 'AHVplus': 0.48, '–': 0, 'Nein': 0, 'Rentenkürzungen': 0, 'und': 0, 'Rentenalter': 0}",positive,"[0.014461422, 0.0044649174, 0.98107374]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Früsch us Bundesbärn: Wiedergutmachung bis Vaterschaftsurlaub-Bericht der Sondersession auf https://t.co/yqZ47ZIOY7 https://t.co/zOMrwmycWM,früsch us bundesbärn wiedergutmachung vaterschaftsurlaub bericht sondersession,,,,"{'Früsch': 0, 'us': 0.09, 'Bundesbärn': 0, 'Wiedergutmachung': 0, 'bis': 0, 'Vaterschaftsurlaub-Bericht': 0.49250000000000005, 'der': 0.1, 'Sondersession': 0.12, 'auf': 0.08}",neutral,"[0.84244335, 0.0110475905, 0.1465091]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,Abbaudebatte im Nationalrat-verschärftes Asylrecht aber Sparen beim Vollzug/Kampagnenlogik der SVP?  https://t.co/yoZgrjQJVJ via @srf,abbaudebatte nationalrat verschärft asylrecht sparen beim vollzug kampagnenlogik svp via,,,,,,,"{'Abbaudebatte': 0, 'im': 0, 'Nationalrat-verschärftes': 0.7125, 'Asylrecht': 0.905, 'aber': 0.94, 'Sparen': 0, 'beim': 0.08, 'Vollzug': 0, 'Kampagnenlogik': 0.14500000000000002, 'der': 0.08, 'SVP': 0, 'via': 0.11}",positive,"[0.08826311, 0.011496132, 0.9002407]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Neuer Bericht der Sommersession jetzt auf http://t.co/caz4YQn8: Nationalrat ""Service public gestärkt, Asylrecht verschärft""!",neu bericht sommersession nationalrat service public stärken asylrecht verschärfen,,,,,,,"{'Neuer': 0, 'Bericht': 0, 'der': 0.13, 'Sommersession': 0.145, 'jetzt': 0.1, 'auf': 0.11, 'Nationalrat': 0.22499999999999998, 'Service': 0.13, 'public': 0.17, 'gestärkt': 0.7, 'Asylrecht': 0.885, 'verschärft': 1.0}",positive,"[0.046539668, 0.026624173, 0.9268362]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"So, mein Einbürgerungsverfahren kommt heute Abend zum Höhepunkt: Übergabe meiner Urkunde als Gerlafinger, damit auch als Bürger des Kantons Solothurn 😊!
@KantonSolothurn @Gerlafingen",einbürgerungsverfahren kommen heute abend höhepunkt übergabe urkunde gerlafinger bürger kantons solothurn,,,,,,,,,,"{'So': 0.12, 'mein': 0.05, 'Einbürgerungsverfahren': 1.0, 'kommt': 0, 'heute': 0, 'Abend': 0, 'zum': 0.085, 'Höhepunkt': 0.69, 'Übergabe': 0.07500000000000001, 'meiner': 0, 'Urkunde': 0.13, 'als': 0.03, 'Gerlafinger': 0.1, 'damit': 0.14, 'auch': 0.02, 'Bürger': 0, 'des': 0, 'Kantons': 0, 'Solothurn': 0.08}",positive,"[0.006831731, 0.0014982118, 0.99167]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Plünderung der Staatskasse (USR III) gestoppt, Schritt zu fairer Einbürgerung erfolgt &amp; Nachjustierung beim NAF verpasst - Einsatz belohnt👍",plünderung staatskasse usr iii stoppen schritt fair einbürgerung erfolgen amp nachjustierung beim naf verpasst einsatz belohnen,,,,,,,,,,"{'Plünderung': 0, 'der': 0, 'Staatskasse': 0.07, 'USR': 0, 'III': 0.05, 'gestoppt': 0.14, 'Schritt': 0, 'zu': 0.56, 'fairer': 0, 'Einbürgerung': 1.0, 'erfolgt': 0, 'amp': 0.07, 'Nachjustierung': 0.14, 'beim': 0.04, 'NAF': 0.05, 'verpasst': 0, 'Einsatz': 0, 'belohnt': 0.09}",positive,"[0.0011497085, 0.0015308543, 0.9973194]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"So, Zeit zum Abstimmen: NEIN zum NAF, JA zur Einbürgerung ""unserer Kinder"", NEIN zur URS III - https://t.co/ts4babhv3L https://t.co/yav3VAHr4M",zeit abstimmen nein naf ja einbürgerung kinder nein urs iii,,,,,,,,,,"{'So': 0.04, 'Zeit': 0.04, 'zum': 0.06, 'Abstimmen': 0.16, 'NEIN': 0.07, 'NAF': 0.18, 'JA': 0, 'zur': 0.06, 'Einbürgerung': 1.0, 'unserer': 0.1, 'Kinder': 0.32, 'URS': 0.14, 'III': 0.1}",positive,"[0.25033987, 0.025705762, 0.7239544]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Aus der a.o.Asylsession im NR hin zur Unterschrifteneinrechung des Referendums gegen das Fortpflanzungsmedizingesetz https://t.co/BZkFwkoRNg,a o asylsession nr unterschrifteneinrechung referendums fortpflanzungsmedizingesetz,,,,,,,,,,,,,"{'Aus': 0, 'der': 0.33, 'a.o': 0.20500000000000002, 'Asylsession': 0, 'im': 0, 'NR': 0, 'hin': 0, 'zur': 0.20500000000000002, 'Unterschrifteneinrechung': 0.23, 'des': 0.08, 'Referendums': 0, 'gegen': 0.66, 'das': 0, 'Fortpflanzungsmedizingesetz': 0.875}",positive,"[0.16425599, 0.0061081517, 0.82963586]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Weshalb ich in der SP bin - es geht um Werte! #BezahlbarePrämien #ArbeitFürAlle #AusbildungFürAlle #Lohngleichheit #MenschundUmwelt #WahlenCH19 #FürAlleStattFürWenige https://t.co/z5agTupfZk,weshalb sp gehen werte bezahlbareprämien arbeitfüralle ausbildungfüralle lohngleichheit menschundumwelt wahlench19 fürallestattfürwenige,,,,,,,,,,,,,,,,"{'Weshalb': 0, 'ich': 0.01, 'in': 0.02, 'der': 0.03, 'SP': 0.02, 'bin': 0, 'es': 0, 'geht': 0, 'um': 0, 'Werte': 0.03, 'BezahlbarePrämien': 0.03, 'ArbeitFürAlle': 0, 'AusbildungFürAlle': 0, 'Lohngleichheit': 0, 'MenschundUmwelt': 0.037500000000000006, 'WahlenCH19': 0.14, 'FürAlleStattFürWenige': 0}",positive,"[0.21435034, 0.11511611, 0.67053354]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @uschneiderschue: Jetzt im Nationalrat #Gleichstellungsgesetz Wurden die Forderungen von Tausenden an der Lohngleichheitsdemo vom letzte…,nationalrat gleichstellungsgesetz forderungen tausenden lohngleichheitsdemo letzte,,,,,,,,,,,,,,,,"{'Jetzt': 0.04, 'im': 0, 'Nationalrat': 0.05, 'Gleichstellungsgesetz': 0.315, 'Wurden': 0, 'die': 0.06, 'Forderungen': 0, 'von': 0, 'Tausenden': 0.15, 'an': 0, 'der': 0.06, 'Lohngleichheitsdemo': 0.625, 'vom': 0.06, 'letzte': 0.08, '…': 0}",positive,"[0.024879742, 0.0026036305, 0.9725166]",,,,,,,,,,,,,,,,,,,neutral
