answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @allianzkindheit: Studie zu den Kinderbetreuungskosten im regionalen Vergleich: Neue Studie der @CreditSuisse zeigt, dass die Kosten für…",studie kinderbetreuungskosten regional vergleich neue studie zeigen kosten,"{'Studie': 0.14, 'zu': 0, 'den': 0.17, 'Kinderbetreuungskosten': 0.245, 'im': 0, 'regionalen': 0.13, 'Vergleich': 0.13, 'Neue': 0.11, 'der': 0.17, 'zeigt': 0, 'dass': 0.28, 'die': 0.17, 'Kosten': 0.33, 'für': 1.0, '…': 0}",neutral,"[0.66586506, 0.10956136, 0.22457357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.7999999999999999,neutral,"Frühförderung und gute Kinderbetreuung sind nicht nice to have. Sie sind wichtig für die Entwicklung unserer Kinder, für die Gleichstellung der Geschlechter und lohnen sich volkswirtschaftlich. Im Parlament bewegt sich etwas, aber es gibt noch zu tun. https://t.co/OsPXW2eAZG",frühförderung gut kinderbetreuung nice to have wichtig entwicklung kinder gleichstellung geschlechter lohnen volkswirtschaftlich parlament bewegen geben tun,"{'Frühförderung': 0.33499999999999996, 'und': 0.02, 'gute': 0, 'Kinderbetreuung': 1.0, 'sind': 0.02, 'nicht': 0.72, 'nice': 0.19, 'to': 0.01, 'have': 0.2, 'Sie': 0, 'wichtig': 0.13, 'für': 0.02, 'die': 0.02, 'Entwicklung': 0.04, 'unserer': 0.03, 'Kinder': 0.04, 'Gleichstellung': 0.03, 'der': 0.02, 'Geschlechter': 0, 'lohnen': 0, 'sich': 0, 'volkswirtschaftlich': 0.04, 'Im': 0, 'Parlament': 0.05, 'bewegt': 0, 'etwas': 0.04, 'aber': 0.02, 'es': 0.02, 'gibt': 0.02, 'noch': 0.02, 'zu': 0.01, 'tun': 0.01}",positive,"[0.003574894, 0.051483996, 0.9449411]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,positive,"@vera_beutler Danke für den Einwand, den ich gut verstehe. Auch meine Kinder empfanden die Kita-Betreuerinnen und Betreuer nicht als fremd. Die korrekte Bezeichnung „familienergänzende Kinderbetreuung“ ist allerdings nur bedingt twitter-tauglich. Vorschläge?",danke einwand gut verstehen kinder empfinden kita betreuerinnen betreuer fremd korrekt bezeichnung familienergänzende kinderbetreuung allerdings bedingt twitter tauglich vorschläge,"{'Danke': 0, 'für': 0.05, 'den': 0.02, 'Einwand': 0.04, 'ich': 0.03, 'gut': 0, 'verstehe': 0.04, 'Auch': 0, 'meine': 0.02, 'Kinder': 0.02, 'empfanden': 0, 'die': 0.02, 'Kita-Betreuerinnen': 0.03, 'und': 0, 'Betreuer': 0, 'nicht': 0, 'als': 0, 'fremd': 0, 'Die': 0.02, 'korrekte': 0.06, 'Bezeichnung': 0, '„': 0, 'familienergänzende': 0, 'Kinderbetreuung': 0, '“': 0, 'ist': 0, 'allerdings': 0, 'nur': 0, 'bedingt': 0, 'twitter-tauglich': 0, 'Vorschläge': 0}",neutral,"[0.78299123, 0.13793604, 0.07907275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,"@philipp_kaestli @tagesanzeiger @markbrot Was genau ist ""ineffiziente Kinderbetreuung""?",genau ineffiziente kinderbetreuung,"{'Was': 0, 'genau': 0, 'ist': 0.09, 'ineffiziente': 1.0, 'Kinderbetreuung': 0.25}",negative,"[0.4167458, 0.5134475, 0.069806665]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Wer Kinder grosszieht, erbringt für die Gesellschaft eine besondere Leistung. Kinderbetreuung geht aber für die Familien ins G…",wer kinder grosszieht erbringen gesellschaft besonder leistung kinderbetreuung gehen familien g,"{'Wer': 0.08, 'Kinder': 0.21, 'grosszieht': 0, 'erbringt': 0, 'für': 0.58, 'die': 0, 'Gesellschaft': 0.2, 'eine': 0, 'besondere': 0.12, 'Leistung': 0, 'Kinderbetreuung': 1.0, 'geht': 0, 'aber': 0.83, 'Familien': 0, 'ins': 0, 'G': 0, '…': 0}",positive,"[0.010668117, 0.01377957, 0.97555226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @ParlCH: WBK-N: Corona-Krise: WBK-N will Kitas und weitere Institutionen der familienergänzenden Kinderbetreuung... https://t.co/shAxgTe…,wbk n corona krise wbk n kitas weit institutionen familienergänzenden kinderbetreuung,"{'WBK-N': 0, 'Corona-Krise': 0, 'will': 0, 'Kitas': 0, 'und': 0.16, 'weitere': 0, 'Institutionen': 0.17, 'der': 0, 'familienergänzenden': 0, 'Kinderbetreuung': 1.0, '...': 0}",positive,"[0.039518997, 0.018374093, 0.94210696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,WBK-Sitzung heute war intensiv aber lohnend. Breite Allianz will Kitas und weitere Institutionen der familienergänzenden Kinderbetreuung unterstützen. Jetzt sind unsere „Schwestern“ in der WBK-S am Zug. ⁦@CVP_PDC⁩ ⁦ https://t.co/mWfnK3F8u7,wbk sitzung heute intensiv lohnen breit allianz kitas weit institutionen familienergänzenden kinderbetreuung unterstützen schwestern wbk s zug,"{'WBK-Sitzung': 0.035, 'heute': 0.02, 'war': 0, 'intensiv': 0, 'aber': 0.03, 'lohnend': 0.07, 'Breite': 0.02, 'Allianz': 0, 'will': 0, 'Kitas': 0, 'und': 0.14, 'weitere': 0, 'Institutionen': 0.32, 'der': 0, 'familienergänzenden': 0, 'Kinderbetreuung': 1.0, 'unterstützen': 0.43, 'Jetzt': 0.19, 'sind': 0, 'unsere': 0.02, '„': 0, 'Schwestern': 0, '“': 0, 'in': 0, 'WBK-S': 0, 'am': 0, 'Zug': 0, '\u2066\u2069': 0, '\u2066': 0}",positive,"[0.0021344125, 0.0012814496, 0.99658406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @CVP_PDC: Kinderbetreuungsstätten sind nicht nur in der ausserordentlichen Lage wichtig für das Funktionieren unserer Gesellschaft. Der…,kinderbetreuungsstätten ausserordentlichen lage wichtig funktionieren gesellschaft,"{'Kinderbetreuungsstätten': 0.31, 'sind': 0.23, 'nicht': 0.12, 'nur': 0.12, 'in': 0.07, 'der': 1.0, 'ausserordentlichen': 0.2, 'Lage': 0, 'wichtig': 0.27, 'für': 0.1, 'das': 0, 'Funktionieren': 0, 'unserer': 0.08, 'Gesellschaft': 0.08, 'Der': 1.0, '…': 0}",positive,"[0.003936876, 0.009370942, 0.98669213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Die @CVP_PDC Fraktion spricht sich für den Ausbau der familienergänzenden Kinderbetreuung und eine rasche Umsetzung der Untern…,fraktion sprechen ausbau familienergänzenden kinderbetreuung rasch umsetzung untern,"{'Die': 0.06, 'Fraktion': 0, 'spricht': 0, 'sich': 0, 'für': 0, 'den': 0.06, 'Ausbau': 0, 'der': 0.06, 'familienergänzenden': 0.18, 'Kinderbetreuung': 1.0, 'und': 0.1, 'eine': 0, 'rasche': 0, 'Umsetzung': 0.22, 'Untern': 0.15, '…': 0}",positive,"[0.021517288, 0.01185616, 0.9666266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,@hjboesch @spschweiz @CVP_PDC @GrueneCH @grunliberale Du denkst tatsächlich Rentenalter 67 ist mehrheitsfähig?,denken tatsächlich rentenalter mehrheitsfähig,,,,"{'Du': 0, 'denkst': 0.57, 'tatsächlich': 0, 'Rentenalter': 0.29500000000000004, 'ist': 0.23, 'mehrheitsfähig': 0.34}",neutral,"[0.92222404, 0.043444518, 0.03433145]",,,,,,,,,,,,,,,,,,,,,,,,,positive
