answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @KuendigJoerg: Abschaffung Kleinkinderbetreuungsbetiräge KKBB durch Zürcher Regierungsrat per 1.4.16.Spürbare finanzielle Entlastung für…,abschaffung kleinkinderbetreuungsbetiräge kkbb zürcher regierungsrat per spürbare finanzielle entlastung,"{'Abschaffung': 0.16, 'Kleinkinderbetreuungsbetiräge': 0.51, 'KKBB': 0.22, 'durch': 0, 'Zürcher': 0, 'Regierungsrat': 0.07, 'per': 0, '1.4.16.Spürbare': 0.51, 'finanzielle': 0.22, 'Entlastung': 0, 'für': 1.0, '…': 0}",positive,"[0.0033630498, 0.001862604, 0.9947744]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @MFrauchigerSVP: «Hacking bedroht unsere Daten, unsere Abstimmungen und unsere Demokratie. 
E-Voting muss gestoppt werden, bis es irgend…",hacking bedrohen daten abstimmungen demokratie e voting stoppen irgend,,,,"{'«': 0, 'Hacking': 0, 'bedroht': 0, 'unsere': 0, 'Daten': 0, 'Abstimmungen': 0, 'und': 0, 'Demokratie': 0, 'E-Voting': 0, 'muss': 0, 'gestoppt': 0, 'werden': 0, 'bis': 0, 'es': 0, 'irgend': 0, '…': 0}",negative,"[0.24249446, 0.47773924, 0.27976638]",,,,,,,,,,negative
50.0,25.0,28.0,-0.15,negative,"Die Wahl-Infrastruktur ist die Achillesferse der #Demokratie, sagt die @NZZ. Da wundere ich mich schon, dass es immer noch blauäugige Menschen gibt, die das E-Voting als etwas ""Cooles"" ansehen! #NoEvoting @kuenzler @narimoldi https://t.co/QemN5nPZSg",wahl infrastruktur achillesferse demokratie sagen wund schon immer blauäugige menschen geben e voting cool ansehen noevoting,,,,"{'Die': 0.04, 'Wahl-Infrastruktur': 0.04, 'ist': 0.03, 'die': 0.04, 'Achillesferse': 0.045, 'der': 0.04, 'Demokratie': 0.09, 'sagt': 0.06, 'Da': 0, 'wundere': 0, 'ich': 0.03, 'mich': 0, 'schon': 0, 'dass': 0.04, 'es': 0.03, 'immer': 0, 'noch': 0.05, 'blauäugige': 0, 'Menschen': 0.04, 'gibt': 0.04, 'das': 0.04, 'E-Voting': 0, 'als': 0.05, 'etwas': 0.07, 'Cooles': 0.07, 'ansehen': 0, 'NoEvoting': 1.0}",positive,"[0.33285645, 0.13072474, 0.53641886]",,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Der #krzh gibt mir nun Recht, auch wenn meine Partei immer noch anderer Meinung ist:
Zürcher Kantonsrat unterstützt Moratorium für E-Voting https://t.co/q23BaXYpUz",krzh geben recht partei immer meinung zürcher kantonsrat unterstützen moratorium e voting,,,,"{'Der': 0.06, 'krzh': 0.08, 'gibt': 0, 'mir': 0.05, 'nun': 0, 'Recht': 0, 'auch': 0, 'wenn': 0.07, 'meine': 0.05, 'Partei': 0.09, 'immer': 0, 'noch': 0.06, 'anderer': 0, 'Meinung': 0, 'ist': 0, 'Zürcher': 0, 'Kantonsrat': 0.48, 'unterstützt': 1.0, 'Moratorium': 0.98, 'für': 0, 'E-Voting': 0}",positive,"[0.3998798, 0.15850514, 0.44161502]",,,,,,,,,,positive
100.0,100.0,86.0,0.675,neutral,"Ich bin erfreut darüber, dass meine Partei nun auch erste Skepsis gegenüber der sofortigen Einführung von #E-Voting kundtut:
E-Voting wird in Vernehmlassung als noch zu wenig sicher empfunden. @RADIO_TOP_CH
https://t.co/YssqQegmf6",erfreuen darüber partei erste skepsis gegenüber sofortig einführung e voting kundtut e voting vernehmlassung wenig sichern empfinden,,,,"{'Ich': 0.05, 'bin': 0, 'erfreut': 0.19, 'darüber': 0.06, 'dass': 0.1, 'meine': 0.06, 'Partei': 0.07, 'nun': 0, 'auch': 0.14, 'erste': 0, 'Skepsis': 0.07, 'gegenüber': 0.21, 'der': 0.2, 'sofortigen': 0, 'Einführung': 0.1, 'von': 0, 'E-Voting': 0, 'kundtut': 0, 'wird': 0, 'in': 0.69, 'Vernehmlassung': 0.26, 'als': 0, 'noch': 0.52, 'zu': 0.21, 'wenig': 0, 'sicher': 0.35, 'empfunden': 0.87}",negative,"[0.032406956, 0.95828474, 0.0093082795]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"#Marschhalt für das #E-Voting gefordert. Dank an Erich Aschwanden.
Es braucht einen Neustart für das E-Voting: https://t.co/esD5uhRsES",marschhalt e voting fordern danken erich aschwanden brauchen neustart e voting,,,,"{'Marschhalt': 0, 'für': 0.51, 'das': 0, 'E-Voting': 0, 'gefordert': 0.16, 'Dank': 0.23500000000000001, 'an': 0, 'Erich': 0.17, 'Aschwanden': 0.37, 'Es': 0, 'braucht': 0, 'einen': 0.2, 'Neustart': 0}",positive,"[0.036676787, 0.014574865, 0.94874835]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,E-Voting: Es geht ums Vertrauen in die Demokratie https://t.co/2EkbQDoX0n via @tagblatt_ch,e voting gehen ums vertrauen demokratie via,,,,"{'E-Voting': 0, 'Es': 0, 'geht': 0, 'ums': 0, 'Vertrauen': 0.39, 'in': 0.17, 'die': 0, 'Demokratie': 0.43, 'via': 0.32}",positive,"[0.4665306, 0.04667541, 0.4867939]",,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"Ich frage mich gerade, wer im Ernst noch behaupten will, E-Voting sei heute sicher. Nach der Lektüre dieses Texts ist für mich klar, dass die Zeiten der E-Voting-Träumer vorbei sind.
Hacker wehren sich nach Maulkorb: E-Voting-Quellcode der Post geleakt https://t.co/0U623IItok",fragen gerade wer ernst behaupten e voting heute sichern lektüre texts klaren zeiten e voting träumer vorbei hacker wehren maulkorb e voting quellcode post geleakt,,,,"{'Ich': 0.02, 'frage': 0, 'mich': 0.01, 'gerade': 0.02, 'wer': 0.03, 'im': 0, 'Ernst': 0, 'noch': 0, 'behaupten': 0, 'will': 0, 'E-Voting': 0, 'sei': 0, 'heute': 0.02, 'sicher': 0, 'Nach': 0.03, 'der': 0.05, 'Lektüre': 0.03, 'dieses': 0.03, 'Texts': 0, 'ist': 0.05, 'für': 0, 'klar': 0.05, 'dass': 0.06, 'die': 0.05, 'Zeiten': 0, 'E-Voting-Träumer': 0, 'vorbei': 0, 'sind': 0.05, 'Hacker': 0, 'wehren': 0, 'sich': 0, 'nach': 0.09, 'Maulkorb': 0.06, 'E-Voting-Quellcode': 0.51, 'Post': 0.13, 'geleakt': 0}",negative,"[0.26830363, 0.7211142, 0.010582077]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Warum E-Banking nichts mit E-Voting zu tun hat: https://t.co/MTAUb2pDNM

▶ Jetzt unterschreiben: https://t.co/8AIxvynjHV 💪",warum e banking e voting tun unterschreiben,,,,"{'Warum': 0.2, 'E-Banking': 0, 'nichts': 0.14, 'mit': 0.22, 'E-Voting': 0, 'zu': 0.1, 'tun': 0.12000000000000001, 'hat': 0, '▶': 0, 'Jetzt': 0, 'unterschreiben': 0}",negative,"[0.348477, 0.6154558, 0.036067214]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Sicherheit vor Tempo! Schützen wir unsere Demokratie vor Cyberangriffen: 
Sich jetzt als Unterstützer der Volksinitiative für ein E-Voting-Moratorium eintragen! Danke!
https://t.co/1SrNwf7Jlu",sicherheit tempo schützen demokratie cyberangriffen unterstützer volksinitiative e voting moratorium eintragen danke,,,,"{'Sicherheit': 0.17, 'vor': 0.32, 'Tempo': 0, 'Schützen': 0, 'wir': 0, 'unsere': 0.05, 'Demokratie': 0.08, 'Cyberangriffen': 0.07, 'Sich': 0, 'jetzt': 0.27, 'als': 0.18, 'Unterstützer': 0.22, 'der': 0.11, 'Volksinitiative': 0.15000000000000002, 'für': 0.11, 'ein': 0, 'E-Voting-Moratorium': 0, 'eintragen': 0, 'Danke': 0.935}",positive,"[0.08044777, 0.048418894, 0.8711333]",,,,,,,,,,positive
