answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Anstossfinanzierung für Kinderbetreuungsplätze im Nationalrat verlängert. Bevor der Ständerat nun zustimmt macht die FDP heute klar, dass die Elternzeit bei einer Zustimmung kein Thema ist! Deshalb verlängern! Die Elternzeit ist ein wichtiges Thema, braucht aber noch viel Zeit!",anstossfinanzierung kinderbetreuungsplätze nationalrat verlängern bevor ständerat zustimmen fdp heute klaren elternzeit zustimmung thema deshalb verlängern elternzeit wichtig thema brauchen zeit,"{'Anstossfinanzierung': 0, 'für': 1.0, 'Kinderbetreuungsplätze': 0.815, 'im': 0, 'Nationalrat': 0.07, 'verlängert': 0.19, 'Bevor': 0.08, 'der': 0.04, 'Ständerat': 0.035, 'nun': 0, 'zustimmt': 0, 'macht': 0, 'die': 0.04, 'FDP': 0.04, 'heute': 0.03, 'klar': 0.04, 'dass': 0.05, 'Elternzeit': 0.025, 'bei': 0, 'einer': 0, 'Zustimmung': 0, 'kein': 0, 'Thema': 0, 'ist': 0.02, 'Deshalb': 0.04, 'verlängern': 0.06, 'Die': 0.04, 'ein': 0, 'wichtiges': 0.02, 'braucht': 0, 'aber': 0.01, 'noch': 0.01, 'viel': 0.02, 'Zeit': 0.03}",neutral,"[0.68803644, 0.12589549, 0.18606807]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,Sondersession NR. Hoffe auf Zustimmung für die Finanzhilfen für Kinderbetreuung. Für die bessere Vereinbarkeit von Familie und Beruf! https://t.co/Kx6uZQ1OLQ,sondersession nr hoffen zustimmung finanzhilfen kinderbetreuung gut vereinbarkeit familie beruf,"{'Sondersession': 0.205, 'NR': 0.13, 'Hoffe': 0.26, 'auf': 0, 'Zustimmung': 0, 'für': 0.28, 'die': 0.44, 'Finanzhilfen': 1.0, 'Kinderbetreuung': 0.96, 'Für': 0.28, 'bessere': 0.15, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0, 'und': 0, 'Beruf': 0}",positive,"[0.017072627, 0.010042899, 0.9728845]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,JA zur #Initiative #Kinderbetreuung in #Zürich. Bezahlbare und qualitative Kinderbetreuung für alle. https://t.co/61GJy8fbDA,ja initiative kinderbetreuung zürich bezahlbare qualitative kinderbetreuung all,"{'JA': 0.49, 'zur': 0.065, 'Initiative': 0.1, 'Kinderbetreuung': 1.0, 'in': 0.04, 'Zürich': 0, 'Bezahlbare': 0, 'und': 0.49, 'qualitative': 0, 'für': 0.28, 'alle': 0.23}",positive,"[0.00082310784, 0.0012857731, 0.9978911]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Männerquote bei Kinderbetreuung verschärft Fachkräftemangel:
https://t.co/uqQVAGmVir",männerquote kinderbetreuung verschärfen fachkräftemangel,"{'Männerquote': 0.17, 'bei': 0, 'Kinderbetreuung': 0.36, 'verschärft': 0, 'Fachkräftemangel': 0.1025}",negative,"[0.048076555, 0.906652, 0.04527153]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Die #BDP erneuert ihre langjährige Forderung zum Rentenalter: https://t.co/IgRk8kKL0d #langweiligabergut,bdp erneuern langjährig forderung rentenalter langweiligabergut,,,,"{'Die': 0.07, 'BDP': 0.09, 'erneuert': 0, 'ihre': 0, 'langjährige': 0, 'Forderung': 0, 'zum': 0.07, 'Rentenalter': 0.12, 'langweiligabergut': 0}",positive,"[0.008778586, 0.0027969216, 0.9884244]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @BDPSchweiz: Altersvorsorge 2020: Nachbesserungen sind dringend und zwingend - #BDP will Automatisierung des Rentenalters.
http://t.co/4…",altersvorsorge nachbesserungen dringen zwingen bdp automatisierung rentenalters,,,,"{'Altersvorsorge': 0.535, 'Nachbesserungen': 0, 'sind': 0.07, 'dringend': 0, 'und': 0.07, 'zwingend': 0.07, 'BDP': 0.13, 'will': 0, 'Automatisierung': 0, 'des': 0, 'Rentenalters': 1.0}",positive,"[0.019635865, 0.0036548402, 0.97670925]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,RT @LandoltMartin: Wir werden immer älter – und leisten uns das ewig selbe Rentenalter  http://t.co/zY4LhcZ6mw via @BernerZeitung,immer alt leisten ewig selbe rentenalter via,,,,"{'Wir': 0.17, 'werden': 0, 'immer': 0.6, 'älter': 0.08, '–': 0, 'und': 0, 'leisten': 0, 'uns': 0, 'das': 0, 'ewig': 0, 'selbe': 0, 'Rentenalter': 0, 'via': 0}",positive,"[0.10475886, 0.0075976965, 0.88764346]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,#Vaterschaftsurlaub. Vereinbarkeit von Familie und Beruf fördern! https://t.co/WcVpzG246E,vaterschaftsurlaub vereinbarkeit familie beruf fördern,,,,,,,"{'Vaterschaftsurlaub': 0.81, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0, 'und': 0, 'Beruf': 0, 'fördern': 0}",positive,"[0.0071417093, 0.0020135052, 0.9908448]",,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"Da flattern dem Berner Sennenhund (CH, kein chinesischer Stoffhund) die Ohren! SVP mit widerlicher Kampagne gegen erleichterte Einbürgerung! https://t.co/hMrABF4NAD",flattern berner sennenhund ch chinesisch stoffhund ohren svp widerlich kampagne erleichtern einbürgerung,,,,,,,,,,"{'Da': 0, 'flattern': 0.22, 'dem': 0.06, 'Berner': 0, 'Sennenhund': 0.08499999999999999, 'CH': 0.07, 'kein': 0, 'chinesischer': 0.1, 'Stoffhund': 0.15, 'die': 0.06, 'Ohren': 0.1, 'SVP': 0, 'mit': 0.95, 'widerlicher': 1.0, 'Kampagne': 1.0, 'gegen': 0.58, 'erleichterte': 0, 'Einbürgerung': 0.99}",negative,"[0.044919588, 0.5580599, 0.39702058]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @BDPSchweiz: Für eine moderne Gesellschaft: Erleichterte Einbürgerung kommt dank #BDP  in den Nationalrat.
https://t.co/XQjJ2NVrKt",modern gesellschaft erleichtern einbürgerung kommen danken bdp nationalrat,,,,,,,,,,"{'Für': 0.1, 'eine': 0, 'moderne': 0.11, 'Gesellschaft': 0.13, 'Erleichterte': 0, 'Einbürgerung': 1.0, 'kommt': 0.35, 'dank': 0.16999999999999998, 'BDP': 0.08, 'in': 0, 'den': 0.08, 'Nationalrat': 0.095}",positive,"[0.002028048, 0.0013174678, 0.9966545]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: #BDP-Fraktionspräsidentin @QuadrantiR: ""Ja zum Fortpflanzungsmedizingesetz ermöglicht fortschrittliche Lösungen."" https://t…",bdp fraktionspräsidentin ja fortpflanzungsmedizingesetz ermöglichen fortschrittliche lösungen,,,,,,,,,,,,,"{'BDP-Fraktionspräsidentin': 0.12625, 'Ja': 0, 'zum': 0.26, 'Fortpflanzungsmedizingesetz': 0.9, 'ermöglicht': 0.57, 'fortschrittliche': 0.25, 'Lösungen': 0.52}",positive,"[0.10273711, 0.008667803, 0.8885951]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: JA zum revidierten Fortpflanzungsmedizingesetz am 5. Juni. @PID_Ja  @Enea_Martinelli 
https://t.co/7pIc4g7W3E",ja revidierten fortpflanzungsmedizingesetz juni,,,,,,,,,,,,,"{'JA': 0, 'zum': 0.28500000000000003, 'revidierten': 0.82, 'Fortpflanzungsmedizingesetz': 0.8575, 'am': 0, '5.': 0, 'Juni': 0.26}",positive,"[0.06429332, 0.0031546156, 0.93255204]",,,,,,,,,,neutral
