answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @KlimaAllianzCH: Deshalb, liebe Pensionskassen, sind eure Investitionen in fossile Energie für unsere Renten gefährlich. #DivestNow http…",deshalb lieb pensionskassen investitionen fossile energie renten gefährlich divestnow http,"{'Deshalb': 0.19, 'liebe': 0, 'Pensionskassen': 0.1, 'sind': 0.16, 'eure': 0.11, 'Investitionen': 0.09, 'in': 0.05, 'fossile': 0.08, 'Energie': 0.1, 'für': 0.06, 'unsere': 0.08, 'Renten': 0.1, 'gefährlich': 0.16, 'DivestNow': 0.85, 'http': 1.0, '…': 0}",negative,"[0.20637415, 0.74260217, 0.051023625]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @STV_Engineering: Wahen 2015. Swiss Engineering unterstützt: Schär Raphael, J Grüne SO, er sagt: Ausbau erneuerbarer Energien. http://t.…",wahen swiss engineering unterstützen schär raphael j grüne sagen ausbau erneuerbarer energien,,,,"{'Wahen': 0.07, '2015.': 0, 'Swiss': 0.07, 'Engineering': 0.14, 'unterstützt': 0.24, 'Schär': 0, 'Raphael': 0.09, 'J': 0.05, 'Grüne': 0, 'SO': 0.15, 'er': 0, 'sagt': 0.29, 'Ausbau': 1.0, 'erneuerbarer': 0.79, 'Energien': 0.63}",positive,"[0.003704725, 0.002888797, 0.9934064]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@KlausErmecke Unter anderem ein Umstieg auf 100% Erneuerbare Energien.,umsteigen erneuerbare energien,,,,"{'Unter': 0, 'anderem': 0.1, 'ein': 0, 'Umstieg': 0.39, 'auf': 0, 'Erneuerbare': 0.58, 'Energien': 0.57}",positive,"[0.08836727, 0.013801261, 0.89783144]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @SanktDoris: Die Heimat der Faultiere stürmt voran: Bis 2016 will das Land 100% erneuerbare Energien nutzen. Was tut die Schweiz? http:/…,heimat faultiere stürmen voran land erneuerbare energien nutzen tun schweiz http,,,,"{'Die': 0.03, 'Heimat': 0, 'der': 0.03, 'Faultiere': 0, 'stürmt': 0, 'voran': 0, 'Bis': 0.06, 'will': 0, 'das': 0, 'Land': 0, 'erneuerbare': 0.3, 'Energien': 0.12, 'nutzen': 0.095, 'Was': 0, 'tut': 0, 'die': 0.03, 'Schweiz': 0.04, 'http': 0.04, ':/': 0, '…': 0}",positive,"[0.008983001, 0.0033822295, 0.9876347]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @bglaettli: Kein Kriegsmaterial liefern an Länder, die am Jemen-Krieg beteiligt sind! https://t.co/BFXF6EqSKa https://t.co/6DZokmhF18",kriegsmaterial liefern länder jemen krieg beteiligen,,,,,,,"{'Kein': 0, 'Kriegsmaterial': 0.125, 'liefern': 0.84, 'an': 0, 'Länder': 0.07, 'die': 0.03, 'am': 0, 'Jemen-Krieg': 0.035, 'beteiligt': 0.06, 'sind': 0.07}",negative,"[0.047478247, 0.9487351, 0.0037866323]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @gruene_so: Heutiges Plakat: Seit Beginn setzen wir uns für mehr Umweltschutz, mehr Chancengleichheit und weniger Schubladendenken ein.…",heutig plakat seit beginn setzen mehr umweltschutz mehr chancengleichheit wenig schubladendenken,,,,,,,,,,"{'Heutiges': 0.1, 'Plakat': 0.3, 'Seit': 0.21, 'Beginn': 0.22, 'setzen': 0, 'wir': 0, 'uns': 0, 'für': 0.77, 'mehr': 0.14, 'Umweltschutz': 0.525, 'Chancengleichheit': 0.19, 'und': 0.13, 'weniger': 0, 'Schubladendenken': 0.14, 'ein': 0, '…': 0}",positive,"[0.10560896, 0.041056518, 0.85333455]",,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @Helvetas: Unterschreibe jetzt, damit Bund Budget Entwicklungshilfe nicht um 115 Mio. kürzt! Please RT
https://t.co/3PmsrbWBg7 https://t…",unterschreiben bund budget entwicklungshilfe mio kürzen please,,,,,,,,,,,,,"{'Unterschreibe': 0.2, 'jetzt': 0.13, 'damit': 0, 'Bund': 0, 'Budget': 0.11, 'Entwicklungshilfe': 0.09, 'nicht': 0.16, 'um': 0, 'Mio.': 0, 'kürzt': 0, 'Please': 1.0}",positive,"[0.108251534, 0.08497726, 0.8067712]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Und gleichzeitig spart der #Bundesrat in der #Entwicklungshilfe ... https://t.co/gXX92rOPeh,gleichzeitig sparen bundesrat entwicklungshilfe,,,,,,,,,,,,,"{'Und': 0.26, 'gleichzeitig': 0, 'spart': 0, 'der': 0.17, 'Bundesrat': 0, 'in': 0.31, 'Entwicklungshilfe': 0.14, '...': 0}",positive,"[0.19487451, 0.03911773, 0.7660078]",,,,neutral
50.0,75.0,57.0,0.0,negative,Nein zu Budgetkürzungen bei der Entwicklungshilfe. https://t.co/f6cTn1T9Pk,nein budgetkürzungen entwicklungshilfe,,,,,,,,,,,,,"{'Nein': 1.0, 'zu': 0.98, 'Budgetkürzungen': 0.305, 'bei': 0, 'der': 0, 'Entwicklungshilfe': 0.2}",positive,"[0.09628173, 0.064612255, 0.83910596]",,,,neutral
0.0,0.0,14.0,-0.7,neutral,Jährlich geht das 1.5-fache des Neuenburgersees an Landwirtschaftsland verloren. Jetzt #zersiedelung und #kulturlandverlust stoppen. https://t.co/RGzqnMZAFE,jährlich gehen fache neuenburgersees landwirtschaftsland verlieren zersiedelung kulturlandverlust stoppen,,,,,,,,,,,,,,,,"{'Jährlich': 0, 'geht': 0, 'das': 0, '1.5-fache': 0.09, 'des': 0, 'Neuenburgersees': 0.13, 'an': 0, 'Landwirtschaftsland': 0.245, 'verloren': 0.25, 'Jetzt': 0.76, 'zersiedelung': 0, 'und': 0.63, 'kulturlandverlust': 0.45999999999999996, 'stoppen': 1.0}",neutral,"[0.6122121, 0.10376392, 0.28402397]",negative
