answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @AUNS_CH: Schweizer sollen Integrationskurse besuchen, sich den Ausländern anpassen. Dies fordert der ""Soziologe"" (Zögling des Marxisten…",schweizer sollen integrationskurse besuchen ausländern anpassen fordern soziologe zögling marxisten,"{'Schweizer': 0.22, 'sollen': 0.85, 'Integrationskurse': 0.35, 'besuchen': 0, 'sich': 0, 'den': 0.07, 'Ausländern': 0.82, 'anpassen': 0, 'Dies': 0, 'fordert': 0, 'der': 0.07, 'Soziologe': 0.28, 'Zögling': 0.11, 'des': 0, 'Marxisten': 0, '…': 0}",neutral,"[0.8212614, 0.010255302, 0.16848329]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Die grössten Sorgen der #Schweizer: 
1. AHV 
2. Krankenkasse 
3. Ausländer/Innen 
4. Flüchtlinge/Asylfragen 
5. Umweltschutz 
6. Arbeitslosigkeit 
7. EU/Bilaterale/Integration 
8. Neue Armut 
9. Löhne 
10. Bundesfinanzen

https://t.co/DdtrGvtYWS via @20min",grössten sorgen schweizer ahv krankenkasse ausländer innen flüchtlinge asylfragen umweltschutz arbeitslosigkeit eu bilateral integration neue armut löhnen bundesfinanzen via,"{'Die': 0.05, 'grössten': 0.05, 'Sorgen': 0, 'der': 0.05, 'Schweizer': 0.09, '1.': 0, 'AHV': 0.15, '2.': 0, 'Krankenkasse': 0.32, '3.': 0, 'Ausländer': 1.0, 'Innen': 0, '4.': 0, 'Flüchtlinge': 0.22, 'Asylfragen': 0.23, '5.': 0, 'Umweltschutz': 0.075, '6.': 0, 'Arbeitslosigkeit': 0.12, '7.': 0, 'EU': 0, 'Bilaterale': 0.07, 'Integration': 0.12, '8.': 0, 'Neue': 0.06, 'Armut': 0.13, '9.': 0, 'Löhne': 0.07, '10.': 0, 'Bundesfinanzen': 0.065, 'via': 0.08}",positive,"[0.26961768, 0.12458679, 0.6057955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.04, 'grössten': 0.05, 'Sorgen': 0, 'der': 0.04, 'Schweizer': 0.03, '1.': 0, 'AHV': 0.04, '2.': 0, 'Krankenkasse': 0.09, '3.': 0, 'Ausländer': 0.08, 'Innen': 0, '4.': 0, 'Flüchtlinge': 0.14, 'Asylfragen': 0.15, '5.': 0, 'Umweltschutz': 0.9450000000000001, '6.': 0, 'Arbeitslosigkeit': 0.28, '7.': 0, 'EU': 0, 'Bilaterale': 0.09, 'Integration': 0.21, '8.': 0, 'Neue': 0.06, 'Armut': 0.22, '9.': 0, 'Löhne': 0.1, '10.': 0, 'Bundesfinanzen': 0.09, 'via': 0.05}",positive,"[0.0128773, 0.0063428553, 0.9807798]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @ReneTruninger: Hat die aus #rotgrünen-Kreisen stammende Petition ev. etwas im dem hohen #Cannabis-Konsum der #Schweizer Jugend zu tun?…,rotgrünen kreisen stammend petition ev hoch cannabis konsum schweizer jugend tun,,,,"{'Hat': 0, 'die': 0.25, 'aus': 0, 'rotgrünen-Kreisen': 0.1, 'stammende': 0, 'Petition': 0.28, 'ev.': 0, 'etwas': 0, 'im': 0, 'dem': 0.175, 'hohen': 0.25, 'Cannabis-Konsum': 0.3, 'der': 0.25, 'Schweizer': 0.26, 'Jugend': 0.46, 'zu': 0.1, 'tun': 0.14, '…': 0}",neutral,"[0.915167, 0.014366694, 0.07046636]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Hat die aus #rotgrünen-Kreisen stammende Petition ev. etwas im dem hohen #Cannabis-Konsum der #Schweizer Jugend zu tun? 

https://t.co/UyE6JDM3ca",rotgrünen kreisen stammend petition ev hoch cannabis konsum schweizer jugend tun,,,,"{'Hat': 0, 'die': 0.14, 'aus': 0, 'rotgrünen-Kreisen': 0.06, 'stammende': 0, 'Petition': 0.2, 'ev.': 0, 'etwas': 0.11, 'im': 0, 'dem': 0.115, 'hohen': 0.13, 'Cannabis-Konsum': 0.14, 'der': 0.14, 'Schweizer': 0.17, 'Jugend': 0.21, 'zu': 0.09, 'tun': 0.11}",neutral,"[0.95949143, 0.012967588, 0.027540965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @ReneTruninger: Trotz #Suchtprävention-Ausgaben von über 1 Milliarde werden in der #Schweiz werden pro Jahr rund 50 Tonnen #Cannabis kon…,trotzen suchtprävention ausgaben milliarde schweiz pro jahr rund tonnen cannabis kon,,,,"{'Trotz': 0.28, 'Suchtprävention-Ausgaben': 0.2925, 'von': 0, 'über': 0.07, 'Milliarde': 0.22, 'werden': 0, 'in': 0.12, 'der': 0, 'Schweiz': 0.25, 'pro': 0, 'Jahr': 0.27, 'rund': 0.13, 'Tonnen': 0.34, 'Cannabis': 1.0, 'kon': 0, '…': 0}",neutral,"[0.6265127, 0.017167367, 0.3563199]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Trotz #Suchtprävention-Ausgaben von über 1 Milliarde werden in der #Schweiz werden pro Jahr rund 50 Tonnen #Cannabis konsumiert! #Nutzlos?

https://t.co/33aoxAC303",trotzen suchtprävention ausgaben milliarde schweiz pro jahr rund tonnen cannabis konsumieren nutzlos,,,,"{'Trotz': 0.07, 'Suchtprävention-Ausgaben': 0.07, 'von': 0, 'über': 0.06, 'Milliarde': 0.05, 'werden': 0, 'in': 0.09, 'der': 0, 'Schweiz': 0.18, 'pro': 0, 'Jahr': 0.07, 'rund': 0.1, 'Tonnen': 0, 'Cannabis': 0.09, 'konsumiert': 0.05, 'Nutzlos': 1.0}",neutral,"[0.8607975, 0.109163724, 0.030038739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @maxotte_says: Hans-Werner #Sinn: ""Rentenalter muss steigen, um #Flüchtlinge zu ernähren."" https://t.co/IdOTrlViPJ",hans werner sinn rentenalter steigen flüchtlinge ernähren,,,,,,,"{'Hans-Werner': 0, 'Sinn': 0, 'Rentenalter': 0.56, 'muss': 0.34, 'steigen': 0.39, 'um': 0, 'Flüchtlinge': 0.1, 'zu': 0.34, 'ernähren': 0.1}",positive,"[0.14463392, 0.032651708, 0.8227144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @thomas_aeschi: Hat die @FDP_Liberalen an ihrer Delegiertenversammlung nicht die Nein-Parole zum #Vaterschaftsurlaub beschlossen? Sollte…,delegiertenversammlung nein parole vaterschaftsurlaub beschließen sollen,,,,,,,,,,"{'Hat': 0, 'die': 0.13, 'an': 0, 'ihrer': 0, 'Delegiertenversammlung': 0.16, 'nicht': 0, 'Nein-Parole': 0.37, 'zum': 0.13, 'Vaterschaftsurlaub': 0.59, 'beschlossen': 0, 'Sollte': 0.08, '…': 0}",neutral,"[0.771965, 0.10309253, 0.124942414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @ReneTruninger: Gemäss #20min-Umfrage ist eine grosse Mehrheit für den #Vaterschaftsurlaub &amp; damit für den Ausbau des Sozialstaats!
Ist…",gemäss 20min umfrage grosse mehrheit vaterschaftsurlaub amp ausbau sozialstaats,,,,,,,,,,"{'Gemäss': 0.05, '20min-Umfrage': 0.11, 'ist': 0.11, 'eine': 0, 'grosse': 0, 'Mehrheit': 0.09, 'für': 0.04, 'den': 0.04, 'Vaterschaftsurlaub': 0.78, 'amp': 0.18, 'damit': 0.04, 'Ausbau': 0.08, 'des': 0, 'Sozialstaats': 0.095, 'Ist': 0.11, '…': 0}",positive,"[0.019965025, 0.0077665322, 0.97226846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Gemäss #20min-Umfrage ist eine grosse Mehrheit für den #Vaterschaftsurlaub &amp; damit für den Ausbau des Sozialstaats!
Ist somit das Referendum für die #SVP kontraproduktiv? https://t.co/khmskl385K",gemäss 20min umfrage grosse mehrheit vaterschaftsurlaub amp ausbau sozialstaats somit referendum svp kontraproduktiv,,,,,,,,,,"{'Gemäss': 0.05, '20min-Umfrage': 0.11499999999999999, 'ist': 0.05, 'eine': 0, 'grosse': 0, 'Mehrheit': 0.1, 'für': 0.05, 'den': 0.06, 'Vaterschaftsurlaub': 0.99, 'amp': 0.21, 'damit': 0.04, 'Ausbau': 0.06, 'des': 0, 'Sozialstaats': 0.09, 'Ist': 0.05, 'somit': 0, 'das': 0, 'Referendum': 0.1, 'die': 0.06, 'SVP': 0, 'kontraproduktiv': 0.1}",positive,"[0.09902978, 0.015615366, 0.8853549]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
