answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3418,absa_sentiment_3418,absa_scores_3418,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Gesundheitskosten? Cannabis? Rahmenabkommen? https://t.co/G5Qbx2Kzsb via @YouTube #gemeinsamweiterkommen #konsequentpositiv #WahlenCH19 #WahlCH19 #Wahlen2019 #Nationalratswahl2019 #Nationalratswahl #TeamFDP,gesundheitskosten cannabis rahmenabkommen via gemeinsamweiterkommen konsequentpositiv wahlench19 wahlch19 wahlen2019 nationalratswahl2019 nationalratswahl teamfdp,"{'Gesundheitskosten': 0.3525, 'Cannabis': 1.0, 'Rahmenabkommen': 0.195, 'via': 0.15, 'gemeinsamweiterkommen': 0, 'konsequentpositiv': 0, 'WahlenCH19': 0, 'WahlCH19': 0, 'Wahlen2019': 0, 'Nationalratswahl2019': 0, 'Nationalratswahl': 0, 'TeamFDP': 0.09}",neutral,"[0.99422073, 0.0037272112, 0.0020521071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Sich zur Wahl stellen, heisst auch Position beziehen: #Gesundheitswesen #Cannabis #Rahmenabkommen #Mobilität #Wirtschaft #Klimaschutz

#Nationalratswahl2019 #wahlen19 #WahlenCH19 #WahlCH19 #TeamFDP @WahlenCH2019 @wahlch15 https://t.co/O45WPrl7h7",wahl stellen heisst position beziehen gesundheitswesen cannabis rahmenabkommen mobilität wirtschaft klimaschutz nationalratswahl2019 wahlen19 wahlench19 wahlch19 teamfdp,"{'Sich': 0, 'zur': 0.11, 'Wahl': 0, 'stellen': 0, 'heisst': 0, 'auch': 1.0, 'Position': 0.1, 'beziehen': 0, 'Gesundheitswesen': 0.03, 'Cannabis': 0.05, 'Rahmenabkommen': 0.03, 'Mobilität': 0.03, 'Wirtschaft': 0, 'Klimaschutz': 0.015, 'Nationalratswahl2019': 0, 'wahlen19': 0, 'WahlenCH19': 0.04, 'WahlCH19': 0, 'TeamFDP': 0.06}",neutral,"[0.93855286, 0.021108117, 0.040339053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"@FranzStirnimann @FDPEinsiedeln @RentenVI Es geht hier nicht um eine MWSt-Erhöhung, sondern um Rentenalter 66/66 bis 2032 und danach eine Verknüpfung des Rentenalters mit der Lebenserwartung (Faktor 0,8). Wenn wir nichts tun, reichen selbst diese 10Mia nirgends mehr hin... https://t.co/s257Fz4WGm",gehen mwst erhöhung rentenalter danach verknüpfung rentenalters lebenserwartung faktor tun reich 10mia nirgends mehr,,,,"{'Es': 0.13, 'geht': 0, 'hier': 0, 'nicht': 0.03, 'um': 0.09, 'eine': 0, 'MWSt-Erhöhung': 0.15, 'sondern': 0.29, 'Rentenalter': 0.11, 'bis': 0, 'und': 0.05, 'danach': 0, 'Verknüpfung': 0, 'des': 0, 'Rentenalters': 0.11, 'mit': 0, 'der': 0.3, 'Lebenserwartung': 0.08, 'Faktor': 0.04, '0,8': 0, 'Wenn': 0, 'wir': 0, 'nichts': 0, 'tun': 0.06, 'reichen': 0, 'selbst': 0, 'diese': 0.05, '10Mia': 0, 'nirgends': 0, 'mehr': 0, 'hin': 0, '...': 0}",neutral,"[0.91496783, 0.033428833, 0.051603414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@TPSchop @MathysRoland SNB Gelder für AHV - nicht nachhaltig. 

Flexibilisierung des Rentenalters soll her. Lohnnebenkosten für ältere Angestelte senken, um die Attraktivität von diesen zu steigern.

Mehrheitlich unbetritten, dass Bauarbeiter früher in Pension dürfen.",snb gelder ahv nachhaltig flexibilisierung rentenalters her lohnnebenkosten alt angestelte senken attraktivität steigern mehrheitlich unbetritten bauarbeiter früh pension dürfen,,,,"{'SNB': 0.06, 'Gelder': 0.05, 'für': 0.03, 'AHV': 0.05, 'nicht': 0.04, 'nachhaltig': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.56, 'soll': 0, 'her': 0, 'Lohnnebenkosten': 0.08, 'ältere': 0.04, 'Angestelte': 0.07, 'senken': 0.15, 'um': 0, 'die': 0.14, 'Attraktivität': 0, 'von': 0, 'diesen': 0, 'zu': 0.03, 'steigern': 0, 'Mehrheitlich': 0, 'unbetritten': 0, 'dass': 0.03, 'Bauarbeiter': 0.05, 'früher': 0.04, 'in': 0.03, 'Pension': 0, 'dürfen': 0}",positive,"[0.024547497, 0.0056905015, 0.96976197]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,@andrisilbi_ Koppelung Rentenalter an Lebenserwartung in 2050? Dauert es so lange für simple Lösungen?!,koppelung rentenalter lebenserwartung dauern lang simpel lösungen,,,,"{'Koppelung': 0, 'Rentenalter': 0.81, 'an': 0, 'Lebenserwartung': 0.41000000000000003, 'in': 0.27, 'Dauert': 0.19, 'es': 0, 'so': 0.09, 'lange': 0.17, 'für': 0.13, 'simple': 0.21, 'Lösungen': 0.34}",neutral,"[0.92252475, 0.029883118, 0.04759214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Die Befürworter behaupteten im Abstimmungskampf, es brauche den staatlichen #Vaterschaftsurlaub, damit alle KMU gleich…",befürworter behaupten abstimmungskampf brauche staatlich vaterschaftsurlaub all kmu gleichen,,,,,,,"{'Die': 0.04, 'Befürworter': 0, 'behaupteten': 0.12, 'im': 0, 'Abstimmungskampf': 0.11, 'es': 0.33, 'brauche': 0, 'den': 0.04, 'staatlichen': 0.62, 'Vaterschaftsurlaub': 1.0, 'damit': 0.07, 'alle': 0, 'KMU': 0, 'gleich': 0.09, '…': 0}",neutral,"[0.81678617, 0.12081012, 0.062403683]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @narimoldi: 14 Tage Adoptionsurlaub? 😳 Wer soll das bezahlen? Der Sozialstaat wird immer stärker missbraucht: #Vaterschaftsurlaub, #Über…",tage adoptionsurlaub wer bezahlen sozialstaat immer stark missbraucht vaterschaftsurlaub,,,,,,,"{'Tage': 0.07, 'Adoptionsurlaub': 0, 'Wer': 0.13, 'soll': 0, 'das': 0.04, 'bezahlen': 0.05, 'Der': 0.06, 'Sozialstaat': 0.08499999999999999, 'wird': 0, 'immer': 0, 'stärker': 0, 'missbraucht': 0.18, 'Vaterschaftsurlaub': 0.37, 'Über': 0.34, '…': 0}",neutral,"[0.6169173, 0.20502003, 0.17806263]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @lohnabzuegeNein: Kaspar Michel, Finanzdirektor FDP im Kanton Schwyz, sagt NEIN zum staatlichen #Vaterschaftsurlaub am 27. September. ht…",kaspar michel finanzdirektor fdp kanton schwyz sagen nein staatlich vaterschaftsurlaub september ht,,,,,,,"{'Kaspar': 0.07, 'Michel': 0.03, 'Finanzdirektor': 0.065, 'FDP': 0.13, 'im': 0, 'Kanton': 0.04, 'Schwyz': 0.13, 'sagt': 0.21, 'NEIN': 0.19, 'zum': 0.18, 'staatlichen': 0.62, 'Vaterschaftsurlaub': 0.83, 'am': 0, '27.': 0, 'September': 0.07, 'ht': 0.15, '…': 0}",neutral,"[0.87714046, 0.028042706, 0.09481689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Auch unser Schwyzer Regierungsrat @kaspar_michel sagt nein zum #Vaterschaftsurlaub 👍 https://t.co/zJnYyjljWR,schwyzer regierungsrat sagen nein vaterschaftsurlaub,,,,,,,"{'Auch': 0.19, 'unser': 0.16, 'Schwyzer': 0, 'Regierungsrat': 0.12000000000000001, 'sagt': 0.38, 'nein': 0.37, 'zum': 0.68, 'Vaterschaftsurlaub': 0.51}",positive,"[0.009240986, 0.0019689817, 0.98879004]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @FDP_Liberalen: Es braucht einen flexiblen #Elternurlaub, denn ein #Vaterschaftsurlaub zementiert nur das traditionelle Rollenbild. Die…",brauchen flexibel elternurlaub vaterschaftsurlaub zementieren traditionell rollenbild,,,,,,,"{'Es': 0.44, 'braucht': 0, 'einen': 0, 'flexiblen': 0.63, 'Elternurlaub': 0.165, 'denn': 0, 'ein': 0, 'Vaterschaftsurlaub': 0.16, 'zementiert': 0, 'nur': 0.1, 'das': 0, 'traditionelle': 0.05, 'Rollenbild': 0.055, 'Die': 0.1, '…': 0}",neutral,"[0.4911593, 0.06783958, 0.4410011]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
