answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,negative,RT @grunliberale: Die Anpassung und Flexibilisierung des Rentenalters ist dringend. Der #Kuhhandel bei der Steuervorlage gefährdet diese wi…,anpassung flexibilisierung rentenalters dringen kuhhandel steuervorlage gefährden wi,"{'Die': 0.09, 'Anpassung': 0.39, 'und': 0.2, 'Flexibilisierung': 0.53, 'des': 0, 'Rentenalters': 0.52, 'ist': 1.0, 'dringend': 0, 'Der': 0.09, 'Kuhhandel': 0.23, 'bei': 0, 'der': 0.09, 'Steuervorlage': 0.14500000000000002, 'gefährdet': 0, 'diese': 0.11, 'wi': 0.1, '…': 0}",negative,"[0.05729206, 0.5335599, 0.40914795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @grunliberale: 2 Wochen #Vaterschaftsurlaub. Die SGK-S verabschiedet ihren Gegenvorschlag zur Vaterschaftsurlaub-VI. Wir machen uns aber…,wochen vaterschaftsurlaub sgk s verabschieden gegenvorschlag vaterschaftsurlaub vi,,,,"{'Wochen': 0.78, 'Vaterschaftsurlaub': 0.095, 'Die': 0.43, 'SGK-S': 0, 'verabschiedet': 0, 'ihren': 0, 'Gegenvorschlag': 0.095, 'zur': 0.27, 'Vaterschaftsurlaub-VI': 0.13, 'Wir': 0.08, 'machen': 0.21, 'uns': 0, 'aber': 0.22, '…': 0}",neutral,"[0.8922958, 0.015453067, 0.09225116]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Die Einbürgerung ist ein administrativer und kein politischer Entscheid: https://t.co/wHAYqEGSyZ«Schweizermacher»-sollen-Macht-verlieren.htm,einbürgerung administrativer politisch entscheid,,,,,,,"{'Die': 0, 'Einbürgerung': 0.67, 'ist': 0.36, 'ein': 0, 'administrativer': 0.21, 'und': 0.19, 'kein': 0, 'politischer': 0.27, 'Entscheid': 0.48}",positive,"[0.122764125, 0.003325336, 0.87391055]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @alliance_F: BR zur #Lohngleichheit: Freiwilligkeit reicht nicht: Schlanke Gesetzgebung über Lohnanalysepflicht, externe Überprüfung &amp; Z…",br lohngleichheit freiwilligkeit reichen schlank gesetzgebung lohnanalysepflicht externe überprüfung amp z,,,,,,,,,,"{'BR': 0.05, 'zur': 0, 'Lohngleichheit': 0, 'Freiwilligkeit': 0.76, 'reicht': 0, 'nicht': 1.0, 'Schlanke': 0, 'Gesetzgebung': 0.22, 'über': 0, 'Lohnanalysepflicht': 0, 'externe': 0.04, 'Überprüfung': 0, 'amp': 0.04, 'Z': 0, '…': 0}",negative,"[0.39476818, 0.5460388, 0.059192993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Oder: Wer ist gemäss den in der Bundesverfassung verankerten Regeln der Aufgabenteilung und des Finanzausgleichs (NFA-Prinzipien) für die finanzielle Unterstützung für Wirtschaft und Gesellschaft verantwortlich, wenn Bund und Kantone einschneidende Massnahmen beschliessen? .. 3/n",wer gemäss bundesverfassung verankern regeln aufgabenteilung finanzausgleichs nfa prinzipien finanzielle unterstützung wirtschaft gesellschaft verantwortlich bund kantone einschneidend massnahmen beschliessen n,,,,,,,,,,,,,"{'Oder': 0.07, 'Wer': 0.07, 'ist': 0.02, 'gemäss': 0, 'den': 0.02, 'in': 0.07, 'der': 0.02, 'Bundesverfassung': 0.03, 'verankerten': 0.22, 'Regeln': 0.35, 'Aufgabenteilung': 0, 'und': 0.07, 'des': 0, 'Finanzausgleichs': 0.65, 'NFA-Prinzipien': 0.21000000000000002, 'für': 0.03, 'die': 0.02, 'finanzielle': 0.3, 'Unterstützung': 0.08, 'Wirtschaft': 0, 'Gesellschaft': 0.02, 'verantwortlich': 0.06, 'wenn': 0.25, 'Bund': 0, 'Kantone': 0.04, 'einschneidende': 0, 'Massnahmen': 0.12, 'beschliessen': 0.06, '..': 0, 'n': 0.03}",neutral,"[0.75059783, 0.030575203, 0.21882693]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"Ein klares Ja zum #Energiegesetz im Kanton Luzern! Ein deutliches Zeichen, nun auch in Luzern  erneuerbare Energien stärker zu unterstützen! https://t.co/tavUkdiCBX",klar ja energiegesetz kanton luzern deutlich zeichen luzern erneuerbare energien stark unterstützen,,,,,,,,,,,,,,,,"{'Ein': 0.06, 'klares': 0.07, 'Ja': 0, 'zum': 0.515, 'Energiegesetz': 0.055, 'im': 0, 'Kanton': 0.03, 'Luzern': 0, 'deutliches': 0.07, 'Zeichen': 0.24, 'nun': 0, 'auch': 0, 'in': 0.4, 'erneuerbare': 0.69, 'Energien': 0.51, 'stärker': 0, 'zu': 1.0, 'unterstützen': 1.0}",positive,"[0.003630053, 0.0015052689, 0.99486464]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Erhöht unsere Sicherheit, fördert erneuerbare Energien und schafft Arbeitsplätze, auch im Kanton #Luzern  #Atomausstieg @Atomausstieg_JA https://t.co/ZbDff5U3AX",erhöhen sicherheit fördern erneuerbare energien schaffen arbeitsplätze kanton luzern atomausstieg,,,,,,,,,,,,,,,,"{'Erhöht': 0, 'unsere': 0.27, 'Sicherheit': 0, 'fördert': 1.0, 'erneuerbare': 1.0, 'Energien': 0.54, 'und': 0.27, 'schafft': 0.27, 'Arbeitsplätze': 0.26, 'auch': 0.23, 'im': 0, 'Kanton': 0.05, 'Luzern': 0, 'Atomausstieg': 0}",positive,"[0.0017964041, 0.0014791044, 0.99672455]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,RT @beatflach: Das beste wäre wirklich MWSt abschaffen und durch Besteuerung von nicht erneuerbarer Energie ersetzen #srfarena,gut wirklich mwst abschaffen besteuerung erneuerbarer energie ersetzen srfarena,,,,,,,,,,,,,,,,"{'Das': 0.03, 'beste': 0, 'wäre': 0.02, 'wirklich': 0.02, 'MWSt': 0.05, 'abschaffen': 0.08, 'und': 0.04, 'durch': 0, 'Besteuerung': 0.25, 'von': 0, 'nicht': 0, 'erneuerbarer': 1.0, 'Energie': 0.42, 'ersetzen': 0, 'srfarena': 0.15}",negative,"[0.2070882, 0.7477065, 0.045205344]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@peterhettich @NZZ Einverstanden, zuviel Regulierung ist zu vermeiden. Aber in einer funktionierenden, auf Privateigentum basierenden Marktwirtschaft muss vermieden werden, dass Unternehmen wie Syngenta quasi verstaatlicht werden. Staaten haben bekanntlich andere Interessen als private Investoren.",einverstanden zuviel regulierung vermeiden funktionierend privateigentum basierend marktwirtschaft vermeiden unternehmen syngenta quasi verstaatlichen staaten bekanntlich interessen privat investoren,,,,,,,,,,,,,,,,,,,"{'Einverstanden': 0, 'zuviel': 0.065, 'Regulierung': 0.09, 'ist': 0.02, 'zu': 0, 'vermeiden': 0.11, 'Aber': 0.17, 'in': 0.44, 'einer': 0, 'funktionierenden': 1.0, 'auf': 0.09, 'Privateigentum': 0.08, 'basierenden': 0.27, 'Marktwirtschaft': 0.7849999999999999, 'muss': 0, 'vermieden': 0.08, 'werden': 0, 'dass': 0.03, 'Unternehmen': 0, 'wie': 0, 'Syngenta': 0.21, 'quasi': 0, 'verstaatlicht': 0.13, 'Staaten': 0.05, 'haben': 0.03, 'bekanntlich': 0.0475, 'andere': 0, 'Interessen': 0.06, 'als': 0.04, 'private': 0.04, 'Investoren': 0.07}",positive,"[0.0045555052, 0.002860775, 0.99258375]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"""Erfolgreiche Marktwirtschaften sind auf starke Regierungen angewiesen. Sie können die Rahmenbedingungen, die sie stabilisieren, nicht selber generieren"" sagt @pdegrauwe im @RepublikMagazin https://t.co/rwNnHIY2MB",erfolgreich marktwirtschaften starke regierungen anweisen rahmenbedingungen stabilisieren selber generieren sagen,,,,,,,,,,,,,,,,,,,"{'Erfolgreiche': 1.0, 'Marktwirtschaften': 0.86, 'sind': 0, 'auf': 0.09, 'starke': 0, 'Regierungen': 0.28, 'angewiesen': 0, 'Sie': 0, 'können': 0, 'die': 0.08, 'Rahmenbedingungen': 0.15, 'sie': 0, 'stabilisieren': 0.1, 'nicht': 0, 'selber': 0, 'generieren': 0.16, 'sagt': 0.1, 'im': 0.05}",positive,"[0.13917279, 0.08692503, 0.7739022]",,,,,,,,,,,,,,,,,,,positive
