answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-0.85,negative,"@hanfverband Gibts auch bei der @KapoZuerich usw., so Polizisten mit Kokainproblemen, Prositutionsproblemen und Ausländermafias Integration. Wirklich schade, dass diese Linken Regierungen dieses Zusammenspiel von Polizei und organisierter Kriminalität dudeln oder nicht dagegen vorgehen...",gibts usw polizisten kokainproblemen prositutionsproblemen ausländermafias integration wirklich schaden link regierungen zusammenspiel polizei organisiert kriminalität dudeln dagegen vorgehen,"{'Gibts': 0.07, 'auch': 0.07, 'bei': 0, 'der': 0.08, 'usw.': 0, 'so': 0.13, 'Polizisten': 0.14, 'mit': 0.28, 'Kokainproblemen': 0.165, 'Prositutionsproblemen': 0, 'und': 0.06, 'Ausländermafias': 0.61, 'Integration': 1.0, 'Wirklich': 0, 'schade': 0, 'dass': 0.04, 'diese': 0.04, 'Linken': 0.09, 'Regierungen': 0.1, 'dieses': 0.04, 'Zusammenspiel': 0, 'von': 0, 'Polizei': 0.14, 'organisierter': 0.05, 'Kriminalität': 0.09, 'dudeln': 0, 'oder': 0.05, 'nicht': 0.03, 'dagegen': 0.08, 'vorgehen': 0.1, '...': 0}",neutral,"[0.62826914, 0.15441601, 0.2173149]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@TomTheKushMan Wir sollten versuchen THC E-liquids zu legalisieren, wegen Tabak und Cannabis Co2 und so.",sollen versuchen thc e liquids legalisieren wegen tabak cannabis co2,,,,"{'Wir': 0.08, 'sollten': 0.09, 'versuchen': 0.05, 'THC': 0.09, 'E-liquids': 0, 'zu': 0.05, 'legalisieren': 0.42, 'wegen': 1.0, 'Tabak': 0.32, 'und': 0.16, 'Cannabis': 0.27, 'Co2': 0.56, 'so': 0.34}",neutral,"[0.9016632, 0.035744403, 0.062592514]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,14.0,-0.4333333333333333,neutral,"@npdde Deutscher Hanf statt Importtabak!

Cannabis aus der Apotheke, statt vom illegalen Migranten Dealer.

Kiffen ist druidisch heidnisch, Hanf ist regional und besoffene sind dümmer als THC Konsumenten.

Gibt auch sozial nationalistische Kiffer...",deutsch hanf statt importtabak cannabis apotheke statt illegal migranten dealer kiffen druidisch heidnisch hanf regional besoffen dumm thc konsumenten geben sozial nationalistische kiffer,,,,"{'Deutscher': 0.2, 'Hanf': 0.02, 'statt': 0.16, 'Importtabak': 0, 'Cannabis': 1.0, 'aus': 0, 'der': 0.04, 'Apotheke': 0.06, 'vom': 0.13999999999999999, 'illegalen': 0.08, 'Migranten': 0, 'Dealer': 0.03, 'Kiffen': 0.03, 'ist': 0.02, 'druidisch': 0, 'heidnisch': 0.02, 'regional': 0.02, 'und': 0.04, 'besoffene': 0.03, 'sind': 0.02, 'dümmer': 0.06, 'als': 0, 'THC': 0.02, 'Konsumenten': 0, 'Gibt': 0.02, 'auch': 0.03, 'sozial': 0.01, 'nationalistische': 0.02, 'Kiffer': 0, '...': 0}",neutral,"[0.91436666, 0.063267596, 0.02236577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"@theawfulmrbird @nilsnto Der #Wendt hat wohl Deals mit Kriminellen, sonst gäbe es Cannabis im Cannabisshop.",wendt wohl deals kriminell geben cannabis cannabisshop,,,,"{'Der': 0.1, 'Wendt': 0.08, 'hat': 0, 'wohl': 0, 'Deals': 0.13, 'mit': 0.09, 'Kriminellen': 0.57, 'sonst': 0.99, 'gäbe': 0.45, 'es': 0, 'Cannabis': 0.12, 'im': 0, 'Cannabisshop': 0}",neutral,"[0.60679364, 0.37035802, 0.022848276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5,negative,"@hanfverband Wirklich komisch, dass es keine Rechte, Rechtsliberale und Pagane #Partei gibt, welche #Cannabis legisieren möchte. Naja dunkelblonde Frauen kann man sich halt nicht wirklich hellblond kiffen.",wirklich komisch rechte rechtsliberal pagane partei geben welch cannabis legisieren mögen naja dunkelblonde frauen halt wirklich hellblond kiffen,,,,"{'Wirklich': 0.02, 'komisch': 0.03, 'dass': 0.08, 'es': 0, 'keine': 0, 'Rechte': 0.03, 'Rechtsliberale': 0.045, 'und': 0.04, 'Pagane': 0.06, 'Partei': 0, 'gibt': 0.03, 'welche': 0, 'Cannabis': 0.65, 'legisieren': 0, 'möchte': 0, 'Naja': 0.03, 'dunkelblonde': 0.045, 'Frauen': 0.06, 'kann': 0.02, 'man': 0, 'sich': 0, 'halt': 0, 'nicht': 0, 'wirklich': 0.02, 'hellblond': 0, 'kiffen': 0.07}",neutral,"[0.8881487, 0.100610346, 0.011240922]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"@StadtDietikon Meine Einzelfirma läuft in Dietikon nicht zufriedenstellend. CH Vätterchenwirtschaftsland. Kann Dietikon nicht als Firmenstandort empfehlen. Feels in Dietikon/ZH/CH sometimes like a KZ, nordischer Frauenmangel, Veganfoodmangel, THC-Cannabismangel.",einzelfirma laufen dietikon zufriedenstellen ch vätterchenwirtschaftsland dietikon firmenstandort empfehlen feels dietikon zh ch sometimes like a kz nordisch frauenmangel veganfoodmangel thc cannabismangel,,,,"{'Meine': 0.01, 'Einzelfirma': 0.02, 'läuft': 0, 'in': 0.02, 'Dietikon': 0.05, 'nicht': 0.01, 'zufriedenstellend': 0, 'CH': 0.02, 'Vätterchenwirtschaftsland': 0, 'Kann': 0.03, 'als': 0.01, 'Firmenstandort': 0.02, 'empfehlen': 0.05, 'Feels': 0.05, 'ZH': 0.03, 'sometimes': 0.03, 'like': 0.11, 'a': 0.06, 'KZ': 0, 'nordischer': 0.06, 'Frauenmangel': 0.08, 'Veganfoodmangel': 0, 'THC-Cannabismangel': 0}",negative,"[0.0059728436, 0.983602, 0.010425262]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"@hanfverband In der Schweiz wollten die mit einem #Cannabispilotversuch THC haltiges Cannabis 2021 in Apotheken legalisieren. Dumme Kommunikation vom Bund, wird anscheinend erst Frühling 2022...",schweiz cannabispilotversuch thc haltiges cannabis apotheken legalisieren dumme kommunikation bund anscheinen erst frühling,,,,"{'In': 0.03, 'der': 0.11, 'Schweiz': 0.06, 'wollten': 0.045, 'die': 0.11, 'mit': 0.06, 'einem': 0, 'Cannabispilotversuch': 0, 'THC': 0.05, 'haltiges': 0.05, 'Cannabis': 0.1, 'in': 0.03, 'Apotheken': 0.09, 'legalisieren': 0.1, 'Dumme': 1.0, 'Kommunikation': 1.0, 'vom': 0.195, 'Bund': 0, 'wird': 0, 'anscheinend': 0.19, 'erst': 0, 'Frühling': 0.03, '...': 0}",neutral,"[0.8465004, 0.075868845, 0.0776308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Da das @BAG_OFSP_UFSP nicht in der Lange ist sinnvoll zu Kommunzieren.

Vrsl. Ab Frühling 2022 gibts THC Cannabis in Apotheken.

#Cannabispilotversuch",lang sinnvoll kommunzieren vrsl ab frühling gibts thc cannabis apotheken cannabispilotversuch,,,,"{'Da': 0, 'das': 0.07, 'nicht': 0.12, 'in': 0.13, 'der': 0, 'Lange': 0, 'ist': 0, 'sinnvoll': 0, 'zu': 0.09, 'Kommunzieren': 0.24, 'Vrsl': 0.27, 'Ab': 0, 'Frühling': 0.17, 'gibts': 0, 'THC': 0.3, 'Cannabis': 1.0, 'Apotheken': 0.82, 'Cannabispilotversuch': 0}",neutral,"[0.884078, 0.033535294, 0.08238663]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Toll Pilotversuch startet aber keine Organisationen im Internet zu finden, welche Cannabis abgeben. Der ""Pilotversuch"" wirkt ziemlich schlecht umgesetzt.",tollen pilotversuch starten organisationen internet finden welch cannabis abgeben pilotversuch wirken ziemlich schlecht umsetzen,,,,"{'Toll': 0.06, 'Pilotversuch': 0.255, 'startet': 0, 'aber': 0.09, 'keine': 0, 'Organisationen': 0.07, 'im': 0, 'Internet': 0.07, 'zu': 0, 'finden': 0, 'welche': 0, 'Cannabis': 0.24, 'abgeben': 0, 'Der': 0.23, 'wirkt': 0, 'ziemlich': 0.52, 'schlecht': 1.0, 'umgesetzt': 1.0}",neutral,"[0.66980094, 0.30846927, 0.021729724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"@BAG_OFSP_UFSP Cannabisversuch, wie melde ich mich da an? Als Opfer von ausländischen Drogenhändlern, verunreinigtem Cannabis und als medizinischer Konsument sehr relevant. Finde das Model Holland übrigens besser, aber toll dass Ihr Mal gegen die Kriminalität vorgeht.",cannabisversuch melden opfer ausländisch drogenhändlern verunreinigt cannabis medizinisch konsument relevant finden model holland übrigens gut tollen mal kriminalität vorgehen,,,,"{'Cannabisversuch': 0.58, 'wie': 0.04, 'melde': 0, 'ich': 0.03, 'mich': 0, 'da': 0, 'an': 0, 'Als': 0, 'Opfer': 0.28, 'von': 0, 'ausländischen': 0.2, 'Drogenhändlern': 0.17, 'verunreinigtem': 1.0, 'Cannabis': 1.0, 'und': 0.33, 'als': 0.16, 'medizinischer': 0.1, 'Konsument': 0, 'sehr': 0.09, 'relevant': 0.16, 'Finde': 0, 'das': 0.02, 'Model': 0.15, 'Holland': 0.06, 'übrigens': 0.0475, 'besser': 0.06, 'aber': 0.04, 'toll': 0, 'dass': 0.02, 'Ihr': 0, 'Mal': 0, 'gegen': 0.08, 'die': 0.05, 'Kriminalität': 0.11, 'vorgeht': 0}",neutral,"[0.40493253, 0.3013579, 0.29370955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
