answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Eben so überraschend: Seine Haltung zur Cannabis-Legalisierung. https://t.co/flqX4f4sod,eben überraschen haltung cannabis legalisierung,"{'Eben': 0, 'so': 0, 'überraschend': 0, 'Seine': 0.74, 'Haltung': 0, 'zur': 0, 'Cannabis-Legalisierung': 0.65}",positive,"[0.023452697, 0.002816111, 0.9737312]",,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,neutral,"RT @m_frick: Es ist Zeit, die Drogenpolitik neu zu denken - Cannabis legalisieren, Steuern einnehmen, AHV finanzieren: https://t.co/wVKtrUi…",zeit drogenpolitik neu denken cannabis legalisieren steuern einnehmen ahv finanzieren,"{'Es': 0, 'ist': 0, 'Zeit': 0.12, 'die': 0, 'Drogenpolitik': 0.345, 'neu': 0, 'zu': 0.1, 'denken': 0.1, 'Cannabis': 1.0, 'legalisieren': 1.0, 'Steuern': 0, 'einnehmen': 0, 'AHV': 0.12, 'finanzieren': 0.17}",neutral,"[0.91445184, 0.013214621, 0.07233344]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,RT @grunliberale: Die Anpassung und Flexibilisierung des Rentenalters ist dringend. Der #Kuhhandel bei der Steuervorlage gefährdet diese wi…,anpassung flexibilisierung rentenalters dringen kuhhandel steuervorlage gefährden wi,,,,"{'Die': 0.09, 'Anpassung': 0.39, 'und': 0.2, 'Flexibilisierung': 0.53, 'des': 0, 'Rentenalters': 0.52, 'ist': 1.0, 'dringend': 0, 'Der': 0.09, 'Kuhhandel': 0.23, 'bei': 0, 'der': 0.09, 'Steuervorlage': 0.14500000000000002, 'gefährdet': 0, 'diese': 0.11, 'wi': 0.1, '…': 0}",negative,"[0.05729206, 0.5335599, 0.40914795]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,positive,RT @michilaeubli: @haeslii_f Finde ich einen super Vorschlag! Blutstammzelle und Organspende habe ich bereits. Leider darf ich weiterhin ke…,finden super vorschlag blutstammzelle organspende bereits leider dürfen weiterhin ke,,,,,,,"{'Finde': 0, 'ich': 0.06, 'einen': 0.06, 'super': 0, 'Vorschlag': 0, 'Blutstammzelle': 0.3, 'und': 1.0, 'Organspende': 0.38, 'habe': 0.57, 'bereits': 0.59, 'Leider': 0.32, 'darf': 0, 'weiterhin': 0, 'ke': 0.06, '…': 0}",neutral,"[0.5728664, 0.0142611, 0.41287264]",,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.4333333333333333,negative,RT @frei_denken: Das #Organspenderegister ist eine gute Sache – eigentlich. Leider hat es noch einen klaren Mangel: Wer seine Organe Forsch…,organspenderegister gut sache eigentlich leider klar mangel wer organe forsch,,,,,,,"{'Das': 0.05, 'Organspenderegister': 0, 'ist': 0.02, 'eine': 0, 'gute': 0, 'Sache': 0, '–': 0, 'eigentlich': 0, 'Leider': 0, 'hat': 0, 'es': 0, 'noch': 0, 'einen': 0, 'klaren': 0, 'Mangel': 0, 'Wer': 0, 'seine': 0, 'Organe': 0, 'Forsch': 0, '…': 0}",negative,"[0.09562857, 0.8767301, 0.027641382]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @frei_denken: Organspende: Zustimmungs- oder Widerspruchslösung?

Swisstransplant-CEO Franz Immer und Medizinethiker Jean-Daniel Strub (…",organspende zustimmungs widerspruchslösung swisstransplant ceo franz immer medizinethiker jean daniel strub,,,,,,,"{'Organspende': 0.235, 'Zustimmungs-': 0.34, 'oder': 0.43, 'Widerspruchslösung': 0, 'Swisstransplant-CEO': 0, 'Franz': 0.14, 'Immer': 0, 'und': 0.36, 'Medizinethiker': 0.115, 'Jean-Daniel': 0, 'Strub': 0.08, '…': 0}",neutral,"[0.95162135, 0.015728466, 0.03265011]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @srfnews: Ab 1. Oktober: Das elektronische #Organspende-Register kommt. https://t.co/knShrbBwo3,ab oktober elektronische organspende register kommen,,,,,,,"{'Ab': 0, '1.': 0, 'Oktober': 0.08, 'Das': 0.58, 'elektronische': 1.0, 'Organspende-Register': 0.835, 'kommt': 0}",neutral,"[0.7220745, 0.008965124, 0.26896045]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Organspende: Zustimmungs- oder Widerspruchslösung?
Ein spannender und wichtiger Vortrag mit Blick auf die kommende Initiative.
Dr. Holger Baumann stellt die beiden Modelle, wie auch weitere Möglichkeiten vor.

Zur Initiative: https://t.co/y27JCAk3a3 https://t.co/tmSciR9I0O",organspende zustimmungs widerspruchslösung spannend wichtig vortrag blick kommend initiative dr holger baumann stellen beid modelle weit möglichkeiten initiative,,,,,,,"{'Organspende': 0.095, 'Zustimmungs-': 0.06, 'oder': 0.04, 'Widerspruchslösung': 0, 'Ein': 0.03, 'spannender': 0.14, 'und': 0.04, 'wichtiger': 0.06, 'Vortrag': 0, 'mit': 0.04, 'Blick': 0.08, 'auf': 0, 'die': 0.12, 'kommende': 0, 'Initiative': 0.41, 'Dr.': 0, 'Holger': 0.08, 'Baumann': 0.06, 'stellt': 0, 'beiden': 0, 'Modelle': 0.06, 'wie': 0, 'auch': 0, 'weitere': 0, 'Möglichkeiten': 0, 'vor': 0, 'Zur': 0.08}",neutral,"[0.5351932, 0.013923287, 0.4508835]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @frei_denken: Organspende: Zustimmungs- oder Widerspruchslösung?

Bioethiker Holger Baumann stellt die beiden Systeme vor, erläutert der…",organspende zustimmungs widerspruchslösung bioethiker holger baumann stellen beid systeme erläutern,,,,,,,"{'Organspende': 0.195, 'Zustimmungs-': 0.32, 'oder': 0.13, 'Widerspruchslösung': 0, 'Bioethiker': 0.57, 'Holger': 0.45, 'Baumann': 0.42, 'stellt': 0, 'die': 0.78, 'beiden': 0, 'Systeme': 0.86, 'vor': 0, 'erläutert': 0, 'der': 0.78, '…': 0}",neutral,"[0.98196167, 0.002564038, 0.015474198]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@vincenz_munger @SamBu95 @ZStadtfux Wie soll sich was ""einbürgern"", wenn es erst ab der Einbürgerung erlaubt ist?",einbürgern erst ab einbürgerung erlauben,,,,,,,,,,"{'Wie': 0, 'soll': 0, 'sich': 0, 'was': 0, 'einbürgern': 0, 'wenn': 0.11, 'es': 0.08, 'erst': 0, 'ab': 0, 'der': 0, 'Einbürgerung': 1.0, 'erlaubt': 0, 'ist': 0.08}",neutral,"[0.8740752, 0.09099804, 0.034926727]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@BoderMuller @RuediStricker Ausserdem hat der Ausländeranteil nicht nur mit Migration zu tun, sondern zB auch mit der Einbürgerungspolitik.",ausserdem ausländeranteil migration tun zb einbürgerungspolitik,,,,,,,,,,"{'Ausserdem': 0, 'hat': 0, 'der': 0.03, 'Ausländeranteil': 0.1125, 'nicht': 0.02, 'nur': 0.03, 'mit': 0.38, 'Migration': 0.15, 'zu': 0.03, 'tun': 0.045, 'sondern': 0.05, 'zB': 0, 'auch': 0.1, 'Einbürgerungspolitik': 1.0}",positive,"[0.060560938, 0.0032045671, 0.93623453]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@PirminMueller @AtticusJazz Und bei einer Annahme der Vorlage, wäre der Zugang zu Fortpflanzungsmedizin nicht den Lesben vorbehalten.
Gewisse Fortpflanzungsmedizin wäre (allen) erlaubt und andere wären weiterhin (allen) verboten.",annahme vorlage zugang fortpflanzungsmedizin lesben vorbehalten gewiß fortpflanzungsmedizin erlauben weiterhin verbieten,,,,,,,,,,,,,"{'Und': 0.58, 'bei': 0, 'einer': 0, 'Annahme': 0, 'der': 0.06, 'Vorlage': 0, 'wäre': 0.38, 'Zugang': 0.28, 'zu': 0.16, 'Fortpflanzungsmedizin': 0.69, 'nicht': 0.15, 'den': 0.06, 'Lesben': 0.39, 'vorbehalten': 0.28, 'Gewisse': 0.61, 'allen': 0, 'erlaubt': 0, 'und': 0.58, 'andere': 0.33, 'wären': 0.35, 'weiterhin': 0, 'verboten': 0.71}",neutral,"[0.87157965, 0.029269308, 0.09915107]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@PirminMueller @AtticusJazz Der Zugang zu Fortpflanzungsmedizin ist nicht explizit für Lesben.,zugang fortpflanzungsmedizin explizit lesben,,,,,,,,,,,,,"{'Der': 0, 'Zugang': 0.59, 'zu': 0.18, 'Fortpflanzungsmedizin': 0.25, 'ist': 0.52, 'nicht': 1.0, 'explizit': 0, 'für': 0.32, 'Lesben': 0.28}",neutral,"[0.92748475, 0.01353377, 0.05898151]",,,,,,,neutral
