answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3460,absa_sentiment_3460,absa_scores_3460,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,1.0,negative,"Also bitte, stellt euch das doch mal vor: Wir sind in einer Pandemie, das Gesundheitspersonal komplett am Anschlag, und nun müssen die Angestellten noch per PETITION darum bitten, dass die Kinderbetreuung doch bitte geregelt wird. 👇 Bitte unterschreiben! @vpodbasel https://t.co/Nh3XZ8Pjyj",bitte stellen mal pandemie gesundheitspersonal komplett anschlag müssen angestellt per petition darum bitten kinderbetreuung bitte regeln bitte unterschreiben,"{'Also': 0, 'bitte': 0, 'stellt': 0, 'euch': 0, 'das': 0.36, 'doch': 0, 'mal': 0.02, 'vor': 0, 'Wir': 0.04, 'sind': 0.06, 'in': 0.04, 'einer': 0, 'Pandemie': 0.11, 'Gesundheitspersonal': 0.075, 'komplett': 0.04, 'am': 0, 'Anschlag': 0, 'und': 0.07, 'nun': 0, 'müssen': 0.075, 'die': 0.29, 'Angestellten': 0.1, 'noch': 0, 'per': 0, 'PETITION': 0.23, 'darum': 0, 'bitten': 0, 'dass': 0.36, 'Kinderbetreuung': 1.0, 'geregelt': 0, 'wird': 0.39, 'Bitte': 0, 'unterschreiben': 0.25}",neutral,"[0.9250754, 0.060122952, 0.014801721]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @meyer_mattea: Ich habe mich bewusst entschieden, neben dem Nationalratsamt und Kinderbetreuung nicht noch einen bezahlten Job auszuüben…",bewusst entscheiden neben nationalratsamt kinderbetreuung bezahlen job ausüben,"{'Ich': 0.05, 'habe': 0.08, 'mich': 0, 'bewusst': 0, 'entschieden': 0, 'neben': 0, 'dem': 0.22999999999999998, 'Nationalratsamt': 0, 'und': 1.0, 'Kinderbetreuung': 1.0, 'nicht': 0.27, 'noch': 0, 'einen': 0.05, 'bezahlten': 0.08, 'Job': 0.1, 'auszuüben': 0, '…': 0}",neutral,"[0.78702646, 0.010318368, 0.20265526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"Zum Thema Rentenaltererhöhung: Frauen sollen einfach ein Jahr länger nicht arbeiten, gäll, liebe Bürgerliche? #Logikwo https://t.co/NG86dfyJpW",thema rentenaltererhöhung frauen sollen einfach jahr lang arbeiten gäll lieb bürgerliche logikwo,,,,"{'Zum': 0.62, 'Thema': 0, 'Rentenaltererhöhung': 0.815, 'Frauen': 0.14, 'sollen': 0.16, 'einfach': 0, 'ein': 0, 'Jahr': 0.1, 'länger': 0.07, 'nicht': 0.1, 'arbeiten': 0.17, 'gäll': 0, 'liebe': 0, 'Bürgerliche': 0.14, 'Logikwo': 0}",neutral,"[0.4509983, 0.30635545, 0.24264622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.675,negative,"Lieber @SandroBrotz / #srfarena: Bei SIEBEN Gästen lediglich EINE Frau einzuladen, geht gar nicht. Wenn‘s ums Rentenalter geht, erst recht nicht. #frauenstreik #sheknows https://t.co/mdsy2fw0Py",lieb srfarena sieben gästen lediglich frau einladen gehen gar s ums rentenalter gehen erst recht frauenstreik sheknows,,,,"{'Lieber': 0.05, 'srfarena': 0.07, 'Bei': 0, 'SIEBEN': 0.03, 'Gästen': 0.03, 'lediglich': 0.04, 'EINE': 0.03, 'Frau': 0, 'einzuladen': 0.1, 'geht': 0, 'gar': 0, 'nicht': 0, 'Wenn': 0.21, '‘': 0, 's': 0, 'ums': 0, 'Rentenalter': 0, 'erst': 0, 'recht': 0, 'frauenstreik': 0, 'sheknows': 0}",neutral,"[0.4980883, 0.43848774, 0.063424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @JayBadran: Nominiert als Quote des Tages: Rentenaltererhöhung ist vom Tisch, ""alles andere wäre respektlos gegenüber den Gewinnern"" @Gr…",nominieren quote tages rentenaltererhöhung tisch respektlos gegenüber gewinnern,,,,"{'Nominiert': 0.09, 'als': 0.13, 'Quote': 0, 'des': 0, 'Tages': 0.09, 'Rentenaltererhöhung': 0.9299999999999999, 'ist': 0.78, 'vom': 0.07, 'Tisch': 0.15, 'alles': 0, 'andere': 0, 'wäre': 0.06, 'respektlos': 0.25, 'gegenüber': 0.04, 'den': 0.07, 'Gewinnern': 0.14, '…': 0}",negative,"[0.08060048, 0.8757447, 0.04365483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @wullipulli: Und wo fährt ihr hin im Vaterschaftsurlaub? ⁦@nau_live⁩. https://t.co/0XfP6aXYFO,fahren vaterschaftsurlaub,,,,,,,"{'Und': 0.36, 'wo': 1.0, 'fährt': 0, 'ihr': 0, 'hin': 0, 'im': 0, 'Vaterschaftsurlaub': 0.42000000000000004, '\u2066\u2069.': 0}",neutral,"[0.52094734, 0.45591947, 0.023133162]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @karpi: #Vaterschaftsurlaub @papizeit https://t.co/MLgM20d9Yg,vaterschaftsurlaub,,,,,,,{'Vaterschaftsurlaub': 0.82},positive,"[0.04310964, 0.008074764, 0.94881564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"Der Bundesrat will keinen Vaterschaftsurlaub. Wie kann man nur so ignorant sein. Junge Väter, wehrt euch! @diefeministen @spschweiz @papizeit https://t.co/GbxFMZgrfd",bundesrat vaterschaftsurlaub ignorant junge väter wehren,,,,,,,"{'Der': 0.23, 'Bundesrat': 0.23, 'will': 0, 'keinen': 0, 'Vaterschaftsurlaub': 0.88, 'Wie': 0, 'kann': 0.18, 'man': 0, 'nur': 0, 'so': 0.17, 'ignorant': 0.57, 'sein': 0, 'Junge': 0.04, 'Väter': 0.04, 'wehrt': 0, 'euch': 0.1}",negative,"[0.12662838, 0.5698253, 0.3035463]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @spschweiz: Wir fordern endlich faire und einfache Einbürgerungen 👉 https://t.co/K2axHxeMYN

Darum unterstützen wir das Manifest der @AV…",fordern endlich faire einfach einbürgerungen darum unterstützen manifest,,,,,,,,,,"{'Wir': 0.06, 'fordern': 0, 'endlich': 0, 'faire': 0, 'und': 0.5, 'einfache': 1.0, 'Einbürgerungen': 1.0, 'Darum': 0, 'unterstützen': 0.17, 'wir': 0, 'das': 0.18, 'Manifest': 0, 'der': 0.08, '…': 0}",positive,"[0.0017389081, 0.0013623255, 0.9968988]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Bin endlich am Buch von @josef_lang. In den 1870er schlägt der Baser Radikale Klein vor, „Kantonsfremden“ nach 4 Jahren die Einbürgerung gratis zu gewähren. Der Freisinnige Bürli (AG) erwidert, das mache erst in 100-150 Jahren Sinn. Wir wären ready, FDP. #Einbürgerungsoffensive",endlich buch 1870er schlagen baser radikale klein kantonsfremden jahren einbürgerung gratis gewähren freisinnige bürli ag erwidern erst jahren sinn ready fdp einbürgerungsoffensive,,,,,,,,,,"{'Bin': 0, 'endlich': 0, 'am': 0, 'Buch': 0.03, 'von': 0, 'In': 0.04, 'den': 0.02, '1870er': 0, 'schlägt': 0, 'der': 0.02, 'Baser': 0, 'Radikale': 0, 'Klein': 0.04, 'vor': 0, '„': 0, 'Kantonsfremden': 0, '“': 0, 'nach': 0, 'Jahren': 0, 'die': 0, 'Einbürgerung': 0, 'gratis': 0, 'zu': 0, 'gewähren': 0, 'Der': 0, 'Freisinnige': 0, 'Bürli': 0, 'AG': 0, 'erwidert': 0, 'das': 0, 'mache': 0, 'erst': 0, 'in': 0, 'Sinn': 0, 'Wir': 0, 'wären': 0, 'ready': 0, 'FDP': 0, 'Einbürgerungsoffensive': 0}",neutral,"[0.5803654, 0.0122041665, 0.40743038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"@KrebsYves Interessant. Wenn Einbürgerungen nicht verpolitisiert werden sollen (was ich sehr unterstütze), warum dann die Petitionskommission nicht ebenso auslassen? Sicherheitsdirektion im Sinne eines Gegenchecks von Seiten Verwaltung sollte doch reichen.",interessant einbürgerungen verpolitisiert sollen unterstützen warum petitionskommission ebenso auslassen sicherheitsdirektion sinne gegenchecks seiten verwaltung sollen reich,,,,,,,,,,"{'Interessant': 0.27, 'Wenn': 0, 'Einbürgerungen': 1.0, 'nicht': 0.01, 'verpolitisiert': 0.34, 'werden': 0, 'sollen': 0.02, 'was': 0, 'ich': 0.03, 'sehr': 0.01, 'unterstütze': 0.15, 'warum': 0.02, 'dann': 0, 'die': 0.03, 'Petitionskommission': 0, 'ebenso': 0.02, 'auslassen': 0.025, 'Sicherheitsdirektion': 0.08, 'im': 0, 'Sinne': 0, 'eines': 0, 'Gegenchecks': 0, 'von': 0, 'Seiten': 0, 'Verwaltung': 0.16, 'sollte': 0.02, 'doch': 0, 'reichen': 0}",positive,"[0.23581915, 0.12316736, 0.64101344]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,Ein schöner Erfolg heute in der SPK-N: Die Mehrheit der Kommission hat der parlamentarischen Initiative von @cedricwermuth zur Protokollpflicht bei Einbürgerungsverfahren zugestimmt. @spschweiz,schön erfolg heute spk n mehrheit kommission parlamentarisch initiative protokollpflicht einbürgerungsverfahren zustimmen,,,,,,,,,,"{'Ein': 0.04, 'schöner': 0, 'Erfolg': 0.08, 'heute': 0.08, 'in': 0.03, 'der': 0.37, 'SPK-N': 0, 'Die': 0.37, 'Mehrheit': 0.08, 'Kommission': 0.18, 'hat': 0, 'parlamentarischen': 0.19, 'Initiative': 0.26, 'von': 0, 'zur': 0.37, 'Protokollpflicht': 0, 'bei': 0, 'Einbürgerungsverfahren': 1.0, 'zugestimmt': 0}",neutral,"[0.7261079, 0.009831661, 0.26406047]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"⁦@Kanton_BL⁩ muss einbürgern, wenn sich die Gemeinde weigert, unsere Gesetze einzuhalten. Der Fall Bubendorf zeigt exemplarisch, welcher Willkür Betroffene ausgesetzt sind. Einbürgerungen gehören vereinheitlicht und automatisiert. ⁦@srfbasel⁩  https://t.co/hXrRWsHzXX",einbürgern gemeinden weigern gesetze einhalten fall bubendorf zeigen exemplarisch welch willkür betroffen aussetzen einbürgerungen gehören vereinheitlichen automatisieren,,,,,,,,,,"{'\u2066\u2069': 0, 'muss': 0, 'einbürgern': 0, 'wenn': 0, 'sich': 0, 'die': 0, 'Gemeinde': 0, 'weigert': 0, 'unsere': 0, 'Gesetze': 0, 'einzuhalten': 0, 'Der': 0, 'Fall': 0, 'Bubendorf': 0, 'zeigt': 0, 'exemplarisch': 0, 'welcher': 0, 'Willkür': 0, 'Betroffene': 0, 'ausgesetzt': 0, 'sind': 0, 'Einbürgerungen': 0, 'gehören': 0, 'vereinheitlicht': 0, 'und': 0, 'automatisiert': 0}",positive,"[0.16131584, 0.09520244, 0.74348176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
