answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3460,absa_sentiment_3460,absa_scores_3460,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @NancyHolten: Einbürgerungen sollten aufgrund von erfüllten Bedingungen und nicht durch persönliche Sympathien, oder Emotionen getroffen…",einbürgerungen sollen aufgrund erfüllen bedingungen persönlich sympathien emotionen triefen,"{'Einbürgerungen': 0.75, 'sollten': 0.32, 'aufgrund': 0.04, 'von': 0, 'erfüllten': 0.05, 'Bedingungen': 0.08, 'und': 0.07, 'nicht': 0.09, 'durch': 0.05, 'persönliche': 0.06, 'Sympathien': 0.16, 'oder': 0.05, 'Emotionen': 0.09, 'getroffen': 0, '…': 0}",neutral,"[0.75694746, 0.030720832, 0.21233173]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ag_bern: 20`000 Menschen demonstrierten heute in #Bern für Lohngleichheit. Darunter waren viele, die für 2019 einen landesweiten #Fraue…",menschen demonstrieren heute bern lohngleichheit darunter landesweiten fraue,,,,"{'20`000': 0, 'Menschen': 0.15, 'demonstrierten': 0.5, 'heute': 0.14, 'in': 0.31, 'Bern': 0.2, 'für': 1.0, 'Lohngleichheit': 0.935, 'Darunter': 0, 'waren': 0, 'viele': 0, 'die': 0, 'einen': 0.05, 'landesweiten': 0.05, 'Fraue': 0.08, '…': 0}",positive,"[0.29168326, 0.007982492, 0.70033425]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jungegruenebern: Enough is enough!
#Lohngleichheit muss jetzt durchgesetzt werden! Danke an alle die heute in Bern waren und mit uns un…",enough is enough lohngleichheit durchsetzen danke all heute bern un,,,,"{'Enough': 0.21, 'is': 0.15, 'enough': 0.21, 'Lohngleichheit': 0.815, 'muss': 0.08, 'jetzt': 0.43, 'durchgesetzt': 0.76, 'werden': 0, 'Danke': 0, 'an': 0, 'alle': 0.08, 'die': 0, 'heute': 0.06, 'in': 0.04, 'Bern': 0.08, 'waren': 0.04, 'und': 0.08, 'mit': 0.04, 'uns': 0.08, 'un': 0, '…': 0}",positive,"[0.08595722, 0.033217583, 0.88082516]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @gruenebern: «Nein heisst Nein» sagt Co-Präsidentin @natalieimboden zu #STAFNein Steuersenkungen bedeuten Abbau des Service Public auf K…,nein heisst nein sagen co präsidentin stafnein steuersenkungen bedeuten abbau service public k,,,,,,,"{'«': 0, 'Nein': 0, 'heisst': 0, '»': 0, 'sagt': 0, 'Co-Präsidentin': 0, 'zu': 0, 'STAFNein': 0, 'Steuersenkungen': 0, 'bedeuten': 0, 'Abbau': 0, 'des': 0, 'Service': 0, 'Public': 0, 'auf': 0, 'K': 0, '…': 0}",negative,"[0.36485925, 0.42934936, 0.20579135]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @AdrianAulbach: Warum E-Banking geht, E-Voting aber nicht, warum E-Voting nicht einfacher oder komfortabler ist als brieflich Abzustimme…",warum e banking gehen e voting warum e voting einfach komfortabel brieflich abzustimme,,,,,,,,,,"{'Warum': 1.0, 'E-Banking': 0, 'geht': 0, 'E-Voting': 0, 'aber': 0.3, 'nicht': 0.76, 'warum': 1.0, 'einfacher': 0.08, 'oder': 0.08, 'komfortabler': 0.04, 'ist': 0.26, 'als': 0, 'brieflich': 0.05500000000000001, 'Abzustimme': 0, '…': 0}",negative,"[0.11169897, 0.8644198, 0.023881169]",,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,RT @jGruene_jVertEs: Die direkte Demokratie basiert auf Vertrauen in die politischen Institutionen. Ein unsicheres E-Voting-System gefährde…,direkt demokratie basieren vertrauen politisch institutionen unsicher e voting system gefährden,,,,,,,,,,"{'Die': 0, 'direkte': 0.13, 'Demokratie': 0.16, 'basiert': 0.13, 'auf': 0.12, 'Vertrauen': 0.26, 'in': 0.13, 'die': 0, 'politischen': 0.18, 'Institutionen': 0.26, 'Ein': 0, 'unsicheres': 1.0, 'E-Voting-System': 0, 'gefährde': 0, '…': 0}",negative,"[0.030802349, 0.90019757, 0.06900009]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Sicherheit vor Tempo! Schützen wir unsere Demokratie vor Cyberangriffen: Jetzt Volksinitiative für ein E-Voting-Moratorium unterstützen. https://t.co/1RMUbdOt7n,sicherheit tempo schützen demokratie cyberangriffen volksinitiative e voting moratorium unterstützen,,,,,,,,,,"{'Sicherheit': 0.61, 'vor': 1.0, 'Tempo': 0, 'Schützen': 0, 'wir': 0, 'unsere': 0.05, 'Demokratie': 0.06, 'Cyberangriffen': 0.06, 'Jetzt': 0.07, 'Volksinitiative': 0.045, 'für': 0.05, 'ein': 0, 'E-Voting-Moratorium': 0, 'unterstützen': 0.07}",neutral,"[0.47546327, 0.2744638, 0.2500729]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @srfnews: Mit 98 zu 85 Stimmen unterstützt der #Nationalrat einen Vorstoss der #Grünen für die Einführung des #Stimmrechtsalters 16. htt…,stimmen unterstützen nationalrat vorstoss grün einführung stimmrechtsalters htt,,,,,,,,,,,,,"{'Mit': 0.04, 'zu': 0.04, 'Stimmen': 0, 'unterstützt': 0.14, 'der': 0.51, 'Nationalrat': 0, 'einen': 0, 'Vorstoss': 0, 'Grünen': 0.15, 'für': 0.13, 'die': 0.51, 'Einführung': 0.41, 'des': 0, 'Stimmrechtsalters': 0.7450000000000001, '16.': 0, 'htt': 0.32, '…': 0}",neutral,"[0.5484309, 0.029390225, 0.42217883]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @GSoASchweiz: Ein fiktives Gespräch mit dem Bundesrat über die jüngsten ""Einzelfälle""... Stopp Kriegsmaterialexporte! https://t.co/11ayQ…",fiktiv gespräch bundesrat jung einzelfälle stopp kriegsmaterialexporte,,,,,,,,,,,,,,,,"{'Ein': 0.03, 'fiktives': 0, 'Gespräch': 0.12, 'mit': 0.05, 'dem': 0.04, 'Bundesrat': 0.05, 'über': 0, 'die': 0.04, 'jüngsten': 0, 'Einzelfälle': 0.055, '...': 0, 'Stopp': 1.0, 'Kriegsmaterialexporte': 0.19}",positive,"[0.18424499, 0.32073548, 0.49501953]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @jonaskellerzh: Zum Mythos ""die Schweiz steht im Umweltschutz schon gut da, die #GrueneWirtschaft ist unnötig"" Quelle: BFS https://t.co/…",mythos schweiz stehen umweltschutz schon gut gruenewirtschaft unnötig quelle bfs,,,,,,,,,,,,,,,,,,,"{'Zum': 0.095, 'Mythos': 0, 'die': 0.09, 'Schweiz': 0.38, 'steht': 0, 'im': 0, 'Umweltschutz': 0.165, 'schon': 0, 'gut': 0, 'da': 0, 'GrueneWirtschaft': 0.38, 'ist': 0.05, 'unnötig': 0.1, 'Quelle': 0, 'BFS': 0}",positive,"[0.31123602, 0.23577961, 0.4529844]",,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @sbinein: Die #SBI schadet auch dem Forschung- und Bildungsplatz #Schweiz. Positionsbezug von @CH_universities #sbinein
https://t.co/TSm…",sbi schaden forschung bildungsplatz schweiz positionsbezug sbinein,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.35, 'SBI': 0.36, 'schadet': 1.0, 'auch': 0.47, 'dem': 0.35, 'Forschung-': 0, 'und': 0.13, 'Bildungsplatz': 0, 'Schweiz': 0.17, 'Positionsbezug': 0.11, 'von': 0.11, 'sbinein': 0.29}",negative,"[0.14712362, 0.5380423, 0.31483403]",,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @Kilian_Baumann: Die Mehrheit unserer Kommission ist überzeugt, dass es einen beschleunigten ökologischen Umbau der Landwirtschaft und i…",mehrheit kommission überzeugen beschleunigen ökologisch umbau landwirtschaft i,,,,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.09, 'Mehrheit': 0.12, 'unserer': 0.15, 'Kommission': 0.12, 'ist': 0.21, 'überzeugt': 1.0, 'dass': 1.0, 'es': 0.21, 'einen': 0, 'beschleunigten': 0.34, 'ökologischen': 0.16, 'Umbau': 0, 'der': 0.09, 'Landwirtschaft': 0.15, 'und': 0.11, 'i': 0.11, '…': 0}",negative,"[0.34559867, 0.37957087, 0.2748305]",positive
50.0,75.0,57.0,0.0,neutral,"RT @gruenebern: Es braucht eine nachhaltige Landwirtschaft und politischen Druck, @Kilian_Baumann! https://t.co/0QgdxoYAY8",brauchen nachhaltig landwirtschaft politisch druck,,,,,,,,,,,,,,,,,,,,,,,,,"{'Es': 0, 'braucht': 0, 'eine': 0, 'nachhaltige': 1.0, 'Landwirtschaft': 1.0, 'und': 0.22, 'politischen': 0.26, 'Druck': 0.28}",positive,"[0.0013595567, 0.0012759782, 0.99736446]",neutral
50.0,75.0,57.0,0.0,neutral,"RT @jGruene_jVertEs: Wie sieht die #Landwirtschaft von morgen aus? Wir diskutieren an unserem Bildungstag mit zwei Bauern und ""Vision Landw…",sehen landwirtschaft morgen diskutieren bildungstag zwei bauern vision landw,,,,,,,,,,,,,,,,,,,,,,,,,"{'Wie': 0, 'sieht': 0, 'die': 0.07, 'Landwirtschaft': 0.08, 'von': 0, 'morgen': 0.09, 'aus': 0, 'Wir': 0.46, 'diskutieren': 0, 'an': 0, 'unserem': 0.1, 'Bildungstag': 0.175, 'mit': 0.78, 'zwei': 0.23, 'Bauern': 0.12, 'und': 0.26, 'Vision': 0.17, 'Landw': 0, '…': 0}",neutral,"[0.9920535, 0.0032710377, 0.004675482]",neutral
