answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"Natürlich ist Beruf, Familie &amp; Politik eine Herausforderung. Zur Familie gehören auch die Männer &amp; viele in meiner Generation wollen ihren Anteil in der Kinderbetreuung beitragen. Dann geht diese Herauforderung. Dafür braucht es Rahmenbedingungen. Die schaffen wir! @JCVPSchweiz https://t.co/rn4OhiSq94",natürlich beruf familie amp politik herausforderung familie gehören männer amp generation anteil kinderbetreuung beitragen gehen herauforderung dafür brauchen rahmenbedingungen schaffen,"{'Natürlich': 0, 'ist': 0, 'Beruf': 0, 'Familie': 0.02, 'amp': 0.02, 'Politik': 0, 'eine': 0, 'Herausforderung': 0.07, 'Zur': 0.034999999999999996, 'gehören': 0, 'auch': 0.02, 'die': 0.01, 'Männer': 0.02, 'viele': 0, 'in': 1.0, 'meiner': 0, 'Generation': 0.09, 'wollen': 0.19, 'ihren': 0, 'Anteil': 0, 'der': 0.01, 'Kinderbetreuung': 1.0, 'beitragen': 0, 'Dann': 0.1, 'geht': 0.02, 'diese': 0.05, 'Herauforderung': 0.07, 'Dafür': 0, 'braucht': 0, 'es': 0, 'Rahmenbedingungen': 0.03, 'Die': 0.01, 'schaffen': 0, 'wir': 0}",positive,"[0.16541608, 0.023425143, 0.8111588]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @DieJungeMitteCH: Auch mit dem gleichen Rentenalter ist die AHV noch nicht langfristig saniert. Umso mehr verstehen wir es nicht, warum…",gleich rentenalter ahv langfristig sanieren umso mehr verstehen warum,,,,"{'Auch': 0, 'mit': 0.8, 'dem': 0.07, 'gleichen': 1.0, 'Rentenalter': 0.96, 'ist': 0, 'die': 0.07, 'AHV': 0.13, 'noch': 0, 'nicht': 0.15, 'langfristig': 0.060000000000000005, 'saniert': 0, 'Umso': 0.07, 'mehr': 0.08, 'verstehen': 0.05, 'wir': 0, 'es': 0, 'warum': 0.09, '…': 0}",neutral,"[0.85915387, 0.035798557, 0.10504756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @MonikaBuetler: Das tiefere Rentenalter der Frauen ist kein Pfand für Zugeständnisse in anderen Gebieten, sondern eher eine Ausrede, nic…",tief rentenalter frauen pfand zugeständnisse gebieten eher ausreden nic,,,,"{'Das': 1.0, 'tiefere': 0, 'Rentenalter': 0.6799999999999999, 'der': 1.0, 'Frauen': 0.18, 'ist': 0.41, 'kein': 0, 'Pfand': 0, 'für': 0.07, 'Zugeständnisse': 0.08, 'in': 0.05, 'anderen': 0, 'Gebieten': 0.06, 'sondern': 0.04, 'eher': 0.03, 'eine': 0, 'Ausrede': 0.11, 'nic': 0, '…': 0}",negative,"[0.27763483, 0.6357584, 0.086606815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,Endlich! Rentenalter 65 auch für Frauen. 💪,endlich rentenalter frauen,,,,"{'Endlich': 1.0, 'Rentenalter': 0.5700000000000001, 'auch': 0, 'für': 0.85, 'Frauen': 0.68}",positive,"[0.11690052, 0.006237461, 0.87686205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @JCVPSchweiz: «Wir müssen ehrlich sein zum Volk und parallel zu AHV 21 über die weitere Erhöhung des Rentenalters nachdenken.» @e_ettlin…,müssen ehrlich volk parallel ahv weit erhöhung rentenalters nachdenken,,,,"{'«': 0, 'Wir': 0, 'müssen': 0, 'ehrlich': 0, 'sein': 0, 'zum': 0, 'Volk': 0, 'und': 0, 'parallel': 0, 'zu': 0, 'AHV': 0, 'über': 0, 'die': 0, 'weitere': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'nachdenken': 0, '»': 0, '…': 0}",negative,"[0.33364514, 0.6407143, 0.025640622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @MathysRoland: Aus meinem persönlichen Umfeld gibt es keine einzige Frau, die gegen Rentenalter 65 für Frauen wäre. 
Hauptargument: Wir…",persönlich umfeld geben einzig frau rentenalter frauen hauptargument,,,,"{'Aus': 0, 'meinem': 0.07, 'persönlichen': 0.14, 'Umfeld': 0.2, 'gibt': 0, 'es': 0.08, 'keine': 0, 'einzige': 0, 'Frau': 0, 'die': 0, 'gegen': 1.0, 'Rentenalter': 0.875, 'für': 0.31, 'Frauen': 0.17, 'wäre': 0.3, 'Hauptargument': 0.2, 'Wir': 0.06, '…': 0}",neutral,"[0.6060747, 0.1279208, 0.2660045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @JCVPSchweiz: Mit dem Vaterschaftsurlaub stärken wir unsere Familien für die Zukunft. Sag deshalb auch DU am 27. September JA zum Vaters…,vaterschaftsurlaub stärken familien zukunft sag deshalb september ja vaters,,,,,,,"{'Mit': 1.0, 'dem': 0.035, 'Vaterschaftsurlaub': 0.795, 'stärken': 0.44, 'wir': 0, 'unsere': 0.11, 'Familien': 0, 'für': 0.17, 'die': 0.03, 'Zukunft': 0.15, 'Sag': 0, 'deshalb': 0.17, 'auch': 0, 'DU': 0, 'am': 0, '27.': 0, 'September': 0.06, 'JA': 0, 'zum': 0.035, 'Vaters': 0.05, '…': 0}",positive,"[0.0052290238, 0.0018745518, 0.9928965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Wieso fordert die #CVP schon lange einen zweiwöchigen   Vaterschaftsurlaub? @AGmur erklärte es hier kurz und knapp. 💪🏼 Und nic…,wieso fordern cvp schon lang zweiwöchigen vaterschaftsurlaub erklären kurz knapp nic,,,,,,,"{'Wieso': 0, 'fordert': 0, 'die': 0.14, 'CVP': 0.25, 'schon': 0, 'lange': 0.11, 'einen': 0.04, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.69, 'erklärte': 0.22, 'es': 0, 'hier': 0.05, 'kurz': 0, 'und': 0.05, 'knapp': 0, 'Und': 0.05, 'nic': 0, '…': 0}",neutral,"[0.5209719, 0.471741, 0.00728709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @papizeit: Wir erhalten Rückenwind von @johanna_gapany. Unterstütze auch 2 Wochen Vaterschaftsurlaub und hilf uns mit am 27. September d…,erhalten rückenwind unterstützen wochen vaterschaftsurlaub helfen september d,,,,,,,"{'Wir': 0.15, 'erhalten': 0, 'Rückenwind': 0, 'von': 0.17, 'Unterstütze': 1.0, 'auch': 0.84, 'Wochen': 1.0, 'Vaterschaftsurlaub': 0.595, 'und': 0.37, 'hilf': 0.56, 'uns': 0.25, 'mit': 0, 'am': 0, '27.': 0, 'September': 0.13, 'd': 0, '…': 0}",neutral,"[0.5609146, 0.0300431, 0.40904224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@Unparteiischen @PhilippKutter @papizeit Der Vaterschaftsurlaub muss nicht aneinander bezogen werden. Das heisst er ermöglicht es der Frau, bereits früher einen Tag pro Woche zurückzukehren, ohne dass das Kind (wie sie es sagen) abgeschoben wird, sondern noch von den eigenen Eltern betreut werden kann.",vaterschaftsurlaub aneinander beziehen heisst ermöglichen frau bereits früh tag pro woche zurückkehren kind sagen abschieben eigen eltern betreuen,,,,,,,"{'Der': 0.01, 'Vaterschaftsurlaub': 0.22500000000000003, 'muss': 0.01, 'nicht': 1.0, 'aneinander': 0.0625, 'bezogen': 0, 'werden': 0, 'Das': 0.01, 'heisst': 0, 'er': 0, 'ermöglicht': 0.08, 'es': 0, 'der': 0.01, 'Frau': 0, 'bereits': 0, 'früher': 0.01, 'einen': 0.01, 'Tag': 0, 'pro': 0, 'Woche': 0.01, 'zurückzukehren': 0.015, 'ohne': 0.01, 'dass': 0.03, 'das': 0.03, 'Kind': 0, 'wie': 0, 'sie': 0, 'sagen': 0.01, 'abgeschoben': 0.02, 'wird': 0, 'sondern': 0.04, 'noch': 0, 'von': 0, 'den': 0.01, 'eigenen': 0.01, 'Eltern': 0.01, 'betreut': 0, 'kann': 0}",positive,"[0.4025953, 0.017448395, 0.5799563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
