answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.3333333333333333,neutral,"Wenn Homeoffice erzwungen wird, wäre ein solcher Entscheid ein Hohn gegenüber Arbeitgebenden, welche nicht nur außerordentliche IT-Kosten  stemmen mussten sondern sich auch sehr flexibel betreffend Kinderbetreuung ect. zeigen mussten. https://t.co/vKbQ7ZfwJA",homeoffice erzwingen solch entscheid hohn gegenüber arbeitgebenden welch außerordentlich it kosten stemmen mussten flexibel betreffen kinderbetreuung ect zeigen mussten,"{'Wenn': 0, 'Homeoffice': 0, 'erzwungen': 0.02, 'wird': 0, 'wäre': 0.01, 'ein': 0, 'solcher': 0.01, 'Entscheid': 0.03, 'Hohn': 0, 'gegenüber': 0.03, 'Arbeitgebenden': 0.02, 'welche': 0, 'nicht': 0.01, 'nur': 0.01, 'außerordentliche': 0.05, 'IT-Kosten': 0, 'stemmen': 0, 'mussten': 0.09, 'sondern': 0.03, 'sich': 0, 'auch': 0.08, 'sehr': 0.05, 'flexibel': 0.24, 'betreffend': 0, 'Kinderbetreuung': 1.0, 'ect': 0, 'zeigen': 0.12}",neutral,"[0.9217984, 0.064177684, 0.014023873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"#Vaterschaftsurlaub im @BaselStadt sagen bis dato über 70% Ja. 
Nun erwarte ich von der Regierung, dass unser Vorstoss für die Einführung der kantonalen #Elternzeit sofort umgesetzt wird und dem Parlament eine Vorlage unterbreitet wird https://t.co/OoCBXdr7XE",vaterschaftsurlaub sagen dato ja erwarten regierung vorstoss einführung kantonalen elternzeit sofort umsetzen parlament vorlage unterbreiten,,,,"{'Vaterschaftsurlaub': 0.06, 'im': 0, 'sagen': 0.02, 'bis': 0, 'dato': 0, 'über': 0.13, 'Ja': 0.03, 'Nun': 0.05, 'erwarte': 0.14, 'ich': 0.06, 'von': 0, 'der': 0.03, 'Regierung': 0.09, 'dass': 0, 'unser': 0.06, 'Vorstoss': 0, 'für': 0.03, 'die': 0.03, 'Einführung': 0.08, 'kantonalen': 0.17, 'Elternzeit': 0.065, 'sofort': 0.03, 'umgesetzt': 0, 'wird': 0, 'und': 0.03, 'dem': 0.025, 'Parlament': 0.06, 'eine': 0, 'Vorlage': 0, 'unterbreitet': 0}",positive,"[0.37156755, 0.020930309, 0.6075021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,#vaterschaftsurlaub in Basel - danke Lea -jetzt ab zur Elternzeit @EdibeGoelgeli https://t.co/aVD8xAA2Au,vaterschaftsurlaub basel danke lea ab elternzeit,,,,"{'vaterschaftsurlaub': 0.09, 'in': 0.22, 'Basel': 0.12, 'danke': 0.155, 'Lea': 0.12, '-jetzt': 0, 'ab': 0, 'zur': 0, 'Elternzeit': 0.1}",positive,"[0.1751134, 0.03405802, 0.7908286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @vera_beutler: #Vaterschaftsurlaub sind Gratisferien? Dann machen also auch alle #Mütter, die nicht erwerbstätig sind, jahrelang Ferien?…",vaterschaftsurlaub gratisferien all mütter erwerbstätig jahrelang ferien,,,,"{'Vaterschaftsurlaub': 0.6, 'sind': 0.05, 'Gratisferien': 0.29, 'Dann': 0, 'machen': 0, 'also': 0, 'auch': 0, 'alle': 0, 'Mütter': 0.09, 'die': 0, 'nicht': 0.03, 'erwerbstätig': 0.06, 'jahrelang': 0.05500000000000001, 'Ferien': 0, '…': 0}",neutral,"[0.8202143, 0.024292666, 0.15549308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @ChristianLevrat: Und diese Partei will progressiv und modern sein? @FDP_Liberalen sagt Nein zum Vaterschaftsurlaub (heute in der WBK-S)…,partei progressiv modern sagen nein vaterschaftsurlaub heute wbk s,,,,"{'Und': 0.07, 'diese': 0.04, 'Partei': 0.09, 'will': 0, 'progressiv': 0.07, 'und': 0.07, 'modern': 0.09, 'sein': 0, 'sagt': 1.0, 'Nein': 1.0, 'zum': 0.41000000000000003, 'Vaterschaftsurlaub': 0.43000000000000005, 'heute': 0.12, 'in': 0.03, 'der': 0.05, 'WBK-S': 0, '…': 0}",neutral,"[0.6010743, 0.07545202, 0.32347378]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,RT @gabrielvetter: Das Nein des Bundesrates zum #Vaterschaftsurlaub ist vor allem auch eins: Eine fette Ohrfeige an alle Frauen und Mütter…,nein bundesrates vaterschaftsurlaub eins fett ohrfeigen all frauen mütter,,,,"{'Das': 0.03, 'Nein': 0.3, 'des': 0, 'Bundesrates': 0.11, 'zum': 0.03, 'Vaterschaftsurlaub': 0.53, 'ist': 0.21, 'vor': 0, 'allem': 0, 'auch': 0, 'eins': 0, 'Eine': 0.11, 'fette': 0, 'Ohrfeige': 0.1, 'an': 0, 'alle': 0, 'Frauen': 0.04, 'und': 0.04, 'Mütter': 0.04, '…': 0}",positive,"[0.0021275124, 0.0018416669, 0.99603075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"https://t.co/sJkogzBSnd
@BajourBasel
Völlig einig, dass es eine #Zwickmühle und auch ein #paradox ist in der #Pensionskasse 

Dennoch: kritische Fragen zu stellen, gehört dazu! Ist wichtig! 
Und noch viel wichtiger: Stärkung der #AVH damit die Renten daraus existenzsichernd sind",völlig zwickmühle paradox pensionskasse dennoch kritisch fragen stellen hören wichtig wichtig stärkung avh renten daraus existenzsichernd,,,,,,,"{'Völlig': 0, 'einig': 0, 'dass': 0.09, 'es': 0.02, 'eine': 0, 'Zwickmühle': 0.04, 'und': 0.04, 'auch': 0.02, 'ein': 0, 'paradox': 0.04, 'ist': 0.02, 'in': 0.02, 'der': 0.12, 'Pensionskasse': 0.08, 'Dennoch': 0, 'kritische': 0.04, 'Fragen': 0.1, 'zu': 0, 'stellen': 0, 'gehört': 0, 'dazu': 0, 'Ist': 0.02, 'wichtig': 0.04, 'Und': 0.04, 'noch': 0, 'viel': 0.02, 'wichtiger': 0.03, 'Stärkung': 0.12, 'AVH': 0.09, 'damit': 0.02, 'die': 0.12, 'Renten': 0.19, 'daraus': 0.12, 'existenzsichernd': 0, 'sind': 0.38}",negative,"[0.4091885, 0.4701445, 0.120667]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"SP sagt ja zur Mieterinitiative,ja zum Gegenvorschlag und beim stichentscheid gegenvorschlag
Gut so, Förderung genossenschaft. Wohnungsbau",sp sagen ja mieterinitiative ja gegenvorschlag beim stichentscheid gegenvorschlag gut förderung genossenschaft wohnungsbau,,,,,,,,,,"{'SP': 0.11, 'sagt': 0.15, 'ja': 0.09, 'zur': 0.06, 'Mieterinitiative': 0.08, 'zum': 0.06, 'Gegenvorschlag': 0, 'und': 0.09, 'beim': 0.08, 'stichentscheid': 0.1, 'gegenvorschlag': 0, 'Gut': 0, 'so': 0, 'Förderung': 0, 'genossenschaft': 0.48, 'Wohnungsbau': 1.0}",positive,"[0.015783878, 0.007110146, 0.977106]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"60% der Angehörigen lehnen eine Organspende im Spital ab, 80% der Bevölkerung würde spenden. Diese Diskrepanz zeigt, dass der Wille der bBetroffenen mit dem jetzigen System nicht genügend abgebildet wird. Auch deshalb ist der #systemwechsel richtig #organspende https://t.co/eZyQJo4dLN",angehörig lehnen organspende spital ab bevölkerung spenden diskrepanz zeigen wille bbetroffenen jetzig system genügen abbilden deshalb systemwechsel richtig organspende,,,,,,,,,,,,,"{'der': 0.11, 'Angehörigen': 0.04, 'lehnen': 0, 'eine': 0, 'Organspende': 0.6, 'im': 0, 'Spital': 0, 'ab': 0, 'Bevölkerung': 0.03, 'würde': 0.01, 'spenden': 0.04, 'Diese': 0.04, 'Diskrepanz': 0.18, 'zeigt': 0, 'dass': 0.08, 'Wille': 0.03, 'bBetroffenen': 0.04, 'mit': 0, 'dem': 0.065, 'jetzigen': 0, 'System': 0.22, 'nicht': 0.04, 'genügend': 0, 'abgebildet': 0, 'wird': 0.03, 'Auch': 0, 'deshalb': 0.065, 'ist': 0.29, 'systemwechsel': 0.245, 'richtig': 0, 'organspende': 0.6}",neutral,"[0.51596916, 0.03010527, 0.45392564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,#Herznetz #organspende @ParlCH https://t.co/W2fIvLpb4p,herznetz organspende,,,,,,,,,,,,,"{'Herznetz': 0, 'organspende': 0.495}",neutral,"[0.53931594, 0.014607384, 0.44607666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Bürgergemeinderat:Lohnrunde, Leistungsauftrag #waisenhaus genehmigt; Canan #spbs in #Einbürgerungskommission gewählt https://t.co/UPiRRT2vY4",bürgergemeinderat lohnrunde leistungsauftrag waisenhaus genehmigen canan spbs einbürgerungskommission wählen,,,,,,,,,,,,,,,,"{'Bürgergemeinderat': 0.17, 'Lohnrunde': 0.07, 'Leistungsauftrag': 0.12, 'waisenhaus': 0, 'genehmigt': 0.13, 'Canan': 0.11, 'spbs': 0.18, 'in': 0, 'Einbürgerungskommission': 1.0, 'gewählt': 0}",neutral,"[0.5991358, 0.0063294745, 0.3945347]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#tagderfrau #InternationalWomensDay 

Notwendig noch immer- weil wir noch lange nicht am Ziel sind 
#Elternzeit #lohngleichheit https://t.co/gXcEBoPTZ1",tagderfrau internationalwomensday notwendig immer lang ziel elternzeit lohngleichheit,,,,,,,,,,,,,,,,,,,"{'tagderfrau': 0, 'InternationalWomensDay': 0.28, 'Notwendig': 0.06, 'noch': 0.15, 'immer-': 0, 'weil': 0.07, 'wir': 0, 'lange': 0.12, 'nicht': 0, 'am': 0, 'Ziel': 0, 'sind': 0.07, 'Elternzeit': 0.495, 'lohngleichheit': 0}",neutral,"[0.6412807, 0.25809392, 0.1006254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"2/2 machen, finde ich heikel 
Fazit: Die Steuerpolitik soll fair sein. Beim Mittelstand gibt es tatsächlich noch Verfeinerungspotential. Das Aus zum #InstA für Steuersenkungen zu nutzen, finde ich heikel 
#neinzusteuerwettbewerb #jazufairensteuern 
@bazonline @bzBasel",finden heikel fazit steuerpolitik fair beim mittelstand geben tatsächlich verfeinerungspotential insta steuersenkungen nutzen finden heikel neinzusteuerwettbewerb jazufairensteuern,,,,,,,,,,,,,,,,,,,,,,"{'machen': 0, 'finde': 0.6, 'ich': 0.16, 'heikel': 1.0, 'Fazit': 0.1, 'Die': 0.12, 'Steuerpolitik': 0.05, 'soll': 0, 'fair': 0.08, 'sein': 0, 'Beim': 0.12, 'Mittelstand': 0, 'gibt': 0, 'es': 0.04, 'tatsächlich': 0, 'noch': 0.06, 'Verfeinerungspotential': 0, 'Das': 0.12, 'Aus': 0, 'zum': 0.11, 'InstA': 0.13, 'für': 0.05, 'Steuersenkungen': 0.05, 'zu': 0.1, 'nutzen': 0.24, 'neinzusteuerwettbewerb': 0.0625, 'jazufairensteuern': 0.07}",negative,"[0.12620565, 0.80261225, 0.07118207]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,negative,"(1/2) 
Erfreulicher Rechnungsabschluss im @BaselStadt 
302 Millionen Überschuss, Nettoschuldenquote so tief wie noch nie. 
ABER: Finanzplan sieht zwar gut aus, aber:
- Weitere Steuersenkungen (gell @BalzHerter ) wären unverantwortlich- es ist noch eine am Laufen.",erfreulich rechnungsabschluss millionen überschuss nettoschuldenquote tief nie finanzplan sehen gut weit steuersenkungen gell unverantwortlich laufen,,,,,,,,,,,,,,,,,,,,,,"{'Erfreulicher': 0, 'Rechnungsabschluss': 0.015, 'im': 0, 'Millionen': 0, 'Überschuss': 0, 'Nettoschuldenquote': 0.0275, 'so': 0, 'tief': 0, 'wie': 0, 'noch': 0.03, 'nie': 0, 'ABER': 0.04, 'Finanzplan': 0.025, 'sieht': 0, 'zwar': 0.02, 'gut': 0, 'aus': 0, 'aber': 0.04, 'Weitere': 0.08, 'Steuersenkungen': 0.115, 'gell': 0, 'wären': 0.10500000000000001, 'unverantwortlich-': 0, 'es': 0.02, 'ist': 0.02, 'eine': 0.01, 'am': 0, 'Laufen': 0}",negative,"[0.016030129, 0.9330429, 0.050927047]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@BalzHerter @BaselStadt @dieMitte_bs Lieber Balz - wie gerne würde ich jetzt mit dir in der Finanzkommission diskutieren ;-)
- Kein Überschuss von 932 Millionen! 
- Jetzt müssen wir die Wirtschaft ankurbeln und investieren
- Steuersenkungen sind bereits im Gange, weitere unverantwortlich 
Herzliche Grüsse aus Bern",lieb balz gerne finanzkommission diskutieren überschuss millionen müssen wirtschaft ankurbeln investieren steuersenkungen bereits gange weit unverantwortlich herzlich grüsse bern,,,,,,,,,,,,,,,,,,,,,,"{'Lieber': 0.05, 'Balz': 0, 'wie': 0.02, 'gerne': 0, 'würde': 0.03, 'ich': 0.02, 'jetzt': 0.2, 'mit': 0.01, 'dir': 0.060000000000000005, 'in': 0.02, 'der': 0.03, 'Finanzkommission': 0.015, 'diskutieren': 0, 'Kein': 0, 'Überschuss': 0, 'von': 0.05, 'Millionen': 0, 'Jetzt': 0.2, 'müssen': 0.135, 'wir': 0, 'die': 0.03, 'Wirtschaft': 0, 'ankurbeln': 0, 'und': 0.04, 'investieren': 0.05, 'Steuersenkungen': 0.505, 'sind': 1.0, 'bereits': 0.73, 'im': 0, 'Gange': 0, 'weitere': 0.17, 'unverantwortlich': 0.48, 'Herzliche': 0, 'Grüsse': 0.11, 'aus': 0, 'Bern': 0.04}",negative,"[0.21468867, 0.58318704, 0.20212428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
