answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Die Verhinderer des Vaterschaftsurlaubs https://t.co/wI4QiKmj0L,verhinderer vaterschaftsurlaubs,"{'Die': 0.32, 'Verhinderer': 0, 'des': 0, 'Vaterschaftsurlaubs': 1.0}",positive,"[0.26717922, 0.076791815, 0.6560289]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,Briten drohen der EU mit Steuersenkung um 50 Prozent - bernerzeitung.ch: Nichts verpassen https://t.co/y50axPPRdX,briten drohen eu steuersenkung prozent bernerzeitung ch verpassen,,,,"{'Briten': 0.1, 'drohen': 0, 'der': 0.1, 'EU': 0, 'mit': 0.58, 'Steuersenkung': 0.6, 'um': 1.0, 'Prozent': 0.13, 'bernerzeitung.ch': 0, 'Nichts': 0, 'verpassen': 0.1}",positive,"[0.20188329, 0.017345255, 0.78077143]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @SaskiaSchenker: Liegenschaftsbesitzerinnen und -besitzer investieren in erneuerbare Energien - wenn sie denn dürfen. Wir haben heute im…,liegenschaftsbesitzerinnen besitzer investieren erneuerbare energien dürfen heute,,,,,,,"{'Liegenschaftsbesitzerinnen': 0.78, 'und': 0, '-besitzer': 0, 'investieren': 1.0, 'in': 0.11, 'erneuerbare': 0.86, 'Energien': 0.62, 'wenn': 0.41, 'sie': 0, 'denn': 0, 'dürfen': 0, 'Wir': 0, 'haben': 0.13, 'heute': 0.23, 'im': 0, '…': 0}",neutral,"[0.68293995, 0.029811515, 0.28724858]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @treuhand40: Nutzen Sie die ruhige Ferienzeit, um die nächsten Digitalisierungsprojekte zu planen.
Bei Fragen ist unser Team für Sie da.…",nutzen ruhig ferienzeit nächst digitalisierungsprojekte planen fragen team,,,,,,,,,,"{'Nutzen': 0.095, 'Sie': 0, 'die': 0.22, 'ruhige': 0, 'Ferienzeit': 0.09, 'um': 0, 'nächsten': 1.0, 'Digitalisierungsprojekte': 0.6950000000000001, 'zu': 0.11, 'planen': 0.245, 'Bei': 0, 'Fragen': 0.03, 'ist': 0.02, 'unser': 0.01, 'Team': 0.03, 'für': 0.01, 'da': 0, '…': 0}",neutral,"[0.92932594, 0.008897881, 0.061776206]",,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @treuhand40: Heute startet der erste Zertifikatslehrgang zur Digitalisierung für Treuhänder!
Allen einen lehrreichen Kurs!
https://t.co/…",heute starten erste zertifikatslehrgang digitalisierung treuhänder lehrreich kurs,,,,,,,,,,"{'Heute': 0.08, 'startet': 0, 'der': 0.18, 'erste': 0.29, 'Zertifikatslehrgang': 0.22499999999999998, 'zur': 0.18, 'Digitalisierung': 0, 'für': 0.09, 'Treuhänder': 0, 'Allen': 0, 'einen': 0, 'lehrreichen': 0, 'Kurs': 0.24}",positive,"[0.0126643395, 0.0021775453, 0.98515815]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @treuhand40: Wo stehen Sie in der Digitalisierung und was sind die nächsten Schritte?
Finden Sie es heraus...
https://t.co/LyhIaGo1po ht…",stehen digitalisierung nächst schritte finden heraus ht,,,,,,,,,,"{'Wo': 0.41, 'stehen': 0.55, 'Sie': 0, 'in': 1.0, 'der': 0.03, 'Digitalisierung': 0, 'und': 0.16, 'was': 0, 'sind': 0.04, 'die': 0.03, 'nächsten': 0.08, 'Schritte': 0.14, 'Finden': 0.09, 'es': 0, 'heraus': 0.03, '...': 0, 'ht': 0.05, '…': 0}",neutral,"[0.91307044, 0.004877447, 0.082052216]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @treuhand40: Willkommen zurück aus den Ferien!
Wir sind wieder am Start mit vielen neuen Ideen für Ihre Digitalisierung in der Treuhandb…",willkommen zurück ferien start neu ideen digitalisierung treuhandb,,,,,,,,,,"{'Willkommen': 0.12, 'zurück': 0.14, 'aus': 0, 'den': 0.11, 'Ferien': 0.06, 'Wir': 0.14, 'sind': 0.1, 'wieder': 0, 'am': 0, 'Start': 0.09, 'mit': 0.13, 'vielen': 0, 'neuen': 0.18, 'Ideen': 0.35, 'für': 0.47, 'Ihre': 1.0, 'Digitalisierung': 0, 'in': 0.25, 'der': 0.11, 'Treuhandb': 0.07, '…': 0}",positive,"[0.007841362, 0.0031753017, 0.98898333]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @TREUHANDSUISSE: Digitalisierung in der Treuhandbranche – Rechte und Pflichten als Treuhänder/-in. Jetzt zur Fachveranstaltung am 26. Se…,digitalisierung treuhandbranche rechte pflichten treuhänder fachveranstaltung se,,,,,,,,,,"{'Digitalisierung': 0, 'in': 0.36, 'der': 0.04, 'Treuhandbranche': 0.11, '–': 0, 'Rechte': 0, 'und': 0, 'Pflichten': 0, 'als': 0, 'Treuhänder/-in': 0, 'Jetzt': 0, 'zur': 0, 'Fachveranstaltung': 0, 'am': 0, '26.': 0, 'Se': 0, '…': 0}",neutral,"[0.723134, 0.06443148, 0.2124345]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @treuhand40: Fragen zur Digitalisierung in deiner Firmenumgebung?
https://t.co/vwjxsjF1rf https://t.co/JOPNubRrQZ",fragen digitalisierung firmenumgebung,,,,,,,,,,"{'Fragen': 1.0, 'zur': 0, 'Digitalisierung': 0, 'in': 0.11, 'deiner': 0, 'Firmenumgebung': 0.23}",neutral,"[0.9608147, 0.005886503, 0.03329887]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @treuhand40: Unser Institutsleiter, Boris Blaser, stellt die Tagung zur Digitalisierung vom 5. Juni 2018 vor.
https://t.co/kPKylGI5Eq ht…",institutsleiter boris blaser stellen tagung digitalisierung juni ht,,,,,,,,,,"{'Unser': 0.05, 'Institutsleiter': 0.08, 'Boris': 0.06, 'Blaser': 0.07, 'stellt': 0, 'die': 0.25, 'Tagung': 0, 'zur': 0.25, 'Digitalisierung': 0, 'vom': 0.25, '5.': 0, 'Juni': 0.17, 'vor': 0, 'ht': 0.06, '…': 0}",neutral,"[0.98016113, 0.0022652354, 0.017573673]",,,,neutral
