answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,positive,"Ich komme nächste Woche im Che Guevara T-Shirt in die Session. Vielleicht finde ich auch noch ein #Legalizecannabis  - Pischi man hatte ja auch eine Pubertät😎
Aber @KoeppelRoger  „Solidarität“ fehlerfrei, das gibt ein Sünneli👌#freiheitstrychler https://t.co/YKGsnrom0e",kommen nächst woche che guevara t shirt session vielleicht finden legalizecannabis pischi ja pubertät solidarität fehlerfrei geben sünneli freiheitstrychler,"{'Ich': 0.02, 'komme': 0, 'nächste': 0.03, 'Woche': 0.03, 'im': 0, 'Che': 0.12, 'Guevara': 0.04, 'T-Shirt': 0, 'in': 0.03, 'die': 0.02, 'Session': 0.06, 'Vielleicht': 0, 'finde': 0.05, 'ich': 0.02, 'auch': 0.04, 'noch': 0, 'ein': 0, 'Legalizecannabis': 0.11, 'Pischi': 0.06, 'man': 0, 'hatte': 0.07, 'ja': 0, 'eine': 0, 'Pubertät': 0.06, 'Aber': 0.06, '„': 0, 'Solidarität': 0, '“': 0, 'fehlerfrei': 0, 'das': 0, 'gibt': 0, 'Sünneli#freiheitstrychler': 0}",neutral,"[0.43210226, 0.18535261, 0.3825451]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@jonas_kampus Die Erhöhung des Rentenalters will ich nicht wegen der Finanzierung der Renten, sondern weil heutige über 60 jährige mitnichten zu vergleichen sind mit der Generation davor und durchaus motiviert, länger im Job tätig zu sein (körperliche Arbeit ausgenommen). Soerlebe ich das.",erhöhung rentenalters wegen finanzierung renten heutige jährige mitnichten vergleichen generation davor durchaus motivieren lang job tätigen körperlich arbeit ausnehmen soerlebe,,,,"{'Die': 0.01, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.54, 'will': 0, 'ich': 0.03, 'nicht': 1.0, 'wegen': 0.05, 'der': 0.01, 'Finanzierung': 0.08, 'Renten': 0.06, 'sondern': 0.25, 'weil': 0.05, 'heutige': 0, 'über': 0.03, 'jährige': 0.01, 'mitnichten': 1.0, 'zu': 0.01, 'vergleichen': 0.01, 'sind': 0.01, 'mit': 0.01, 'Generation': 0.03, 'davor': 0.02, 'und': 0.01, 'durchaus': 0, 'motiviert': 0.05, 'länger': 0.02, 'im': 0, 'Job': 0, 'tätig': 0, 'sein': 0, 'körperliche': 0.01, 'Arbeit': 0.01, 'ausgenommen': 0, 'Soerlebe': 0.04, 'das': 0.02}",negative,"[0.007704837, 0.9805383, 0.011756863]",,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@jonas_kampus Der Punkt ist: die Lebensqualität hängt viel weniger davon ab wie lange, als davon wie viel wir wöchentlich arbeiten und liefern müssen. Meine Forderung: starke Verkürzung der Wochenarbeitszeit nach nordischem Modell, aber Erhöhung des Rentenalters um ein Jahr.",punkt lebensqualität hängen wenig davon ab lang davon wöchentlich arbeiten liefern müssen forderung starke verkürzung wochenarbeitszeit nordisch modell erhöhung rentenalters jahr,,,,"{'Der': 0.45, 'Punkt': 0.07, 'ist': 0.04, 'die': 0.45, 'Lebensqualität': 0.14, 'hängt': 0, 'viel': 0.19, 'weniger': 0, 'davon': 0.07, 'ab': 0, 'wie': 0.06, 'lange': 0.09, 'als': 0, 'wir': 0, 'wöchentlich': 0.14, 'arbeiten': 0.09, 'und': 0.08, 'liefern': 0.15, 'müssen': 0, 'Meine': 0.09, 'Forderung': 0, 'starke': 0, 'Verkürzung': 0, 'der': 0.45, 'Wochenarbeitszeit': 0.135, 'nach': 0, 'nordischem': 0, 'Modell': 0.22, 'aber': 0.71, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.89, 'um': 0.19, 'ein': 0.16, 'Jahr': 0.18}",positive,"[0.051105212, 0.045242924, 0.90365183]",,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@GianlucaLooser @LewinLempert @andrisilbi_ @GrueneCH Der Punkt ist: der Leistungsdruck hängt viel weniger davon ab wie lange, als davon wie viel wir wöchentlich arbeiten und liefern müssen. Daher meine Forderung: starke Verkürzung der Wochenarbeitszeit nach nordischem Modell, aber Erhöhung des Rentenalters um ein Jahr.",punkt leistungsdruck hängen wenig davon ab lang davon wöchentlich arbeiten liefern müssen daher forderung starke verkürzung wochenarbeitszeit nordisch modell erhöhung rentenalters jahr,,,,"{'Der': 0.46, 'Punkt': 0.07, 'ist': 0.05, 'der': 0.46, 'Leistungsdruck': 0.1875, 'hängt': 0, 'viel': 0.19, 'weniger': 0, 'davon': 0, 'ab': 0, 'wie': 0.07, 'lange': 0.12, 'als': 0, 'wir': 0, 'wöchentlich': 0.14, 'arbeiten': 0.1, 'und': 0.1, 'liefern': 0.17, 'müssen': 0.09, 'Daher': 0.12, 'meine': 0.08, 'Forderung': 0, 'starke': 0, 'Verkürzung': 0, 'Wochenarbeitszeit': 0.14250000000000002, 'nach': 0, 'nordischem': 0, 'Modell': 0.29, 'aber': 0.7, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.96, 'um': 0.19, 'ein': 0.18, 'Jahr': 0.17}",positive,"[0.087533526, 0.045906812, 0.8665597]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @LucaMaggiJG: Entgegen dem nationalen Trend! Ganz stark! Zürich erleichtert Einbürgerung http://t.co/XJFdo7tJnn http://t.co/X4pPHvSl3a,entgegen national trend ganz stark zürich erleichtern einbürgerung,,,,,,,"{'Entgegen': 0.1, 'dem': 0.1, 'nationalen': 0.11, 'Trend': 0.1, 'Ganz': 0, 'stark': 0, 'Zürich': 0, 'erleichtert': 0, 'Einbürgerung': 1.0}",positive,"[0.0023768302, 0.0012862479, 0.99633694]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Bezüglich Digitalisierung kann ich bekanntlich noch viel lernen von @anderageru 😉 https://t.co/Nspca9DDsb,bezüglich digitalisierung bekanntlich lernen,,,,,,,,,,"{'Bezüglich': 0, 'Digitalisierung': 0, 'kann': 0.08, 'ich': 0.08, 'bekanntlich': 0.06, 'noch': 0.12, 'viel': 0.105, 'lernen': 0.25, 'von': 0.43}",positive,"[0.17569615, 0.006883884, 0.81741995]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"(4)
- wie nennt man die minimalen Investitionen der CH in Umweltschutz? -&gt; Klimaprise
- Eine typische schweizer Eigenschaft, total bescheiden und bodenständig Steuern zu optimieren und Villen zu bauen? -&gt; Federeralismus
- Zum Schluss ein veganes Weihnachtsessen? -&gt; Happy Enting",nennen minimal investitionen ch umweltschutz gt klimaprise typische schweizer eigenschaft total bescheiden bodenständig steuern optimieren villen bauen gt federeralismus schluss veganes weihnachtsessen gt happy enting,,,,,,,,,,,,,"{'wie': 0, 'nennt': 0, 'man': 0, 'die': 0.05, 'minimalen': 0, 'Investitionen': 0, 'der': 0.05, 'CH': 0.12, 'in': 0.02, 'Umweltschutz': 0.5700000000000001, '-&gt': 0, 'Klimaprise': 0.02, 'Eine': 0, 'typische': 0.02, 'schweizer': 0.02, 'Eigenschaft': 0.03, 'total': 0, 'bescheiden': 0.02, 'und': 0.04, 'bodenständig': 0.0175, 'Steuern': 0, 'zu': 0.01, 'optimieren': 0, 'Villen': 0.02, 'bauen': 0.01, 'Federeralismus': 0, 'Zum': 0.030000000000000002, 'Schluss': 0, 'ein': 0, 'veganes': 0.01, 'Weihnachtsessen': 0.01, 'Happy': 0.08, 'Enting': 0.05}",neutral,"[0.5804992, 0.05827028, 0.3612305]",,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Lebenserwartung steigt dank Pestizideinsatz. Steile These. Aber die Expertin von @BayerUS  wird es wohl wissen. Darauf ein Glas Glyphosat - Cheers!  
@LebenstattGift  @GrueneCH  @GrueneParlament @greenpeace_ch #Pestizide #Umweltschutz https://t.co/fJVTIGytEe",lebenserwartung steigen danken pestizideinsatz steile these expertin wohl wissen darauf glas glyphosat cheers pestizide umweltschutz,,,,,,,,,,,,,"{'Lebenserwartung': 0.03, 'steigt': 0, 'dank': 0.025, 'Pestizideinsatz': 0.22499999999999998, 'Steile': 0.05, 'These': 0, 'Aber': 0.04, 'die': 0.04, 'Expertin': 0.05, 'von': 0.04, 'wird': 0.02, 'es': 0.02, 'wohl': 0, 'wissen': 0.02, 'Darauf': 0, 'ein': 0, 'Glas': 0.04, 'Glyphosat': 0.13, 'Cheers': 0.12, 'Pestizide': 0.42, 'Umweltschutz': 0.585}",positive,"[0.11440371, 0.011984635, 0.8736117]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @infostefan: Auch beim 🇨🇭-Abkommen mit Mercosur befürchtet die NGO-Koalition, dass zentrale Tier- und Umweltschutzauflagen nicht erfüllt…",beim abkommen mercosur befürchten ngo koalition zentrale tier umweltschutzauflagen erfüllen,,,,,,,,,,,,,"{'Auch': 0, 'beim': 0.27, '🇨': 0, '🇭': 0, '-Abkommen': 0, 'mit': 0, 'Mercosur': 0, 'befürchtet': 0, 'die': 0, 'NGO-Koalition': 0, 'dass': 0, 'zentrale': 0, 'Tier-': 0, 'und': 0, 'Umweltschutzauflagen': 0, 'nicht': 0, 'erfüllt': 0, '…': 0}",negative,"[0.0029752601, 0.98378927, 0.013235358]",,,,,,,,,,negative
100.0,100.0,100.0,0.74,neutral,"Die @grunliberale  sind offenbar bereit, alle Parteien für den Bundesrat zu empfehlen - ausser die @GrueneCH. Es gilt nun, den legitimen Anspruch der Grünen zu respektieren und den Volkswillen nach mehr @Umweltschutz ernst zu nehmen. Go @RegulaRytz !🚀 https://t.co/doU9JHuFra",offenbaren bereiten all parteien bundesrat empfehlen ausser gelten legitim anspruch grün respektieren volkswillen mehr ernst nehmen go,,,,,,,,,,,,,"{'Die': 0.05, 'sind': 0.04, 'offenbar': 0.09, 'bereit': 0.03, 'alle': 0, 'Parteien': 0.09, 'für': 0.07, 'den': 0.05, 'Bundesrat': 0.05, 'zu': 0.08, 'empfehlen': 0.13, 'ausser': 0, 'die': 0.05, 'Es': 0.05, 'gilt': 0, 'nun': 0, 'legitimen': 0.05, 'Anspruch': 0, 'der': 0.05, 'Grünen': 0.09, 'respektieren': 0.12, 'und': 0.04, 'Volkswillen': 0.065, 'nach': 0, 'mehr': 0.07, 'ernst': 0, 'nehmen': 0.08499999999999999, 'Go': 1.0}",positive,"[0.111444525, 0.13610001, 0.7524554]",,,,,,,,,,positive
