answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"@Spatzenfaenger Bei Kinderbetreuungspflichten darf (leider nur) ein Elternteil Erwebsausfallentschädigung beantragen. Das entschärft etwas. Ebenso inzwischen verbesserte Ausstattungen der Schulen.

Allerdings hatte es die 5-köpfige Familie in der 5-Zi-Wohnung schon zuvor nicht leicht.",kinderbetreuungspflichten dürfen leider elternteil erwebsausfallentschädigung beantragen entschärfen ebenso inzwischen verbessern ausstattungen schulen allerdings köpfige familie zi wohnung schon zuvor leicht,"{'Bei': 0, 'Kinderbetreuungspflichten': 0.8, 'darf': 0.35, 'leider': 0.61, 'nur': 1.0, 'ein': 0.64, 'Elternteil': 0.58, 'Erwebsausfallentschädigung': 0.0925, 'beantragen': 0.12, 'Das': 0.03, 'entschärft': 0, 'etwas': 0.07, 'Ebenso': 0, 'inzwischen': 0.0325, 'verbesserte': 0.05, 'Ausstattungen': 0.03, 'der': 0.03, 'Schulen': 0, 'Allerdings': 0.06, 'hatte': 0, 'es': 0, 'die': 0.03, '5-köpfige': 0.02, 'Familie': 0.02, 'in': 0.02, '5-Zi-Wohnung': 0.025, 'schon': 0, 'zuvor': 0.04, 'nicht': 0, 'leicht': 0.04}",negative,"[0.23803155, 0.6638705, 0.09809792]",,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@christianhgross Fairerweise sei gesagt: Die Motivation meines Vaters war sehr absurd. Und nur der sehr mühsamen Einbürgerungspolitik der Schweiz sowie der Unwilligkeit anderer Vermieter geschuldet, einer Ausländerfamilie was zu vermieten.",fairerweise sagen motivation vaters absurd mühsam einbürgerungspolitik schweiz sowie unwilligkeit vermieter schulden ausländerfamilie vermieten,,,,"{'Fairerweise': 0.035, 'sei': 0.01, 'gesagt': 0, 'Die': 0.12, 'Motivation': 0.05, 'meines': 0, 'Vaters': 0.06, 'war': 0, 'sehr': 0.19, 'absurd': 0.09, 'Und': 0.29, 'nur': 0.04, 'der': 0.12, 'mühsamen': 0, 'Einbürgerungspolitik': 1.0, 'Schweiz': 0.16, 'sowie': 0, 'Unwilligkeit': 0, 'anderer': 0, 'Vermieter': 0, 'geschuldet': 0.18, 'einer': 0, 'Ausländerfamilie': 0.09, 'was': 0.03, 'zu': 0.05, 'vermieten': 0.09}",negative,"[0.32091582, 0.44181615, 0.23726799]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,positive,"@furkan_s_oguz Spannend!

Wir wissen es ziemlich genau. Es gab halt Zeiten, da konnte man am gleichen Ort wohnen, und hat trotzdem regelmässig eine neue Staatsbürgerschaft bekommen. Da war vieles mit dabei, inkl. staatenlos. Der Einbürgerungsbeamte hat sich anscheinend sehr darüber gewundert.",spannen wissen ziemlich genau geben halt zeiten gleich ort wohnen trotzdem regelmässig neue staatsbürgerschaft bekommen dabei inkl staatenlos einbürgerungsbeamte anscheinen darüber wundern,,,,"{'Spannend': 0.11, 'Wir': 0.03, 'wissen': 0.03, 'es': 0, 'ziemlich': 0.03, 'genau': 0, 'Es': 0, 'gab': 0, 'halt': 0, 'Zeiten': 0.05, 'da': 0, 'konnte': 0.04, 'man': 0, 'am': 0, 'gleichen': 0.04, 'Ort': 0, 'wohnen': 0, 'und': 0.07, 'hat': 0, 'trotzdem': 0.07, 'regelmässig': 0, 'eine': 0, 'neue': 0.12, 'Staatsbürgerschaft': 0.16, 'bekommen': 0.1, 'Da': 0, 'war': 0, 'vieles': 0.04, 'mit': 0, 'dabei': 0, 'inkl.': 0, 'staatenlos': 1.0, 'Der': 0.14, 'Einbürgerungsbeamte': 0.94, 'sich': 0, 'anscheinend': 0.06, 'sehr': 0, 'darüber': 0.05, 'gewundert': 0.06}",negative,"[0.20667185, 0.7322601, 0.0610681]",,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,"@PGrasarevic @nelement1 @nette_wolke Nun, kann es nur grob überschlagen, genau so wie du. Was ich aber weiss: Coiffeurscheren kosten richtig viel Geld (drei, manchmal sogar vierstellig), meist müssen die Angestellten diese und weitere Werkzeuge selbst stellen. In einer Branche mit Mindestlohn von CHF 3800.",grob überschlagen genau weiss coiffeurscheren kosten richtig geld drei manchmal sogar vierstellig meist müssen angestellt weit werkzeuge stellen branche mindestlohn chf,,,,,,,"{'Nun': 0, 'kann': 0.03, 'es': 0, 'nur': 0.03, 'grob': 0, 'überschlagen': 0, 'genau': 0.01, 'so': 0, 'wie': 0, 'du': 0, 'Was': 0, 'ich': 0.01, 'aber': 0.02, 'weiss': 0, 'Coiffeurscheren': 0, 'kosten': 0, 'richtig': 0, 'viel': 0.2, 'Geld': 0.07, 'drei': 0.03, 'manchmal': 0.03, 'sogar': 0.05, 'vierstellig': 0.02, 'meist': 0.33, 'müssen': 0.045, 'die': 0.05, 'Angestellten': 0.05, 'diese': 0, 'und': 0.02, 'weitere': 0, 'Werkzeuge': 0.04, 'selbst': 0, 'stellen': 0, 'In': 0.63, 'einer': 0, 'Branche': 0, 'mit': 1.0, 'Mindestlohn': 0.75, 'von': 0, 'CHF': 0.23, '3800.': 0}",neutral,"[0.6789701, 0.16374013, 0.15728974]",,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,positive,"@CharlyEinstein Habe kein Problem damit, wenn dann Hotels mit verschiedenen Regeln existieren. Ich wähle mir dann halt jenes, welches Regeln hat, die mir sinnvoll erscheinen. Andere wählen das andere. Freie Marktwirtschaft.",problem hotels verschieden regeln existieren wählen halt jen welch regeln sinnvoll erscheinen wählen freie marktwirtschaft,,,,,,,,,,"{'Habe': 0.01, 'kein': 0.01, 'Problem': 0.03, 'damit': 0.02, 'wenn': 0.02, 'dann': 0.03, 'Hotels': 0.08, 'mit': 0.02, 'verschiedenen': 0.04, 'Regeln': 0.05, 'existieren': 0, 'Ich': 0.03, 'wähle': 0.12, 'mir': 0.03, 'halt': 0, 'jenes': 0.02, 'welches': 0, 'hat': 0, 'die': 0.07, 'sinnvoll': 0, 'erscheinen': 0.02, 'Andere': 0.03, 'wählen': 0, 'das': 0.02, 'andere': 0.03, 'Freie': 1.0, 'Marktwirtschaft': 0.765}",positive,"[0.0028968698, 0.0011235083, 0.99597955]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@_Ricardo_Simoes Aber: Gerade weil wir uns diese Forderungen nach Umweltschutz und Ökosystemleistungen als reiches Land leisten können, darf dies meiner Meinung nach nicht auf Kosten anderer Länder gehen, die dann unsere Luxus-Lösung ausbaden dürfen.",gerade forderungen umweltschutz ökosystemleistungen reich land leisten dürfen meinung kosten länder gehen luxus lösung ausbaden dürfen,,,,,,,,,,,,,"{'Aber': 0.1, 'Gerade': 0, 'weil': 0.24, 'wir': 0, 'uns': 0, 'diese': 0.04, 'Forderungen': 0, 'nach': 0, 'Umweltschutz': 0.6, 'und': 1.0, 'Ökosystemleistungen': 0.355, 'als': 0.2, 'reiches': 0.06, 'Land': 0, 'leisten': 0.26, 'können': 0.01, 'darf': 0, 'dies': 0, 'meiner': 0, 'Meinung': 0.02, 'nicht': 0.02, 'auf': 0, 'Kosten': 0, 'anderer': 0, 'Länder': 0.03, 'gehen': 0, 'die': 0.01, 'dann': 0.04, 'unsere': 0.02, 'Luxus-Lösung': 0.035, 'ausbaden': 0.01, 'dürfen': 0}",positive,"[0.007537722, 0.018027952, 0.9744343]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"@DanEi75 Hast nicht so oft mit Bayern oder Österreichern zu tun, was? 

Ok, in der Landwirtschafts-Bubble ist das vielleicht noch etwas ausgeprägter. 🤔

Aber so ein Dirndl ist halt schon fesch.",oft bayern österreichern tun ok landwirtschafts bubble vielleicht ausgeprägt dirndl halt schon fesch,,,,,,,,,,,,,,,,"{'Hast': 0, 'nicht': 0, 'so': 0, 'oft': 0, 'mit': 0.05, 'Bayern': 0, 'oder': 0.03, 'Österreichern': 0.03, 'zu': 0.03, 'tun': 0.035, 'was': 0, 'Ok': 0.45, 'in': 1.0, 'der': 0.43, 'Landwirtschafts-Bubble': 0.925, 'ist': 0, 'das': 0.03, 'vielleicht': 0.23, 'noch': 0, 'etwas': 0, 'ausgeprägter': 0.16, '🤔': 0, 'Aber': 0, 'ein': 0, 'Dirndl': 0, 'halt': 0, 'schon': 0, 'fesch': 0}",neutral,"[0.8529896, 0.07229759, 0.07471271]",neutral
50.0,75.0,57.0,0.0,neutral,"@NZZaS @michael_furger @phossli Pssssst, Bundesamt für Landwirtschaft und Betriebswirtschaftslehre sind nicht ganz das gleiche 😉",pssssst bundesamt landwirtschaft betriebswirtschaftslehre ganz gleich,,,,,,,,,,,,,,,,"{'Pssssst': 0.3, 'Bundesamt': 0.13, 'für': 0.09, 'Landwirtschaft': 0.36, 'und': 0.22, 'Betriebswirtschaftslehre': 0.08, 'sind': 0.56, 'nicht': 1.0, 'ganz': 0, 'das': 0, 'gleiche': 1.0}",neutral,"[0.835354, 0.12985203, 0.034793884]",neutral
100.0,100.0,86.0,0.7,neutral,"Jetzt musste ich zwei Mal lesen, um sicher zu sein, welches landwirtschaftliche Hacken wohl gemeint sein könnte. https://t.co/4VTXiuIgTT",zwei mal lesen sichern welch landwirtschaftliche hacken wohl,,,,,,,,,,,,,,,,"{'Jetzt': 0.12, 'musste': 0.22999999999999998, 'ich': 0.15, 'zwei': 0, 'Mal': 0, 'lesen': 0.25, 'um': 0, 'sicher': 0, 'zu': 0.31, 'sein': 0, 'welches': 0.5, 'landwirtschaftliche': 1.0, 'Hacken': 0, 'wohl': 0, 'gemeint': 0, 'könnte': 0}",neutral,"[0.9851688, 0.010786817, 0.0040443544]",positive
50.0,75.0,57.0,0.0,neutral,"@FrankiTheTank1 Versuche mich gerade einzuordnen. Als ehemals in der Landwirtschaft forschende, jetzt irgendwas mit Verkehr machende Person.",versuche gerade einordnen ehemals landwirtschaft forschend irgendwas verkehr machend person,,,,,,,,,,,,,,,,"{'Versuche': 0, 'mich': 0, 'gerade': 0.09, 'einzuordnen': 0.23, 'Als': 0, 'ehemals': 0, 'in': 0.97, 'der': 0, 'Landwirtschaft': 1.0, 'forschende': 0, 'jetzt': 0.19, 'irgendwas': 0, 'mit': 0.11, 'Verkehr': 0.36, 'machende': 0, 'Person': 0}",neutral,"[0.94561857, 0.014311077, 0.040070377]",neutral
50.0,75.0,57.0,0.0,neutral,"@FireballVM Wenn eine Annahme ohne Konsumanpassung beteutet, dass wir die Probleme auslagern, dann ist der Umwelt halt auch nicht gedient. Hab mich beruflich ja durchaus mit der Thematik von Ökobilanzen, insbesondere in der Landwirtschaft, befasst. Der Fokus auf eine einzelne (1/2)",annahme konsumanpassung beteutet probleme auslagern umwelt halt dienen beruflich ja durchaus thematik ökobilanzen insbesondere landwirtschaft befasst fokus einzelne,,,,,,,,,,,,,,,,"{'Wenn': 0, 'eine': 0, 'Annahme': 0, 'ohne': 0.03, 'Konsumanpassung': 0, 'beteutet': 0, 'dass': 0.02, 'wir': 0, 'die': 0.06, 'Probleme': 0.04, 'auslagern': 0, 'dann': 0.03, 'ist': 0.03, 'der': 0.06, 'Umwelt': 0.09, 'halt': 0, 'auch': 0, 'nicht': 0.04, 'gedient': 0.04, 'Hab': 0, 'mich': 0, 'beruflich': 0.07, 'ja': 0, 'durchaus': 0, 'mit': 0.12, 'Thematik': 0, 'von': 0, 'Ökobilanzen': 0.21500000000000002, 'insbesondere': 1.0, 'in': 1.0, 'Landwirtschaft': 1.0, 'befasst': 0, 'Der': 0.06, 'Fokus': 0.15, 'auf': 0.05, 'einzelne': 0}",neutral,"[0.7944838, 0.007006792, 0.19850941]",neutral
