answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @JungfreisinnBE: Solange du niemand anderes einschränkst, sollst du dein Leben so führen, wie du dies willst. Du sollst Cannabis konsumi…",solange niemand einschränken sollen leben fahren sollen cannabis konsumi,"{'Solange': 0, 'du': 0, 'niemand': 0, 'anderes': 0, 'einschränkst': 0.13, 'sollst': 0.48, 'dein': 0.03, 'Leben': 0.09, 'so': 0, 'führen': 0.09, 'wie': 0, 'dies': 0, 'willst': 0.06, 'Du': 0, 'Cannabis': 1.0, 'konsumi': 0, '…': 0}",neutral,"[0.8518536, 0.0041250205, 0.14402132]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Eine #Volksinitiative als Hoffnungsschimmer für die AHV: „Die VI der #Jungfreisinnigen für eine schrittweise Erhöhung des Rentenalters ist ein #echter Lösungsansatz.“ #AymoBrunetti  https://t.co/ff6laF1uGg,volksinitiative hoffnungsschimmer ahv vi jungfreisinnigen schrittweise erhöhung rentenalters echt lösungsansatz aymobrunetti,,,,"{'Eine': 0, 'Volksinitiative': 0, 'als': 0.02, 'Hoffnungsschimmer': 0.08, 'für': 0, 'die': 0.24, 'AHV': 0.07, '„': 0, 'Die': 0, 'VI': 0, 'der': 0, 'Jungfreisinnigen': 0, 'eine': 0, 'schrittweise': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'ist': 0, 'ein': 0, 'echter': 0, 'Lösungsansatz': 0, '“': 0, 'AymoBrunetti': 0}",positive,"[0.06696709, 0.030590951, 0.902442]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@nils_matter @papizeit @fdp_bern @fdp_stadtbern @JungfreisinnBE @jfstadtbern @adrianwuethrich Bitte informiere Dich zuerst, bevor du das Argumentarium abschreibst. Die #Elternzeit war in unserem konservativen Parlament nicht merheitsfähig, deshalb diese Kompromisslösung. Für mich ist der Vaterschaftsurlaub der erste Schritt in die richtige Richtung. Deshalb sage ich Ja!",bitte informieren zuerst bevor argumentarium abschreiben elternzeit konservativ parlament merheitsfähig deshalb kompromisslösung vaterschaftsurlaub erste schritt richtige richtung deshalb sage ja,,,,,,,"{'Bitte': 0, 'informiere': 0.07, 'Dich': 0.03, 'zuerst': 0.09, 'bevor': 0.03, 'du': 0, 'das': 0.11, 'Argumentarium': 0, 'abschreibst': 0, 'Die': 0.04, 'Elternzeit': 0.215, 'war': 0, 'in': 0.03, 'unserem': 0.03, 'konservativen': 0.05, 'Parlament': 0.04, 'nicht': 0.1, 'merheitsfähig': 0, 'deshalb': 0.5, 'diese': 0.07, 'Kompromisslösung': 0.165, 'Für': 0.93, 'mich': 0.31, 'ist': 0.56, 'der': 0.04, 'Vaterschaftsurlaub': 0.685, 'erste': 0.09, 'Schritt': 0.07, 'die': 0.04, 'richtige': 0.2, 'Richtung': 0.06, 'Deshalb': 0, 'sage': 0, 'ich': 0.05, 'Ja': 0}",positive,"[0.065501116, 0.023185667, 0.91131324]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Es ist Zeit vorwärts zu gehen und Politik für diejenigen zu machen, die heute Eltern werden!

Deshalb sage ich am 27.09.2020
 ✅ JA zum #Vaterschaftsurlaub 

#elternzeit @papizeit @fdp_bern @fdp_stadtbern @JungfreisinnBE @jfstadtbern @adrianwuethrich https://t.co/ChsQ02dZw1",zeit vorwärts gehen politik derjenige heute eltern deshalb sage ja vaterschaftsurlaub elternzeit,,,,,,,"{'Es': 0.02, 'ist': 0.02, 'Zeit': 0.02, 'vorwärts': 0.03, 'zu': 0.13, 'gehen': 0, 'und': 0.05, 'Politik': 0, 'für': 0.04, 'diejenigen': 0.02, 'machen': 0, 'die': 0, 'heute': 0.03, 'Eltern': 0.05, 'werden': 0.02, 'Deshalb': 0, 'sage': 0, 'ich': 0.05, 'am': 0, '27.09.2020': 0, 'JA': 0.05, 'zum': 0.13, 'Vaterschaftsurlaub': 1.0, 'elternzeit': 0.6799999999999999}",positive,"[0.08199108, 0.0070918067, 0.91091704]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Eine emotionale Debatte, die es unbedingt erneut zu führen gilt! #Organspende @Swisstransplant 
Unterschreibe jetzt und mach mit bei der Volksinitiative: „Organspende fördern - Leben retten“

https://t.co/G5wWFW0MgZ https://t.co/4PDt5m3MCc",emotionale debatte unbedingt erneut fahren gelten organspende unterschreiben mach volksinitiative organspende fördern leben retten,,,,,,,,,,"{'Eine': 0, 'emotionale': 0.06, 'Debatte': 0.09, 'die': 0.06, 'es': 0, 'unbedingt': 0, 'erneut': 0, 'zu': 0.02, 'führen': 0.02, 'gilt': 0, 'Organspende': 0, 'Unterschreibe': 0.07, 'jetzt': 0.03, 'und': 0.04, 'mach': 0, 'mit': 0, 'bei': 0, 'der': 0.06, 'Volksinitiative': 0.095, '„': 0, 'fördern': 0, 'Leben': 0, 'retten': 0, '“': 0}",positive,"[0.04200464, 0.008422391, 0.9495729]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @cwasi: Viele Leben können mit vermuteter Zustimmung bei #Organspende gerettet werden. Sinnvolle Initiative @Swisstransplant https://t.c…,leben vermutet zustimmung organspende retten sinnvoll initiative,,,,,,,,,,"{'Viele': 0, 'Leben': 0, 'können': 0.12, 'mit': 0.08, 'vermuteter': 0.11, 'Zustimmung': 0, 'bei': 0, 'Organspende': 0, 'gerettet': 0.18, 'werden': 0, 'Sinnvolle': 0, 'Initiative': 0.22}",positive,"[0.11625635, 0.014845368, 0.8688983]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @cwasi: E-Voting-Moratorium? 😡 Gas geben, statt Rückwärtsgang &amp; endlich konsequent umsetzen! https://t.co/IJZVj5cbqQ 2004 war mein erste…",e voting moratorium gas geben statt rückwärtsgang amp endlich konsequent umsetzen erste,,,,,,,,,,,,,"{'E-Voting-Moratorium': 0, 'Gas': 0, 'geben': 0, 'statt': 0.08, 'Rückwärtsgang': 0.08, 'amp': 0.05, 'endlich': 0, 'konsequent': 0, 'umsetzen': 0.18, 'war': 0, 'mein': 0.5, 'erste': 1.0, '…': 0}",neutral,"[0.9061714, 0.06659202, 0.027236508]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @jfstadtbern: Und wir die #Privatisierung der @ewbBern. #keineStaatsaufgabe #freieMarktwirtschaft https://t.co/RRvuUGJcXb,privatisierung keinestaatsaufgabe freiemarktwirtschaft,,,,,,,,,,,,,,,,"{'Und': 0.04, 'wir': 0, 'die': 0.06, 'Privatisierung': 0, 'der': 0.06, 'keineStaatsaufgabe': 0.175, 'freieMarktwirtschaft': 0.76}",positive,"[0.023095062, 0.006851596, 0.9700533]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @HIVBERN: Warum sich @Simone_Richner im Gemeinderat für eine gute Basisinfrastruktur im Bereich der Digitalisierung einsetzen will 👇🏼  -…,warum gemeinderat gut basisinfrastruktur bereich digitalisierung einsetzen,,,,,,,,,,,,,,,,,,,"{'Warum': 1.0, 'sich': 0, 'im': 0, 'Gemeinderat': 0.2, 'für': 0, 'eine': 0, 'gute': 0, 'Basisinfrastruktur': 0.115, 'Bereich': 0, 'der': 0.09, 'Digitalisierung': 0, 'einsetzen': 0, 'will': 0, '…': 0}",positive,"[0.2707941, 0.090531565, 0.6386743]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Vor genau einem Jahr wurde ich zur #digitalaffinsten Frau unter den Nationalratskandidaten der #Schweiz durch den Verband der Digitalisierer @swicoDEU gekürt. 
Mein Anliegen nach wie vor: 
Eine nachhaltige #Digitalisierung für jung UND alt 💪 #bärnimhärz #zämewytercho #WahlBern20 https://t.co/XJdjB4l4us",genau jahr digitalaffinsten frau nationalratskandidaten schweiz verbinden digitalisierer küren anliegen nachhaltig digitalisierung jung alt bärnimhärz zämewytercho wahlbern20,,,,,,,,,,,,,,,,,,,"{'Vor': 0, 'genau': 0.02, 'einem': 0.01, 'Jahr': 0.01, 'wurde': 0, 'ich': 0.02, 'zur': 0.05, 'digitalaffinsten': 0, 'Frau': 0, 'unter': 0, 'den': 0.05, 'Nationalratskandidaten': 0, 'der': 0.05, 'Schweiz': 0, 'durch': 0, 'Verband': 0, 'Digitalisierer': 0, 'gekürt': 0, 'Mein': 0.09, 'Anliegen': 0, 'nach': 0, 'wie': 0, 'vor': 0, 'Eine': 0.01, 'nachhaltige': 1.0, 'Digitalisierung': 0, 'für': 0.14, 'jung': 0, 'UND': 0.09, 'alt': 0, 'bärnimhärz': 0, 'zämewytercho': 0, 'WahlBern20': 0}",positive,"[0.0009559255, 0.0013866432, 0.9976574]",,,,neutral
