answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @minlimarti: Good News! Der Bund soll vorwärts machen bei der Kinderbetreuung, für #Vereinbarkeit von Beruf und Familie, zahlbare Kitapl…",good news bund vorwärts kinderbetreuung vereinbarkeit beruf familie zahlbare kitapl,"{'Good': 0.03, 'News': 0.08, 'Der': 0.1, 'Bund': 0, 'soll': 0, 'vorwärts': 0.19, 'machen': 0, 'bei': 0, 'der': 0.1, 'Kinderbetreuung': 1.0, 'für': 0.54, 'Vereinbarkeit': 0.08, 'von': 0, 'Beruf': 0, 'und': 0.11, 'Familie': 0.02, 'zahlbare': 0.22, 'Kitapl': 0, '…': 0}",positive,"[0.11701783, 0.09198412, 0.79099804]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Lohn. Zeit. Respekt. #EsistZeit #frauenstreik2019 Solidarisch für gleichen Lohn, eine gerechte Aufteilung von Kinderbetreuung und Haushaltsarbeit und ganz grundsätzlich für einen respektvollen Umgang, auch mit Frauen, insbesondere gegen Gewalt an Frauen. https://t.co/lnJ2cVIaH0",lohn zeit respekt esistzeit frauenstreik2019 solidarisch gleich lohn gerecht aufteilung kinderbetreuung haushaltsarbeit ganz grundsätzlich respektvoll umgang frauen insbesondere gewalt frauen,"{'Lohn': 0.06, 'Zeit': 0.02, 'Respekt': 0.05, 'EsistZeit': 0.08, 'frauenstreik2019': 0, 'Solidarisch': 0, 'für': 0.05, 'gleichen': 0, 'eine': 0, 'gerechte': 1.0, 'Aufteilung': 1.0, 'von': 0, 'Kinderbetreuung': 0.72, 'und': 0.09, 'Haushaltsarbeit': 0.05, 'ganz': 0, 'grundsätzlich': 0, 'einen': 0.04, 'respektvollen': 0.06, 'Umgang': 0, 'auch': 0.03, 'mit': 0.03, 'Frauen': 0.04, 'insbesondere': 0, 'gegen': 0.08, 'Gewalt': 0.09, 'an': 0}",positive,"[0.041539147, 0.01790036, 0.9405605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,So bunt sehen die Abstimmungen im Kantonsrat wohl nie aus. Hier hat das Jugendparlament @JupaZH ihre Unterstützung zur Volksinitiative zur Legalisierung von Cannabis kundgetan. https://t.co/VTzqY0plY6,bunt sehen abstimmungen kantonsrat wohl nie jugendparlament unterstützung volksinitiative legalisierung cannabis kundgetan,,,,"{'So': 0.02, 'bunt': 0, 'sehen': 0, 'die': 0.11, 'Abstimmungen': 0, 'im': 0, 'Kantonsrat': 0.060000000000000005, 'wohl': 0, 'nie': 0, 'aus': 0, 'Hier': 0.03, 'hat': 0, 'das': 0, 'Jugendparlament': 0, 'ihre': 0, 'Unterstützung': 0.14, 'zur': 0.185, 'Volksinitiative': 0.25, 'Legalisierung': 0, 'von': 0, 'Cannabis': 1.0, 'kundgetan': 0.1}",positive,"[0.4187839, 0.011185203, 0.5700308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @kathrinbertschy: „(...) Statt das Rentenalter der Frauen durch alle Böden zu verteidigen, sollte man unser patriarchales Vorsorgesystem…",statt rentenalter frauen all böden verteidigen sollen patriarchales vorsorgesystem,,,,,,,"{'„': 0, '...': 0, 'Statt': 0, 'das': 0, 'Rentenalter': 0, 'der': 0, 'Frauen': 0, 'durch': 0, 'alle': 0, 'Böden': 0, 'zu': 0, 'verteidigen': 0, 'sollte': 0, 'man': 0, 'unser': 0, 'patriarchales': 0, 'Vorsorgesystem': 0, '…': 0}",neutral,"[0.5399372, 0.23570952, 0.22435327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @glpzh: Unsere Parolen für die #Abstimmung vom 27.September:
#Strassengesetz JA
#Zusatzleistungsgesetz JA
#Vaterschaftsurlaub JA
#Kinder…",parolen abstimmung september strassengesetz ja zusatzleistungsgesetz ja vaterschaftsurlaub ja kinder,,,,,,,,,,"{'Unsere': 0.04, 'Parolen': 0.28, 'für': 0.04, 'die': 0.05, 'Abstimmung': 0, 'vom': 0.05, '27.September': 0, 'Strassengesetz': 0.205, 'JA': 0, 'Zusatzleistungsgesetz': 0.1, 'Vaterschaftsurlaub': 0.98, 'Kinder': 0.14, '…': 0}",neutral,"[0.5494897, 0.05425882, 0.39625147]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Eine Mehrheit des Kantonsrats stemmt sich mit schwammigen Argumenten gegen eine 2. Woche Vaterschaftsurlaub für Kantonsangestellte. Liebe #CVP und #BDP, wo bleiben die Tatbeweise, dass ihr eine moderne Familienpolitik unterstützt? #krzh https://t.co/MRt8nkZDaW",mehrheit kantonsrats stemmen schwammig argumenten woche vaterschaftsurlaub kantonsangestellte lieb cvp bdp bleiben tatbeweise modern familienpolitik unterstützen krzh,,,,,,,,,,"{'Eine': 0, 'Mehrheit': 0.3, 'des': 0, 'Kantonsrats': 0, 'stemmt': 0, 'sich': 0, 'mit': 0.31, 'schwammigen': 0, 'Argumenten': 0.18, 'gegen': 0, 'eine': 0, '2.': 0, 'Woche': 0.46, 'Vaterschaftsurlaub': 0.585, 'für': 0.28, 'Kantonsangestellte': 0.14, 'Liebe': 0, 'CVP': 0.04, 'und': 0.05, 'BDP': 0.05, 'wo': 0.04, 'bleiben': 0, 'die': 0.03, 'Tatbeweise': 0.11, 'dass': 0.04, 'ihr': 0, 'moderne': 0.04, 'Familienpolitik': 0.05, 'unterstützt': 0, 'krzh': 0.08}",negative,"[0.3836697, 0.5388259, 0.07750437]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @ZHfrauenzentral: Unfassbar! Ständerat weisst Massnahmen zu #Lohngleichheit zurück!... https://t.co/Ipa1t45DwU,unfassbar ständerat weisst massnahmen lohngleichheit zurück,,,,,,,,,,,,,"{'Unfassbar': 0.71, 'Ständerat': 0.42500000000000004, 'weisst': 0, 'Massnahmen': 0.91, 'zu': 0.46, 'Lohngleichheit': 0, 'zurück': 0, '...': 0}",negative,"[0.025119724, 0.8912288, 0.08365147]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @alliance_F: #Lohngleichheit mit Bubenstreich auf Sankt Nimmerleinstag verschoben: Es ist beschämend, dass der Ständerat auch 37 Jahre n…",lohngleichheit bubenstreich sinken nimmerleinstag verschieben beschämend ständerat jahre n,,,,,,,,,,,,,"{'Lohngleichheit': 1.0, 'mit': 0.38, 'Bubenstreich': 0.25, 'auf': 0, 'Sankt': 0, 'Nimmerleinstag': 0.07, 'verschoben': 0.18, 'Es': 0.06, 'ist': 0.06, 'beschämend': 0.19, 'dass': 0.04, 'der': 0.07, 'Ständerat': 0.07250000000000001, 'auch': 0.04, 'Jahre': 0.07, 'n': 0.05, '…': 0}",positive,"[0.33393446, 0.038201395, 0.6278642]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@CKernkraft 4. Die Behauptung, CO2-Reduktion gehe nur mit Kernkraft, stimmt natürlich nicht. Aber das wissen Sie ja selber auch ... Es gibt genug erneuerbares Energie-/Strompotenzial. Zudem spielen Effizienz- und Technologiefortschritte eine Rolle.",behauptung co2 reduktion gehen kernkraft stimmen natürlich wissen ja selber geben genug erneuerbares energie strompotenzial zudem spielen effizienz technologiefortschritte rolle,,,,,,,,,,,,,,,,"{'4.': 0, 'Die': 0.02, 'Behauptung': 0.08, 'CO2-Reduktion': 0.035, 'gehe': 0, 'nur': 0.05, 'mit': 0.02, 'Kernkraft': 0.02, 'stimmt': 0, 'natürlich': 0, 'nicht': 0.2, 'Aber': 0.11, 'das': 0.07, 'wissen': 0.06, 'Sie': 0, 'ja': 0.05, 'selber': 0, 'auch': 0.11, '...': 0, 'Es': 0.23, 'gibt': 0, 'genug': 1.0, 'erneuerbares': 1.0, 'Energie-/Strompotenzial': 0.1775, 'Zudem': 0, 'spielen': 0.04, 'Effizienz-': 0.1, 'und': 0.05, 'Technologiefortschritte': 0.05, 'eine': 0, 'Rolle': 0.05}",positive,"[0.0036694624, 0.0020032406, 0.99432725]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"#EsistZeit für #Inländervorrang bei der Energie!

Erneuerbare Energien fördern.
einheimisches Gewerbe unterstützen.
Erdölabhängigkeit abschaffen.
Ja zum #CO2Gesetz! 
#Klimaschutz  @jglpCH @jglpZH https://t.co/2aVJm4SJXg",esistzeit inländervorrang energie erneuerbare energien fördern einheimisch gewerbe unterstützen erdölabhängigkeit abschaffen ja co2gesetz klimaschutz,,,,,,,,,,,,,,,,"{'EsistZeit': 0, 'für': 0.09, 'Inländervorrang': 0.3, 'bei': 0, 'der': 0.05, 'Energie': 0.11, 'Erneuerbare': 0.71, 'Energien': 0.6, 'fördern': 0.34, 'einheimisches': 0.18, 'Gewerbe': 0, 'unterstützen': 0.34, 'Erdölabhängigkeit': 0, 'abschaffen': 0.13, 'Ja': 0, 'zum': 0.04, 'CO2Gesetz': 0, 'Klimaschutz': 0.085}",positive,"[0.0023792502, 0.0018708373, 0.99574995]",,,,,,,,,,,,,,,,,,,positive
