answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @reinboth: Ab morgen bin ich also im Home Office und ansonsten mit der Kinderbetreuung beschäftigt, während meine Frau weiter arbeitet,…",ab morgen home office ansonsten kinderbetreuung beschäftigen frau weit arbeiten,"{'Ab': 0, 'morgen': 0.06, 'bin': 0, 'ich': 0.05, 'also': 0, 'im': 0, 'Home': 0.06, 'Office': 0.09, 'und': 0.13, 'ansonsten': 0.23, 'mit': 1.0, 'der': 0.07, 'Kinderbetreuung': 1.0, 'beschäftigt': 0, 'während': 0.19, 'meine': 0.07, 'Frau': 0, 'weiter': 0, 'arbeitet': 0, '…': 0}",neutral,"[0.9856757, 0.009256656, 0.0050676526]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NZZ: Niemand ist so ein Fan des #Vaterschaftsurlaub​s wie die Westschweiz. Nun werden bis zu 18 Wochen gefordert – pro Elternteil. @NZZ…,niemand fan vaterschaftsurlaub s westschweiz wochen fordern pro elternteil,,,,"{'Niemand': 0, 'ist': 0.07, 'so': 0, 'ein': 0, 'Fan': 0.36, 'des': 0, 'Vaterschaftsurlaub\u200bs': 0.46, 'wie': 0, 'die': 0, 'Westschweiz': 0.15, 'Nun': 0, 'werden': 0, 'bis': 0, 'zu': 0.04, 'Wochen': 0.06, 'gefordert': 0.08, '–': 0, 'pro': 0, 'Elternteil': 0, '…': 0}",neutral,"[0.57173735, 0.13986135, 0.28840128]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ProFamiliaCH: Die Schweiz sagt deutlich ja zum Vaterschaftsurlaub. Das zeigt, dass sich die Bevölkerung eine zeitgemässe Familienpoliti…",schweiz sagen deutlich ja vaterschaftsurlaub zeigen bevölkerung zeitgemässe familienpoliti,,,,"{'Die': 0.05, 'Schweiz': 0.19, 'sagt': 1.0, 'deutlich': 0, 'ja': 0, 'zum': 0.375, 'Vaterschaftsurlaub': 0.5, 'Das': 0.05, 'zeigt': 0, 'dass': 0.09, 'sich': 0, 'die': 0.05, 'Bevölkerung': 0.11, 'eine': 0, 'zeitgemässe': 0.11, 'Familienpoliti': 0.09, '…': 0}",positive,"[0.007601049, 0.001441656, 0.99095726]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @KaelinIrene: 2 Wochen #Vaterschaftsurlaub sind zu wenig! Zu wenig für die #Väter, zu wenig für die #Mütter, zu wenig für die #Kinder! F…",wochen vaterschaftsurlaub wenig wenig väter wenig mütter wenig kinder f,,,,"{'Wochen': 0.41, 'Vaterschaftsurlaub': 0.79, 'sind': 0.27, 'zu': 0, 'wenig': 0.02, 'Zu': 0, 'für': 0.03, 'die': 0.01, 'Väter': 0.02, 'Mütter': 0.01, 'Kinder': 0.02, 'F': 0.04, '…': 0}",negative,"[0.013492399, 0.96397513, 0.022532547]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @jacquelinefehr: Keine Fotos auf Bewerbungsunterlagen, Lohngleichheitsanalysen, Quoten, Kitas und Taggesschulen: renommierte Verhaltensö…",fotos bewerbungsunterlagen lohngleichheitsanalysen quoten kitas taggesschulen renommierte verhaltensö,,,,,,,"{'Keine': 0, 'Fotos': 0.54, 'auf': 0.3, 'Bewerbungsunterlagen': 0.16999999999999998, 'Lohngleichheitsanalysen': 0.3475, 'Quoten': 0, 'Kitas': 0, 'und': 0.13, 'Taggesschulen': 0.025, 'renommierte': 0.16, 'Verhaltensö': 0.03, '…': 0}",neutral,"[0.51569325, 0.053624798, 0.43068194]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @minlimarti: Klare Mehrheit für #Lohngleichheit https://t.co/B9Pc4k6d3v,klaren mehrheit lohngleichheit,,,,,,,"{'Klare': 0, 'Mehrheit': 0.51, 'für': 0.43, 'Lohngleichheit': 0}",positive,"[0.032077074, 0.005911104, 0.96201175]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @alliance_F: #Lohngleichheit: Morgen berät die Kommission erneut über die Beseitigung von geschlechterdiskriminierenden Löhnen. Jetzt ze…,lohngleichheit morgen beraten kommission erneut beseitigung geschlechterdiskriminierenden löhnen ze,,,,,,,"{'Lohngleichheit': 0.7, 'Morgen': 0.5, 'berät': 0, 'die': 0.05, 'Kommission': 0.14, 'erneut': 0, 'über': 0, 'Beseitigung': 0.09, 'von': 0, 'geschlechterdiskriminierenden': 0.075, 'Löhnen': 0.06, 'Jetzt': 0.11, 'ze': 0, '…': 0}",neutral,"[0.6363946, 0.0074490174, 0.3561563]",,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,RT @alliance_F: Wieso werden Frauen wenn es um @lohngleichheit oder #Frauenquote geht eigentlich immer kopflos dargestellt 🤔? Und wieso eig…,wieso frauen frauenquote gehen eigentlich immer kopflos darstellen wieso eig,,,,,,,"{'Wieso': 0, 'werden': 0, 'Frauen': 0.07, 'wenn': 0, 'es': 0, 'um': 0, 'oder': 0.07, 'Frauenquote': 0.07, 'geht': 0, 'eigentlich': 0, 'immer': 0.14, 'kopflos': 0.16, 'dargestellt': 0, '🤔': 0, 'Und': 0, 'wieso': 0, 'eig': 0, '…': 0}",negative,"[0.13297188, 0.8431059, 0.023922127]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @lohngleichheit: «Mit seinem Entscheid rechtfertigt der Ständerat den andauernden Verfassungsbruch, zementiert die Geschlechterungleichh…",entscheid rechtfertigen ständerat andauernd verfassungsbruch zementieren geschlechterungleichh,,,,,,,"{'«': 0, 'Mit': 0, 'seinem': 0, 'Entscheid': 0, 'rechtfertigt': 0, 'der': 0, 'Ständerat': 0, 'den': 0, 'andauernden': 0, 'Verfassungsbruch': 0, 'zementiert': 0, 'die': 0, 'Geschlechterungleichh': 0, '…': 0}",negative,"[0.20543598, 0.57200795, 0.22255613]",,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @alliance_F: #Lohngleichheit mit Bubenstreich auf Sankt Nimmerleinstag verschoben: Es ist beschämend, dass der Ständerat auch 37 Jahre n…",lohngleichheit bubenstreich sinken nimmerleinstag verschieben beschämend ständerat jahre n,,,,,,,"{'Lohngleichheit': 1.0, 'mit': 0.38, 'Bubenstreich': 0.25, 'auf': 0, 'Sankt': 0, 'Nimmerleinstag': 0.07, 'verschoben': 0.18, 'Es': 0.06, 'ist': 0.06, 'beschämend': 0.19, 'dass': 0.04, 'der': 0.07, 'Ständerat': 0.07250000000000001, 'auch': 0.04, 'Jahre': 0.07, 'n': 0.05, '…': 0}",positive,"[0.33393446, 0.038201395, 0.6278642]",,,,,,,negative
