answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"Will #BAG #Shutdown? #Kinder können #Grosseltern nicht anstecken. Problem sind also die #Eltern = #Arbeitstätigen. Fazit: Wir isolieren die Eltern = Arbeitenden, die Rentner arbeiten und das #Rentenalter fällt weg. Offen: Will das BAG #Kinderarbeit? https://t.co/O9HIJSjzGo",bag shutdown kinder grosseltern anstecken problem eltern arbeitstätigen fazit isolieren eltern arbeitend rentner arbeiten rentenalter fällen offen bag kinderarbeit,"{'Will': 0, 'BAG': 0.08, 'Shutdown': 0.05, 'Kinder': 0.03, 'können': 0, 'Grosseltern': 0.02, 'nicht': 0, 'anstecken': 0.04, 'Problem': 0.19, 'sind': 0, 'also': 0, 'die': 0.07, 'Eltern': 0.05, 'Arbeitstätigen': 0, 'Fazit': 0.05, 'Wir': 0.04, 'isolieren': 0.09, 'Arbeitenden': 0, 'Rentner': 0, 'arbeiten': 0.07, 'und': 0.26, 'das': 0, 'Rentenalter': 0.605, 'fällt': 1.0, 'weg': 0, 'Offen': 0.13, 'Kinderarbeit': 0.045}",negative,"[0.23666088, 0.7482841, 0.015055064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"Verschwiegene, selber steuerbare  #Rentenlücke: bei #Teilzeitarbeit sind höhere #Arbeitspensen sinnvoll. Junge vergessen oft Pensionskasse. Da droht später böse Überraschung. Drum: #Individualbesteuerung, #Fremdbetreuungskostenabzug 25t Fr/J &amp; Tagesstrukturen, die FDP-Vorschläge.",verschwiegen selber steuerbare rentenlücke teilzeitarbeit hoch arbeitspensen sinnvoll junge vergessen oft pensionskasse drohen spät böse überraschung drum individualbesteuerung fremdbetreuungskostenabzug t fr j amp tagesstrukturen fdp vorschläge,,,,"{'Verschwiegene': 0, 'selber': 0, 'steuerbare': 0.06, 'Rentenlücke': 0.065, 'bei': 0, 'Teilzeitarbeit': 0.01, 'sind': 0, 'höhere': 0.05, 'Arbeitspensen': 0, 'sinnvoll': 0, 'Junge': 0.05, 'vergessen': 0.12, 'oft': 0, 'Pensionskasse': 0.03, 'Da': 0, 'droht': 0, 'später': 0.05, 'böse': 0, 'Überraschung': 0.08, 'Drum': 0.35, 'Individualbesteuerung': 0.5449999999999999, 'Fremdbetreuungskostenabzug': 0.2825, 't': 0, 'Fr': 0.06, 'J': 0.05, 'amp': 0.15, 'Tagesstrukturen': 0.09, 'die': 0.2, 'FDP-Vorschläge': 0.075}",negative,"[0.13360465, 0.7391912, 0.1272042]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Die Beschaffung neuer #Kampfflugzeuge stärkt die #Sicherheit der Schweiz. Die heute bestehende #Luftverteidigung ist veraltet und muss mittelfristig komplett ersetzt werden.
https://t.co/YIjRTeOCDV",beschaffung neu kampfflugzeuge stärken sicherheit schweiz heute bestehend luftverteidigung veralten mittelfristig komplett ersetzen,,,,,,,"{'Die': 0.05, 'Beschaffung': 0.82, 'neuer': 0, 'Kampfflugzeuge': 0, 'stärkt': 0.68, 'die': 0.05, 'Sicherheit': 0, 'der': 0.05, 'Schweiz': 0.13, 'heute': 0.09, 'bestehende': 0, 'Luftverteidigung': 0.1, 'ist': 0.05, 'veraltet': 0, 'und': 0.03, 'muss': 0, 'mittelfristig': 0.085, 'komplett': 0.04, 'ersetzt': 0.21, 'werden': 0}",positive,"[0.10840975, 0.12239342, 0.7691968]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Hört die #Politik Ruf der #NZZ? Statt #SNB und Lippenbekenntnisse für Industrie braucht es Taten: Freihandels- und EU-Rahmenabkommen. Flexibles Arbeitsrecht und 100% Gegengeschäfte beim Kampfflugzeug. Hier entscheidet #Ständerat nächste Woche! https://t.co/n27MCW1fNU,hören politik ruf nzz statt snb lippenbekenntnisse industrie brauchen taten freihandels eu rahmenabkommen flexibel arbeitsrecht gegengeschäfte beim kampfflugzeug entscheiden ständerat nächst woche,,,,,,,"{'Hört': 0, 'die': 0.03, 'Politik': 0, 'Ruf': 0, 'der': 0.03, 'NZZ': 0.02, 'Statt': 0.015, 'SNB': 0.02, 'und': 0.11, 'Lippenbekenntnisse': 0.015, 'für': 0.03, 'Industrie': 0.03, 'braucht': 0, 'es': 0.02, 'Taten': 0, 'Freihandels-': 0.035, 'EU-Rahmenabkommen': 0.02, 'Flexibles': 0.22, 'Arbeitsrecht': 0.12, 'Gegengeschäfte': 0, 'beim': 0.03, 'Kampfflugzeug': 1.0, 'Hier': 0.02, 'entscheidet': 0, 'Ständerat': 0.0275, 'nächste': 0.01, 'Woche': 0.02}",positive,"[0.22298725, 0.0070916647, 0.76992106]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Für solche Artikel lohnt sich NZZ-Jahresabo! Klares Statement für #Wohlstand und #Wachstum im Interesse von Umwelt- und Klimaschutz, für breite #CO2-Lenkungsabgabe, für #Marktwirtschaft als Motor von #Innovation &amp; Veränderung und gegen #Subventionsjäger. Ein Programm für 2020...",artikel lohnen nzz jahresabo klar statement wohlstand wachstum interesse umwelt klimaschutz breit co2 lenkungsabgabe marktwirtschaft motor innovation amp veränderung subventionsjäger programm,,,,,,,,,,"{'Für': 0.09, 'solche': 0.05, 'Artikel': 0, 'lohnt': 0, 'sich': 0, 'NZZ-Jahresabo': 0.0525, 'Klares': 0.11, 'Statement': 0.36, 'für': 0.09, 'Wohlstand': 0, 'und': 0.08, 'Wachstum': 0.07, 'im': 0, 'Interesse': 0, 'von': 0, 'Umwelt-': 0, 'Klimaschutz': 0.05, 'breite': 0.12, 'CO2-Lenkungsabgabe': 0.285, 'Marktwirtschaft': 0.735, 'als': 0.5, 'Motor': 0, 'Innovation': 0.15, 'amp': 0.05, 'Veränderung': 0.06, 'gegen': 0.2, 'Subventionsjäger': 0, 'Ein': 0.15, 'Programm': 0.2, '...': 0}",positive,"[0.054595117, 0.032974, 0.9124308]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"#Paradies #Schweiz oder #Skandinavien? Für New York Times ein klarer Fall dank #Föderalismus, Exportorientierung, #Marktwirtschaft, #Eigenverantwortung und #Gemeinsinn. Das muss auch nach Wahlen so bleiben! The Happy, Healthy Capitalists of Switzerland https://t.co/mIgy15ucVG",paradies schweiz skandinavien new york times klar fall danken föderalismus exportorientierung marktwirtschaft eigenverantwortung gemeinsinn wahlen bleiben the happy healthy capitalists of switzerland,,,,,,,,,,"{'Paradies': 0.02, 'Schweiz': 0.05, 'oder': 0.03, 'Skandinavien': 0.02, 'Für': 0.03, 'New': 0.01, 'York': 0.01, 'Times': 0.02, 'ein': 0, 'klarer': 0, 'Fall': 0, 'dank': 0.245, 'Föderalismus': 0.08, 'Exportorientierung': 0, 'Marktwirtschaft': 0.725, 'Eigenverantwortung': 0.06, 'und': 0.36, 'Gemeinsinn': 0.045, 'Das': 0.12, 'muss': 0.04, 'auch': 0, 'nach': 0.02, 'Wahlen': 0, 'so': 0, 'bleiben': 0, 'The': 0.12, 'Happy': 0.32, 'Healthy': 0.13, 'Capitalists': 0.09, 'of': 0.03, 'Switzerland': 0.05}",positive,"[0.0037900736, 0.0017677696, 0.99444216]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Marktwirtschaft und wirtschaftliche Offenheit statt Protektionismus. Wir dürfen unsere Werte nicht opfern!
https://t.co/W8Tzic5RbU",marktwirtschaft wirtschaftlich offenheit statt protektionismus dürfen werte opfern,,,,,,,,,,"{'Marktwirtschaft': 0.405, 'und': 0.54, 'wirtschaftliche': 0.15, 'Offenheit': 0.84, 'statt': 1.0, 'Protektionismus': 0.75, 'Wir': 0.07, 'dürfen': 0, 'unsere': 0.06, 'Werte': 0.07, 'nicht': 0.17, 'opfern': 0.39}",positive,"[0.00918207, 0.019178385, 0.9716395]",,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.425,neutral,Politversagen beim InstA. Beim Lohnschutz kritisierte 2016 ein Bericht des Seco die Prozesse der Voranmeldefrist von 8 Tagen als veraltet &amp; ungenügend. Mit Digitalisierung ist besserer Schutz mit 4 Tagen möglich. Aber Gewerkschaften blockieren. Unsäglich! https://t.co/h5Vro7MpSx,politversagen beim insta beim lohnschutz kritisieren bericht seco prozesse voranmeldefrist tagen veralten amp ungenügend digitalisierung gut schutz tagen möglich gewerkschaften blockieren unsäglich,,,,,,,,,,,,,"{'Politversagen': 0.02, 'beim': 0.030000000000000002, 'InstA.': 0, 'Beim': 0.030000000000000002, 'Lohnschutz': 0.17, 'kritisierte': 0.08, 'ein': 0, 'Bericht': 0, 'des': 0, 'Seco': 0, 'die': 0.05, 'Prozesse': 0.03, 'der': 0.05, 'Voranmeldefrist': 0, 'von': 0, 'Tagen': 0.07, 'als': 0.1, 'veraltet': 0, 'amp': 0.03, 'ungenügend': 0.13, 'Mit': 0.2, 'Digitalisierung': 0, 'ist': 0.21, 'besserer': 0.26, 'Schutz': 0.17, 'mit': 0.2, 'möglich': 0.34, 'Aber': 0.17, 'Gewerkschaften': 0.06, 'blockieren': 0.07, 'Unsäglich': 0.23}",positive,"[0.1842984, 0.35593247, 0.45976913]",,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"Gemäss Financial Times öffnet Dänemark Restaurants, Sportstätten, Fussballspiele, Museen für Personen mit Impfpass und negativem Testattest. Land setzt auf Digitalisierung, Impfung und hat Erfolg!",gemäss financial times öffnen dänemark restaurants sportstätten fussballspiele museen personen impfpass negativ testattest land setzen digitalisierung impfung erfolg,,,,,,,,,,,,,"{'Gemäss': 0.03, 'Financial': 0.01, 'Times': 0.01, 'öffnet': 0, 'Dänemark': 0.01, 'Restaurants': 0.01, 'Sportstätten': 0.01, 'Fussballspiele': 0.01, 'Museen': 0.01, 'für': 0, 'Personen': 0, 'mit': 0.03, 'Impfpass': 0.18, 'und': 0.2, 'negativem': 0.04, 'Testattest': 0, 'Land': 0.05, 'setzt': 0, 'auf': 0.14, 'Digitalisierung': 0, 'Impfung': 0.33, 'hat': 0, 'Erfolg': 0}",positive,"[0.0073059667, 0.0024204894, 0.99027354]",,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"#Digitalisierung und technologischer Fortschritt: Statt #Industriepolitik mit #Subventionen braucht es klare und #innovationsfördernde Gesetze. Verzögerung beim Bund (#UVEK/#BAFU) ist schlecht, reduziert #Investitionen und schadet…https://t.co/SYXJUHWMPB https://t.co/9dVRHA3kyt",digitalisierung technologisch fortschritt statt industriepolitik subventionen brauchen klaren innovationsfördernde gesetze verzögerung beim bund uvek bafu schlecht reduzieren investitionen schaden,,,,,,,,,,,,,"{'Digitalisierung': 0, 'und': 0.01, 'technologischer': 0.05, 'Fortschritt': 0.12, 'Statt': 0.04, 'Industriepolitik': 0.035, 'mit': 0.04, 'Subventionen': 0.03, 'braucht': 0, 'es': 0.02, 'klare': 0, 'innovationsfördernde': 0, 'Gesetze': 0.03, 'Verzögerung': 0.03, 'beim': 0.02, 'Bund': 0, 'UVEK/#BAFU': 0.06, 'ist': 0.02, 'schlecht': 0.02, 'reduziert': 0, 'Investitionen': 0.02, 'schadet': 0.02, '…': 0}",neutral,"[0.7631483, 0.106438324, 0.13041331]",,,,,,,,,,,,,,,,negative
50.0,75.0,71.0,0.1333333333333333,neutral,"Bleiben #Negativzinsen lange, weil wir #Produktivität falsch messen? Ist diese dank #Digitalisierung höher? Dann hätten wir - wie im 19Jhd. bei Industrieller Revolution heute Deflation &amp; normale Realzinsen von ca. 2%. https://t.co/srEKnWVzfs",bleiben negativzinsen lang produktivität falsch messen danken digitalisierung hoch 19jhd industriell revolution heute deflation amp normale realzinsen ca,,,,,,,,,,,,,"{'Bleiben': 0, 'Negativzinsen': 0, 'lange': 0.03, 'weil': 0.02, 'wir': 0, 'Produktivität': 0.04, 'falsch': 0, 'messen': 0.09, 'Ist': 0.06, 'diese': 0.07, 'dank': 0.47000000000000003, 'Digitalisierung': 0, 'höher': 0.14, 'Dann': 0.09, 'hätten': 0.04, 'wie': 0, 'im': 0, '19Jhd': 0, 'bei': 0.05, 'Industrieller': 0, 'Revolution': 0.07, 'heute': 0.05, 'Deflation': 0.07, 'amp': 0.07, 'normale': 0.07, 'Realzinsen': 0.05, 'von': 0, 'ca.': 0}",positive,"[0.2782848, 0.05195436, 0.6697608]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"Wieso Linke den #EuGH ablehne: #Europas #Politik &amp; #Gesellschaft sind #technologiefeindlich und verbauen so die Zukunft - der EuGH urteilt für #Plattform-Wirtschaft &amp; Digitalisierung. Das und #Bildung, #F&amp;E stärken Europa - nicht Industriepolitik! https://t.co/0wJPSA8QaO",wieso link eugh ablehnen europas politik amp gesellschaft technologiefeindlich verbauen zukunft eugh urteilen plattform wirtschaft amp digitalisierung bildung f amp e stärken europa industriepolitik,,,,,,,,,,,,,"{'Wieso': 0, 'Linke': 0.02, 'den': 0.06, 'EuGH': 0.05, 'ablehne': 0, 'Europas': 0.03, 'Politik': 0, 'amp': 0.02, 'Gesellschaft': 0.04, 'sind': 0.05, 'technologiefeindlich': 0, 'und': 0.11, 'verbauen': 0.07, 'so': 0, 'die': 0.06, 'Zukunft': 0.04, 'der': 0.06, 'urteilt': 0, 'für': 0.33, 'Plattform-Wirtschaft': 0.135, 'Digitalisierung': 1.0, 'Das': 0.06, 'Bildung': 0.04, 'F&amp;E': 0, 'stärken': 0.04, 'Europa': 0.03, 'nicht': 0.04, 'Industriepolitik': 0.02}",positive,"[0.059526186, 0.013157239, 0.9273166]",,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"Weckruf: Doing business in #China nun einfacher als in #Schweiz. China macht #Digitalisierung und #Deregulierung. Statt #China-bashing und #Investitionskontrollen braucht Schweiz bessere #Rahmenbedingungen, #Investitionen in #Bildung und #5G. https://t.co/8eZwv1WG61",weckruf doing business china einfach schweiz china digitalisierung deregulierung statt china bashing investitionskontrollen brauchen schweiz gut rahmenbedingungen investitionen bildung g,,,,,,,,,,,,,"{'Weckruf': 0.0175, 'Doing': 0.54, 'business': 0.03, 'in': 0.06, 'China': 0.02, 'nun': 0, 'einfacher': 0.05, 'als': 0, 'Schweiz': 0.04, 'macht': 0, 'Digitalisierung': 0, 'und': 0.08, 'Deregulierung': 0.4, 'Statt': 0.13, 'China-bashing': 0, 'Investitionskontrollen': 0, 'braucht': 0.33, 'bessere': 0.11, 'Rahmenbedingungen': 0.03, 'Investitionen': 0.05, 'Bildung': 0.07, '5G.': 0}",neutral,"[0.8722495, 0.05510292, 0.07264762]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"EZB - wo ist Ausweg? Zeche zahlen Sparer &amp; heutige &amp; künftige Rentner, die schleichend enteignet werden. Nötig wäre höhere #Produktivität dank #Digitalisierung. Dazu braucht es technologische Offenheit (#5G-Netze), flexiblen Jobmarkt &amp; (Weiter-)Bildung. Dazu fehlt #Europa Mut!",ezb ausweg zechen zahlen sparer amp heutige amp künftig rentner schleichen enteignen nötigen hoch produktivität danken digitalisierung brauchen technologische offenheit g netze flexibel jobmarkt amp weit bildung fehlen europa mut,,,,,,,,,,,,,"{'EZB': 0, 'wo': 0.02, 'ist': 0.01, 'Ausweg': 0.02, 'Zeche': 0.03, 'zahlen': 0, 'Sparer': 0, 'amp': 0.02, 'heutige': 0, 'künftige': 0.04, 'Rentner': 0, 'die': 0.03, 'schleichend': 0, 'enteignet': 0.15, 'werden': 0, 'Nötig': 1.0, 'wäre': 0.44, 'höhere': 0.28, 'Produktivität': 0.3, 'dank': 0.105, 'Digitalisierung': 0, 'Dazu': 0, 'braucht': 0, 'es': 0.01, 'technologische': 0.05, 'Offenheit': 0.11, '5G-Netze': 0.035, 'flexiblen': 0.06, 'Jobmarkt': 0.025, 'Weiter-)Bildung': 0.02, 'fehlt': 0.01, 'Europa': 0.03, 'Mut': 0}",neutral,"[0.45198044, 0.15327774, 0.39474183]",,,,,,,,,,,,,,,,neutral
