answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: Mit dem zweiwöchigen Vaterschaftsurlaub und der Erhöhung der Kinderabzüge wird dank der #CVP die Vereinbarkeit von Beruf &amp; Fam…,zweiwöchigen vaterschaftsurlaub erhöhung kinderabzüge danken cvp vereinbarkeit beruf amp fam,"{'Mit': 1.0, 'dem': 0.14, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.705, 'und': 0.46, 'der': 0.14, 'Erhöhung': 0.83, 'Kinderabzüge': 0, 'wird': 0, 'dank': 0, 'CVP': 0, 'die': 0.14, 'Vereinbarkeit': 0.1, 'von': 0, 'Beruf': 0, 'amp': 0.05, 'Fam': 0.15, '…': 0}",negative,"[0.04024011, 0.6640834, 0.2956765]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Ordentliche #Pensionierung mit 64 und deswegen Rentenkürzung darf nicht sein. Eine #Reform von #AHV  #Pensionskasse #Gleichheit ist dringend. Dafür setze ich mich ein. https://t.co/p2DCRDODyH. Jetzt #CVP_PDC wählen, 4a.03 #teamorange #WahlCH19 @alliance_F https://t.co/TB7rE7bZKN",ordentliche pensionierung deswegen rentenkürzung dürfen reform ahv pensionskasse gleichheit dringen dafür setzen cvp_pdc wählen 4a teamorange wahlch19,,,,"{'Ordentliche': 0.03, 'Pensionierung': 0.04, 'mit': 0, 'und': 0.03, 'deswegen': 0.03, 'Rentenkürzung': 0.05, 'darf': 0, 'nicht': 0.01, 'sein': 0, 'Eine': 0, 'Reform': 0.03, 'von': 0, 'AHV': 0.05, 'Pensionskasse': 0.04, 'Gleichheit': 0.05, 'ist': 0.02, 'dringend': 0, 'Dafür': 0.03, 'setze': 0, 'ich': 0.02, 'mich': 0, 'ein': 0, 'Jetzt': 0.02, 'CVP_PDC': 0, 'wählen': 0, '4a.03': 0, 'teamorange': 0, 'WahlCH19': 0}",neutral,"[0.4034413, 0.3674033, 0.22915544]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Der #GRAG stimmt dem Förderprogramm #Energie zu! Die Energie- und #Klimapolitik ist einen entscheidenden Schritt weiter. Wir holen 60,4 Millionen Franken in den #Aargau für #Gebäude-#Modernisierung, #erneuerbare #Energien, #Abwärmenutzung, #Gebäudetechnik. @CVPAargau #Klima",grag stimmen förderprogramm energie energie klimapolitik entscheidend schritt weit holen millionen franken aargau gebäude modernisierung erneuerbare energien abwärmenutzung gebäudetechnik klima,,,,,,,"{'Der': 0.02, 'GRAG': 0.01, 'stimmt': 0, 'dem': 0.06999999999999999, 'Förderprogramm': 0.035, 'Energie': 0.03, 'zu': 0.12, 'Die': 0.02, 'Energie-': 0, 'und': 0.03, 'Klimapolitik': 0.05, 'ist': 0.03, 'einen': 0.03, 'entscheidenden': 0, 'Schritt': 0.08, 'weiter': 0.04, 'Wir': 0.07, 'holen': 0, '60,4': 0, 'Millionen': 0, 'Franken': 0, 'in': 0, 'den': 0.02, 'Aargau': 0.05, 'für': 0.65, 'Gebäude-#Modernisierung': 0.1925, 'erneuerbare': 1.0, 'Energien': 0.13, 'Abwärmenutzung': 0.125, 'Gebäudetechnik': 0.135, 'Klima': 0.04}",positive,"[0.013073892, 0.006430377, 0.98049575]",,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.4333333333333333,neutral,Das kantonale #Energiegesetz hätte erneuerbare #Energie gefördert und wäre ein pragmatischer Weg gewesen. Die Ablehnung schmerzt. Nun wird der Bund bestimmen. Schade! #abst2020,kantonale energiegesetz erneuerbare energie fördern pragmatisch ablehnung schmerzen bund bestimmen schaden abst2020,,,,,,,"{'Das': 0.03, 'kantonale': 0.13, 'Energiegesetz': 0.315, 'hätte': 0, 'erneuerbare': 1.0, 'Energie': 0.17, 'gefördert': 1.0, 'und': 0.32, 'wäre': 0.17, 'ein': 0, 'pragmatischer': 0.16, 'Weg': 0, 'gewesen': 0.15, 'Die': 0.03, 'Ablehnung': 0.1, 'schmerzt': 0.05, 'Nun': 0, 'wird': 0.04, 'der': 0.03, 'Bund': 0, 'bestimmen': 0.08, 'Schade': 0, 'abst2020': 0.12}",neutral,"[0.43289036, 0.17695369, 0.39015606]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,Unsere Kampfflugzeuge müssen wir ersetzen. Sichern wir unseren Luftraum auch nach dem Jahr 2030. Denn die Lufthoheit über unserem Land ist unsere Sache. Darum: JA zu neuen Kampfjets wie die @CVPAargau . #SicherheitJa #abst20 #zukunftsicherheitja @sicherheit_ja @CVPFrauen #Air2030 https://t.co/5tCaMLWqbV,kampfflugzeuge müssen ersetzen sichern luftraum jahr lufthoheit land sache darum ja neu kampfjets sicherheitja abst20 zukunftsicherheitja air2030,,,,,,,,,,"{'Unsere': 0.03, 'Kampfflugzeuge': 0.12, 'müssen': 0.03, 'wir': 0, 'ersetzen': 0, 'Sichern': 0.04, 'unseren': 0.03, 'Luftraum': 0.11, 'auch': 0, 'nach': 0.02, 'dem': 0.04, 'Jahr': 0, '2030.': 0, 'Denn': 0, 'die': 0, 'Lufthoheit': 0.11499999999999999, 'über': 0.03, 'unserem': 0.03, 'Land': 0, 'ist': 0.03, 'unsere': 0.03, 'Sache': 0, 'Darum': 0, 'JA': 0, 'zu': 0.04, 'neuen': 0.03, 'Kampfjets': 0.1, 'wie': 0, 'SicherheitJa': 0.32, 'abst20': 0.33, 'zukunftsicherheitja': 0.07, 'Air2030': 1.0}",positive,"[0.08663102, 0.04713437, 0.8662346]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @AGmur: BR ⁦@Violapamherd⁩ wird‘s bis zur Abstimmung noch unzählige Male wiederholen müssen: „Wir beschaffen die Kampfflugzeuge nicht fü…,br s abstimmung unzählige male wiederholen müssen beschaffen kampfflugzeuge fü,,,,,,,,,,"{'BR': 0.02, '\u2066\u2069': 0, 'wird': 0, '‘': 0, 's': 0, 'bis': 0, 'zur': 0, 'Abstimmung': 0, 'noch': 0, 'unzählige': 0, 'Male': 0, 'wiederholen': 0, 'müssen': 0, '„': 0, 'Wir': 0, 'beschaffen': 0, 'die': 0, 'Kampfflugzeuge': 0, 'nicht': 0, 'fü': 0, '…': 0}",neutral,"[0.64365715, 0.34366268, 0.012680164]",,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"#Digitalisierung und #IKT bekommen mehr Gewicht. Wie wichtig sie sind, erleben wir nun jeden Tag. #Bildung und #Wirtschaft sollten von dieser Veränderung profitieren. https://t.co/RbMqNRnwYH",digitalisierung ikt bekommen mehr gewicht wichtig erleben jed tag bildung wirtschaft sollen veränderung profitieren,,,,,,,,,,,,,"{'Digitalisierung': 0, 'und': 0.06, 'IKT': 0, 'bekommen': 0, 'mehr': 0.09, 'Gewicht': 0, 'Wie': 0, 'wichtig': 0.07, 'sie': 0, 'sind': 0.03, 'erleben': 0.05, 'wir': 0, 'nun': 0, 'jeden': 0.03, 'Tag': 0, 'Bildung': 0.06, 'Wirtschaft': 0, 'sollten': 0.03, 'von': 0.02, 'dieser': 0.04, 'Veränderung': 0.05, 'profitieren': 0.03}",positive,"[0.0033178637, 0.002937734, 0.99374443]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"@onravenwings Ja, stimmt, das erklärt es nicht. Mein Ziel ist es, Bestrebungen Richtung Umweltschutz und Menschenwürde zu unterstützen. Was kann man also tun?",ja stimmen erklären ziel bestrebungen richtung umweltschutz menschenwürde unterstützen tun,,,,,,,,,,,,,,,,"{'Ja': 0.21, 'stimmt': 0.03, 'das': 0.02, 'erklärt': 0, 'es': 0.04, 'nicht': 0, 'Mein': 0.06, 'Ziel': 0, 'ist': 0.04, 'Bestrebungen': 0, 'Richtung': 0, 'Umweltschutz': 0.815, 'und': 0.21, 'Menschenwürde': 0.21000000000000002, 'zu': 0.13, 'unterstützen': 0.5, 'Was': 0, 'kann': 0.05, 'man': 0, 'also': 0, 'tun': 0.09}",positive,"[0.040887065, 0.0058009606, 0.953312]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Konsumenten im 21. Jahrhundert wollen Produkte, die Umweltstandards und Menschenrechte einhalten. Nachhaltigkeit wird vermehrt ein Verkaufsargument. Unternehmen, vergesst das nicht, auch wenn die #KVI leider am Ständemehr gescheitert ist. #abst20 
https://t.co/z1TmhVZmKY",konsumenten jahrhundert produkte umweltstandards menschenrechte einhalten nachhaltigkeit vermehren verkaufsargument unternehmen vergesst kvi leider ständemehr scheitern abst20,,,,,,,,,,,,,,,,,,,"{'Konsumenten': 0.04, 'im': 0, '21.': 0, 'Jahrhundert': 0.03, 'wollen': 0.02, 'Produkte': 0.04, 'die': 0.04, 'Umweltstandards': 0.03, 'und': 0.02, 'Menschenrechte': 0.03, 'einhalten': 0, 'Nachhaltigkeit': 0.05, 'wird': 0, 'vermehrt': 0, 'ein': 0, 'Verkaufsargument': 0, 'Unternehmen': 0.06, 'vergesst': 0.02, 'das': 0.02, 'nicht': 0, 'auch': 0, 'wenn': 0.03, 'KVI': 0.1, 'leider': 0.03, 'am': 0, 'Ständemehr': 0, 'gescheitert': 0.04, 'ist': 0.03, 'abst20': 1.0}",positive,"[0.03513529, 0.013413064, 0.9514517]",,,,neutral
100.0,100.0,86.0,0.7,neutral,Der Wasserverbrauch beim Anbau von Lebensmitteln wird in Zukunft immer wichtiger. #FutureofFood #landwirtschaft @CVP_PDC https://t.co/rgvSNaQtJY,wasserverbrauch beim anbau lebensmitteln zukunft immer wichtig futureoffood landwirtschaft,,,,,,,,,,,,,,,,,,,,,,"{'Der': 0.09, 'Wasserverbrauch': 0.18, 'beim': 0.09, 'Anbau': 0, 'von': 0, 'Lebensmitteln': 0.27, 'wird': 0.07, 'in': 0.07, 'Zukunft': 0.11, 'immer': 0, 'wichtiger': 0.075, 'FutureofFood': 0.76, 'landwirtschaft': 1.0}",positive,"[0.019056398, 0.003057201, 0.97788644]",positive
