answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,sentiment_tb
100.0,100.0,100.0,1.0,positive,Mein persönliches #Highlight: bessere #Vereinbarkeit in der #Feuerwehr dank #Kinderbetreuung.  https://t.co/PLBy1wpIyj,persönlich highlight gut vereinbarkeit feuerwehr danken kinderbetreuung,"{'Mein': 0.04, 'persönliches': 0.04, 'Highlight': 0.16, 'bessere': 0.11, 'Vereinbarkeit': 0.05, 'in': 0.05, 'der': 0.05, 'Feuerwehr': 0.03, 'dank': 0.915, 'Kinderbetreuung': 1.0}",positive,"[0.0007684385, 0.0010526499, 0.99817896]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @YannickBerner: Die @fdp_ag beschliesst heute Stimmfreigabe beim #Vaterschaftsurlaub. Danke @MajaRiniker, @SuzanneMarclay und @JauslinMa…",beschliesst heute stimmfreigabe beim vaterschaftsurlaub danke,,,,"{'Die': 0, 'beschliesst': 0.14, 'heute': 0.1, 'Stimmfreigabe': 0, 'beim': 0, 'Vaterschaftsurlaub': 0.71, 'Danke': 0.175, 'und': 0.13, '…': 0}",positive,"[0.10097441, 0.009130504, 0.889895]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Jeanine_Glarner: Neben brieflicher Abstimmung ist E-Voting die Zukunft. Ob der #GRAG das ebenfalls so sieht? @AargauerZeitung @kantonaa…,neben brieflich abstimmung e voting zukunft grag ebenfalls sehen,,,,,,,"{'Neben': 0, 'brieflicher': 0, 'Abstimmung': 0, 'ist': 0.04, 'E-Voting': 0, 'die': 0.03, 'Zukunft': 0.05, 'Ob': 0, 'der': 0.03, 'GRAG': 0.1, 'das': 0.08, 'ebenfalls': 0, 'so': 0, 'sieht': 0, '…': 0}",neutral,"[0.87833816, 0.03197742, 0.089684434]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Virtuelle Einwohnerratssitzungen sind nun mit Ausnahmebewilligungen möglich. 
Ein kleiner Schritt in Richtung Digitalisierung der Parlamente. Damit wurde unsere Motion 20.166  in einem ersten Schritt aufgenommen.  @kantonaargau @dieter_egli @Titus_Meier @Ph_Ramseier @fdp_ag #GRAG",virtuelle einwohnerratssitzungen ausnahmebewilligungen möglich klein schritt richtung digitalisierung parlamente motion erst schritt aufnehmen grag,,,,,,,,,,"{'Virtuelle': 0.09, 'Einwohnerratssitzungen': 0.05, 'sind': 0.04, 'nun': 0, 'mit': 0.05, 'Ausnahmebewilligungen': 0, 'möglich': 0.1, 'Ein': 0.04, 'kleiner': 0, 'Schritt': 0.09, 'in': 0.05, 'Richtung': 0, 'Digitalisierung': 0, 'der': 0.21, 'Parlamente': 0, 'Damit': 0.05, 'wurde': 0, 'unsere': 0.08, 'Motion': 0.08, '20.166': 0, 'einem': 0, 'ersten': 0.04, 'aufgenommen': 0.11, 'GRAG': 0.06}",negative,"[0.070422046, 0.751606, 0.17797205]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Erste virtuelle Medienkonferenz der Stadt #Aarau - mit unserem Jahresbericht der Sicherheitsabteilung. Gleichzeitig Premiere im #virtualhubaarau, der heute eröffnet wurde (hier das Studio 3). Eine innovative Zusammenarbeit von #Smartec und dem #Kuk. Bravo! #Digitalisierung https://t.co/2DsjYN17Uo",erste virtuelle medienkonferenz stadt aarau jahresbericht sicherheitsabteilung gleichzeitig premiere virtualhubaarau heute eröffnen studio innovative zusammenarbeit smartec kuk bravo digitalisierung,,,,,,,,,,"{'Erste': 0.03, 'virtuelle': 0.06, 'Medienkonferenz': 0.05, 'der': 0.08, 'Stadt': 0.02, 'Aarau': 0.06, 'mit': 0.03, 'unserem': 0.03, 'Jahresbericht': 0.025, 'Sicherheitsabteilung': 0.025, 'Gleichzeitig': 0.04, 'Premiere': 0.06, 'im': 0, 'virtualhubaarau': 0.15, 'heute': 0.04, 'eröffnet': 0.03, 'wurde': 0, 'hier': 0.02, 'das': 0, 'Studio': 0.03, 'Eine': 0, 'innovative': 0.18, 'Zusammenarbeit': 0, 'von': 0.02, 'Smartec': 0.09, 'und': 0.13, 'dem': 0.08, 'Kuk': 0, 'Bravo': 0.69, 'Digitalisierung': 1.0}",positive,"[0.0016663489, 0.0011019814, 0.99723166]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Die SVA #Aargau nutzt die Digitalisierung zur Effizienzsteigerungen - die entsprechenden Rahmenbedingungen sind zentral. Wir haben in anderen Bereichen Luft nach oben. #grag #Jahresbericht #Gratulation https://t.co/mSrJQlEc3j,sva aargau nutzen digitalisierung effizienzsteigerungen entsprechend rahmenbedingungen zentral bereichen luft oben grag jahresbericht gratulation,,,,,,,,,,"{'Die': 0.06, 'SVA': 0, 'Aargau': 0.3, 'nutzt': 1.0, 'die': 0.06, 'Digitalisierung': 0, 'zur': 0.155, 'Effizienzsteigerungen': 0.26, 'entsprechenden': 0.05, 'Rahmenbedingungen': 0.04, 'sind': 0.09, 'zentral': 0.11, 'Wir': 0.09, 'haben': 0.16, 'in': 0.02, 'anderen': 0, 'Bereichen': 0.03, 'Luft': 0, 'nach': 0, 'oben': 0, 'grag': 0.03, 'Jahresbericht': 0.04, 'Gratulation': 0.24}",positive,"[0.13122226, 0.02186136, 0.84691644]",,,,neutral
100.0,100.0,86.0,0.7,neutral,Wir müssen die Möglichkeiten der #Digitalisierung auch im #Ratsbetrieb nutzen. Eine sorgfältige Kombination von physischer und digitaler Anwesenheit ist anzustreben.  #Masken alleine lösen das Problem nicht. ⁦@fdp_ag⁩ ⁦@kantonaargau⁩ #grag  https://t.co/oixpZIntnc,müssen möglichkeiten digitalisierung ratsbetrieb nutzen sorgfältig kombination physisch digital anwesenheit anstreben masken alleine lösen problem grag,,,,,,,,,,"{'Wir': 0.04, 'müssen': 0, 'die': 0.05, 'Möglichkeiten': 0, 'der': 0.05, 'Digitalisierung': 0, 'auch': 0.06, 'im': 0, 'Ratsbetrieb': 0.1, 'nutzen': 0.07, 'Eine': 0, 'sorgfältige': 1.0, 'Kombination': 1.0, 'von': 0, 'physischer': 0.2, 'und': 0.14, 'digitaler': 0.84, 'Anwesenheit': 0.28, 'ist': 0.19, 'anzustreben': 0, 'Masken': 0.06, 'alleine': 0.07, 'lösen': 0.05, 'das': 0, 'Problem': 0.05, 'nicht': 0.08, '\u2066\u2069': 0, 'grag': 0}",positive,"[0.021432284, 0.005122125, 0.9734456]",,,,positive
0.0,0.0,0.0,-1.0,negative,"@Titus_Meier Leider ist der #GRAG noch nicht soweit. Schade! #digitalisierung ja, aber nicht bei uns???",leider grag soweit schaden digitalisierung ja,,,,,,,,,,"{'Leider': 0.06, 'ist': 0.03, 'der': 0.05, 'GRAG': 0.08, 'noch': 0, 'nicht': 0.15, 'soweit': 0, 'Schade': 0, 'digitalisierung': 1.0, 'ja': 0, 'aber': 0.13, 'bei': 0, 'uns': 0.08}",positive,"[0.08489748, 0.047875285, 0.8672272]",,,,negative
50.0,75.0,57.0,0.0,neutral,"#Digitalisierung macht bei den Abstimmung eine Pause... keine Muskellockerung, sondern Abstimmung im Einwohnerrat.  #aarau https://t.co/zCvjWZlFZW",digitalisierung abstimmung pause muskellockerung abstimmung einwohnerrat aarau,,,,,,,,,,"{'Digitalisierung': 0, 'macht': 0, 'bei': 0, 'den': 0.06, 'Abstimmung': 0, 'eine': 0, 'Pause': 0, '...': 0, 'keine': 0, 'Muskellockerung': 0.07, 'sondern': 0.08, 'im': 0, 'Einwohnerrat': 0.06, 'aarau': 0.2}",positive,"[0.43035093, 0.09552045, 0.47412863]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"@Titus_Meier @AargauerZeitung Sowohl als auch.....
Auch im Kriminalbereich steigt der Trend zur Digitalisierung.",sowohl kriminalbereich steigen trend digitalisierung,,,,,,,,,,"{'Sowohl': 0.05, 'als': 0.04, 'auch': 0.32, '.....': 0, 'Auch': 0.32, 'im': 0, 'Kriminalbereich': 0.2, 'steigt': 0, 'der': 0.1, 'Trend': 1.0, 'zur': 0.1, 'Digitalisierung': 0}",negative,"[0.02534682, 0.8295313, 0.14512186]",,,,neutral
