answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,"@gianbrun Hauptpunkt ist, dass man unbezahlte Care-Arbeit mitbedenkt, wenn man Altervorsorgereformen diskutiert. Ansätze zur Gleichstellung sind u.a. Elternurlaub und ein Milizdienst für alle inkl. Sparten Kinderbetreuung u. Alterspflege.",hauptpunkt unbezahlt care arbeit mitbedenkt altervorsorgereformen diskutieren ansätze gleichstellung u a elternurlaub milizdienst all inkl sparen kinderbetreuung u alterspflege,"{'Hauptpunkt': 0, 'ist': 0.06, 'dass': 0.16, 'man': 0, 'unbezahlte': 0.05, 'Care-Arbeit': 0.19, 'mitbedenkt': 0, 'wenn': 0, 'Altervorsorgereformen': 0, 'diskutiert': 0, 'Ansätze': 0.26, 'zur': 0.08, 'Gleichstellung': 0.11, 'sind': 0, 'u.a.': 0, 'Elternurlaub': 0.125, 'und': 0.33, 'ein': 0, 'Milizdienst': 0.2, 'für': 0.37, 'alle': 0.35, 'inkl.': 0, 'Sparten': 0, 'Kinderbetreuung': 1.0, 'u.': 0, 'Alterspflege': 0.235}",positive,"[0.025211347, 0.0026400636, 0.9721486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"@BirgittSiegrist Das eine tun und das andere nicht lassen! Es ist nicht einsichtig, weshalb das Erreichen eines VERFASSUNGsmässigen Rechtes nur auf private Initiativen abgeschoben werden. Wenn das genügen würde, hätten wir #Lohngleichheit, genügend bezahlbare #Kinderbetreuung etc.",tun lassen einsichtig weshalb erreichen verfassungsmässigen recht privat initiativen abschieben genügen lohngleichheit genügen bezahlbare kinderbetreuung etc,"{'Das': 0.04, 'eine': 0.01, 'tun': 0.025, 'und': 0.02, 'das': 0.03, 'andere': 0, 'nicht': 0.06, 'lassen': 0.02, 'Es': 0.01, 'ist': 0.01, 'einsichtig': 0.04, 'weshalb': 0, 'Erreichen': 0, 'eines': 0.01, 'VERFASSUNGsmässigen': 0.06, 'Rechtes': 0.05, 'nur': 0.02, 'auf': 0, 'private': 0.05, 'Initiativen': 0.05, 'abgeschoben': 0, 'werden': 0, 'Wenn': 0, 'genügen': 0, 'würde': 0.05, 'hätten': 0.07, 'wir': 0, 'Lohngleichheit': 0, 'genügend': 0.54, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'etc.': 0}",positive,"[0.0026091319, 0.0041794186, 0.9932114]",,,,,,,,,,"{'Das': 0.03, 'eine': 0.02, 'tun': 0.030000000000000002, 'und': 0.02, 'das': 0.03, 'andere': 0, 'nicht': 0.07, 'lassen': 0.01, 'Es': 0.01, 'ist': 0.01, 'einsichtig': 0.04, 'weshalb': 0, 'Erreichen': 0, 'eines': 0.02, 'VERFASSUNGsmässigen': 0.06, 'Rechtes': 0.04, 'nur': 0.02, 'auf': 0, 'private': 0.05, 'Initiativen': 0.08, 'abgeschoben': 0, 'werden': 0, 'Wenn': 0, 'genügen': 0, 'würde': 0.11, 'hätten': 0.225, 'wir': 0, 'Lohngleichheit': 0, 'genügend': 0.19, 'bezahlbare': 0, 'Kinderbetreuung': 0.09, 'etc.': 0}",positive,"[0.037534934, 0.04165631, 0.92080873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,"Und sobald Kinder da sind, auch gute, bezahlbare #Kinderbetreuung! https://t.co/lU4cGurAEE",sobald kinder gut bezahlbare kinderbetreuung,"{'Und': 0.13, 'sobald': 0.13, 'Kinder': 0.31, 'da': 0, 'sind': 0.12, 'auch': 0, 'gute': 0, 'bezahlbare': 0, 'Kinderbetreuung': 1.0}",positive,"[0.00073609594, 0.00092063163, 0.9983432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@Leerzeit @anlustenberger @glp_Kanton_Zug Nicht ""geworden ist"", sondern ""immer noch ist"" ist die korrekte Formulierung. Verstehe ich dich richtig: Du willst dich nicht für ein Unrecht (Umsetzung der Gleichstellung) einsetzen, weil es eine Ungleichheit (Rentenalter, Militärpflicht) gibt, die das CH-Volk bisher so will???",immer korrekt formulierung verstehen richtig unrecht umsetzung gleichstellung einsetzen ungleichheit rentenalter militärpflicht geben ch volk bisher,,,,"{'Nicht': 0.13, 'geworden': 0.08, 'ist': 0.37, 'sondern': 0.05, 'immer': 0, 'noch': 0.04, 'die': 0.12, 'korrekte': 0.1, 'Formulierung': 0.1, 'Verstehe': 0.04, 'ich': 0.04, 'dich': 0.05, 'richtig': 0.1, 'Du': 0, 'willst': 0.09, 'nicht': 0.13, 'für': 0.1, 'ein': 0, 'Unrecht': 0, 'Umsetzung': 0.14, 'der': 0.12, 'Gleichstellung': 0.7, 'einsetzen': 0, 'weil': 0.18, 'es': 0.37, 'eine': 0, 'Ungleichheit': 1.0, 'Rentenalter': 0.925, 'Militärpflicht': 0.23500000000000001, 'gibt': 0, 'das': 0.28, 'CH-Volk': 0.14, 'bisher': 0, 'so': 0.04, 'will': 0}",negative,"[0.10385972, 0.8759919, 0.02014831]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Erklärungen wie: ""Ich sage hier nein, weil eine andere Vorlage die bessere wäre,"" sind faule Ausreden, ob bei Umwelt- oder Frauenfragen. Deshalb: das Original wählen! #Grüne #WahlCH19 #Klimakrise #Biodiversität #Pestizide #Wasserbelastung #Gleichstellung #Vaterschaftsurlaub https://t.co/8wV2g3uW9u",erklärungen sage nein vorlage gut faul ausreden umwelt frauenfragen deshalb original wählen grüne wahlch19 klimakrise biodiversität pestizide wasserbelastung gleichstellung vaterschaftsurlaub,,,,,,,"{'Erklärungen': 0.02, 'wie': 0, 'Ich': 0.01, 'sage': 0, 'hier': 0.01, 'nein': 0.01, 'weil': 0.01, 'eine': 0, 'andere': 0, 'Vorlage': 0.01, 'die': 0.03, 'bessere': 0.01, 'wäre': 0.01, 'sind': 0.02, 'faule': 0.02, 'Ausreden': 0.02, 'ob': 0, 'bei': 0, 'Umwelt-': 0, 'oder': 0.02, 'Frauenfragen': 0.02, 'Deshalb': 0.03, 'das': 0, 'Original': 0.02, 'wählen': 0, 'Grüne': 0.02, 'WahlCH19': 0, 'Klimakrise': 0.03, 'Biodiversität': 0.04, 'Pestizide': 0.07, 'Wasserbelastung': 0.12, 'Gleichstellung': 0.51, 'Vaterschaftsurlaub': 1.0}",positive,"[0.27316493, 0.03640964, 0.6904254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,100.0,86.0,0.5,negative,"Ich bin froh über die 2 Wochen #Vaterschaftsurlaub, aber gleichzeitig wütend und traurig, dass ich dafür froh sein muss! #Elternzeit #Chancengleichheit #Gleichstellung https://t.co/T0odBdIrJt",froh wochen vaterschaftsurlaub gleichzeitig wüten traurig dafür froh elternzeit chancengleichheit gleichstellung,,,,,,,"{'Ich': 0.04, 'bin': 0, 'froh': 0, 'über': 0, 'die': 0.05, 'Wochen': 0.27, 'Vaterschaftsurlaub': 0.11, 'aber': 0.17, 'gleichzeitig': 0, 'wütend': 0, 'und': 0.05, 'traurig': 0.08, 'dass': 0.04, 'ich': 0.04, 'dafür': 0, 'sein': 0, 'muss': 0.02, 'Elternzeit': 0.11, 'Chancengleichheit': 0.1, 'Gleichstellung': 0.2}",positive,"[0.0020307275, 0.002105658, 0.99586356]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,86.0,0.425,negative,"Faule Ausrede!? #Zug ist ein hartes Pflaster für die #Gleichstellung; aus Spargründen gibt's keine Kommission für Gleichstellung. Zug will nun keinen 2w. Vaterschaftsurlaub, weil man lieber einen fortschrittlicheren Elternurlaub will. Wirklich? https://t.co/VBrUcjH9bX",faul ausreden zug hart pflaster gleichstellung spargründen geben s kommission gleichstellung zug 2w vaterschaftsurlaub lieb fortschrittlich elternurlaub wirklich,,,,,,,"{'Faule': 0, 'Ausrede': 0, 'Zug': 0.03, 'ist': 0.02, 'ein': 0, 'hartes': 0, 'Pflaster': 0, 'für': 0.01, 'die': 0, 'Gleichstellung': 0.03, 'aus': 0, 'Spargründen': 0, ""gibt's"": 0.025, 'keine': 0, 'Kommission': 0.02, 'will': 0, 'nun': 0, 'keinen': 0, '2w': 0.02, 'Vaterschaftsurlaub': 0.12, 'weil': 0.09, 'man': 0, 'lieber': 0, 'einen': 0.01, 'fortschrittlicheren': 0.03, 'Elternurlaub': 0.05, 'Wirklich': 1.0}",positive,"[0.2396299, 0.091175705, 0.6691944]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,positive,Great #ReturnOnInvestment: Väter machen dank #Vaterschaftsurlaub mehr #Hausarbeit – auch noch Jahre danach - https://t.co/8FldSNNVrP via @watson_news,great returnoninvestment väter danken vaterschaftsurlaub mehr hausarbeit jahre danach via,,,,,,,"{'Great': 0.16, 'ReturnOnInvestment': 0.27, 'Väter': 0.17, 'machen': 0.13, 'dank': 0.8200000000000001, 'Vaterschaftsurlaub': 1.0, 'mehr': 0.14, 'Hausarbeit': 0, '–': 0, 'auch': 0, 'noch': 0, 'Jahre': 0, 'danach': 0, 'via': 0}",positive,"[0.0008983918, 0.0014460767, 0.9976555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,#Spitex? Weggespart. #Pflegepersonal? Weggespart. #Bildung? #EL? #Umweltschutz? #Krankenkassenprämienverbilligung? Auch weggespart. Ausser man legt ein NEIN zum #STAF in die Urne. https://t.co/i2iYJOduVk,spitex weggespart pflegepersonal weggespart bildung el umweltschutz krankenkassenprämienverbilligung weggespart ausser legen nein staf urne,,,,,,,,,,"{'Spitex': 0.04, 'Weggespart': 0.57, 'Pflegepersonal': 0.025, 'Bildung': 0.04, 'EL': 0.03, 'Umweltschutz': 0.035, 'Krankenkassenprämienverbilligung': 0.144375, 'Auch': 1.0, 'weggespart': 0.57, 'Ausser': 0, 'man': 0, 'legt': 0, 'ein': 0, 'NEIN': 0.08, 'zum': 0.03, 'STAF': 0.03, 'in': 0.03, 'die': 0.03, 'Urne': 0}",positive,"[0.10596507, 0.030744655, 0.86329025]",,,,,,,,,,,,,,,,,,,"{'Spitex': 0.04, 'Weggespart': 0.04, 'Pflegepersonal': 0.01, 'Bildung': 0.07, 'EL': 0.01, 'Umweltschutz': 0.595, 'Krankenkassenprämienverbilligung': 0.07875, 'Auch': 0.14, 'weggespart': 0.04, 'Ausser': 0, 'man': 0, 'legt': 0, 'ein': 0, 'NEIN': 0.01, 'zum': 0.01, 'STAF': 0.01, 'in': 0.01, 'die': 0.01, 'Urne': 0}",neutral,"[0.79667306, 0.03072576, 0.17260124]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,Auch in #Zug haben gestern am #Frauenstreik ganz ganz viele Frauen mit Unterstützung von Männern gestreikt! 😃 Für #Lohngleichheit #Gleichstellung im Alltag #VereinbarkeitFamilieundBeruf Anerkennung von #Betreuungsarbeit https://t.co/VCsYdU32V6,zug gestern frauenstreik ganz ganz frauen unterstützung männern streiken lohngleichheit gleichstellung alltag vereinbarkeitfamilieundberuf anerkennung betreuungsarbeit,,,,,,,,,,,,,"{'Auch': 0.14, 'in': 0.18, 'Zug': 0.06, 'haben': 0, 'gestern': 0.06, 'am': 0, 'Frauenstreik': 0.15, 'ganz': 0, 'viele': 0, 'Frauen': 0.1, 'mit': 0.1, 'Unterstützung': 0.47, 'von': 0, 'Männern': 0.11, 'gestreikt': 0.105, 'Für': 1.0, 'Lohngleichheit': 0, 'Gleichstellung': 0.32, 'im': 0, 'Alltag': 0.14, 'VereinbarkeitFamilieundBeruf': 0.10750000000000001, 'Anerkennung': 0.16, 'Betreuungsarbeit': 0.095}",positive,"[0.08318243, 0.071043424, 0.8457742]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
