answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,sentiment_tb
50.0,75.0,57.0,0.0,negative,"650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'millionen': 0, 'für': 0.23, 'Profisport': 0.555, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.14, 'den': 0.04, 'Fehler': 0}",positive,"[0.0008153986, 0.005415348, 0.9937692]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @VPOD_Schweiz: 💜 Tag der Kinderbetreuung: ZEIT UND STUTZ FÜR KIDS JETZT! 💜 https://t.co/0RXAmMKMTY,tag kinderbetreuung zeit stutz kids,"{'Tag': 0, 'der': 0, 'Kinderbetreuung': 0.61, 'ZEIT': 0.17, 'UND': 0.15, 'STUTZ': 0, 'FÜR': 0.08, 'KIDS': 0.1, 'JETZT': 0.21}",positive,"[0.039219856, 0.005280833, 0.9554993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,"RT @VPOD_Schweiz: AM 11. MAI IST DER ERSTE NATIONALE TAG DER KINDERBETREUUNG!
Zeigt der Welt was Kinderbetreuung, bezahlt oder unbezahlt, w…",mai erste national tag kinderbetreuung zeigen welt kinderbetreuung bezahlen unbezahlt w,"{'AM': 0, '11.': 0, 'MAI': 0.07, 'IST': 0.05, 'DER': 0.1, 'ERSTE': 0.11, 'NATIONALE': 0.09, 'TAG': 0, 'KINDERBETREUUNG': 0, 'Zeigt': 0, 'der': 0.1, 'Welt': 0.6, 'was': 0, 'Kinderbetreuung': 0, 'bezahlt': 0.32, 'oder': 0.51, 'unbezahlt': 0.27, 'w': 0.41, '…': 0}",positive,"[0.4166889, 0.045645233, 0.5376659]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Die familienergänzende Kinderbetreuung muss ein Service public werden wie die Volksschule. Unterschreibe jetzt unsere Petition und fordere das Parlament zum Handeln auf👇 https://t.co/IuS7LEWECW,familienergänzende kinderbetreuung service public volksschule unterschreiben petition fordern parlament handeln,"{'Die': 0.65, 'familienergänzende': 0.68, 'Kinderbetreuung': 1.0, 'muss': 0.06, 'ein': 0, 'Service': 0.15, 'public': 0.11, 'werden': 0, 'wie': 0, 'die': 0.65, 'Volksschule': 0.07500000000000001, 'Unterschreibe': 0.09, 'jetzt': 0.09, 'unsere': 0.06, 'Petition': 0.07, 'und': 0.05, 'fordere': 0, 'das': 0, 'Parlament': 0.06, 'zum': 0.355, 'Handeln': 0.1, 'auf': 0.04}",positive,"[0.3321055, 0.09393878, 0.5739557]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der ganze «Aktionsplan Kinderbetreuung» der @FemmesSPFrauen hier: https://t.co/WJrFfwxngt,ganze aktionsplan kinderbetreuung,"{'Der': 0.28, 'ganze': 0.49, '«': 0, 'Aktionsplan': 0, 'Kinderbetreuung': 0, '»': 0, 'der': 0, 'hier': 0}",positive,"[0.44081935, 0.017586077, 0.54159456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Pilotversuche mit Cannabis sind sinnvoll. Man muss herausfinden, wie sich die kontrollierte Abgabe auf den Konsum, die Gesun…",pilotversuche cannabis sinnvoll herausfinden kontrollieren abgabe konsum gesun,,,,"{'Pilotversuche': 0.3, 'mit': 0.8, 'Cannabis': 1.0, 'sind': 0, 'sinnvoll': 0, 'Man': 0, 'muss': 0.05, 'herausfinden': 0.06, 'wie': 0.06, 'sich': 0, 'die': 0.17, 'kontrollierte': 0.19, 'Abgabe': 0, 'auf': 0, 'den': 0.17, 'Konsum': 0.17, 'Gesun': 0, '…': 0}",neutral,"[0.7298532, 0.00864946, 0.26149732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @FemmesSPFrauen: Das einzig konkrete an der #GleichstellungsStrategie2030? Die Erhöhung des Rentenalters für Frauen. Das ist unannehmbar…,einzig konkrete gleichstellungsstrategie2030 erhöhung rentenalters frauen unannehmbar,,,,,,,"{'Das': 0.27, 'einzig': 0.38, 'konkrete': 0.2, 'an': 0, 'der': 0.27, 'GleichstellungsStrategie2030': 0, 'Die': 0.27, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.575, 'für': 0.24, 'Frauen': 0.22, 'ist': 0.76, 'unannehmbar': 1.0, '…': 0}",negative,"[0.0051664277, 0.97089165, 0.023941914]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,negative,"RT @RonjaJansen: Eueren faulen Deal könnt ihr behalten @AllianceF und @MayaGraf!
Wir sind nicht bereit das Rentenalter 64 zu verjubeln für…",eueren faul deal behalten bereiten rentenalter verjubeln,,,,,,,"{'Eueren': 0, 'faulen': 0.25, 'Deal': 0.15, 'könnt': 0.06, 'ihr': 0, 'behalten': 0.31, 'und': 0.07, 'Wir': 0.17, 'sind': 0.16, 'nicht': 0.9, 'bereit': 0.67, 'das': 0, 'Rentenalter': 0.775, 'zu': 0.5, 'verjubeln': 0, 'für': 0.29, '…': 0}",neutral,"[0.44150248, 0.29738957, 0.261108]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,@Eifach_ @HeinzelmannSus1 @knallfrog nein ich begründe es eben gerade nicht mit der lohnungleichheit. ich bin gegen eine rentenaltererhöhung egal für wen. ich stemme mich auch gegen die erhöhung des rentenalter von bauarbeiter. es ist doch stupid in zeiten wie diesen die arbeitszeit zu erhöhen.,nein begründen eben gerade lohnungleichheit rentenaltererhöhung egal wer stemmen erhöhung rentenalter bauarbeiter stupid zeiten arbeitszeit erhöhen,,,,,,,"{'nein': 0.04, 'ich': 0.14, 'begründe': 0.06, 'es': 0, 'eben': 0, 'gerade': 0.03, 'nicht': 0, 'mit': 0.04, 'der': 0.31, 'lohnungleichheit': 0.13, 'bin': 0, 'gegen': 0.16, 'eine': 0, 'rentenaltererhöhung': 0.53, 'egal': 0.05500000000000001, 'für': 0.04, 'wen': 0, 'stemme': 0, 'mich': 0, 'auch': 0.36, 'die': 0.31, 'erhöhung': 0.17, 'des': 0, 'rentenalter': 0.53, 'von': 0, 'bauarbeiter': 0.17, 'ist': 0, 'doch': 0, 'stupid': 0.63, 'in': 0.05, 'zeiten': 0.04, 'wie': 0, 'diesen': 0, 'arbeitszeit': 0.055, 'zu': 0.07, 'erhöhen': 0}",positive,"[0.11758887, 0.091227226, 0.7911839]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@dominiczypen oder wir senken es für die Männer in Zeiten der Digitalisierung? Ich bin Sozialistin. Ich stelle mich gegen die Erhöhung des Rentenalters für Bauarbeiter genau gleich wie das von Frauen.,senken männer zeiten digitalisierung sozialistin stelle erhöhung rentenalters bauarbeiter genau gleichen frauen,,,,,,,"{'oder': 0.03, 'wir': 0, 'senken': 0, 'es': 0, 'für': 0.24, 'die': 0.31, 'Männer': 0.06, 'in': 0.03, 'Zeiten': 0.04, 'der': 0.31, 'Digitalisierung': 0, 'Ich': 0.07, 'bin': 0, 'Sozialistin': 0.14, 'stelle': 0, 'mich': 0, 'gegen': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.665, 'Bauarbeiter': 0.11, 'genau': 0.07, 'gleich': 0, 'wie': 0, 'das': 0.09, 'von': 0, 'Frauen': 0.08}",negative,"[0.33028576, 0.5296179, 0.14009632]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'oder': 0.13, 'wir': 0, 'senken': 0, 'es': 0, 'für': 0.15, 'die': 0.19, 'Männer': 0.07, 'in': 0.08, 'Zeiten': 0.1, 'der': 0.19, 'Digitalisierung': 0, 'Ich': 0.46, 'bin': 0, 'Sozialistin': 0.43, 'stelle': 0, 'mich': 0, 'gegen': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.195, 'Bauarbeiter': 0.16, 'genau': 0.46, 'gleich': 0, 'wie': 0, 'das': 0.08, 'von': 0, 'Frauen': 0.12}",neutral,"[0.65630716, 0.26266906, 0.0810238]",,,,neutral
