answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
100.0,100.0,86.0,0.6,negative,"Zusätzliche Gelder sind ein erster wichtiger Schritt 💪

Denn  #Kinderbetreuung muss besser subventioniert und als Service Public verstanden werden.

Für gute Qualität braucht es gute Arbeitsbedingungen! 🐙

 #kitaistkeinkinderspiel #kita
@vpodbern https://t.co/5y6n9PmqRO",zusätzliche gelder erst wichtig schritt kinderbetreuung gut subventioniert service public verstehen gut qualität brauchen gut arbeitsbedingungen kitaistkeinkinderspiel kita,"{'Zusätzliche': 0.13, 'Gelder': 0.09, 'sind': 0.04, 'ein': 0, 'erster': 0.06, 'wichtiger': 0.14, 'Schritt': 0.18, 'Denn': 0, 'Kinderbetreuung': 1.0, 'muss': 0, 'besser': 0.21, 'subventioniert': 0.41, 'und': 0.09, 'als': 0.07, 'Service': 0.08, 'Public': 0.06, 'verstanden': 0, 'werden': 0, 'Für': 0.03, 'gute': 0.05, 'Qualität': 0.05, 'braucht': 0, 'es': 0, 'Arbeitsbedingungen': 0.045, 'kitaistkeinkinderspiel': 0.42, 'kita': 0}",positive,"[0.2835334, 0.26626468, 0.45020193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"RT @VPOD_Schweiz: 📢Kinderbetreuung am Limit‼️
Jetzt demonstrieren wir gemeinsam mit unserem Personal aus der Kinderbetreuung für bessere Ar…",kinderbetreuung limit demonstrieren gemeinsam personal kinderbetreuung gut ar,"{'Kinderbetreuung': 0.09, 'am': 0, 'Limit‼️': 0, 'Jetzt': 0.27, 'demonstrieren': 0, 'wir': 0, 'gemeinsam': 0.09, 'mit': 0.07, 'unserem': 0.13, 'Personal': 0, 'aus': 0, 'der': 0.12, 'für': 0.06, 'bessere': 0.08, 'Ar': 0.07, '…': 0}",neutral,"[0.5092371, 0.20862506, 0.28213787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"Für eine gerechte Gesellschaft müssen wir deutlich mehr in #Kinderbetreuung und Vereinbarkeit von Familie und Beruf investieren. 

Es braucht:
🐻 #Elternzeit
💜 Gute #Arbeitsbedingungen in #Kitas und #Tagesschule
👫 Ganztagesschulmodelle 

@vpodbern @spkantonbern @spfrauenbern https://t.co/ut17WpJggS",gerecht gesellschaft müssen deutlich mehr kinderbetreuung vereinbarkeit familie beruf investieren brauchen elternzeit gut arbeitsbedingungen kitas tagesschule ganztagesschulmodelle,"{'Für': 0.04, 'eine': 0, 'gerechte': 0, 'Gesellschaft': 0.12, 'müssen': 0.060000000000000005, 'wir': 0, 'deutlich': 0, 'mehr': 0.15, 'in': 0.02, 'Kinderbetreuung': 1.0, 'und': 0.02, 'Vereinbarkeit': 0.05, 'von': 0, 'Familie': 0.13, 'Beruf': 0, 'investieren': 0.29, 'Es': 0, 'braucht': 0, 'Elternzeit': 0.05, 'Gute': 0, 'Arbeitsbedingungen': 0.065, 'Kitas': 0, 'Tagesschule': 0.045000000000000005, 'Ganztagesschulmodelle': 0.05500000000000001}",negative,"[0.086086616, 0.73235005, 0.1815633]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"Kita ist kein Kinderspiel! Für gute Qualität braucht es gute #Arbeitsbedingungen ✊

Über 6000 Personen haben unsere @vpodbern - Petition unterschrieben 🐙

Jetzt muss der Grosse Rat #grbe handeln und als erster Schritt morgen eine GAV-Pflicht einführen. 

#Kinderbetreuung #kita https://t.co/Crdwuinub2",kita kinderspiel gut qualität brauchen gut arbeitsbedingungen personen petition unterschreiben grosse rat grbe handeln erst schritt morgen gav pflicht einfahren kinderbetreuung kita,"{'Kita': 0, 'ist': 1.0, 'kein': 0, 'Kinderspiel': 0.49, 'Für': 0.05, 'gute': 0.04, 'Qualität': 0.04, 'braucht': 0, 'es': 1.0, 'Arbeitsbedingungen': 0.045, 'Über': 0.05, 'Personen': 0, 'haben': 0.03, 'unsere': 0.02, 'Petition': 0.03, 'unterschrieben': 0.03, 'Jetzt': 0.04, 'muss': 0, 'der': 0.05, 'Grosse': 0, 'Rat': 0, 'grbe': 0, 'handeln': 0.03, 'und': 0.04, 'als': 0.02, 'erster': 0.02, 'Schritt': 0.02, 'morgen': 0.03, 'eine': 0, 'GAV-Pflicht': 0.03, 'einführen': 0.03, 'Kinderbetreuung': 0.04, 'kita': 0}",neutral,"[0.51529515, 0.42850336, 0.056201577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Der @vpodbern fordert bessere #Arbeitsbedingungen in den #Kitas 💪 

@VPOD_Schweiz 

#Kinderbetreuung #Coronaheldinnen

https://t.co/2xbYWdLfwe",fordern gut arbeitsbedingungen kitas kinderbetreuung coronaheldinnen,"{'Der': 0, 'fordert': 0.4, 'bessere': 0.07, 'Arbeitsbedingungen': 0.11, 'in': 0.37, 'den': 0, 'Kitas': 0, 'Kinderbetreuung': 1.0, 'Coronaheldinnen': 0}",neutral,"[0.86960137, 0.04321203, 0.08718658]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"Der @vpodbern fordert:

✊ Bessere Finanzierung der #Kinderbetreuung durch den @kanton_bern 

✊ Gute #Arbeitsbedingungen, geregelt in einem #GAV 

Es braucht entsprechende Vorgaben im Gesetz über die sozialen Leistungsangebote SLG.

@BernerZeitung @derbund @VPOD_Schweiz https://t.co/erUn908DtT",fordern gut finanzierung kinderbetreuung gut arbeitsbedingungen regeln gav brauchen entsprechend vorgaben gesetz sozial leistungsangebote slg,"{'Der': 0.03, 'fordert': 0, 'Bessere': 0.1, 'Finanzierung': 0.15, 'der': 0.03, 'Kinderbetreuung': 1.0, 'durch': 0.2, 'den': 0.03, 'Gute': 0, 'Arbeitsbedingungen': 0.035, 'geregelt': 0.05, 'in': 0.02, 'einem': 0, 'GAV': 0.05, 'Es': 0, 'braucht': 0, 'entsprechende': 0, 'Vorgaben': 0.05, 'im': 0, 'Gesetz': 0.05, 'über': 0, 'die': 0.03, 'sozialen': 0.02, 'Leistungsangebote': 0, 'SLG': 0.05}",neutral,"[0.42377698, 0.28104466, 0.29517835]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Der @kanton_bern unterstützt endlich Kitas, Tagesfamilien und Eltern mit einem Hilfspaket, wie es die @spkantonbern und der @vpodbern schon lange vehement fordern 💪👏👍

#Kinderbetreuung #servicepublic #Systemrelevant",unterstützen endlich kitas tagesfamilien eltern hilfspaket schon lang vehement fordern kinderbetreuung servicepublic systemrelevant,"{'Der': 0, 'unterstützt': 0, 'endlich': 0, 'Kitas': 0, 'Tagesfamilien': 0.015, 'und': 0.02, 'Eltern': 0.02, 'mit': 0.02, 'einem': 0, 'Hilfspaket': 0.035, 'wie': 0, 'es': 0.03, 'die': 0, 'der': 0, 'schon': 0, 'lange': 0.15, 'vehement': 0, 'fordern': 0, 'Kinderbetreuung': 1.0, 'servicepublic': 0.47, 'Systemrelevant': 0.12}",neutral,"[0.70056856, 0.123593114, 0.17583829]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Der @vpodbern fordert, dass der @kanton_bern die Finanzierung der #kitas und #tagesfamilienorganisationen  endlich sicherstellt. Diese geraten zunehmen in finanzielle Schieflage. 

@VPOD_Schweiz 
@spkantonbern 

#Kinderbetreuung https://t.co/nfb9aa4Win",fordern finanzierung kitas tagesfamilienorganisationen endlich sicherstellen geraten zunehmen finanzielle schieflage kinderbetreuung,"{'Der': 0.04, 'fordert': 0, 'dass': 0.05, 'der': 0.04, 'die': 0.04, 'Finanzierung': 0.03, 'kitas': 0, 'und': 0.04, 'tagesfamilienorganisationen': 0.0625, 'endlich': 0, 'sicherstellt': 0, 'Diese': 0, 'geraten': 0, 'zunehmen': 0, 'in': 0, 'finanzielle': 0.04, 'Schieflage': 0, 'Kinderbetreuung': 0.7}",positive,"[0.29667988, 0.03957752, 0.66374254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"Endlich! Bund und Kantone müssen schnell die Finanzierung der Elternbeiträge und Subventionen sicherstellen. 

Es ist bezeichnend, dass bei den Hilfsmassnahmen die Kinderbetreuung einfach ""vergessen"" ging.

@vpodbern @spfrauenbern @MirjamVeglio 

#Frauenstreik19 #lohnzeitrespekt https://t.co/9PNFZiKIyP",endlich bund kantone müssen schnellen finanzierung elternbeiträge subventionen sicherstellen bezeichnen hilfsmassnahmen kinderbetreuung einfach vergessen gehen frauenstreik19 lohnzeitrespekt,"{'Endlich': 0.02, 'Bund': 0, 'und': 0.03, 'Kantone': 0.03, 'müssen': 0, 'schnell': 0, 'die': 0.06, 'Finanzierung': 0.07, 'der': 0.06, 'Elternbeiträge': 0.05, 'Subventionen': 0.04, 'sicherstellen': 0, 'Es': 0.04, 'ist': 0.04, 'bezeichnend': 0.18, 'dass': 0.21, 'bei': 0, 'den': 0.06, 'Hilfsmassnahmen': 0.11, 'Kinderbetreuung': 1.0, 'einfach': 0, 'vergessen': 0, 'ging': 0, 'Frauenstreik19': 0, 'lohnzeitrespekt': 0.04}",negative,"[0.0017941148, 0.9936593, 0.004546649]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @VPOD_Schweiz: Der Markt wird das nicht regeln, er ist Teil des Problems. Die familienbegleitende Kinderbetreuung muss öffentlich finanz…",markt regeln teil problems familienbegleitende kinderbetreuung öffentlich finanz,"{'Der': 0.26, 'Markt': 0.08, 'wird': 0.05, 'das': 0, 'nicht': 0.05, 'regeln': 0, 'er': 0.04, 'ist': 0.04, 'Teil': 0.04, 'des': 0, 'Problems': 0, 'Die': 0.26, 'familienbegleitende': 0.55, 'Kinderbetreuung': 1.0, 'muss': 0, 'öffentlich': 0.21, 'finanz': 0, '…': 0}",neutral,"[0.603943, 0.37684673, 0.019210292]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.575,positive,"Kinderbetreuung ist #ServicePublic! 

Optimal: Kitas sind Teil des Bildungssystems und werden über Steuern finanziert. 

Realistisch: Der Kanton Bern finanziert das Betreuungsgutscheinsystem besser und es gibt #GAV|-Pflicht. 

@vpodbern 
@RepublikMagazin 

https://t.co/UPsud63ggk",kinderbetreuung servicepublic optimal kitas teil bildungssystems steuern finanzieren realistisch kanton bern finanzieren betreuungsgutscheinsystem gut geben gav pflicht,"{'Kinderbetreuung': 1.0, 'ist': 0.11, 'ServicePublic': 0.59, 'Optimal': 0, 'Kitas': 0, 'sind': 0.06, 'Teil': 0.07, 'des': 0, 'Bildungssystems': 0.025, 'und': 0.02, 'werden': 0, 'über': 0, 'Steuern': 0, 'finanziert': 0.04, 'Realistisch': 0.13, 'Der': 0.02, 'Kanton': 0.03, 'Bern': 0.02, 'das': 0, 'Betreuungsgutscheinsystem': 0.02, 'besser': 0.05, 'es': 0.11, 'gibt': 0.06, 'GAV|-Pflicht': 0.0325}",positive,"[0.039509006, 0.013251558, 0.9472395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"#Kinderbetreuung braucht genügend Raum und gute #Arbeitsbedingungen. 

Ein konkreter Schritt in die richtige Richtung. Weitere müssen folgen. 

@vpodbern 
#Frauenstreik #Tagesschulen

https://t.co/zxUk8tuw5t",kinderbetreuung brauchen genügen raum gut arbeitsbedingungen konkret schritt richtige richtung weit müssen folgen frauenstreik tagesschulen,"{'Kinderbetreuung': 1.0, 'braucht': 0.51, 'genügend': 0.26, 'Raum': 0.15, 'und': 0.16, 'gute': 0, 'Arbeitsbedingungen': 0.075, 'Ein': 0.07, 'konkreter': 0.07, 'Schritt': 0.06, 'in': 0.04, 'die': 0.03, 'richtige': 0.05, 'Richtung': 0.05, 'Weitere': 0, 'müssen': 0, 'folgen': 0.06, 'Frauenstreik': 0.12, 'Tagesschulen': 0.07}",positive,"[0.012975442, 0.025673926, 0.9613506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"#Kita-Mitarbeitende fordern einen #GAV 💪

Die #Arbeit in einer Kita ist anspruchsvoll und wichtig für unsere Gesellschaft. Die Mitarbeitenden brauchen dafür gute #Ausbildung|s- und #Arbeitsbedingungen.

#servicepublic #Bildung #Kinderbetreuung 
@vpodbern @netzwerk_kibe https://t.co/Qv8jdY2NHF",kita mitarbeitend fordern gav arbeit kita anspruchsvoll wichtig gesellschaft mitarbeitend brauchen dafür gut ausbildung s arbeitsbedingungen servicepublic bildung kinderbetreuung,"{'Kita-Mitarbeitende': 0.08, 'fordern': 0.03, 'einen': 0.02, 'GAV': 0.03, 'Die': 0, 'Arbeit': 0.05, 'in': 0.01, 'einer': 0, 'Kita': 0, 'ist': 0.01, 'anspruchsvoll': 0, 'und': 0.03, 'wichtig': 0.02, 'für': 0.02, 'unsere': 0.02, 'Gesellschaft': 0.05, 'Mitarbeitenden': 0.11, 'brauchen': 0.04, 'dafür': 0, 'gute': 0, 'Ausbildung|s-': 0.04, 'Arbeitsbedingungen': 0.065, 'servicepublic': 0.22, 'Bildung': 0.26, 'Kinderbetreuung': 1.0}",positive,"[0.41062835, 0.108573824, 0.48079792]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"Gemeinsam sind wir stark 💪
Darum jetzt Mitglied werden: https://t.co/b9qo25ohMZ
#Frauenstreik #Kinderbetreuung #Arbeitsbedingungen
@vpodbern https://t.co/TS7PKFWo9o",gemeinsam stark darum mitglied frauenstreik kinderbetreuung arbeitsbedingungen,"{'Gemeinsam': 0.11, 'sind': 0.04, 'wir': 0, 'stark': 0, 'Darum': 0, 'jetzt': 0.12, 'Mitglied': 0.11, 'werden': 0, 'Frauenstreik': 0.19, 'Kinderbetreuung': 0.79, 'Arbeitsbedingungen': 0.56}",positive,"[0.42826316, 0.086544275, 0.4851925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
