answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"@HaldifrauCH Elternzeit resp. Vaterschaftsurlaub, familienergänzende Kinderbetreuung, Blockzeiten an Schulen - diese Forderungen würden sicherlich - gerade bei den jungen Frauen - die Vereinbarkeit von (Kader-)Beruf und Familie verbessern.",elternzeit resp vaterschaftsurlaub familienergänzende kinderbetreuung blockzeiten schulen forderungen sicherlich gerade jung frauen vereinbarkeit kader beruf familie verbessern,"{'Elternzeit': 0.16, 'resp': 0.12, 'Vaterschaftsurlaub': 0.175, 'familienergänzende': 0.05, 'Kinderbetreuung': 1.0, 'Blockzeiten': 0, 'an': 0, 'Schulen': 0.15, 'diese': 0, 'Forderungen': 0, 'würden': 0.06, 'sicherlich': 0, 'gerade': 0, 'bei': 0.09, 'den': 0.05, 'jungen': 0, 'Frauen': 0.05, 'die': 0.05, 'Vereinbarkeit': 0.06, 'von': 0, 'Kader-)Beruf': 0, 'und': 0.04, 'Familie': 0.05, 'verbessern': 0.06}",positive,"[0.099106036, 0.29730564, 0.6035883]",,,,,,,"{'Elternzeit': 0.56, 'resp': 0.29, 'Vaterschaftsurlaub': 0.755, 'familienergänzende': 0.04, 'Kinderbetreuung': 0.68, 'Blockzeiten': 0, 'an': 0, 'Schulen': 0.08, 'diese': 0, 'Forderungen': 0, 'würden': 0.24, 'sicherlich': 0, 'gerade': 0, 'bei': 0.1, 'den': 0.06, 'jungen': 0, 'Frauen': 0.05, 'die': 0.06, 'Vereinbarkeit': 0.04, 'von': 0, 'Kader-)Beruf': 0, 'und': 0.08, 'Familie': 0.04, 'verbessern': 0.13}",positive,"[0.21520281, 0.16243853, 0.6223587]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"@Politikverdruss Willst du Familien zusätzlich besteuern, wenn die Familie keine familienergänzende Kinderbetreuung in Anspruch nehmen oder was schwebt dir da vor? @VivianeHoesli",familien zusätzlich besteuern familie familienergänzende kinderbetreuung anspruch nehmen schweben,"{'Willst': 0.04, 'du': 0, 'Familien': 0, 'zusätzlich': 0.1, 'besteuern': 0.09, 'wenn': 0.11, 'die': 0.08, 'Familie': 0.1, 'keine': 0, 'familienergänzende': 0.1, 'Kinderbetreuung': 1.0, 'in': 0.03, 'Anspruch': 0, 'nehmen': 0.095, 'oder': 0.2, 'was': 0, 'schwebt': 0, 'dir': 0.04, 'da': 0, 'vor': 0}",neutral,"[0.928445, 0.033592448, 0.037962534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,71.0,0.35,neutral,@sven_zurich @Angelika_Ruider @stadtzuerich Dies ist so nicht ganz korrekt. THC-haltiges Cannabis (vorallem Cannabis mit einem sehr potenten Anteil THC) KANN u.a. die Gefahr an einer psychotische Störungen oder an Schizophrenie zu erkranken massiv erhöhen.,ganz korrekt thc haltiges cannabis vorallem cannabis potent anteil thc u a gefahr psychotische störungen schizophrenie erkranken massiv erhöhen,,,,"{'Dies': 0, 'ist': 0.08, 'so': 0, 'nicht': 0.16, 'ganz': 0, 'korrekt': 0, 'THC-haltiges': 0, 'Cannabis': 1.0, 'vorallem': 1.0, 'mit': 0.62, 'einem': 0, 'sehr': 0.17, 'potenten': 0.23, 'Anteil': 0, 'THC': 0.16, 'KANN': 0.55, 'u.a.': 0, 'die': 0.07, 'Gefahr': 0, 'an': 0, 'einer': 0, 'psychotische': 0.1, 'Störungen': 0, 'oder': 0.08, 'Schizophrenie': 0.09, 'zu': 0, 'erkranken': 0, 'massiv': 0, 'erhöhen': 0}",positive,"[0.29749057, 0.09636763, 0.60614175]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @wanner_fabio: Macht ruhig das Referndum. 70-80% der Bevölkerung stehen hinter der Gleichstellung beim Rentenalter und sogar eine Erhöhu…,ruhig referndum bevölkerung stehen gleichstellung beim rentenalter sogar erhöhu,,,,,,,"{'Macht': 0, 'ruhig': 0, 'das': 0, 'Referndum': 0, 'der': 0.04, 'Bevölkerung': 0.07, 'stehen': 0, 'hinter': 0, 'Gleichstellung': 0.44, 'beim': 0.04, 'Rentenalter': 1.0, 'und': 0.28, 'sogar': 0.13, 'eine': 0, 'Erhöhu': 0.29, '…': 0}",positive,"[0.039844215, 0.0061083958, 0.95404744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @FWiedemeier: Mit der Weigerung, das #Frauenrentenalter anzupassen, zementiert man nur die Ungleichheit zwischen Mann und Frau! Und hind…",weigerung frauenrentenalter anpassen zementieren ungleichheit mann frau hind,,,,,,,"{'Mit': 0.22, 'der': 0.09, 'Weigerung': 0.93, 'das': 0, 'Frauenrentenalter': 0.6075, 'anzupassen': 0, 'zementiert': 0, 'man': 0, 'nur': 0.14, 'die': 0.09, 'Ungleichheit': 0.36, 'zwischen': 0.09, 'Mann': 0, 'und': 0.05, 'Frau': 0, 'Und': 0.05, 'hind': 0.09, '…': 0}",neutral,"[0.49445057, 0.32781893, 0.1777305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,positive,RT @papizeit: Yeah! Die Schweiz sagt klar JA zum #Vaterschaftsurlaub. Wir sind überglücklich und bedanken uns von ganzem 💙 für die grandios…,yeah schweiz sagen klaren ja vaterschaftsurlaub überglücklich bedanken ganz grandios,,,,,,,,,,"{'Yeah': 0.07, 'Die': 0.08, 'Schweiz': 0.16, 'sagt': 0.3, 'klar': 0, 'JA': 0.05, 'zum': 0.43, 'Vaterschaftsurlaub': 0.75, 'Wir': 0.11, 'sind': 0.06, 'überglücklich': 0.31, 'und': 0.05, 'bedanken': 0.07, 'uns': 0, 'von': 0, 'ganzem': 0, 'für': 0.04, 'die': 0.08, 'grandios': 0, '…': 0}",positive,"[0.0014898519, 0.001362843, 0.99714726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die ersten nationalen Hochrechnungen sehen ziemlich gut aus: &lt;60% Nein zum #BGI, &lt;60% Ja zm #Vaterschaftsurlaub und eine Nein-Tendenz zum #Jagdgesetz.
#Abst20",erst national hochrechnungen sehen ziemlich gut lt nein bgi lt ja zm vaterschaftsurlaub nein tendenz jagdgesetz abst20,,,,,,,,,,"{'Die': 0.06, 'ersten': 0.02, 'nationalen': 0.06, 'Hochrechnungen': 0.05, 'sehen': 0, 'ziemlich': 0.04, 'gut': 0, 'aus': 0, 'lt;60': 0, 'Nein': 0.24, 'zum': 0.065, 'BGI': 0.14, 'Ja': 0.41, 'zm': 0, 'Vaterschaftsurlaub': 0.89, 'und': 0.41, 'eine': 0, 'Nein-Tendenz': 0.195, 'Jagdgesetz': 0.125, 'Abst20': 0.22}",positive,"[0.11446712, 0.15023999, 0.7352929]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Meine Abstimmungsempfehlungen sehen übrigens (nach etwas langer Bedenkzeit bei einer Abstimmungen) wie folgt aus: 

National
❌#BGI
❌#Jagdgesetz
✅#Kinderabzüge
✅#Vaterschaftsurlaub
✅#NKF

Kantonal
✅x2 Abschaffung der #Schulpflege
✅#Energiegesetz

#abst20 https://t.co/3jxsPzIk8K",abstimmungsempfehlungen sehen übrigens lang bedenkzeit abstimmungen folgen national bgi jagdgesetz kinderabzüge vaterschaftsurlaub nkf kantonal x2 abschaffung schulpflege energiegesetz abst20,,,,,,,,,,"{'Meine': 0.02, 'Abstimmungsempfehlungen': 0.04, 'sehen': 0, 'übrigens': 0.0175, 'nach': 0.01, 'etwas': 0, 'langer': 0, 'Bedenkzeit': 0.015, 'bei': 0, 'einer': 0, 'Abstimmungen': 0.04, 'wie': 0, 'folgt': 0, 'aus': 0, 'National': 0.27, 'BGI': 0.1, 'Jagdgesetz': 0.06, 'Kinderabzüge': 0.34, 'Vaterschaftsurlaub': 1.0, 'NKF': 0.16, 'Kantonal': 0.15, 'x2': 0.13, 'Abschaffung': 0.12, 'der': 0.01, 'Schulpflege': 0.04, 'Energiegesetz': 0.05500000000000001, 'abst20': 0.16}",positive,"[0.25233394, 0.026506854, 0.72115916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @CVP_PDC: Heute vertritt @AGmur den Vaterschaftsurlaub in der #srfarena - nicht verpassen! Zur Vorbereitung noch in den Worten vom Vater…,heute vertreten vaterschaftsurlaub srfarena verpassen vorbereitung worten vater,,,,,,,,,,"{'Heute': 1.0, 'vertritt': 1.0, 'den': 0.05, 'Vaterschaftsurlaub': 0.885, 'in': 0.07, 'der': 0.05, 'srfarena': 0.24, 'nicht': 0, 'verpassen': 0.39, 'Zur': 0.05, 'Vorbereitung': 0.14, 'noch': 0, 'Worten': 0.15, 'vom': 0.05, 'Vater': 0.15, '…': 0}",positive,"[0.23344985, 0.013758349, 0.7527918]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @SandroBrotz: 2 Wochen #Vaterschaftsurlaub? (Die #srfarena dazu am Freitag.) #followerpower,wochen vaterschaftsurlaub srfarena freitag followerpower,,,,,,,,,,"{'Wochen': 0.17, 'Vaterschaftsurlaub': 1.0, 'Die': 0.15, 'srfarena': 0.14, 'dazu': 0, 'am': 0, 'Freitag': 0.07, 'followerpower': 0.08}",neutral,"[0.9330917, 0.027276516, 0.039631847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
