answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"Der Gewerbeverband scheint alles dran setzen zu wollen, damit die Steuervorlage 17 Schiffbruch erleidet: Erhöhung Rentenalter für Frauen auf 65 und Volksabstimmung zur Mehrwertsteuererhöhung. Da macht die @CVP_PDC nicht mit! https://t.co/V8b0lH7ezK",gewerbeverband scheinen dran setzen steuervorlage schiffbruch erleiden erhöhung rentenalter frauen volksabstimmung mehrwertsteuererhöhung,"{'Der': 0.25, 'Gewerbeverband': 0.05, 'scheint': 0.04, 'alles': 0.04, 'dran': 0, 'setzen': 0, 'zu': 0.14, 'wollen': 0.03, 'damit': 0.14, 'die': 0.25, 'Steuervorlage': 0.175, 'Schiffbruch': 0, 'erleidet': 0, 'Erhöhung': 0.37, 'Rentenalter': 0.6, 'für': 0.22, 'Frauen': 0.13, 'auf': 0, 'und': 0.23, 'Volksabstimmung': 0.45, 'zur': 0.195, 'Mehrwertsteuererhöhung': 0.275, 'Da': 0, 'macht': 0, 'nicht': 0, 'mit': 0}",neutral,"[0.496044, 0.4129086, 0.0910474]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Die Empfehlungen der CSPO für die Abstimmung vom 27. September 2020: 
❌NEIN zur #Begrenzungsinitiative 
✅JA zum #Jagdgesetz 
✅JA zum #Vaterschaftsurlaub
✅JA zu den #Kampfjets #NKF 
Stimmfreigabe bei den Steuerabzügen
#abst20 @CVP_PDC 
Als Videos: https://t.co/fJNzu4y53p https://t.co/m6pegjo23p",empfehlungen cspo abstimmung september nein begrenzungsinitiative ja jagdgesetz ja vaterschaftsurlaub ja kampfjets nkf stimmfreigabe steuerabzügen abst20 videos,,,,"{'Die': 0.07, 'Empfehlungen': 0.08, 'der': 0.07, 'CSPO': 0.07, 'für': 0.06, 'die': 0.07, 'Abstimmung': 0, 'vom': 0.07, '27.': 0, 'September': 0.02, 'NEIN': 0.22, 'zur': 0.085, 'Begrenzungsinitiative': 0.08499999999999999, 'JA': 0, 'zum': 0.085, 'Jagdgesetz': 0.38, 'Vaterschaftsurlaub': 1.0, 'zu': 0.1, 'den': 0.07, 'Kampfjets': 0.045, 'NKF': 0.07, 'Stimmfreigabe': 0.05, 'bei': 0, 'Steuerabzügen': 0.04, 'abst20': 0.14, 'Als': 0, 'Videos': 0.11}",positive,"[0.09444496, 0.031543564, 0.87401146]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,57.0,-0.075,neutral,"Weil er nicht wusste, woher 
#Raclette kommt, hat ihm die Gemeinde Freienbach die 
Einbürgerung verweigert. Zum Trost haben wir heute David Lewis zum grossen Raclette-Fest „Bagnes - Capitale de la Raclette“ eingeladen. https://t.co/jsAXspwkAE",wusste woher raclette kommen gemeinden freienbach einbürgerung verweigern trost heute david lewis grossen raclette fest bagnes capitale de la raclette einladen,,,,,,,"{'Weil': 0.03, 'er': 0.03, 'nicht': 0, 'wusste': 0, 'woher': 0.02, 'Raclette': 0, 'kommt': 0, 'hat': 0, 'ihm': 0.12, 'die': 0.04, 'Gemeinde': 0, 'Freienbach': 0.1, 'Einbürgerung': 1.0, 'verweigert': 0, 'Zum': 0.035, 'Trost': 0.11, 'haben': 0.03, 'wir': 0, 'heute': 0.03, 'David': 0.02, 'Lewis': 0.02, 'zum': 0.035, 'grossen': 0, 'Raclette-Fest': 0.055, '„': 0, 'Bagnes': 0, 'Capitale': 0, 'de': 0, 'la': 0, '“': 0, 'eingeladen': 0}",negative,"[0.0028653068, 0.9933373, 0.0037974662]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Erfolg bei der Beratung des Finanzausgleichs #NFA: Die Finanzkommission hat meinem Antrag zur Dotierung des Lastenausgleichs zugestimmt und kommt damit einem wichtigen Anliegen der Nehmerkantone entgegen. 
@kanal9wallis @1815_online @radio_rottu 
https://t.co/ilf4XRFg9k https://t.co/8GoXAPoPua",erfolg beratung finanzausgleichs nfa finanzkommission antrag dotierung lastenausgleichs zustimmen kommen wichtig anliegen nehmerkantone entgegen,,,,,,,,,,"{'Erfolg': 1.0, 'bei': 0, 'der': 0.03, 'Beratung': 0, 'des': 0, 'Finanzausgleichs': 0.215, 'NFA': 0.1, 'Die': 0.03, 'Finanzkommission': 0.07, 'hat': 0, 'meinem': 0.08, 'Antrag': 0.12, 'zur': 0.03, 'Dotierung': 0, 'Lastenausgleichs': 0, 'zugestimmt': 0, 'und': 0.04, 'kommt': 0, 'damit': 0.17, 'einem': 0, 'wichtigen': 0.05, 'Anliegen': 0, 'Nehmerkantone': 0.05, 'entgegen': 0}",positive,"[0.047581006, 0.005397929, 0.947021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Reform des nationalen Finanzausgleichs nicht auf dem Buckel der Nehmerkantone! 
Mein Kommentar zur laufenden Vernehmlassung zum 3. Wirksamkeitsbericht der NFA in der Zeitschrift Montagna. @Promontagna 
Artikel als pdf unter https://t.co/EjjnPgunTR https://t.co/x2uZmswG2T",reform national finanzausgleichs buckel nehmerkantone kommentar laufend vernehmlassung wirksamkeitsbericht nfa zeitschrift montagna artikel pdf,,,,,,,,,,"{'Reform': 1.0, 'des': 0, 'nationalen': 0.48, 'Finanzausgleichs': 0.63, 'nicht': 1.0, 'auf': 0.06, 'dem': 0.07, 'Buckel': 0, 'der': 0.07, 'Nehmerkantone': 0.21, 'Mein': 0.12, 'Kommentar': 0.21, 'zur': 0.07, 'laufenden': 0.11, 'Vernehmlassung': 0.13, 'zum': 0.07, '3.': 0, 'Wirksamkeitsbericht': 0.15, 'NFA': 0.18, 'in': 0.07, 'Zeitschrift': 0.1, 'Montagna': 0, 'Artikel': 0.16, 'als': 0.08, 'pdf': 0.25, 'unter': 0.08}",positive,"[0.017245587, 0.0044266786, 0.9783278]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.1333333333333333,neutral,"Der Ausbau der 5G-Mobilfunknetze wird erneut gebremst. Das ist schade. Denn gerade in den ländlichen Räumen hat 5G das Potenzial, den digitalen Graben zu überbrücken und neue Ansätze wie Smart villages, Smart farming usw. zu ermöglichen. #Digitalisierung
https://t.co/FY3YdxEGhp",ausbau g mobilfunknetze erneut bremsen schaden gerade ländlich räumen g potenzial digital graben überbrücken neue ansätze smart villages smart farming usw ermöglichen digitalisierung,,,,,,,,,,,,,"{'Der': 0.02, 'Ausbau': 0.25, 'der': 0.02, '5G-Mobilfunknetze': 0.5475, 'wird': 0, 'erneut': 0, 'gebremst': 0, 'Das': 0.02, 'ist': 0.02, 'schade': 0, 'Denn': 0, 'gerade': 0, 'in': 0.03, 'den': 0.02, 'ländlichen': 0.04, 'Räumen': 0, 'hat': 0, 'G': 0, 'das': 0, 'Potenzial': 0.03, 'digitalen': 0.06, 'Graben': 0, 'zu': 0.02, 'überbrücken': 0.02, 'und': 0.02, 'neue': 0.02, 'Ansätze': 0.03, 'wie': 0, 'Smart': 0.04, 'villages': 0.03, 'farming': 0.03, 'usw.': 0, 'ermöglichen': 0.03, 'Digitalisierung': 0.09}",positive,"[0.08420732, 0.39202997, 0.5237627]",,,,,,,,,,"{'Der': 0.04, 'Ausbau': 0.03, 'der': 0.04, '5G-Mobilfunknetze': 0.052500000000000005, 'wird': 0, 'erneut': 0, 'gebremst': 0, 'Das': 0.04, 'ist': 0.02, 'schade': 0, 'Denn': 0, 'gerade': 0, 'in': 0.02, 'den': 0.04, 'ländlichen': 0.01, 'Räumen': 0, 'hat': 0, 'G': 0, 'das': 0, 'Potenzial': 0.08, 'digitalen': 0.05, 'Graben': 0, 'zu': 0.05, 'überbrücken': 0.03, 'und': 0.03, 'neue': 0.03, 'Ansätze': 0.05, 'wie': 0, 'Smart': 0.07, 'villages': 0.04, 'farming': 0.04, 'usw.': 0, 'ermöglichen': 0.11, 'Digitalisierung': 1.0}",positive,"[0.39448008, 0.008776637, 0.5967433]",,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.425,neutral,"Sehr lesenswertes Interview mit BR Sommaruga: die Energiewende kann auch ohne Zwang und Verbote gelingen. Wichtig ist vielmehr die Förderung der einheimischen erneuerbaren Energieträger, allen voran Solar und Wasserkraft. Zudem besteht noch ein erhebliches Potenzial beim Holz! https://t.co/YivLcNrhlo",lesenswert interview br sommaruga energiewende zwingen verbote gelingen wichtig vielmehr förderung einheimisch erneuerbaren energieträger voran solar wasserkraft zudem bestehen erheblich potenzial beim holz,,,,,,,,,,,,,,,,"{'Sehr': 0, 'lesenswertes': 0.02, 'Interview': 0.03, 'mit': 0.05, 'BR': 0.03, 'Sommaruga': 0.05, 'die': 0.03, 'Energiewende': 0.085, 'kann': 0.02, 'auch': 0.01, 'ohne': 0.02, 'Zwang': 0, 'und': 0.04, 'Verbote': 0.08, 'gelingen': 0.03, 'Wichtig': 0.13, 'ist': 0.02, 'vielmehr': 0, 'Förderung': 0, 'der': 0.03, 'einheimischen': 0, 'erneuerbaren': 1.0, 'Energieträger': 0.13, 'allen': 0, 'voran': 0, 'Solar': 0.08, 'Wasserkraft': 0.15, 'Zudem': 0.04, 'besteht': 0, 'noch': 0.04, 'ein': 0, 'erhebliches': 0.03, 'Potenzial': 0.05, 'beim': 0.03, 'Holz': 0.08}",positive,"[0.00289733, 0.0017349747, 0.99536777]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,Interessant. Die SVP will kein E-Voting... https://t.co/CfIWKZl8WR,interessant svp e voting,,,,,,,,,,,,,,,,,,,"{'Interessant': 0.97, 'Die': 1.0, 'SVP': 0, 'will': 0, 'kein': 0, 'E-Voting': 0, '...': 0}",positive,"[0.25576755, 0.121871024, 0.62236136]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.6999999999999998,neutral,"Wie stark sind eigentlich die Luftstreitkräfte in Europa? Die Analyse zeigt: die Schweiz als neutraler Staat muss ihren Luftraum selber mit modernen, leistungsfähigen Kampfflugzeugen sichern können. Drohnen oder Trainingsflugzeuge sind keine valable Alternative. #abst20 #nkf https://t.co/VXyr7Cz1Is",stark eigentlich luftstreitkräfte europa analyse zeigen schweiz neutral staat luftraum selber modern leistungsfähig kampfflugzeugen sichern drohnen trainingsflugzeuge valable alternative abst20 nkf,,,,,,,,,,,,,,,,,,,,,,"{'Wie': 0.03, 'stark': 0, 'sind': 0.05, 'eigentlich': 0, 'die': 0.03, 'Luftstreitkräfte': 0.05, 'in': 0.02, 'Europa': 0.05, 'Die': 0.03, 'Analyse': 0.09, 'zeigt': 0, 'Schweiz': 0.13, 'als': 0.03, 'neutraler': 0.05, 'Staat': 0.08, 'muss': 0.09, 'ihren': 0, 'Luftraum': 0.32, 'selber': 0, 'mit': 0.37, 'modernen': 1.0, 'leistungsfähigen': 0, 'Kampfflugzeugen': 0, 'sichern': 0.09, 'können': 0.08, 'Drohnen': 0.08, 'oder': 0.05, 'Trainingsflugzeuge': 0, 'keine': 0, 'valable': 0, 'Alternative': 0.08, 'abst20': 0.07, 'nkf': 0.05}",neutral,"[0.42938402, 0.24778238, 0.32283357]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Die Kolumne stammt zwar aus dem letzten Jahr. Sie hat aber nichts an Aktualität eingebüsst. Die Schweiz braucht ein neues, leistungsfähiges Kampfflugzeug. Deshalb am 27. September 2020 JA zum Bundesbeschluss über die Beschaffung neuer Kampfflugzeuge. #abst20 #NKF https://t.co/DazggVefQE",kolumne stammen letzt jahr aktualität eingebüsst schweiz brauchen neu leistungsfähig kampfflugzeug deshalb september ja bundesbeschluss beschaffung neu kampfflugzeuge abst20 nkf,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.09, 'Kolumne': 0.09, 'stammt': 0, 'zwar': 0.04, 'aus': 0, 'dem': 0.065, 'letzten': 0.03, 'Jahr': 0.03, 'Sie': 0, 'hat': 0, 'aber': 0.04, 'nichts': 0, 'an': 0, 'Aktualität': 0.19, 'eingebüsst': 0, 'Schweiz': 0.13, 'braucht': 0.3, 'ein': 0, 'neues': 0.06, 'leistungsfähiges': 1.0, 'Kampfflugzeug': 1.0, 'Deshalb': 0.32, 'am': 0, '27.': 0, 'September': 0.05, 'JA': 0, 'zum': 0.065, 'Bundesbeschluss': 0.1, 'über': 0, 'die': 0.09, 'Beschaffung': 0.09, 'neuer': 0, 'Kampfflugzeuge': 0, 'abst20': 0.13, 'NKF': 0.09}",positive,"[0.0017443947, 0.0026915437, 0.9955641]",,,,,,,,,,,,,,,,positive
