answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Zukunftsfähiger wäre Rentenalter 67 für beide. Die @jglp_ag  setzt sich für eine umfassende Gleichberechtigung in allen Bereichen ein, ebenso stehen wir ein für eine stabile und nachhaltige Entwicklung der AHV. #Esistzeit #WahlCH19 #Liste6b https://t.co/xqSMhlr6qr",zukunftsfähiger rentenalter beid setzen umfassend gleichberechtigung bereichen ebenso stehen stabile nachhaltig entwicklung ahv esistzeit wahlch19 liste6b,"{'Zukunftsfähiger': 0.5, 'wäre': 0.35, 'Rentenalter': 0.925, 'für': 0.09, 'beide': 0.19, 'Die': 0.08, 'setzt': 0, 'sich': 0, 'eine': 0, 'umfassende': 0.16, 'Gleichberechtigung': 0, 'in': 0.06, 'allen': 0, 'Bereichen': 0.08, 'ein': 0, 'ebenso': 0, 'stehen': 0, 'wir': 0, 'stabile': 0.08, 'und': 0.07, 'nachhaltige': 0.44, 'Entwicklung': 0.14, 'der': 0.08, 'AHV': 0.12, 'Esistzeit': 0.05, 'WahlCH19': 0, 'Liste6b': 0}",positive,"[0.0051694294, 0.004972942, 0.9898577]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Sozialversicherungen nicht nur auf dem Buckel der Jungen. Da stimme ich Petra Gössi zu. Die systemwidrige Umverteilung in der Pensionskasse muss gestoppt werden. Ebenfalls braucht die AHV dringend Reformen, so etwa die Rentenaltererhöhung. #SRFArena #esistzeit #jglp",sozialversicherungen buckel jung stimme petra gössi systemwidrige umverteilung pensionskasse stoppen ebenfalls brauchen ahv dringen reformen etwa rentenaltererhöhung srfarena esistzeit jglp,"{'Sozialversicherungen': 0.03, 'nicht': 0.02, 'nur': 0.02, 'auf': 0.03, 'dem': 0.24, 'Buckel': 0, 'der': 0.45, 'Jungen': 0, 'Da': 0, 'stimme': 0, 'ich': 0.02, 'Petra': 0.03, 'Gössi': 0, 'zu': 0.03, 'Die': 0.45, 'systemwidrige': 0, 'Umverteilung': 0.09, 'in': 0.04, 'Pensionskasse': 0.095, 'muss': 0.03, 'gestoppt': 0.14, 'werden': 0, 'Ebenfalls': 0, 'braucht': 0.28, 'die': 0.45, 'AHV': 0.06, 'dringend': 0.13, 'Reformen': 0.45, 'so': 0, 'etwa': 0, 'Rentenaltererhöhung': 0.8400000000000001, 'SRFArena': 0.11, 'esistzeit': 0.12, 'jglp': 0.08}",positive,"[0.027733695, 0.0060483115, 0.966218]",,,,"{'Sozialversicherungen': 0.01, 'nicht': 0.05, 'nur': 0.06, 'auf': 0.02, 'dem': 0.030000000000000002, 'Buckel': 0, 'der': 0.05, 'Jungen': 0, 'Da': 0, 'stimme': 0, 'ich': 0.03, 'Petra': 0.04, 'Gössi': 0, 'zu': 0.01, 'Die': 0.05, 'systemwidrige': 0, 'Umverteilung': 0.07, 'in': 0.03, 'Pensionskasse': 0.04, 'muss': 0.01, 'gestoppt': 0.09, 'werden': 0, 'Ebenfalls': 0, 'braucht': 1.0, 'die': 0.05, 'AHV': 0.33, 'dringend': 0.48, 'Reformen': 0.57, 'so': 0, 'etwa': 0, 'Rentenaltererhöhung': 0.055, 'SRFArena': 0.06, 'esistzeit': 0.06, 'jglp': 0.04}",negative,"[0.13994971, 0.76643133, 0.093618944]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,,,,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @FlavienGousset: Beim #Vaterschaftsurlaub von Geschenk reden und gleichzeitig den Kinderabzug-Bschiss befürworten, der den reichsten Fam…",beim vaterschaftsurlaub geschenk reden gleichzeitig kinderabzug bschiss befürworten reich fam,,,,"{'Beim': 0.05, 'Vaterschaftsurlaub': 1.0, 'von': 0, 'Geschenk': 0, 'reden': 0, 'und': 0.15, 'gleichzeitig': 0, 'den': 0.04, 'Kinderabzug-Bschiss': 0.05, 'befürworten': 0, 'der': 0.04, 'reichsten': 0.05, 'Fam': 0.04, '…': 0}",neutral,"[0.9474009, 0.013658461, 0.03894061]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Sozialversicherungen nicht nur auf dem Buckel der Jungen. Da stimme ich Petra Gössi zu. Die systemwidrige Umverteilung in der Pensionskasse muss gestoppt werden. Ebenfalls braucht die AHV dringend Reformen, so etwa die Rentenaltererhöhung. #SRFArena #esistzeit #jglp",sozialversicherungen buckel jung stimme petra gössi systemwidrige umverteilung pensionskasse stoppen ebenfalls brauchen ahv dringen reformen etwa rentenaltererhöhung srfarena esistzeit jglp,"{'Sozialversicherungen': 0.03, 'nicht': 0.02, 'nur': 0.02, 'auf': 0.03, 'dem': 0.24, 'Buckel': 0, 'der': 0.45, 'Jungen': 0, 'Da': 0, 'stimme': 0, 'ich': 0.02, 'Petra': 0.03, 'Gössi': 0, 'zu': 0.03, 'Die': 0.45, 'systemwidrige': 0, 'Umverteilung': 0.09, 'in': 0.04, 'Pensionskasse': 0.095, 'muss': 0.03, 'gestoppt': 0.14, 'werden': 0, 'Ebenfalls': 0, 'braucht': 0.28, 'die': 0.45, 'AHV': 0.06, 'dringend': 0.13, 'Reformen': 0.45, 'so': 0, 'etwa': 0, 'Rentenaltererhöhung': 0.8400000000000001, 'SRFArena': 0.11, 'esistzeit': 0.12, 'jglp': 0.08}",positive,"[0.027733695, 0.0060483115, 0.966218]",,,,"{'Sozialversicherungen': 0.01, 'nicht': 0.05, 'nur': 0.06, 'auf': 0.02, 'dem': 0.030000000000000002, 'Buckel': 0, 'der': 0.05, 'Jungen': 0, 'Da': 0, 'stimme': 0, 'ich': 0.03, 'Petra': 0.04, 'Gössi': 0, 'zu': 0.01, 'Die': 0.05, 'systemwidrige': 0, 'Umverteilung': 0.07, 'in': 0.03, 'Pensionskasse': 0.04, 'muss': 0.01, 'gestoppt': 0.09, 'werden': 0, 'Ebenfalls': 0, 'braucht': 1.0, 'die': 0.05, 'AHV': 0.33, 'dringend': 0.48, 'Reformen': 0.57, 'so': 0, 'etwa': 0, 'Rentenaltererhöhung': 0.055, 'SRFArena': 0.06, 'esistzeit': 0.06, 'jglp': 0.04}",negative,"[0.13994971, 0.76643133, 0.093618944]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@benjigautschi @CR_Schmid @MarcoZueri * Warum muss man Schweizer sein zum mitbestimmen? Ausgenommen Bundesebene aufgrund Sicherheitsinteressen. Ich finde den Ansatz Einbürgerungshürden zu verschärfen dafür auch Ausländer abstimmen zu lassen zielführender.,warum schweizer mitbestimmen ausnehmen bundesebene aufgrund sicherheitsinteressen finden ansatz einbürgerungshürden verschärfen dafür ausländer abstimmen lassen zielführender,,,,,,,,,,"{'Warum': 0.02, 'muss': 0.06, 'man': 0, 'Schweizer': 0.04, 'sein': 0, 'zum': 0.105, 'mitbestimmen': 0, 'Ausgenommen': 0, 'Bundesebene': 0.05, 'aufgrund': 0.32, 'Sicherheitsinteressen': 0.08, 'Ich': 0.03, 'finde': 0, 'den': 0.15, 'Ansatz': 0, 'Einbürgerungshürden': 0.765, 'zu': 0.06, 'verschärfen': 0, 'dafür': 0, 'auch': 0, 'Ausländer': 0.18, 'abstimmen': 0.25, 'lassen': 0, 'zielführender': 0.06}",neutral,"[0.56093323, 0.20476545, 0.23430134]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @Tobias_Voegeli: Pseudo fortschrittlich. Zu einer #EhefürAlle gehört auch der Zugang zur Fortpflanzungsmedizin - gleiche Rechte für alle…,pseudo fortschrittlich ehefüralle hören zugang fortpflanzungsmedizin gleich rechte all,,,,,,,,,,,,,"{'Pseudo': 0.05, 'fortschrittlich': 0.06, 'Zu': 1.0, 'einer': 0, 'EhefürAlle': 0.14500000000000002, 'gehört': 0, 'auch': 0.18, 'der': 0, 'Zugang': 1.0, 'zur': 1.0, 'Fortpflanzungsmedizin': 0.28500000000000003, 'gleiche': 0, 'Rechte': 0, 'für': 0.2, 'alle': 0, '…': 0}",positive,"[0.008048704, 0.0016123065, 0.990339]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Unverständlicher Entscheid. Wir @jglp_ag fordern echte Gleichstellung aller Lebensformen. Wir leben im Jahr 2019 (!).Dazu gehört auch der Zugang zur Fortpflanzungsmedizin. Für neue Machtverhältnisse im Parlament brauchen wir eure Stimme. #WahlCH19  #esistzeit  #liste6b https://t.co/Bn6TaJVKsf,unverständlich entscheid fordern echte gleichstellung all lebensformen leben jahr hören zugang fortpflanzungsmedizin neue machtverhältnisse parlament brauchen stimme wahlch19 esistzeit liste6b,,,,,,,,,,,,,"{'Unverständlicher': 0.24, 'Entscheid': 0.09, 'Wir': 0.07, 'fordern': 0.14, 'echte': 0.06, 'Gleichstellung': 0.16, 'aller': 0, 'Lebensformen': 0.055, 'leben': 0.05, 'im': 0, 'Jahr': 0, '.Dazu': 0, 'gehört': 0, 'auch': 0, 'der': 0, 'Zugang': 1.0, 'zur': 0.56, 'Fortpflanzungsmedizin': 0.63, 'Für': 0.08, 'neue': 0.09, 'Machtverhältnisse': 0.12, 'Parlament': 0.09, 'brauchen': 0.34, 'wir': 0, 'eure': 0.09, 'Stimme': 0, 'WahlCH19': 0, 'esistzeit': 0.14, 'liste6b': 0.19}",positive,"[0.14105316, 0.0031362772, 0.8558106]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @christian_z87: Die glp sagt JA zu neuen Kampfflugzeugen #DVglpCH

Die #Delegiertenversammlung der @grunliberale beschliesst mit 82 Ja z…",glp sagen ja neu kampfflugzeugen dvglpch delegiertenversammlung beschliesst ja z,,,,,,,,,,,,,,,,"{'Die': 0.08, 'glp': 0.26, 'sagt': 0.19, 'JA': 0, 'zu': 0.46, 'neuen': 1.0, 'Kampfflugzeugen': 0, 'DVglpCH': 0.33, 'Delegiertenversammlung': 0.15, 'der': 0.08, 'beschliesst': 0.16, 'mit': 0.07, 'Ja': 0, 'z': 0.07, '…': 0}",positive,"[0.042402603, 0.00831271, 0.94928473]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @andibisig: Der @FDP_Liberalen nicht nur im #Umweltschutz um Längen voraus, sondern auch in der #Wirtschaftspolitik. #EsistZeit für nach…",umweltschutz längen voraus wirtschaftspolitik esistzeit,,,,,,,,,,,,,,,,,,,"{'Der': 0, 'nicht': 0.27, 'nur': 0.33, 'im': 0, 'Umweltschutz': 0.7, 'um': 0, 'Längen': 0, 'voraus': 0.16, 'sondern': 0.31, 'auch': 0.28, 'in': 0.16, 'der': 0, 'Wirtschaftspolitik': 0.2, 'EsistZeit': 0, 'für': 0.09, 'nach': 0.07, '…': 0}",positive,"[0.0026035917, 0.0018672455, 0.9955291]",neutral
