answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@wanner_fabio Diese Tools sind problematisch für differenziert denkende Menschen: zB. soll der Bund mehr für die Kinderbetreuung machen? Was, wenn man dies als Aufgabe der Gemeinden sieht?",tools problematisch differenzieren denkend menschen zb bund mehr kinderbetreuung aufgabe gemeinden sehen,"{'Diese': 0.04, 'Tools': 0.08, 'sind': 0.02, 'problematisch': 0.05, 'für': 0.03, 'differenziert': 0, 'denkende': 0, 'Menschen': 0.02, 'zB.': 0, 'soll': 0, 'der': 0.02, 'Bund': 0, 'mehr': 0.41, 'die': 0.02, 'Kinderbetreuung': 1.0, 'machen': 0.29, 'Was': 0, 'wenn': 0.05, 'man': 0, 'dies': 0, 'als': 0.02, 'Aufgabe': 0.09, 'Gemeinden': 0, 'sieht': 0}",neutral,"[0.81187487, 0.16511092, 0.023014233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"@BObrist Weil genau diese Familien die vollen Krankenkassenprämien, die vollen Kosten der Kinderbetreuung, Zahnarztrechnungen, Mieten, Steuern etc. zahlen müssen, sodass Ende Monat nicht mehr viel übrig bleibt.",genau familien voll krankenkassenprämien voll kosten kinderbetreuung zahnarztrechnungen mieten steuern etc zahlen müssen sodass ende monat mehr übrig bleiben,"{'Weil': 0.04, 'genau': 0, 'diese': 0, 'Familien': 0, 'die': 0.03, 'vollen': 0.13, 'Krankenkassenprämien': 0.14250000000000002, 'Kosten': 0, 'der': 0.03, 'Kinderbetreuung': 1.0, 'Zahnarztrechnungen': 0.225, 'Mieten': 0, 'Steuern': 0, 'etc.': 0, 'zahlen': 0, 'müssen': 0.045, 'sodass': 0.065, 'Ende': 0.02, 'Monat': 0.07, 'nicht': 0, 'mehr': 0, 'viel': 0, 'übrig': 0.04, 'bleibt': 0}",neutral,"[0.8562113, 0.074012645, 0.06977604]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@SeverinLuescher @CptMetal Es hängt sicher davon ab, wie viele Kinder zu betreuen sind und ob nun Fernunterricht stattfindet oder die Schule in den Ferienmodus übergeht. Kinderbetreuung erfordert nicht gleich viel Vorbereitungs- und Nachbereitungszeit wie Unterricht",hängen sichern davon ab kinder betreuen fernunterricht stattfinden schule ferienmodus übergehen kinderbetreuung erfordern gleichen vorbereitungs nachbereitungszeit unterricht,"{'Es': 0.02, 'hängt': 0, 'sicher': 0, 'davon': 0, 'ab': 0, 'wie': 0.04, 'viele': 0, 'Kinder': 0.01, 'zu': 0.02, 'betreuen': 0, 'sind': 0, 'und': 0.15, 'ob': 0, 'nun': 0, 'Fernunterricht': 0.01, 'stattfindet': 0.01, 'oder': 0.03, 'die': 0.02, 'Schule': 0.02, 'in': 0, 'den': 0.02, 'Ferienmodus': 0.03, 'übergeht': 0, 'Kinderbetreuung': 0.58, 'erfordert': 0, 'nicht': 1.0, 'gleich': 0, 'viel': 0, 'Vorbereitungs-': 0, 'Nachbereitungszeit': 0.13, 'Unterricht': 0}",neutral,"[0.6852504, 0.02856042, 0.28618923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Die Debatte um die Kinderbetreuung im #GrossratAG erinnert teilweise der Debatte um die Einführung der Schulpflicht im 19. Jahrhundert.,debatte kinderbetreuung grossratag erinnern teilweise debatte einführung schulpflicht jahrhundert,"{'Die': 0.03, 'Debatte': 0.27, 'um': 0, 'die': 0.03, 'Kinderbetreuung': 0.63, 'im': 0, 'GrossratAG': 0.2, 'erinnert': 0, 'teilweise': 0, 'der': 0.03, 'Einführung': 0.08, 'Schulpflicht': 0.055, '19.': 0, 'Jahrhundert': 0.04}",neutral,"[0.8679898, 0.10292945, 0.029080782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Im #Aargau werden Familien auch weiterhin die Möglichkeit haben zu entscheiden, ob sie in eine Gemeinde mit oder ohne Kinderbetreuung wollen",aargau familien weiterhin möglichkeit entscheiden gemeinden kinderbetreuung,"{'Im': 0, 'Aargau': 0.06, 'werden': 0.03, 'Familien': 0, 'auch': 0, 'weiterhin': 0, 'die': 0.02, 'Möglichkeit': 0.04, 'haben': 0.065, 'zu': 0.11, 'entscheiden': 0.08, 'ob': 0, 'sie': 0, 'in': 0.02, 'eine': 0, 'Gemeinde': 0.23, 'mit': 0.26, 'oder': 0.72, 'ohne': 1.0, 'Kinderbetreuung': 1.0, 'wollen': 0.09}",neutral,"[0.94693035, 0.010113066, 0.04295653]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Einmal mehr diskutiert der #GrossratAG über familienergänzende Kinderbetreuung - wir leben wohl in einem #Aargau der zwei Realitäten,mehr diskutieren grossratag familienergänzende kinderbetreuung leben wohl aargau zwei realitäten,"{'Einmal': 0.13, 'mehr': 0, 'diskutiert': 0, 'der': 0.27, 'GrossratAG': 0.69, 'über': 0, 'familienergänzende': 0, 'Kinderbetreuung': 0.9, 'wir': 0, 'leben': 0, 'wohl': 0, 'in': 0.06, 'einem': 0, 'Aargau': 0.17, 'zwei': 0.06, 'Realitäten': 0.14}",positive,"[0.0033575464, 0.0015239911, 0.9951185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.54,neutral,"@Jungfreisinnige Liberalisierung mag ja gut sein, aber dann bitte auch koppeln mit Verantwortung. Da warte ich noch auf überzeugende Konzepte. Wie kann verhindert werden, dass die Sozialämter junge Cannabiskonsumenten unterstützen müssen, die ob ihrer Sucht Schule und Beruf an den Nagel hängen?",liberalisierung mögen ja gut bitte koppeln verantwortung warten überzeugend konzepte verhindern sozialämter junge cannabiskonsumenten unterstützen müssen suchen schule beruf nagel hängen,,,,"{'Liberalisierung': 0.35, 'mag': 0, 'ja': 0.12, 'gut': 0, 'sein': 0, 'aber': 0.13, 'dann': 0.05, 'bitte': 0, 'auch': 0.08, 'koppeln': 0, 'mit': 0.13, 'Verantwortung': 0.2, 'Da': 0, 'warte': 0, 'ich': 0.06, 'noch': 0.08, 'auf': 0, 'überzeugende': 0.1, 'Konzepte': 0.16, 'Wie': 0, 'kann': 0.07, 'verhindert': 0.09, 'werden': 0, 'dass': 0, 'die': 0, 'Sozialämter': 0.295, 'junge': 0, 'Cannabiskonsumenten': 1.0, 'unterstützen': 0.43, 'müssen': 0.09, 'ob': 0, 'ihrer': 0.09, 'Sucht': 0, 'Schule': 0.35, 'und': 0.12, 'Beruf': 0, 'an': 0, 'den': 0, 'Nagel': 0, 'hängen': 0}",neutral,"[0.638994, 0.0538208, 0.30718517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@karl_rieder @narimoldi Tabak eignet sich nicht als Vergleich -&gt; AHV aber grundsätzlich wäre es möglich. Schwierig ist es allerdings, dass Cannabis viel einfacher herzustellen ist als Zigaretten",tabak eignen vergleich gt ahv grundsätzlich möglich schwierig allerdings cannabis einfach herstellen zigaretten,,,,"{'Tabak': 0.37, 'eignet': 0.16, 'sich': 0, 'nicht': 0.24, 'als': 0.14, 'Vergleich': 0.2, '-&gt': 0, 'AHV': 0, 'aber': 0.05, 'grundsätzlich': 0, 'wäre': 0.03, 'es': 0.6, 'möglich': 0.05, 'Schwierig': 0.58, 'ist': 0.6, 'allerdings': 0, 'dass': 0.39, 'Cannabis': 1.0, 'viel': 0.07, 'einfacher': 0.54, 'herzustellen': 0.13, 'Zigaretten': 0.51}",positive,"[0.14665149, 0.1807968, 0.6725517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@Ralforce @SZ Alkohol&amp;Tabak lassen sich einfacher besteuern als Cannabis, das jeder selber anbauen kann. Welcher THC-Gehalt soll es sein? Wie kann der Jugendschutz sichergestellt werden? Lassen sich die gesundheitlichen Folgen bei Alkohol, Tabak und leichten und harten Drogen gleichsetzten?",alkohol amp tabak lassen einfach besteuern cannabis jed selber anbauen welch thc gehalt jugendschutz sicherstellen lassen gesundheitlich folgen alkohol tabak leicht harten drogen gleichsetzen,,,,"{'Alkohol&amp;Tabak': 0.045, 'lassen': 0, 'sich': 0, 'einfacher': 0.05, 'besteuern': 0.03, 'als': 0, 'Cannabis': 0.05, 'das': 0, 'jeder': 0, 'selber': 0, 'anbauen': 0, 'kann': 1.0, 'Welcher': 0.04, 'THC-Gehalt': 0.07, 'soll': 0, 'es': 0, 'sein': 0, 'Wie': 0, 'der': 0.12, 'Jugendschutz': 0.0675, 'sichergestellt': 0.08, 'werden': 0, 'Lassen': 0, 'die': 0.12, 'gesundheitlichen': 0, 'Folgen': 0, 'bei': 0, 'Alkohol': 0.03, 'Tabak': 0.05, 'und': 0.13, 'leichten': 0.04, 'harten': 0, 'Drogen': 0.07, 'gleichsetzten': 0}",neutral,"[0.8223832, 0.03279263, 0.14482413]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@MonikaBuetler Hatte das tiefere Rentenalter nicht den profanen Grund, dass die Männer häufig etwas jüngere Frauen geheiratet hatten und dann gemeinsam in Rente gehen wollten?",tief rentenalter profan grund männer häufig jung frauen heiraten gemeinsam rente gehen,,,,,,,"{'Hatte': 0.12, 'das': 0.09, 'tiefere': 0, 'Rentenalter': 0.515, 'nicht': 0, 'den': 0.08, 'profanen': 0, 'Grund': 0, 'dass': 0.09, 'die': 0.08, 'Männer': 0.09, 'häufig': 0.11, 'etwas': 0, 'jüngere': 0.03, 'Frauen': 0.03, 'geheiratet': 0.04, 'hatten': 0.12, 'und': 0.05, 'dann': 0.03, 'gemeinsam': 0.04, 'in': 0, 'Rente': 0, 'gehen': 0, 'wollten': 0.065}",negative,"[0.4224429, 0.56135046, 0.016206669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
