answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,neutral,"Praktisch FakeNews im Titel. Alles ist erlaubt, um dem Volk in Sachen Rentenalter und Altersvorsorge die Rechte! Denke einzutrichtern.

Unstatistik: «Senioren in Überzahl»: https://t.co/u5QVkSHsih via @infosperber",praktisch fakenews titel erlauben volk sachen rentenalter altersvorsorge rechte denken eintrichtern unstatistik senioren überzahl via,"{'Praktisch': 0, 'FakeNews': 0, 'im': 0, 'Titel': 0.04, 'Alles': 0.12, 'ist': 0.06, 'erlaubt': 0, 'um': 0, 'dem': 0.045, 'Volk': 0.11, 'in': 0, 'Sachen': 0, 'Rentenalter': 0.41500000000000004, 'und': 1.0, 'Altersvorsorge': 0.575, 'die': 0.05, 'Rechte': 0, 'Denke': 0.07, 'einzutrichtern': 0.04, 'Unstatistik': 0, '«': 0, 'Senioren': 0, 'Überzahl': 0, '»': 0, 'via': 0}",positive,"[0.39547035, 0.026398284, 0.5781313]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@patrik_mueller Also zu Rentenaltersfragen,rentenaltersfragen,"{'Also': 0, 'zu': 0, 'Rentenaltersfragen': 0.8875}",negative,"[0.4684892, 0.4804203, 0.051090494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,RT @JayBadran: @faznet So ein Quatsch. Gemeinnütziger Wohnungsbau ( richtig gemacht) ist immer Big Business für die Gemeinden. Wieso sollte…,quatsch gemeinnützig wohnungsbau richtig immer big business gemeinden wieso sollen,,,,"{'So': 0, 'ein': 0, 'Quatsch': 0.14, 'Gemeinnütziger': 0, 'Wohnungsbau': 0.17, 'richtig': 0, 'gemacht': 0, 'ist': 0.1, 'immer': 0.09, 'Big': 0.07, 'Business': 0.07, 'für': 0.08, 'die': 0, 'Gemeinden': 0, 'Wieso': 0, 'sollte': 1.0, '…': 0}",positive,"[0.18527992, 0.19803321, 0.6166868]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"Obergösgen macht's vor!
58,5% Nein zur kantonalen Steuersenkungsvorlage -
Höchstes Nein in der Region (abgesehen von einer Kleinstgemeinde)
I ha euch eifach gern!",obergösgen s nein kantonalen steuersenkungsvorlage hoch nein region absehen kleinstgemeinde i ha eifach gern,,,,,,,"{'Obergösgen': 0, ""macht's"": 0, 'vor': 0, '58,5': 0, 'Nein': 0.21, 'zur': 0.05500000000000001, 'kantonalen': 0.11, 'Steuersenkungsvorlage': 0.11, 'Höchstes': 0.1, 'in': 0.07, 'der': 0.04, 'Region': 0.1, 'abgesehen': 0.11, 'von': 0.07, 'einer': 0.06, 'Kleinstgemeinde': 0, 'I': 0.35, 'ha': 0, 'euch': 0.5, 'eifach': 0, 'gern': 0}",positive,"[0.007607239, 0.005569408, 0.9868233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@josef_lang @hansjaaggi @stafnein @neue_wege Die Sperrspitze der Steuersenkungsidee ist hier im Kanton Solothurn ist eine grüne Regierungsrätin. Diese Vorlage hier ist das Problem, das andere ist pure AHV-Demontage",sperrspitze steuersenkungsidee kanton solothurn grüne regierungsrätin vorlage problem pur ahv demontage,,,,,,,"{'Die': 0.04, 'Sperrspitze': 0, 'der': 0.04, 'Steuersenkungsidee': 0.8674999999999999, 'ist': 0.09, 'hier': 0.29, 'im': 0, 'Kanton': 0.09, 'Solothurn': 0.14, 'eine': 0, 'grüne': 0.08, 'Regierungsrätin': 0.12, 'Diese': 0.07, 'Vorlage': 0.1, 'das': 0, 'Problem': 0.32, 'andere': 0, 'pure': 0.14, 'AHV-Demontage': 0}",positive,"[0.01346246, 0.1807956, 0.8057419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@jonasprojer @bglaettli @GrueneCH Eigentlich geht es ja nur um parteipolitische Profilierung. Auf Kosten der AHV. Und im Kanton Solothurn tritt dann die grüne Regierungsrätin zuvorderst für eine wirklich dramatische Steuersenkung für Unternehmen ein. Und noch der grössere Mix in der Abstimmungsvorlage.,eigentlich gehen ja parteipolitische profilierung kosten ahv kanton solothurn tritt grüne regierungsrätin zuvorderst wirklich dramatische steuersenkung unternehmen grössere mix abstimmungsvorlage,,,,,,,"{'Eigentlich': 0.04, 'geht': 0, 'es': 0, 'ja': 0.07, 'nur': 0, 'um': 0.34, 'parteipolitische': 0.05, 'Profilierung': 0.09, 'Auf': 0, 'Kosten': 0, 'der': 0.05, 'AHV': 0.09, 'Und': 0.07, 'im': 0, 'Kanton': 0.09, 'Solothurn': 0.14, 'tritt': 0, 'dann': 0, 'die': 0.05, 'grüne': 0.06, 'Regierungsrätin': 0.1, 'zuvorderst': 0.07500000000000001, 'für': 0.16, 'eine': 0, 'wirklich': 0.76, 'dramatische': 1.0, 'Steuersenkung': 0.77, 'Unternehmen': 0, 'ein': 0, 'noch': 0, 'grössere': 0.05, 'Mix': 0.07, 'in': 0.03, 'Abstimmungsvorlage': 0.13}",negative,"[0.010000067, 0.6591286, 0.3308713]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.4,negative,"@hapemathys Das ist klassische PR. Gut, dass wenigstens der Mindestlohn gut sein soll. Das sagt eigentlich wenig aus. Wenn du dann 30 Jahre beim Mindestlohn bleibst, eine schlechte Pensionskasse hast, ist das weder lustig, noch eine Werbung wert. Die Lohnausgaben pro Kopf wäre relevant",klassische pr gut wenigstens mindestlohn gut sagen eigentlich wenig jahre beim mindestlohn bleiben schlecht pensionskasse weder lustig werbung wert lohnausgaben pro kopf relevant,,,,,,,,,,"{'Das': 0.03, 'ist': 0.02, 'klassische': 0.05, 'PR': 0.05, 'Gut': 0, 'dass': 0.05, 'wenigstens': 0.3, 'der': 0.03, 'Mindestlohn': 0.03, 'gut': 0, 'sein': 0, 'soll': 0, 'sagt': 0.06, 'eigentlich': 0.06, 'wenig': 0.13, 'aus': 0, 'Wenn': 0, 'du': 0, 'dann': 0, 'Jahre': 0.04, 'beim': 0.03, 'bleibst': 0, 'eine': 0, 'schlechte': 0.05, 'Pensionskasse': 0.055, 'hast': 0, 'das': 0.05, 'weder': 0.04, 'lustig': 0, 'noch': 0, 'Werbung': 0.06, 'wert': 0.03, 'Die': 0.03, 'Lohnausgaben': 0.02, 'pro': 0, 'Kopf': 0, 'wäre': 0.02, 'relevant': 0.04}",positive,"[0.0706134, 0.025020361, 0.9043662]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@pbruegger @migros @coop_ch Extrem dreist, diese Werbung. Lohnkosten pro Kopf garantiert massiv tiefer. Mindestlohn ist sowieso nur ein kleinstmöglicher Vergleich. Wenn man z.b. 20 Jahre auf dem Mindestlohn sitzen bleibt, gute Nacht.",extrem dreist werbung lohnkosten pro kopf garantieren massiv tief mindestlohn sowieso kleinstmöglicher vergleich z b jahre mindestlohn sitzen bleiben gut nacht,,,,,,,,,,"{'Extrem': 0.07, 'dreist': 0, 'diese': 0.05, 'Werbung': 0, 'Lohnkosten': 0.07, 'pro': 0, 'Kopf': 0, 'garantiert': 0.12, 'massiv': 0, 'tiefer': 0, 'Mindestlohn': 0.065, 'ist': 0.44, 'sowieso': 0, 'nur': 1.0, 'ein': 0, 'kleinstmöglicher': 0.345, 'Vergleich': 0.37, 'Wenn': 0, 'man': 0, 'z.b.': 0, 'Jahre': 0.04, 'auf': 0.03, 'dem': 0.065, 'sitzen': 0, 'bleibt': 0, 'gute': 0, 'Nacht': 0.05}",negative,"[0.17841205, 0.48244494, 0.33914307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@AndreasMeyer Lohnkürzungen, Kündigungsschutz geschliffen, Abschied von der 5Tage-Woche und und und. Alles kein Problem? #sbbgkk #sbb #sev",lohnkürzungen kündigungsschutz schleifen abschied 5tage woche problem sbbgkk sbb sev,,,,,,,,,,,,,"{'Lohnkürzungen': 0.29000000000000004, 'Kündigungsschutz': 0.87, 'geschliffen': 0, 'Abschied': 0, 'von': 0, 'der': 0.05, '5Tage-Woche': 0.025, 'und': 0.07, 'Alles': 0, 'kein': 0.08, 'Problem': 0.08, 'sbbgkk': 0.04, 'sbb': 0, 'sev': 0.05}",positive,"[0.015313451, 0.00776991, 0.9769166]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,90 Prozent neuer Energiequellen weltweit sind Erneuerbare - infosperber https://t.co/JrnZZ4MDbt,prozent neu energiequellen weltweit erneuerbare infosperber,,,,,,,,,,,,,,,,"{'Prozent': 0.22, 'neuer': 0, 'Energiequellen': 0.21000000000000002, 'weltweit': 0.19, 'sind': 1.0, 'Erneuerbare': 0, 'infosperber': 0.3}",neutral,"[0.9221429, 0.03931442, 0.038542658]",,,,,,,,,,,,,,,,,,,,,,neutral
