answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
100.0,100.0,100.0,0.7999999999999999,negative,"Steuersenkungen - gerade bei den Unternehmen, die schon stark entlastet wurden - sind nicht angesagt. Wir brauchen die Gelder, um die Krise zu bewältigen. Pflege + Kinderbetreuung müssen nachhaltig besser gestellt werden. @spkantonbern @ueli_egger 

https://t.co/dUHn3QS13u",steuersenkungen gerade unternehmen schon stark entlasten ansagen brauchen gelder krise bewältigen pflegen kinderbetreuung müssen nachhaltig gut stellen,"{'Steuersenkungen': 0.05500000000000001, 'gerade': 0, 'bei': 0, 'den': 0.05, 'Unternehmen': 0, 'die': 0.05, 'schon': 0, 'stark': 0, 'entlastet': 0, 'wurden': 0, 'sind': 0.03, 'nicht': 0.05, 'angesagt': 0, 'Wir': 0.04, 'brauchen': 0.03, 'Gelder': 0, 'um': 0, 'Krise': 0.09, 'zu': 0.03, 'bewältigen': 0, 'Pflege': 0, 'Kinderbetreuung': 1.0, 'müssen': 0.02, 'nachhaltig': 0, 'besser': 0.08, 'gestellt': 0.1, 'werden': 0}",neutral,"[0.4249933, 0.28292945, 0.29207724]",,,,,,,,,,,,,,,,,,,"{'Steuersenkungen': 0.69, 'gerade': 0, 'bei': 0, 'den': 0.03, 'Unternehmen': 0, 'die': 0.03, 'schon': 0, 'stark': 0, 'entlastet': 0, 'wurden': 0, 'sind': 0.84, 'nicht': 0.72, 'angesagt': 0, 'Wir': 0.05, 'brauchen': 0.06, 'Gelder': 0, 'um': 0, 'Krise': 0.07, 'zu': 0.03, 'bewältigen': 0, 'Pflege': 0, 'Kinderbetreuung': 0.05, 'müssen': 0.055, 'nachhaltig': 0, 'besser': 0.04, 'gestellt': 0.03, 'werden': 0}",positive,"[0.37353727, 0.22932017, 0.39714256]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.175,negative,"Viertelmilliarde Jahresgewinn! Nun muss #KantonBern für  #Pflege und #Kinderbetreuung dringend mehr Geld einsetzen. #Corona zeigt, wie wichtig + bisher unterschätzt diese Bereiche sind. Und: die Unternehmenssteuersenkung für 2021 ist zu streichen! Mittel werden dringend gebraucht https://t.co/rNe9TTiC2m",viertelmilliarde jahresgewinn kantonbern pflegen kinderbetreuung dringen mehr geld einsetzen corona zeigen wichtig bisher unterschätzen bereiche unternehmenssteuersenkung streichen mittel dringen gebrauchen,"{'Viertelmilliarde': 0.037500000000000006, 'Jahresgewinn': 0.04, 'Nun': 0.06, 'muss': 0.03, 'KantonBern': 0.02, 'für': 0.03, 'Pflege': 0, 'und': 0.12, 'Kinderbetreuung': 1.0, 'dringend': 0.03, 'mehr': 0.27, 'Geld': 0.22, 'einsetzen': 0, 'Corona': 0.06, 'zeigt': 0, 'wie': 0.1, 'wichtig': 0.3, 'bisher': 0.08, 'unterschätzt': 0, 'diese': 0, 'Bereiche': 0.09, 'sind': 0.04, 'Und': 0.12, 'die': 0.03, 'Unternehmenssteuersenkung': 0.03, 'ist': 0.03, 'zu': 0.03, 'streichen': 0.03, 'Mittel': 0, 'werden': 0, 'gebraucht': 0}",neutral,"[0.8203456, 0.0744947, 0.10515971]",,,,,,,,,,,,,,,,,,,"{'Viertelmilliarde': 0.02, 'Jahresgewinn': 0.03, 'Nun': 0.03, 'muss': 0.18, 'KantonBern': 0.01, 'für': 0.08, 'Pflege': 0, 'und': 0.13, 'Kinderbetreuung': 0.02, 'dringend': 0.05, 'mehr': 0.02, 'Geld': 0.01, 'einsetzen': 0, 'Corona': 0.01, 'zeigt': 0, 'wie': 0.02, 'wichtig': 0.02, 'bisher': 0.08, 'unterschätzt': 0, 'diese': 0, 'Bereiche': 0.03, 'sind': 0.04, 'Und': 0.13, 'die': 1.0, 'Unternehmenssteuersenkung': 0.6475, 'ist': 0.53, 'zu': 0.18, 'streichen': 0.18, 'Mittel': 0, 'werden': 0, 'gebraucht': 0}",negative,"[0.012634626, 0.9547718, 0.03259346]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,"«Wer glaubt, mit etwas Business­wissen müsse eine gute #Kinderbetreuung doch für ein paar Franken am Tag zu haben sein, versetzt nicht nur denen einen Fusstritt, die diese Arbeit machen. Er versteht auch nichts von Wirtschaft.» @spkantonbern @sarah_gabi_ 
 https://t.co/AyaOQekW0T",wer glauben business wissen müssen gut kinderbetreuung paar franken tag versetzen fusstritt arbeit verstehen wirtschaft,"{'«': 0, 'Wer': 0, 'glaubt': 0, 'mit': 0, 'etwas': 0, 'Business\xadwissen': 0, 'müsse': 0, 'eine': 0, 'gute': 0, 'Kinderbetreuung': 0, 'doch': 0, 'für': 0, 'ein': 0, 'paar': 0, 'Franken': 0, 'am': 0, 'Tag': 0, 'zu': 0, 'haben': 0, 'sein': 0, 'versetzt': 0, 'nicht': 0, 'nur': 0, 'denen': 0, 'einen': 0, 'Fusstritt': 0, 'die': 0, 'diese': 0, 'Arbeit': 0, 'machen': 0, 'Er': 0, 'versteht': 0, 'auch': 0, 'nichts': 0, 'von': 0, 'Wirtschaft': 0, '»': 0}",positive,"[0.25959048, 0.15645732, 0.5839522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"Eine gute #Kinderbetreuung hat ihren Preis. Nur mit genügend Personal, das gut ausgebildet ist, akzeptablen Arbeitsbedingungen und mit Budget für ein gesundes Essen können Kinder adäquat betreuut werden. @sarah_gabi_ @spfrauenbern @https://www.republik.ch/2019/12/18/die-firma",gut kinderbetreuung preis genügen personal gut ausbilden akzeptabel arbeitsbedingungen budget gesund essen kinder adäquat betreuut,"{'Eine': 0, 'gute': 0, 'Kinderbetreuung': 1.0, 'hat': 0, 'ihren': 0, 'Preis': 0.35, 'Nur': 0, 'mit': 0.02, 'genügend': 0.04, 'Personal': 0, 'das': 0, 'gut': 0, 'ausgebildet': 0, 'ist': 0, 'akzeptablen': 0.05, 'Arbeitsbedingungen': 0.03, 'und': 0.03, 'Budget': 0.05, 'für': 0.02, 'ein': 0, 'gesundes': 0.05, 'Essen': 0, 'können': 0.02, 'Kinder': 0.09, 'adäquat': 0, 'betreuut': 0, 'werden': 0, ':/': 0}",positive,"[0.0013370662, 0.0017916827, 0.9968713]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"«Wenn ich in einer mittelgrossen Stadt in Deutschland mein Kind in der Krippe betreuen lasse, zahle ich vielleicht um die 275 Franken im Monat. In der Schweiz kann es schnell einmal das Zehnfache sein.» #kinderbetreuung
https://t.co/FeksuiDBXw via @infosperber",mittelgrossen stadt deutschland kind krippe betreuen lassen zahlen vielleicht franken monat schweiz schnellen zehnfache kinderbetreuung via,"{'«': 0, 'Wenn': 0, 'ich': 0, 'in': 0, 'einer': 0, 'mittelgrossen': 0, 'Stadt': 0, 'Deutschland': 0, 'mein': 0, 'Kind': 0, 'der': 0, 'Krippe': 0, 'betreuen': 0, 'lasse': 0, 'zahle': 0, 'vielleicht': 0, 'um': 0, 'die': 0, 'Franken': 0, 'im': 0, 'Monat': 0, 'In': 0, 'Schweiz': 0, 'kann': 0, 'es': 0, 'schnell': 0, 'einmal': 0, 'das': 0, 'Zehnfache': 0, 'sein': 0, '»': 0, 'kinderbetreuung': 0, 'via': 0}",positive,"[0.39374283, 0.11125665, 0.49500054]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Lachen oder weinen? Bortoluzzis Experte sagt: ""Pro Monat Kita 0,5 Punkte IQ weniger"". Er glaubt auch, dass man Schwule heilen kann.  #FakeNews   #Kinderbetreuung, typisch #svp https://t.co/SkZV5RDT6O",lachen weinen bortoluzzis experte sagen pro monat kita punkte iq wenig glauben schwul heilen fakenews kinderbetreuung typisch svp,"{'Lachen': 0.04, 'oder': 0.02, 'weinen': 0.05, 'Bortoluzzis': 0, 'Experte': 0.03, 'sagt': 0.03, 'Pro': 0, 'Monat': 0.04, 'Kita': 0, '0,5': 0, 'Punkte': 0.05, 'IQ': 0.08, 'weniger': 0, 'Er': 0, 'glaubt': 0.06, 'auch': 0.04, 'dass': 0.05, 'man': 0, 'Schwule': 0.09, 'heilen': 0, 'kann': 0.06, 'FakeNews': 1.0, 'Kinderbetreuung': 0.47, 'typisch': 0, 'svp': 0}",neutral,"[0.600946, 0.32003465, 0.0790194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.9,neutral,"Bitte sagt ja, liebe Ostermundiger Parlamentsmitglieder! #ostermundigen #kinderbetreuung #zukunftstattabbau Über 100 Familien hoffen auf die Ferieninsel https://t.co/Cl2dLUb1A0 via @BernerZeitung",bitte sagen ja lieb ostermundiger parlamentsmitglieder ostermundigen kinderbetreuung zukunftstattabbau familien hoffen ferieninsel via,"{'Bitte': 0, 'sagt': 0, 'ja': 0, 'liebe': 0, 'Ostermundiger': 0, 'Parlamentsmitglieder': 0.04, 'ostermundigen': 0.08, 'kinderbetreuung': 0, 'zukunftstattabbau': 0.03, 'Über': 0.3, 'Familien': 0, 'hoffen': 0, 'auf': 0, 'die': 0.16, 'Ferieninsel': 0.11, 'via': 0.24}",neutral,"[0.6586575, 0.24189983, 0.09944265]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,Sehr erfreulich - das Impulsprogramm des Bundes für die familienergänzende Kinderbetreuung geht weiter. Jetzt soll auch @kanton_bern endlich vorwärts machen. @spfrauenbern | https://t.co/wuu9s4SYCq,erfreulich impulsprogramm bundes familienergänzende kinderbetreuung gehen weit endlich vorwärts,"{'Sehr': 0.23, 'erfreulich': 0, 'das': 0, 'Impulsprogramm': 0, 'des': 0, 'Bundes': 0.15, 'für': 0.06, 'die': 0.08, 'familienergänzende': 0, 'Kinderbetreuung': 0.14, 'geht': 0, 'weiter': 0, 'Jetzt': 0.16, 'soll': 0, 'auch': 0, 'endlich': 0, 'vorwärts': 0.17, 'machen': 0}",positive,"[0.065676846, 0.020231888, 0.9140912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Grosse Freude!
Gemeinden sollen Geld für Ferien-Kinderbetreuung erhalten https://t.co/1iKlNQnFOf via @BernerZeitung @spkantonbern",grosse freude gemeinden sollen geld ferien kinderbetreuung erhalten via,"{'Grosse': 0, 'Freude': 0.25, 'Gemeinden': 0.16, 'sollen': 0.08, 'Geld': 0.37, 'für': 0.27, 'Ferien-Kinderbetreuung': 1.0, 'erhalten': 0.09, 'via': 0.24}",positive,"[0.007405477, 0.002731581, 0.9898629]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,86.0,0.4666666666666666,neutral,"RT @spschweiz: Während die Rechten von GLP bis SVP das Rentenalter erhöhen wollen, sorgen wir uns dafür, dass Menschen über 55 überhaupt no…",recht glp svp rentenalter erhöhen sorgen dafür menschen überhaupt no,,,,"{'Während': 0.27, 'die': 0.49, 'Rechten': 0.32, 'von': 0.11, 'GLP': 0.13, 'bis': 0, 'SVP': 0, 'das': 0.07, 'Rentenalter': 0.705, 'erhöhen': 0, 'wollen': 0.53, 'sorgen': 0.41, 'wir': 0, 'uns': 0, 'dafür': 0, 'dass': 0.07, 'Menschen': 0.07, 'über': 0.07, 'überhaupt': 0, 'no': 0, '…': 0}",positive,"[0.36134055, 0.117445685, 0.52121377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
