answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @KantonLuzern: Wir erwarten die ersten Resultate kurz nach 12 Uhr. #abst20 #CHVote #Vaterschaftsurlaub #Begrenzungsinitiative #Jagdgeset…,erwarten erst resultate kurz uhr abst20 chvote vaterschaftsurlaub begrenzungsinitiative jagdgeset,"{'Wir': 0.05, 'erwarten': 0.08, 'die': 0.04, 'ersten': 0.03, 'Resultate': 0.15, 'kurz': 0, 'nach': 0.04, 'Uhr': 0, 'abst20': 0.12, 'CHVote': 0.21, 'Vaterschaftsurlaub': 1.0, 'Begrenzungsinitiative': 0.225, 'Jagdgeset': 0, '…': 0}",positive,"[0.056163277, 0.008059647, 0.93577707]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@amoser @redder66 Davon gibt es aber nicht wenige. Einbürgerung lässt keinen Rückschluss auf die parteipolitische Meinung zu.,davon geben wenig einbürgerung lässt rückschluss parteipolitische meinung,,,,"{'Davon': 0.06, 'gibt': 0.05, 'es': 0, 'aber': 0.06, 'nicht': 0.22, 'wenige': 0.05, 'Einbürgerung': 1.0, 'lässt': 0, 'keinen': 0, 'Rückschluss': 0, 'auf': 0, 'die': 0, 'parteipolitische': 0.175, 'Meinung': 0.09, 'zu': 0.04}",neutral,"[0.60345274, 0.21644174, 0.18010548]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@MFrauchigerSVP @FrankTh86697849 @cyberpmj @ZStadtfux 2 Lösungen: Ausländerstimmerecht auf kommunaler Ebene, oder Einbürgerungswesen reformieren. Einbürgerungen sollen durch Experten vorgenommen werden.",lösungen ausländerstimmerecht kommunal eben einbürgerungswesen reformieren einbürgerungen sollen experten vornehmen,,,,"{'Lösungen': 0.09, 'Ausländerstimmerecht': 0.06937499999999999, 'auf': 0, 'kommunaler': 0, 'Ebene': 0.03, 'oder': 0.02, 'Einbürgerungswesen': 0.55, 'reformieren': 0.11, 'Einbürgerungen': 1.0, 'sollen': 0.14, 'durch': 0, 'Experten': 0.13, 'vorgenommen': 0, 'werden': 0}",neutral,"[0.63270944, 0.021045333, 0.3462452]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@Akadierin Einen Integrationskurs? :D Btw. Gibt  beim Einbürgerungstest sicher eine Frage bezogen auf diese Thematik. Würden diese Leute diesen Test bestehen?,integrationskurs btw geben beim einbürgerungstest sichern fragen beziehen thematik leute test bestehen,,,,"{'Einen': 0.04, 'Integrationskurs': 0.07500000000000001, 'Btw': 0.12, 'Gibt': 0, 'beim': 0.09, 'Einbürgerungstest': 0.225, 'sicher': 0, 'eine': 0, 'Frage': 0, 'bezogen': 0, 'auf': 0, 'diese': 0.19, 'Thematik': 0, 'Würden': 1.0, 'Leute': 0.16, 'diesen': 0.19, 'Test': 0.31, 'bestehen': 0}",neutral,"[0.9719221, 0.0055335527, 0.02254433]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,positive,@shoksuno Eine europäische Lösung wäre natürlich viel effizienter. Aber erst einmal müssen wir hier die AKWs abstellen. Ich denke gerade in einem Land wie Frankreich könnten erneuerbare Energien auch noch massiv gefördert werden.,europäische lösung natürlich effizient erst müssen akws abstellen denken gerade land frankreich erneuerbare energien massiv fördern,,,,,,,"{'Eine': 0, 'europäische': 0.05, 'Lösung': 0.06, 'wäre': 0.04, 'natürlich': 0, 'viel': 0.07, 'effizienter': 0.05, 'Aber': 0.15, 'erst': 0.11, 'einmal': 0, 'müssen': 0.060000000000000005, 'wir': 0, 'hier': 0.07, 'die': 0.05, 'AKWs': 0.04, 'abstellen': 0, 'Ich': 0.06, 'denke': 0.19, 'gerade': 0, 'in': 0.05, 'einem': 0, 'Land': 0, 'wie': 0, 'Frankreich': 0.11, 'könnten': 1.0, 'erneuerbare': 0.43, 'Energien': 0.24, 'auch': 0, 'noch': 1.0, 'massiv': 0, 'gefördert': 0, 'werden': 0}",positive,"[0.17607364, 0.18117791, 0.6427485]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Was wir brauchen ist ein gutes Stromabkommen mit der EU und stärkere Investitionen in erneuerbare Energien. Das ist der Weg in die Zukunft.,brauchen gutes stromabkommen eu stark investitionen erneuerbare energien zukunft,,,,,,,"{'Was': 0, 'wir': 0, 'brauchen': 0.96, 'ist': 0.06, 'ein': 0, 'gutes': 0.21, 'Stromabkommen': 0.13, 'mit': 0.2, 'der': 0.06, 'EU': 0, 'und': 0.86, 'stärkere': 0, 'Investitionen': 0, 'in': 0.22, 'erneuerbare': 0.38, 'Energien': 0.21, 'Das': 0.06, 'Weg': 0, 'die': 0.06, 'Zukunft': 0}",positive,"[0.01162991, 0.0028760156, 0.985494]",,,,,,,,,,,,,,,,,,,positive
75.0,75.0,86.0,0.425,neutral,"@seber1990 @stoeckli_martin Vor allem erstaunlich, wenn während einer Pandemie die Preise für Impfungen um mehr als 10% erhöht werden. Kann durchaus gerechtfertigt sein, wir leben in einer freien Marktwirtschaft, aber fraglich ist es schon.",erstaunlich pandemie preise impfungen mehr erhöhen durchaus rechtfertigen leben frei marktwirtschaft fraglich schon,,,,,,,,,,"{'Vor': 0.15, 'allem': 0, 'erstaunlich': 0, 'wenn': 0, 'während': 0, 'einer': 0, 'Pandemie': 0.13, 'die': 0, 'Preise': 0.05, 'für': 0, 'Impfungen': 0, 'um': 0.19, 'mehr': 0.01, 'als': 0, 'erhöht': 0, 'werden': 0, 'Kann': 0, 'durchaus': 0, 'gerechtfertigt': 0.09, 'sein': 0, 'wir': 0, 'leben': 0, 'in': 0.15, 'freien': 1.0, 'Marktwirtschaft': 0.81, 'aber': 0.07, 'fraglich': 0.27, 'ist': 0.03, 'es': 0.03, 'schon': 0}",positive,"[0.002953124, 0.0028413313, 0.99420553]",,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.2333333333333333,neutral,"Wir leben in einer freien Marktwirtschaft. Völlig verständlich, dass Migros auch Alkohol und Tabak verkaufen möchte. Wenn die Migros Marke jedoch darunter leiden würde, dann ist das deren Bier. #unpopularopinion",leben frei marktwirtschaft völlig verständlich migros alkohol tabak verkaufen mögen migros marke jedoch darunter leiden bier unpopularopinion,,,,,,,,,,"{'Wir': 0.08, 'leben': 0, 'in': 0.14, 'einer': 0, 'freien': 1.0, 'Marktwirtschaft': 0.735, 'Völlig': 0, 'verständlich': 0.07, 'dass': 0.03, 'Migros': 0.07, 'auch': 0.02, 'Alkohol': 0.06, 'und': 0.04, 'Tabak': 0.06, 'verkaufen': 0.03, 'möchte': 0.02, 'Wenn': 0, 'die': 0.03, 'Marke': 0.03, 'jedoch': 0.03, 'darunter': 0, 'leiden': 0, 'würde': 0.01, 'dann': 0, 'ist': 0.02, 'das': 0.03, 'deren': 0, 'Bier': 0.05, 'unpopularopinion': 0.11}",positive,"[0.0043297303, 0.0015450051, 0.99412525]",,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5166666666666666,neutral,"@teanarcholele Weil eine solche Umwälzungen nur durch Revolution möglich wäre. Was zahlreiche Unschuldige das Leben und Besitz kosten würde. Die soziale Marktwirtschaft garantiert den sozialen Frieden. Sie unterstützt die Schwachen, lässt aber auch Entfaltungsmöglichkeiten zu.",umwälzungen revolution möglich zahlreiche unschuldig leben besitzen kosten soziale marktwirtschaft garantieren sozial frieden unterstützen schwach lässt entfaltungsmöglichkeiten,,,,,,,,,,"{'Weil': 0.14, 'eine': 0, 'solche': 0.08, 'Umwälzungen': 0, 'nur': 0.01, 'durch': 0.02, 'Revolution': 0.04, 'möglich': 0.01, 'wäre': 0.03, 'Was': 0, 'zahlreiche': 0, 'Unschuldige': 0.05, 'das': 0, 'Leben': 0, 'und': 0.02, 'Besitz': 0, 'kosten': 0, 'würde': 0.03, 'Die': 0.11, 'soziale': 0.05, 'Marktwirtschaft': 0.7150000000000001, 'garantiert': 0, 'den': 0.11, 'sozialen': 0.05, 'Frieden': 0.08, 'Sie': 0, 'unterstützt': 0.11, 'die': 0.11, 'Schwachen': 0, 'lässt': 0, 'aber': 0.03, 'auch': 0.05, 'Entfaltungsmöglichkeiten': 0.03, 'zu': 0}",positive,"[0.0014327193, 0.0012373106, 0.99732995]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,positive,@FreierBauer @Raiffeisen_CH Freie Marktwirtschaft.,freie marktwirtschaft,,,,,,,,,,"{'Freie': 1.0, 'Marktwirtschaft': 0.775}",positive,"[0.0014249074, 0.0009093778, 0.99766576]",,,,,,,,,,,,,,,,positive
