answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
75.0,100.0,86.0,0.5,negative,Oje Referendum gegen Papizeit lanciert. Kostet pro Monat ca 5-7 CHF für läppische 2 Wochen. Man gönnt ja niemandem nichts mehr....#papizeit #Vaterschaftsurlaub #typischschweiz,oje referendum papizeit lanciert kosten pro monat ca chf läppische wochen gönnen ja niemand mehr papizeit vaterschaftsurlaub typischschweiz,"{'Oje': 0, 'Referendum': 0.04, 'gegen': 0.04, 'Papizeit': 0, 'lanciert': 0.03, 'Kostet': 0.03, 'pro': 0, 'Monat': 0.03, 'ca': 0, 'CHF': 0.03, 'für': 0.02, 'läppische': 0.07, 'Wochen': 0.04, 'Man': 0, 'gönnt': 0, 'ja': 0, 'niemandem': 0, 'nichts': 0, 'mehr': 0, '....': 0, '#papizeit': 0, 'Vaterschaftsurlaub': 0.46, 'typischschweiz': 0.88}",neutral,"[0.53919894, 0.07371772, 0.38708332]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.925,neutral,"Eine ECHTE Elternzeit würde es Eltern ermöglichen, das Familienmodell zu leben, das sie möchten. Mit echt meine ich, das zum Beispiel 6 Monate frei aufteilbar sind!? #elternzeit #progressiv #vaterschaftsurlaub",echte elternzeit eltern ermöglichen familienmodell leben mögen echt beispiel monate frei aufteilbar elternzeit progressiv vaterschaftsurlaub,"{'Eine': 0, 'ECHTE': 0.47, 'Elternzeit': 0.11, 'würde': 0.71, 'es': 0, 'Eltern': 0.08, 'ermöglichen': 0, 'das': 0.06, 'Familienmodell': 0.095, 'zu': 0.04, 'leben': 0, 'sie': 0, 'möchten': 0.71, 'Mit': 0, 'echt': 0.47, 'meine': 0, 'ich': 0.06, 'zum': 0.06, 'Beispiel': 0.1, 'Monate': 0.05, 'frei': 0, 'aufteilbar': 0, 'sind': 0, 'elternzeit': 0.11, 'progressiv': 0.06, 'vaterschaftsurlaub': 0.09}",positive,"[0.08630701, 0.027468989, 0.886224]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Eigentlich egal, weil: 
1. Es ist eine Schätzung, diese waren schon oft ziemlich falsch
2. Es kostet die Firmen
3. Zirka 10-20 CHF pro Monat pro Arbeitnehmer
Dafür erhält man zufriedenere Arbeiter und einen Staat, der sich für eine moderne Familie einsetzt! #vaterschaftsurlaub https://t.co/Ty9VDzpMRK",eigentlich egal schätzung schon oft ziemlich falsch kosten firmen zirka chf pro monat pro arbeitnehmer dafür erhalten zufrieden arbeiter staat modern familie einsetzen vaterschaftsurlaub,"{'Eigentlich': 0.03, 'egal': 0.04, 'weil': 0.04, '1.': 0, 'Es': 0, 'ist': 0, 'eine': 0, 'Schätzung': 0.05, 'diese': 0, 'waren': 0, 'schon': 0, 'oft': 0, 'ziemlich': 0, 'falsch': 0, '2.': 0, 'kostet': 0.06, 'die': 0, 'Firmen': 0.09, '3.': 0, 'Zirka': 0, 'CHF': 0.09, 'pro': 0, 'Monat': 0.03, 'Arbeitnehmer': 0.03, 'Dafür': 0, 'erhält': 0, 'man': 0, 'zufriedenere': 0, 'Arbeiter': 0.03, 'und': 0.05, 'einen': 0.06, 'Staat': 0.05, 'der': 0, 'sich': 0, 'für': 0.03, 'moderne': 0.08, 'Familie': 0.08, 'einsetzt': 0, 'vaterschaftsurlaub': 0.84}",positive,"[0.04510494, 0.008177355, 0.9467177]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Wer ist eigentlich gegen #Organspende ? Mit welchen Argumenten? #nurmalso,wer eigentlich organspende welch argumenten nurmalso,,,,"{'Wer': 1.0, 'ist': 0.28, 'eigentlich': 0.37, 'gegen': 1.0, 'Organspende': 0.56, 'Mit': 0.09, 'welchen': 0, 'Argumenten': 0.24, 'nurmalso': 0}",neutral,"[0.8211086, 0.024433658, 0.1544578]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Organspende: Kann mir jemand erklären, wieso man seine Organe, die anderen leben retten könnten, im plötzlichen Todesfall, NICHT spenden wollen würde? #organspende #nurmalso #frage",organspende jemand erklären wieso organe leben retten plötzlich todesfall spenden organspende nurmalso fragen,,,,"{'Organspende': 0.05, 'Kann': 0.38, 'mir': 0.1, 'jemand': 0.27, 'erklären': 0.155, 'wieso': 0, 'man': 0, 'seine': 0, 'Organe': 0.05, 'die': 0.02, 'anderen': 0, 'leben': 0, 'retten': 0.02, 'könnten': 0.02, 'im': 0, 'plötzlichen': 0.02, 'Todesfall': 0.01, 'NICHT': 0.04, 'spenden': 0.08, 'wollen': 0.03, 'würde': 0.04, 'organspende': 0.05, 'nurmalso': 0.06, 'frage': 0}",neutral,"[0.9355067, 0.02639274, 0.038100634]",,,,,,,,,,neutral
75.0,75.0,86.0,0.4333333333333333,positive,"@MPA1972AG @RuthHumbel Die Globalisierung ist unaufhaltbar. Einer kann immer etwas besser als ein anderer, mit klaren Regeln profitieren alle davon. Lokal Global ist für mich die Zukunft, und diese Krise gibt einer echten Digitalisierung endlich mal einen Schub, wir sind nach wie vor weit entfernt",globalisierung unaufhaltbar immer gut klar regeln profitieren all davon lokal global zukunft krise geben echt digitalisierung endlich mal schub weit entfernen,,,,,,,"{'Die': 0.04, 'Globalisierung': 0.04, 'ist': 0.07, 'unaufhaltbar': 0.09, 'Einer': 0.02, 'kann': 0.02, 'immer': 0.02, 'etwas': 0.03, 'besser': 0.02, 'als': 0, 'ein': 0.02, 'anderer': 0.03, 'mit': 0.02, 'klaren': 0.03, 'Regeln': 0.05, 'profitieren': 0, 'alle': 0.05, 'davon': 0, 'Lokal': 0.08, 'Global': 0.08, 'für': 0.03, 'mich': 0.03, 'die': 0.04, 'Zukunft': 0.07, 'und': 0.06, 'diese': 0.06, 'Krise': 0.19, 'gibt': 0.02, 'einer': 0.02, 'echten': 1.0, 'Digitalisierung': 0, 'endlich': 0, 'mal': 0, 'einen': 0.03, 'Schub': 0, 'wir': 0, 'sind': 0.02, 'nach': 0, 'wie': 0, 'vor': 0, 'weit': 0, 'entfernt': 0}",positive,"[0.02073301, 0.02240869, 0.9568583]",,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@AndiWeibel @spschweiz @meyer_mattea @nmasshardt @cedricwermuth Das kommt auf die Finanzierung drauf an. Eine Umsatzsteuer könnte den gewünschten Effekt bringen. Dann werden die Abzüge nicht mehr aufgrund des Lohnes gemacht und sind nicht mehr personenbezogen. Und es wird der Digitalisierung gerecht, da man dann autom. kann wie man will!",kommen finanzierung drauf umsatzsteuer gewünscht effekt bringen abzüge mehr aufgrund lohnes mehr personenbezogen digitalisierung gerecht autom,,,,,,,"{'Das': 0.05, 'kommt': 0, 'auf': 0.02, 'die': 0.05, 'Finanzierung': 0.1, 'drauf': 0.04, 'an': 0, 'Eine': 0, 'Umsatzsteuer': 0.07, 'könnte': 0.02, 'den': 0.05, 'gewünschten': 0.02, 'Effekt': 0.04, 'bringen': 0, 'Dann': 0.08, 'werden': 0, 'Abzüge': 0, 'nicht': 0, 'mehr': 0, 'aufgrund': 0.05500000000000001, 'des': 0, 'Lohnes': 0.08, 'gemacht': 0, 'und': 0.04, 'sind': 0.03, 'personenbezogen': 0, 'Und': 0.04, 'es': 0, 'wird': 0, 'der': 0.05, 'Digitalisierung': 0, 'gerecht': 0, 'da': 0, 'man': 0, 'dann': 0.08, 'autom': 0.17, 'kann': 0.04, 'wie': 0, 'will': 0}",positive,"[0.41189826, 0.024955284, 0.5631464]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@spschweiz @meyer_mattea @nmasshardt @cedricwermuth Es braucht einen Systemwechsel. Von Digitalisierung und Automatisierung spricht immer noch niemand, wenn es um die 1. oder 2. Säule geht. Wir versuchen immernoch, ein Jahrzentealtes System zeitgemäss anzupassen. Die Ausgangslage hat sich geändert, also ändert sich die Lösung!",brauchen systemwechsel digitalisierung automatisierung sprechen immer niemand säule gehen versuchen immernoch jahrzentealtes system zeitgemäss anpassen ausgangslage ändern ändern lösung,,,,,,,"{'Es': 0.02, 'braucht': 0, 'einen': 0.03, 'Systemwechsel': 0.16999999999999998, 'Von': 0, 'Digitalisierung': 0, 'und': 0.4, 'Automatisierung': 0.42, 'spricht': 0.26, 'immer': 0, 'noch': 0.02, 'niemand': 0.16, 'wenn': 0, 'es': 0.02, 'um': 0.03, 'die': 0.04, '1.': 0, 'oder': 0.04, '2.': 0, 'Säule': 0.1, 'geht': 0, 'Wir': 0.03, 'versuchen': 0.03, 'immernoch': 0.02, 'ein': 0, 'Jahrzentealtes': 0.04, 'System': 0.19, 'zeitgemäss': 0, 'anzupassen': 0.09, 'Die': 0.04, 'Ausgangslage': 0.03, 'hat': 0, 'sich': 0, 'geändert': 0.05, 'also': 0, 'ändert': 0, 'Lösung': 0.06}",neutral,"[0.6678579, 0.12012006, 0.21202208]",,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@SarahBuenter @NZZ Das D-Wort muss wirklich mit Inhalt gefüllt werden. Im Moment finden viele Ihren persönlichen Frust im Sündenbock „Digitalisierung“ wieder. Jobverlust, Scheidung, Handysucht, allgemeine Überforderung!",d wort wirklich inhalt füllen moment finden persönlich frust sündenbock digitalisierung jobverlust scheidung handysucht allgemein überforderung,,,,,,,"{'Das': 0.23, 'D-Wort': 0, 'muss': 0.02, 'wirklich': 0.01, 'mit': 0.01, 'Inhalt': 0, 'gefüllt': 0.01, 'werden': 0, 'Im': 0, 'Moment': 0.02, 'finden': 0.16, 'viele': 0, 'Ihren': 0, 'persönlichen': 0.1, 'Frust': 0.77, 'im': 0, 'Sündenbock': 0.7, '„': 0, 'Digitalisierung': 0, '“': 0, 'wieder': 0, 'Jobverlust': 0, 'Scheidung': 0, 'Handysucht': 0, 'allgemeine': 0, 'Überforderung': 0}",negative,"[0.0041418704, 0.9651832, 0.030674964]",,,,,,,positive
25.0,0.0,14.0,-0.5,neutral,"@JupiterKallisto Der Vergleich mit 1948 ist etwas trügerisch, im heutigen Umfeld mit Digitalisierung, Automatisierung etc müssen eben diese Maschinen und digitalen „Arbeiter“ Abgaben leisten und das zugunsten der Menschen. Irgendwann ist Arbeiten kein MUSS mehr sondern ein WILLE.",vergleich trügerisch heutig umfeld digitalisierung automatisierung etc müssen eben maschinen digital arbeiter abgaben leisten zugunsten menschen irgendwann arbeiten mehr wille,,,,,,,"{'Der': 0.02, 'Vergleich': 0.36, 'mit': 0.08, 'ist': 0, 'etwas': 0, 'trügerisch': 1.0, 'im': 0, 'heutigen': 0.08, 'Umfeld': 0.13, 'Digitalisierung': 0, 'Automatisierung': 0.11, 'etc': 0.04, 'müssen': 0.015, 'eben': 0, 'diese': 0, 'Maschinen': 0, 'und': 0, 'digitalen': 0.05, '„': 0, 'Arbeiter': 0, '“': 0, 'Abgaben': 0, 'leisten': 0, 'das': 0, 'zugunsten': 0, 'der': 0, 'Menschen': 0, 'Irgendwann': 0, 'Arbeiten': 0, 'kein': 0, 'MUSS': 0, 'mehr': 0, 'sondern': 0, 'ein': 0, 'WILLE': 0}",negative,"[0.043907676, 0.94001234, 0.01607998]",,,,,,,negative
