answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,8-tung Geheimtipp: Die @jglpZH verteilt Give-Aways mit politischem Statement - gibt's also auch :) z. B. farbige Rosen für die Ehe für alle und CBD-Samen zur Regulierung von Cannabis. #liste29 #soischZuekunft https://t.co/EQCg5syeO7,tung geheimtipp verteilen give aways politisch statement geben s z b farbige rosen ehe all cbd samen regulierung cannabis liste29 soischzuekunft,"{'8-tung': 0, 'Geheimtipp': 0.02, 'Die': 0.03, 'verteilt': 0, 'Give-Aways': 0, 'mit': 0.01, 'politischem': 0.05, 'Statement': 0.04, ""gibt's"": 0.03, 'also': 0.04, 'auch': 0.04, 'z.': 0, 'B.': 0, 'farbige': 0.04, 'Rosen': 0, 'für': 0.39, 'die': 0.03, 'Ehe': 0.08, 'alle': 0, 'und': 0.07, 'CBD-Samen': 0, 'zur': 0.03, 'Regulierung': 0, 'von': 0, 'Cannabis': 1.0, 'liste29': 0, 'soischZuekunft': 0.1}",positive,"[0.3645876, 0.012416486, 0.622996]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @veniweedyvici: VereinLegalize: Der Wahlkampf #WahlCH19 um den #Nationalrat ist in vollem Gange. #Cannabis ist bei den Jungen Thema. So…,vereinlegalize wahlkampf wahlch19 nationalrat voll gange cannabis jung thema,"{'VereinLegalize': 0, 'Der': 0.35, 'Wahlkampf': 0.45, 'WahlCH19': 0, 'um': 0, 'den': 0.35, 'Nationalrat': 0.32, 'ist': 0.71, 'in': 0.08, 'vollem': 0.13, 'Gange': 0, 'Cannabis': 1.0, 'bei': 0, 'Jungen': 0, 'Thema': 0, 'So': 0.24, '…': 0}",negative,"[0.19315855, 0.79248357, 0.014357922]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @jglpZH: Die Schweizer Bevölkerung verraucht jedes Jahr Cannabis im Wert von hunderten Millionen Franken. Die Verbotspolitik ist geschei…,schweizer bevölkerung verraucht jed jahr cannabis wert hunderten millionen franken verbotspolitik geschei,"{'Die': 0.06, 'Schweizer': 0.14, 'Bevölkerung': 0.48, 'verraucht': 0, 'jedes': 0, 'Jahr': 0.07, 'Cannabis': 1.0, 'im': 0, 'Wert': 0.47, 'von': 0, 'hunderten': 0.1, 'Millionen': 0.11, 'Franken': 0, 'Verbotspolitik': 0.15000000000000002, 'ist': 0.07, 'geschei': 0, '…': 0}",positive,"[0.23969369, 0.012270063, 0.74803627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Wir freuen uns, dass der Bundesrat grünes Licht für Cannabis-Pilotversuche gegeben hat - ein positiver Schritt. Unsere Fo…",freuen bundesrat grün licht cannabis pilotversuche geben positiv schritt fo,"{'Wir': 0.06, 'freuen': 0, 'uns': 0, 'dass': 0.12, 'der': 0.04, 'Bundesrat': 0.05, 'grünes': 0.04, 'Licht': 0.05, 'für': 0.06, 'Cannabis-Pilotversuche': 0.08, 'gegeben': 0.07, 'hat': 0, 'ein': 0, 'positiver': 0.24, 'Schritt': 0.17, 'Unsere': 0.65, 'Fo': 1.0, '…': 0}",positive,"[0.011090179, 0.004227126, 0.9846827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Herr Köppel ist nicht bereit für Vaterschaftsurlaub. Und das im 21. Jahrhundert! Wie sollen denn da Elternteil 1 UND 2 Verantwortung übernehmen? #esistZeit für realitätsnahe und fortschrittliche Gesellschaftspolitik. #esistZeit für @tiana_moser im Stöckli! https://t.co/BZjLkzAZHQ,herr köppel bereiten vaterschaftsurlaub jahrhundert sollen elternteil verantwortung übernehmen esistzeit realitätsnahe fortschrittliche gesellschaftspolitik esistzeit stöckli,,,,"{'Herr': 0, 'Köppel': 0, 'ist': 0.43, 'nicht': 1.0, 'bereit': 0.66, 'für': 0.05, 'Vaterschaftsurlaub': 0.72, 'Und': 0.02, 'das': 0.16, 'im': 0, '21.': 0, 'Jahrhundert': 0.06, 'Wie': 0, 'sollen': 0, 'denn': 0, 'da': 0, 'Elternteil': 0, 'UND': 0.02, 'Verantwortung': 0.05, 'übernehmen': 0.03, 'esistZeit': 0.06, 'realitätsnahe': 0.03, 'und': 0.02, 'fortschrittliche': 0.03, 'Gesellschaftspolitik': 0.02, 'Stöckli': 0}",negative,"[0.17048968, 0.77696043, 0.05254984]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,"RT @jglp_be: Ein Vater hat Anspruch auf einen einzige Tag Vaterschaftsurlaub.
Familie und Beruf sollen sich nicht ausschliessen. Deshalb wo…",vater anspruch einzig tag vaterschaftsurlaub familie beruf sollen ausschliessen deshalb,,,,"{'Ein': 0.16, 'Vater': 0.76, 'hat': 0, 'Anspruch': 0, 'auf': 0, 'einen': 0.16, 'einzige': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0.665, 'Familie': 0.13, 'und': 0.11, 'Beruf': 0, 'sollen': 0.12, 'sich': 0, 'nicht': 0.07, 'ausschliessen': 0, 'Deshalb': 0, 'wo': 0.1, '…': 0}",neutral,"[0.8099834, 0.013007994, 0.17700861]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @Ruedi_Bachmann: Organspende: Zustimmungs- oder Widerspruchslösung?
Ein spannender und wichtiger Vortrag mit Blick auf die kommende Init…",organspende zustimmungs widerspruchslösung spannend wichtig vortrag blick kommend init,,,,,,,"{'Organspende': 0.46499999999999997, 'Zustimmungs-': 0.21, 'oder': 0.17, 'Widerspruchslösung': 0, 'Ein': 0.05, 'spannender': 0.21, 'und': 0.11, 'wichtiger': 0.12, 'Vortrag': 0, 'mit': 0.08, 'Blick': 0.08, 'auf': 0, 'die': 0.05, 'kommende': 0, 'Init': 0.1, '…': 0}",positive,"[0.38454765, 0.015233009, 0.60021937]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jglpZH: Die PI über die Senkung der Einbürgerungshürden für junge Erwachsene verlangt, dass Menschen bis zur Vollendung des 25. Altersj…",pi senkung einbürgerungshürden junge erwachsen verlangen menschen vollendung altersj,,,,,,,,,,"{'Die': 0.07, 'PI': 0.24, 'über': 0, 'die': 0.07, 'Senkung': 1.0, 'der': 0.07, 'Einbürgerungshürden': 1.0, 'für': 0.16, 'junge': 0, 'Erwachsene': 0.11, 'verlangt': 0, 'dass': 0.09, 'Menschen': 0.08, 'bis': 0, 'zur': 0.07500000000000001, 'Vollendung': 0, 'des': 0, '25.': 0, 'Altersj': 0.1, '…': 0}",neutral,"[0.49721673, 0.15899473, 0.34378856]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @Tobias_Voegeli: Pseudo fortschrittlich. Zu einer #EhefürAlle gehört auch der Zugang zur Fortpflanzungsmedizin - gleiche Rechte für alle…,pseudo fortschrittlich ehefüralle hören zugang fortpflanzungsmedizin gleich rechte all,,,,,,,,,,,,,"{'Pseudo': 0.05, 'fortschrittlich': 0.06, 'Zu': 1.0, 'einer': 0, 'EhefürAlle': 0.14500000000000002, 'gehört': 0, 'auch': 0.18, 'der': 0, 'Zugang': 1.0, 'zur': 1.0, 'Fortpflanzungsmedizin': 0.28500000000000003, 'gleiche': 0, 'Rechte': 0, 'für': 0.2, 'alle': 0, '…': 0}",positive,"[0.008048704, 0.0016123065, 0.990339]",,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"@Ale_chioc @narimoldi @91Fankhauser @jglpCH @grunliberale 2/2 Wir haben weder Zeit, noch übermässig Geld zur Verfügung. Wir müssen jetzt handeln! Erneuerbare Energien sind heute günstiger als Kernkraftwerke. Dazu ist die Schweiz mit einem Wasserkraftanteil von 50% in bester Lage, die restlichen 50% mit erneuerbaren Energien aufzufüllen.",weder zeit übermässig geld verfügung müssen handeln erneuerbare energien heute günstig kernkraftwerke schweiz wasserkraftanteil gut lage restlich erneuerbaren energien auffüllen,,,,,,,,,,,,,,,,"{'Wir': 0.02, 'haben': 0.16499999999999998, 'weder': 0.03, 'Zeit': 0.02, 'noch': 0, 'übermässig': 0.08, 'Geld': 0.05, 'zur': 0.195, 'Verfügung': 0, 'müssen': 0.16499999999999998, 'jetzt': 0.12, 'handeln': 0.07, 'Erneuerbare': 0.09, 'Energien': 0.08, 'sind': 0.03, 'heute': 0, 'günstiger': 0.09, 'als': 0, 'Kernkraftwerke': 0.04, 'Dazu': 0.27, 'ist': 0.23, 'die': 0.09, 'Schweiz': 0.22, 'mit': 0.08, 'einem': 0, 'Wasserkraftanteil': 0.075, 'von': 0, 'in': 0.27, 'bester': 1.0, 'Lage': 1.0, 'restlichen': 0.13, 'erneuerbaren': 0.09, 'aufzufüllen': 0.265}",positive,"[0.018323934, 0.006288328, 0.97538775]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"So da habt ihr's. Worauf warten wir noch? ""Die Schweiz kann ihren Stromverbrauch ganzjährig auf Basis erneuerbarer Energien decken und wird dabei wettbewerbsfähig bleiben."" 
https://t.co/rxNfdORmEG",s worauf warten schweiz stromverbrauch ganzjährig basis erneuerbarer energien decken dabei wettbewerbsfähig bleiben,,,,,,,,,,,,,,,,"{'So': 0.02, 'da': 0, 'habt': 0.02, 'ihr': 0, ""'s"": 0, 'Worauf': 0.14500000000000002, 'warten': 0, 'wir': 0, 'noch': 0, 'Die': 0.05, 'Schweiz': 0.08, 'kann': 0.07, 'ihren': 0, 'Stromverbrauch': 0.13, 'ganzjährig': 0.08, 'auf': 0.27, 'Basis': 1.0, 'erneuerbarer': 0.64, 'Energien': 0.65, 'decken': 0.18, 'und': 0.22, 'wird': 0.16, 'dabei': 0, 'wettbewerbsfähig': 0.32, 'bleiben': 0.17}",neutral,"[0.6301625, 0.027012995, 0.34282455]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"«Neu sollen Exporte in Länder mit einem internen bewaffneten Konflikt bewilligt werden können, wenn kein Grund zur Annahme besteht, dass das Kriegsmaterial in diesem Konflikt eingesetzt wird.» Aja. Wofür sollen sie das Kriegsmaterial denn idealerweise brauchen? https://t.co/DfiG8pk0u8",neu sollen exporte länder intern bewaffnen konflikt bewilligen grund annahme bestehen kriegsmaterial konflikt einsetzen aja wofür sollen kriegsmaterial idealerweise brauchen,,,,,,,,,,,,,,,,,,,"{'«': 0, 'Neu': 0, 'sollen': 0, 'Exporte': 0, 'in': 0, 'Länder': 0, 'mit': 0, 'einem': 0, 'internen': 0, 'bewaffneten': 0, 'Konflikt': 0, 'bewilligt': 0, 'werden': 0, 'können': 0, 'wenn': 0, 'kein': 0, 'Grund': 0, 'zur': 0, 'Annahme': 0, 'besteht': 0, 'dass': 0, 'das': 0, 'Kriegsmaterial': 0, 'diesem': 0, 'eingesetzt': 0, 'wird': 0, '»': 0, 'Aja': 0, 'Wofür': 0, 'sie': 0, 'denn': 0, 'idealerweise': 0, 'brauchen': 0}",neutral,"[0.9408428, 0.048771705, 0.010385492]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @micromag84: Strafregisterauszug bestellen - Onlineschalter hat Öffnungszeiten... Welcome Digitalisierung! https://t.co/KFpyZ68YHG,strafregisterauszug bestellen onlineschalter öffnungszeiten welcome digitalisierung,,,,,,,,,,,,,,,,,,,,,,"{'Strafregisterauszug': 0.053750000000000006, 'bestellen': 0.04, 'Onlineschalter': 0.045, 'hat': 0, 'Öffnungszeiten': 0.05, '...': 0, 'Welcome': 1.0, 'Digitalisierung': 0}",positive,"[0.0011603001, 0.001368003, 0.9974717]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @jglpZH: Manuel Frick will, dass die Schweiz wirtschaftlich international erfolgreich bleibt. Auch in Zeiten der #Digitalisierung.
Wenn…",manuel frick schweiz wirtschaftlich international erfolgreich bleiben zeiten digitalisierung,,,,,,,,,,,,,,,,,,,,,,"{'Manuel': 0.09, 'Frick': 0.08, 'will': 0, 'dass': 0, 'die': 0, 'Schweiz': 0.07, 'wirtschaftlich': 0.07, 'international': 0, 'erfolgreich': 0.06, 'bleibt': 0, 'Auch': 0, 'in': 0.14, 'Zeiten': 0.24, 'der': 0, 'Digitalisierung': 0, 'Wenn': 0.07, '…': 0}",positive,"[0.12376031, 0.17727333, 0.6989663]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jglpCH: Wir wollen die Chancen der #Digitalisierung nutzen, dafür braucht es aber mehr #Programmieren in der Bildung 💪

Der digitale Un…",chancen digitalisierung nutzen dafür brauchen mehr programmieren bildung digitale un,,,,,,,,,,,,,,,,,,,,,,"{'Wir': 0.05, 'wollen': 0.12, 'die': 0.09, 'Chancen': 0.25, 'der': 0.09, 'Digitalisierung': 0, 'nutzen': 0.205, 'dafür': 0, 'braucht': 0, 'es': 0, 'aber': 0.24, 'mehr': 0.13, 'Programmieren': 0, 'in': 0.04, 'Bildung': 0.09, 'Der': 0.09, 'digitale': 0.11, 'Un': 0, '…': 0}",positive,"[0.47226632, 0.050759345, 0.4769743]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @tho__hug: Die @FDP_Liberalen hat herausgefunden, wann sie sich zuletzt für #Umweltschutz engagiert hat. Gründung des Schweizer #Nationa…",herausgefunden wann zuletzt umweltschutz engagieren gründung schweizer nationa,,,,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.19, 'hat': 0, 'herausgefunden': 0.16, 'wann': 0.22, 'sie': 0.12, 'sich': 0, 'zuletzt': 0.19, 'für': 0, 'Umweltschutz': 0.955, 'engagiert': 0, 'Gründung': 0, 'des': 0, 'Schweizer': 0.22, 'Nationa': 0.19, '…': 0}",neutral,"[0.7704972, 0.032390114, 0.19711268]",,,,,,,neutral
25.0,0.0,14.0,-0.5,neutral,"Ab wie vielen verbrauchten Flipchart-Blättern, auf denen weniger als 5 Wörter stehen, darf man einen Dozenten zurechtweisen?
#followerpower #savetheplanet #umweltschutz",ab verbrauchen flipchart blättern wenig wörter stehen dürfen dozenten zurechtweisen followerpower savetheplanet umweltschutz,,,,,,,,,,,,,,,,,,,,,,,,,"{'Ab': 0, 'wie': 0.05, 'vielen': 0.05, 'verbrauchten': 0, 'Flipchart-Blättern': 0.08, 'auf': 0.03, 'denen': 0, 'weniger': 0, 'als': 0, 'Wörter': 0.05, 'stehen': 0, 'darf': 0, 'man': 0, 'einen': 0.06, 'Dozenten': 0, 'zurechtweisen': 0, 'followerpower': 0.26, 'savetheplanet': 1.0, 'umweltschutz': 0.655}",positive,"[0.29616123, 0.019986846, 0.68385196]",,,,,,,negative
