answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
0.0,0.0,0.0,-1.0,negative,"""Das Kinderbetreuungs-Angebot wird von den Unternehmen negativer beurteilt"". War da nicht was, Frau @nicolebarandun https://t.co/OYD81yZ403 https://t.co/FpXlYbIxMw",kinderbetreuungs angebot unternehmen negativ beurteilen frau,"{'Das': 0.17, 'Kinderbetreuungs-Angebot': 0.605, 'wird': 0, 'von': 0, 'den': 0.17, 'Unternehmen': 0.32, 'negativer': 0.77, 'beurteilt': 0, 'War': 0, 'da': 0, 'nicht': 0, 'was': 0, 'Frau': 0}",negative,"[0.14978132, 0.8084634, 0.041755367]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @al_zuerich: Kinderbetreuungs-Initiative: Niggi Scherr empfiehlt Gewerbefunktionären Rechnen statt Jammern https://t.co/zQyDwSc0SP https…,kinderbetreuungs initiative niggi scherr empfehlen gewerbefunktionären rechnen statt jammern https,"{'Kinderbetreuungs-Initiative': 1.0, 'Niggi': 0.28, 'Scherr': 0.24, 'empfiehlt': 0.2, 'Gewerbefunktionären': 0, 'Rechnen': 0, 'statt': 0.035, 'Jammern': 0, 'https': 0.13, '…': 0}",positive,"[0.47528905, 0.04127659, 0.4834344]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,SVP-Politikerin Fehr unterstützt AL-Initiative: Bei der Kinderbetreuung schlägt ihr Herz ganz weit links  https://t.co/RQK4SoS26z,svp politikerin fehr unterstützen al initiative kinderbetreuung schlagen herz ganz weit links,"{'SVP-Politikerin': 0.065, 'Fehr': 0.04, 'unterstützt': 0.25, 'AL-Initiative': 0, 'Bei': 0, 'der': 0.03, 'Kinderbetreuung': 1.0, 'schlägt': 0.11, 'ihr': 0.24, 'Herz': 0.26, 'ganz': 0, 'weit': 0.08, 'links': 0}",positive,"[0.13475013, 0.012360287, 0.85288954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @simon_hugi: Sieg ist möglich! Jetzt Kampagne zur Initiative ""bezahlbare Kinderbetreuung"" unterstützen: https://t.co/bvP58d7LwQ https://…",sieg möglich kampagne initiative bezahlbare kinderbetreuung unterstützen,"{'Sieg': 0.13, 'ist': 0.02, 'möglich': 0.05, 'Jetzt': 0.1, 'Kampagne': 0.39, 'zur': 0.22, 'Initiative': 0.63, 'bezahlbare': 0, 'Kinderbetreuung': 1.0, 'unterstützen': 0.15}",positive,"[0.0016340473, 0.0020676889, 0.99629825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Warum es im ganzen Kanton bezahlbare Kinderbetreuung braucht - die NZZ sagts
https://t.co/ly2lmoOFyk",warum ganz kanton bezahlbare kinderbetreuung brauchen nzz sagts,"{'Warum': 1.0, 'es': 0.4, 'im': 0, 'ganzen': 0, 'Kanton': 0.05, 'bezahlbare': 0, 'Kinderbetreuung': 0.82, 'braucht': 0, 'die': 0.07, 'NZZ': 0.13, 'sagts': 0}",positive,"[0.0007188537, 0.004635098, 0.9946461]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Jetzt sagt auch der Blick kinderbetreuung-ja.ch. Kommt jetzt die Chefredaktion ins Komitee? https://t.co/iYwU9BdNpM,sagen blick kinderbetreuung ja ch kommen chefredaktion komitee,"{'Jetzt': 0.49, 'sagt': 0.28, 'auch': 0.2, 'der': 0.11, 'Blick': 0.18, 'kinderbetreuung-ja.ch': 0, 'Kommt': 0, 'jetzt': 0.49, 'die': 0.11, 'Chefredaktion': 0, 'ins': 0, 'Komitee': 0.28}",neutral,"[0.8856549, 0.110988244, 0.003356827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @al_zuerich: AL-Kinderbetreuungs-Initiative unterstützt von AL bis SVP und Exponenten aus Fachverbänden https://t.co/IBa47tyVNU https://…,al kinderbetreuungs initiative unterstützen al svp exponenten fachverbänden,"{'AL-Kinderbetreuungs-Initiative': 0.69, 'unterstützt': 0, 'von': 0.18, 'AL': 0.16, 'bis': 0, 'SVP': 0, 'und': 0.15, 'Exponenten': 0.43, 'aus': 0, 'Fachverbänden': 0.265}",positive,"[0.005671844, 0.0020116956, 0.9923165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @mtoengi: Wird jetzt Altbundesrat Blocher den Vaterschaftsurlaub rückwirkend einfordern?,altbundesrat blocher vaterschaftsurlaub rückwirkend einfordern,,,,"{'Wird': 0.47, 'jetzt': 0.35, 'Altbundesrat': 0.16, 'Blocher': 0.45, 'den': 0, 'Vaterschaftsurlaub': 0.8200000000000001, 'rückwirkend': 0.61, 'einfordern': 0}",neutral,"[0.93770087, 0.05135034, 0.010948796]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @al_zuerich: Die #SBB, einst Pionierin des gemeinnützigen Wohnungsbaus, heute Renditebolzer und Immo-Hai. Wie es dazu kam und was die @W…",sbb pionierin gemeinnützig wohnungsbaus heute renditebolzer immo hai kommen,,,,,,,"{'Die': 1.0, 'SBB': 0.04, 'einst': 0.05, 'Pionierin': 0.08, 'des': 0, 'gemeinnützigen': 0, 'Wohnungsbaus': 0.08, 'heute': 0.16, 'Renditebolzer': 0.14, 'und': 0.46, 'Immo-Hai': 0, 'Wie': 0, 'es': 0, 'dazu': 0, 'kam': 0.25, 'was': 0, 'die': 1.0, '…': 0}",positive,"[0.09697619, 0.019382987, 0.8836408]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Der Bauchef der Neuapostolen ist ein Fan des kommunalen Wohnungsbaus: «Ich bin überzeugt, dass die Stadt ihr Land selber überbauen soll.» Land im Baurecht abzugeben, findet er ebenfalls falsch: «Das bedeutet an sich dasselbe wie ein Landverkauf.» https://t.co/v6pPaGZyC4",bauchef neuapostolen fan kommunal wohnungsbaus überzeugen stadt land selber überbauen land baurecht abgeben finden ebenfalls falsch bedeuten landverkauf,,,,,,,"{'Der': 0.01, 'Bauchef': 0.4, 'der': 0.01, 'Neuapostolen': 0, 'ist': 0.45, 'ein': 0, 'Fan': 1.0, 'des': 0, 'kommunalen': 0, 'Wohnungsbaus': 0.7, '«': 0, 'Ich': 0, 'bin': 0, 'überzeugt': 0, 'dass': 0, 'die': 0, 'Stadt': 0, 'ihr': 0, 'Land': 0, 'selber': 0, 'überbauen': 0, 'soll': 0, '»': 0, 'im': 0, 'Baurecht': 0, 'abzugeben': 0, 'findet': 0, 'er': 0, 'ebenfalls': 0, 'falsch': 0, 'Das': 0, 'bedeutet': 0, 'an': 0, 'sich': 0, 'dasselbe': 0, 'wie': 0, 'Landverkauf': 0}",positive,"[0.1195752, 0.027683787, 0.85274106]",,,,,,,,,,,,,,,,,,,,,,neutral
