answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @srfzuerich: Ein deutliches NEIN: 66 Prozent im Kanton Zürich lehnen die Initiative für mehr Kinderbetreuung ab.
@al_zuerich 

https://t…",deutlich nein prozent kanton zürich lehnen initiative mehr kinderbetreuung ab,"{'Ein': 0.05, 'deutliches': 0.07, 'NEIN': 0.07, 'Prozent': 0.12, 'im': 0, 'Kanton': 0.07, 'Zürich': 0, 'lehnen': 0, 'die': 0.15, 'Initiative': 0.38, 'für': 0.74, 'mehr': 1.0, 'Kinderbetreuung': 1.0, 'ab': 0}",positive,"[0.22198913, 0.08211589, 0.695895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @AndreasSchuerer: Initiative «Bezahlbare Kinderbetreuung für alle»: Nichts anderes als eine Steuererhöhung https://t.co/egmgMoZxZE,initiative bezahlbare kinderbetreuung all steuererhöhung,"{'Initiative': 0.11, '«': 0, 'Bezahlbare': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, '»': 0, 'Nichts': 0, 'anderes': 0, 'als': 0, 'eine': 0, 'Steuererhöhung': 0}",positive,"[0.0008064702, 0.0010079206, 0.9981856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @CVP_PDC: 100 Millionen für familienergänzende Kinderbetreuung – ein Schritt in Richtung Vereinbarkeit Beruf &amp; Familie. Jetzt ist das Pa…,millionen familienergänzende kinderbetreuung schritt richtung vereinbarkeit beruf amp familie pa,"{'Millionen': 0, 'für': 1.0, 'familienergänzende': 0.03, 'Kinderbetreuung': 0.99, '–': 0, 'ein': 0, 'Schritt': 0, 'in': 0, 'Richtung': 0, 'Vereinbarkeit': 0, 'Beruf': 0, 'amp': 0, 'Familie': 0, 'Jetzt': 0, 'ist': 0, 'das': 0, 'Pa': 0, '…': 0}",positive,"[0.001008284, 0.0015316659, 0.99746007]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @KuendigJoerg: Abschaffung Kleinkinderbetreuungsbetiräge KKBB durch Zürcher Regierungsrat per 1.4.16.Spürbare finanzielle Entlastung für…,abschaffung kleinkinderbetreuungsbetiräge kkbb zürcher regierungsrat per spürbare finanzielle entlastung,"{'Abschaffung': 0.16, 'Kleinkinderbetreuungsbetiräge': 0.51, 'KKBB': 0.22, 'durch': 0, 'Zürcher': 0, 'Regierungsrat': 0.07, 'per': 0, '1.4.16.Spürbare': 0.51, 'finanzielle': 0.22, 'Entlastung': 0, 'für': 1.0, '…': 0}",positive,"[0.0033630498, 0.001862604, 0.9947744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"@BinderMarianne @smartvoteCH Für differenzierte Antworten gibt es zum Glück die Kommentarfunktion. Eine Angleichung auf 65 Jahre und Einführung flexibles Rentenalter kann ja nicht als asozial gelten, sondern ist nun mal nötig.",differenzieren antworten geben glück kommentarfunktion angleichung jahre einführung flexibel rentenalter ja asozial gelten mal nötigen,,,,"{'Für': 0.03, 'differenzierte': 0.06, 'Antworten': 0, 'gibt': 0, 'es': 0.08, 'zum': 0.1, 'Glück': 0, 'die': 0.12, 'Kommentarfunktion': 0.10500000000000001, 'Eine': 0, 'Angleichung': 0, 'auf': 0, 'Jahre': 0.16, 'und': 0.12, 'Einführung': 0.39, 'flexibles': 1.0, 'Rentenalter': 0.935, 'kann': 0, 'ja': 0.12, 'nicht': 0, 'als': 0, 'asozial': 0.31, 'gelten': 0.14, 'sondern': 0.08, 'ist': 0.08, 'nun': 0, 'mal': 0, 'nötig': 0.1}",positive,"[0.010006242, 0.0026168784, 0.9873769]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,@Angelika_Ruider @gerhardpfister @JCVPSchweiz @JBDP_CH @ZHfrauenzentral Eine Flexibilisierung des Rentenalters (Forderung CVP)  oder eine automatische Verknüpfung an die Lebenserwartung (Forderung BDP) sind für mich zwei unterschiedliche Dinge. Sorry...,flexibilisierung rentenalters forderung cvp automatische verknüpfung lebenserwartung forderung bdp zwei unterschiedlich dinge sorry,,,,"{'Eine': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.9, 'Forderung': 0, 'CVP': 0.13, 'oder': 0.33, 'eine': 0, 'automatische': 0.14, 'Verknüpfung': 0, 'an': 0.08, 'die': 0, 'Lebenserwartung': 0.165, 'BDP': 0.08, 'sind': 0.2, 'für': 0.06, 'mich': 0.1, 'zwei': 0.09, 'unterschiedliche': 0.09, 'Dinge': 0.16, 'Sorry': 0.22, '...': 0}",positive,"[0.0026350229, 0.0014385611, 0.9959265]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@BernhardGuhl @JCVPSchweiz @BDPSchweiz Wir - die CVP fordern eine Flexibilisierung des Rentenalters und nicht eine automatische Anpassung des Rentenalters an die Lebenserwartung. Das sind zwei unterschiedliche Dinge.,cvp fordern flexibilisierung rentenalters automatische anpassung rentenalters lebenserwartung zwei unterschiedlich dinge,,,,"{'Wir': 0.06, 'die': 0.08, 'CVP': 0.07, 'fordern': 0, 'eine': 0, 'Flexibilisierung': 0, 'des': 0, 'Rentenalters': 0.09, 'und': 0.06, 'nicht': 0.47, 'automatische': 0, 'Anpassung': 0, 'an': 0, 'Lebenserwartung': 0.13, 'Das': 0.08, 'sind': 0.65, 'zwei': 1.0, 'unterschiedliche': 1.0, 'Dinge': 0.91}",neutral,"[0.7300737, 0.026550347, 0.24337599]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @rolnam: Täuschung und Lügen –Unterschriftensammlung gegen Vaterschaftsurlaub wirft Fragen auf - https://t.co/xX5X64r4T2 via @watson_new…,täuschung lügen unterschriftensammlung vaterschaftsurlaub werfen fragen via,,,,,,,"{'Täuschung': 0, 'und': 0.15, 'Lügen': 0, '–': 0, 'Unterschriftensammlung': 0, 'gegen': 0, 'Vaterschaftsurlaub': 0, 'wirft': 0, 'Fragen': 0, 'auf': 0, 'via': 0, '…': 0}",negative,"[0.37093857, 0.51403725, 0.11502419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,neutral,"RT @CVP_PDC: Der Nationalrat hat soeben der #CVP-Lösung von 2⃣Wochen #Vaterschaftsurlaub 🍼zugestimmt!🎉
«Zwei Wochen ermöglichen eine besser…",nationalrat soeben cvp lösung wochen vaterschaftsurlaub zustimmen zwei wochen ermöglichen gut,,,,,,,"{'Der': 0.1, 'Nationalrat': 0.07500000000000001, 'hat': 0, 'soeben': 0.06, 'der': 0.1, 'CVP-Lösung': 0.22999999999999998, 'von': 0, '2⃣Wochen': 0, 'Vaterschaftsurlaub': 0.74, 'zugestimmt': 0, '«': 0, 'Zwei': 0, 'Wochen': 0, 'ermöglichen': 0, 'eine': 0, 'besser': 0, '…': 0}",positive,"[0.40537703, 0.08911385, 0.5055091]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Was @Martin_candinas bereits 2014 forderte, wird nun endlich Realität. #vaterschaftsurlaub #cvp #teamorange  https://t.co/MGfYqLd9WB",bereits fordern endlich realität vaterschaftsurlaub cvp teamorange,,,,,,,"{'Was': 0.04, 'bereits': 0.03, 'forderte': 0.04, 'wird': 0, 'nun': 0, 'endlich': 0, 'Realität': 0.17, 'vaterschaftsurlaub': 0.69, 'cvp': 0.12, 'teamorange': 0}",positive,"[0.059362523, 0.014834352, 0.9258032]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
